Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.6523708646567581,0.39377871875175313,0.0,0.010872847744279301,0.006562978645862552,0.0,0.04151649358940386,0.6108543710673542,0.0,0.0,0.0,0.0,0.39377871875175313,0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.004544051535087718,0.0,On,0.0010392204671102487,0.0,On,0.035933221587205896,0,On,0.08581607939834979,0,On,0.4834137778129159,0.3625603333596868,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,17598.04100888889,Off,0.0,0,81.88302864956586,51.666666666666686,46.10666666666668,0.0,49.333832893598604,0.0,0.0,0.0,127.94223226494665,48.486937532129446,49.333832893598604,48.06348985139488,12.43753247303448,17.859872207681363,0.0,-0.678566341575979,-2.1450054584101106,2.8,9.236100170605994,-3007.907476071859,2081.125810755257,1066.2401947965886,-3645.857878586613,-0.0,-0.0,816.5307428765207,0.0,3.0,0.18576367602295377,0.0,0,1.354787534864221,197.99884266666666,-178.58034036176696,0.22046259116178532,8.226603690630686,0.002743902170846707,-65.52594423984532,1.2274264994697925,0.4530695454719999,2053.9166381731898,27.20917258206756,0.19040918627222816,1227.0784364620156,-160.83824166542706
2025-01-01 00:01:00,0.6523708646567581,0.39377871875175313,0.0,0.010872847744279301,0.006562978645862552,0.0,0.04151649358940386,0.6108543710673542,0.0,0.0,0.0,0.0,0.39377871875175313,0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.004544051535087718,0.0,On,0.0010392204671102487,0.0,On,0.035933221587205896,0,On,0.08581607939834979,0,On,0.4834137778129159,0.3625603333596868,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,17598.04100888889,Off,0.0,0,82.13136228932623,51.666666666666686,46.10666666666668,0.0,49.31978949311598,0.0,0.0,0.0,128.33025357707223,48.474179591311085,49.31978949311598,48.05137464040864,12.43753247303448,17.754096846499667,-0.07923648683370388,-0.3230925871370752,-2.062965126671066,2.8,9.236100170605994,-2972.477505565695,1870.6270457789687,1041.629891427043,-3609.8361268457325,-0.0,-0.0,816.5307428765207,0.0,3.0,0.1852292832243854,0.0,0,1.3508901706554497,197.99884266666666,-179.17212159648346,0.22257083954720222,8.198982070672882,0.0027437258875675965,-64.76232030547872,1.2314597093375652,0.4530695454719999,1844.0274519444824,26.599593834486335,0.18999911901227826,1204.1217311422101,-162.49183971516706
2025-01-01 00:02:00,0.6523708646567581,0.39377871875175313,0.0,0.010872847744279301,0.006562978645862552,0.0,0.04151649358940386,0.6108543710673542,0.0,0.0,0.0,0.0,0.39377871875175313,0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.004544051535087718,0.0,On,0.0010392204671102487,0.0,On,0.035933221587205896,0,On,0.08581607939834979,0,On,0.4834137778129159,0.3625603333596868,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,17598.04100888889,Off,0.0,0,82.37241430213315,51.666666666666686,46.10666666666668,0.0,49.30570537139488,0.0,0.0,0.0,128.70689734708304,48.461382958398254,49.30570537139488,48.039221751899944,12.43753247303448,17.651008883880188,-0.1823244494531835,-0.00013721826438722884,-1.9843359199063784,2.8,9.236100170605994,-2938.3867972884245,1679.4386615934845,1019.1585525053147,-3574.863723082791,-0.0,-0.0,816.5307428765207,0.0,3.0,0.1847080744818822,0.0,0,1.347088958693439,197.99884266666666,-180.05381708215455,0.22400824707217043,8.14946368560703,0.002743552229277405,-64.0171003996423,1.2318963867039467,0.4530695454719999,1653.338719754182,26.099941839302517,0.18960526946690817,1182.1966376996068,-163.03808519429202
2025-01-01 00:03:00,0.6523708646567581,0.39377871875175313,0.0,0.010872847744279301,0.006562978645862552,0.0,0.04151649358940386,0.6108543710673542,0.0,0.0,0.0,0.0,0.39377871875175313,0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.004544051535087718,0.0,On,0.0010392204671102487,0.0,On,0.035933221587205896,0,On,0.08581607939834979,0,On,0.4834137778129159,0.3625603333596868,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,17598.04100888889,Off,0.0,0,82.60648032309219,51.666666666666686,46.10666666666668,0.0,49.291581741728734,0.0,0.0,0.0,129.07262550483154,48.44854876791868,49.291581741728734,48.02703228101366,12.43753247303448,17.550498774583374,-0.28283455874999675,0.2933312693065135,-1.9086689870404672,2.8,9.236100170605994,-2905.6546998023077,1505.7071068975852,997.8125094339698,-3540.8935418678598,-0.0,-0.0,816.5307428765207,0.0,3.0,0.1841995275695497,0.0,0,1.3433800903480653,197.99884266666666,-181.29190081096874,0.2254195919367975,8.101946385317344,0.002743380630122158,-63.28927435634377,1.2323224442512473,0.4530695454719999,1480.060492400234,25.64661449735126,0.18922548379041304,1161.169012150523,-163.35650271655322
2025-01-01 00:04:00,0.6523708646567581,0.39377871875175313,0.8830441176470587,0.010872847744279301,0.006562978645862552,0.014717401960784311,0.04151649358940386,0.6108543710673542,0.0,0.0,0.8830441176470587,0.0,0.39377871875175313,0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.004544051535087718,0.0,On,0.0010392204671102487,0.0,On,0.035933221587205896,0,On,0.08581607939834979,0,On,0.4834137778129159,0.3625603333596868,On,0,0,Off,On,17598.04100888889,18.33333333333337,0.6800000000000002,0.0,25.87947207189542,0.0,1,17598.04100888889,17598.04100888889,Off,0.0,0,82.83384256002917,51.666666666666686,46.10666666666668,0.0,49.27741976815282,0.0,0.0,0.0,129.42787900004558,48.4356781083381,49.27741976815282,48.014807278430744,12.43753247303448,17.45246195418676,-0.38087137914661184,0.560054351230896,-1.835630846564644,2.8,9.236100170605994,14726.671500953827,1347.812848973113,977.6752279358561,-3507.880909575195,-0.0,-0.0,816.5307428765207,0.0,3.0,0.18370314292918632,0.0,0,1.3397599223062826,197.99884266666666,-180.019341236389,0.22680567498213586,8.055080757440628,0.0027432110405729974,-62.57816683056042,1.2327383032219184,0.4530695454719999,1322.5740678345535,25.238781138559535,0.18885816809414452,1140.9385880064053,-163.26336007054917
2025-01-01 00:05:00,0.6523708646567581,0.39377871875175313,0.8830441176470587,0.010872847744279301,0.006562978645862552,0.014717401960784311,0.04151649358940386,0.6108543710673542,0.0,0.0,0.8830441176470587,0.0,0.39377871875175313,0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.004544051535087718,0.0,On,0.0010392204671102487,0.0,On,0.035933221587205896,0,On,0.08581607939834979,0,On,0.4834137778129159,0.3625603333596868,On,0,0,Off,On,17598.04100888889,18.33333333333337,0.6800000000000002,0.0,25.87947207189542,0.0,1,17598.04100888889,17598.04100888889,Off,0.0,0,82.38860667692053,51.666666666666686,46.10666666666668,0.0,49.26322056768134,0.0,0.0,0.0,128.73219793268834,48.42277202415231,49.26322056768134,48.0025477523878,12.43753247303448,17.60620291120203,-0.22713042213134216,0.8025173676912476,-1.7649192960291957,2.8,9.236100170605994,14662.225491217207,1204.2834940188845,958.562396767671,-3559.704716110323,-0.0,-0.0,816.5307428765207,0.0,3.0,0.1844814167454143,0.0,0,1.3454359279038817,197.99884266666666,-192.6415444378814,0.22460092908787058,8.127594664874033,0.0027430434130706768,-63.439089987966625,1.2320866021671701,0.4530695454719999,1179.4119789885044,24.871515030380245,0.18850187112286002,1121.415156172896,-162.85275940522513
2025-01-01 00:06:00,0.6523708646567581,0.39377871875175313,0.8830441176470587,0.010872847744279301,0.006562978645862552,0.014717401960784311,0.04151649358940386,0.6108543710673542,0.0,0.0,0.8830441176470587,0.0,0.39377871875175313,0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.004544051535087718,0.0,On,0.0010392204671102487,0.0,On,0.035933221587205896,0,On,0.08581607939834979,0,On,0.4834137778129159,0.3625603333596868,On,0,0,Off,On,17598.04100888889,18.33333333333337,0.6800000000000002,0.0,25.87947207189542,0.0,1,17598.04100888889,17598.04100888889,Off,0.0,0,81.95606678685503,51.666666666666686,46.10666666666668,0.0,49.24909612122646,0.0,0.0,0.0,128.05635435446098,48.409935310789024,49.24909612122646,47.990354905570314,12.43753247303448,17.755260184821722,-0.07807314851164904,1.0229730966541581,-1.6962771229248228,2.8,9.236100170605994,14601.792455848194,1073.7847489741844,940.342479280389,-3610.231543288788,-0.0,-0.0,816.5307428765207,0.0,3.0,0.1852351628074527,0.0,0,1.3509330508676654,197.99884266666666,-202.54775262842855,0.22248567374213402,8.198640543397396,0.00274287338953734,-64.26756811540825,1.2314554182922886,0.4530695454719999,1049.2440749627385,24.540674011445866,0.18815535583650786,1102.5221099677478,-162.1796306873588
2025-01-01 00:07:00,0.6523708646567581,0.39377871875175313,0.8830441176470587,0.010872847744279301,0.006562978645862552,0.014717401960784311,0.04151649358940386,0.6108543710673542,0.0,0.0,0.8830441176470587,0.0,0.39377871875175313,0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.004544051535087718,0.0,On,0.0010392204671102487,0.0,On,0.035933221587205896,0,On,0.08581607939834979,0,On,0.4834137778129159,0.3625603333596868,On,0,0,Off,On,17598.04100888889,18.33333333333337,0.6800000000000002,0.0,25.87947207189542,0.0,1,17598.04100888889,17598.04100888889,Off,0.0,0,81.53548747512633,51.666666666666686,46.10666666666668,0.0,49.23504431243667,0.0,0.0,0.0,127.39919917988489,48.39716599012494,49.23504431243667,47.97822682896908,12.43753247303448,17.899907123275153,0.0,1.2234636712176186,-1.6294841483719076,2.8,9.236100170605994,14543.013952319317,955.1070958029102,922.901392238283,-3659.5280801697413,-0.0,-0.0,816.5307428765207,0.0,3.0,0.18596583135904,0.0,0,1.3562618679270642,197.99884266666666,-212.0297192763525,0.2204537601542475,8.26643504074546,0.0027427010573103524,-65.06546048573348,1.230843533553192,0.4530695454719999,930.8645799474932,24.242515855416997,0.18781756186029835,1084.194006741072,-161.2926145027889
2025-01-01 00:08:00,0.6523708646567581,0.39377871875175313,0.8830441176470587,0.010872847744279301,0.006562978645862552,0.014717401960784311,0.04151649358940386,0.6108543710673542,0.0,0.0,0.8830441176470587,0.0,0.39377871875175313,0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.004544051535087718,0.0,On,0.0010392204671102487,0.0,On,0.035933221587205896,0,On,0.08581607939834979,0,On,0.4834137778129159,0.3625603333596868,On,0,0,Off,On,17598.04100888889,18.33333333333337,0.6800000000000002,0.0,25.87947207189542,0.0,1,17598.04100888889,17598.04100888889,Off,0.0,0,81.12629965777745,51.666666666666686,46.10666666666668,0.0,49.22106314746579,0.0,0.0,0.0,126.75984321527727,48.38446219861942,49.22106314746579,47.96616172419624,12.43753247303448,18.040354917294444,0.0,1.4058403943681679,-1.5643523271802726,2.8,9.236100170605994,14485.825817476863,847.1540708199541,906.1413703820903,-3707.6425002148158,-0.0,-0.0,816.5307428765207,0.0,3.0,0.18667455249284573,0.0,0,1.3614306209272804,197.99884266666666,-221.103434073731,0.2185001590487218,8.333070823334314,0.0027425264988160713,-65.83422824859421,1.2302499990655955,0.4530695454719999,823.1803936155139,23.973677204440165,0.1874875827989636,1066.3750248369192,-160.233654454829
2025-01-01 00:09:00,0.6523708646567581,0.39377871875175313,0.8830441176470587,0.010872847744279301,0.006562978645862552,0.014717401960784311,0.04151649358940386,0.6108543710673542,0.0,0.0,0.8830441176470587,0.0,0.39377871875175313,0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.004544051535087718,0.0,On,0.0010392204671102487,0.0,On,0.035933221587205896,0,On,0.08581607939834979,0,On,0.4834137778129159,0.3625603333596868,On,0,0,Off,On,17598.04100888889,18.33333333333337,0.6800000000000002,0.0,25.87947207189542,0.0,1,17598.04100888889,17598.04100888889,Off,0.0,0,80.72799207561513,51.666666666666686,46.10666666666668,0.0,49.20715072727695,0.0,0.0,0.0,126.13748761814865,48.37182216139905,49.20715072727695,47.95415787846011,12.43753247303448,18.176793197483953,0.0,1.5717816759680399,-1.5007213760881861,2.8,9.236100170605994,14430.181839237202,748.9316329847766,889.9788537087494,-3754.617783929309,-0.0,-0.0,816.5307428765207,0.0,3.0,0.18736234243304453,0.0,0,1.3664467212625862,197.99884266666666,-229.77212859889949,0.21662034710038572,8.396689905489023,0.0027423497926504416,-66.57518943403666,1.2296739621453494,0.4530695454719999,725.2005002427329,23.731132742043613,0.18716464582389247,1049.017603718865,-159.03875001011565
