Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.31873617376644653,0.18332243495638892,0.0,0.005312269562774109,0.0030553739159398154,0.0,0.02092763982488277,0.2478085339415638,0.0,0.05,0.0,0.0,0.0,0.16873910162305558,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.0007377266225366752,0.0,On,0.016679935132170656,0,On,0.02282306511082296,0,On,0.18534307468208513,0.1390073060115638,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,12476.916413333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,9216.500302222223,Off,0.0,0,79.03906226313728,51.666666666666686,46.10666666666668,0.0,51.022329266523556,0.0,0.0,0.0,123.49853478615199,50.2703329151018,51.022329266523556,49.89433473939092,12.43753247303448,20.840662536577664,0.0,-0.7808332243386876,2.2496765417864775,2.8,9.236100170605994,-1308.1767759977881,1707.4345684349946,-126.40715714733417,-1564.6303864414017,-0.0,-0.0,387.76138698314503,0.0,2.0,0.06654901405322403,0.0,0,0.8612136102361322,131.99922844444444,-131.30777653953137,0.19859539055838277,9.863668925648954,0.002976874569261102,-25.10671775625055,1.2148107724918566,0.3624556363775999,1691.4400280571886,15.994540377806093,0.19075584946550952,136.80864508701055,-263.2158022343447
2025-01-01 00:01:00,0.31873617376644653,0.18332243495638892,0.0,0.005312269562774109,0.0030553739159398154,0.0,0.02092763982488277,0.2478085339415638,0.0,0.05,0.0,0.0,0.0,0.16873910162305558,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.0007377266225366752,0.0,On,0.016679935132170656,0,On,0.02282306511082296,0,On,0.18534307468208513,0.1390073060115638,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,12476.916413333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,9216.500302222223,Off,0.0,0,79.3604617604785,51.666666666666686,46.10666666666668,0.0,51.00880389721184,0.0,0.0,0.0,124.00072150074766,50.25801808386848,51.00880389721184,49.8826251771968,12.43753247303448,20.70853041754472,0.0,-0.4969102712288122,2.187979545208143,2.8,9.236100170605994,-1288.4736478602172,1572.7933413964233,-108.63429806610108,-1548.690857984941,-0.0,-0.0,387.76138698314503,0.0,2.0,0.06635705966977938,0.0,0,0.8587295204277573,131.99922844444444,-127.54417685842125,0.2007944954030616,9.828439401451508,0.0029767534722296455,-24.701998057691203,1.2189073107355044,0.3624556363775999,1557.3263685574675,15.466972838955801,0.1912762771859422,152.5614120418252,-261.1957101079263
2025-01-01 00:02:00,0.31873617376644653,0.18332243495638892,0.0,0.005312269562774109,0.0030553739159398154,0.0,0.02092763982488277,0.2478085339415638,0.0,0.05,0.0,0.0,0.0,0.16873910162305558,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.0007377266225366752,0.0,On,0.016679935132170656,0,On,0.02282306511082296,0,On,0.18534307468208513,0.1390073060115638,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,12476.916413333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,9216.500302222223,Off,0.0,0,79.67017176923629,51.666666666666686,46.10666666666668,0.0,50.995225608076716,0.0,0.0,0.0,124.48464338943171,50.24565317637597,50.995225608076716,49.870866960525596,12.43753247303448,20.580704440703304,0.0,-0.23545160334453205,2.128785557170786,2.8,9.236100170605994,-1270.1153782569504,1448.8531880108173,-90.57348417954458,-1533.3308241944296,-0.0,-0.0,387.76138698314503,0.0,2.0,0.06617123669615531,0.0,0,0.8563247774536298,131.99922844444444,-124.5459410456657,0.2023747262655058,9.771293792206118,0.0029766347277052087,-24.310027892825435,1.2194378431913346,0.3624556363775999,1433.823924060445,15.029263950372208,0.19177426395511668,167.7526035887283,-258.3260877682729
2025-01-01 00:03:00,0.31873617376644653,0.18332243495638892,0.0,0.005312269562774109,0.0030553739159398154,0.0,0.02092763982488277,0.2478085339415638,0.0,0.05,0.0,0.0,0.0,0.16873910162305558,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.0007377266225366752,0.0,On,0.016679935132170656,0,On,0.02282306511082296,0,On,0.18534307468208513,0.1390073060115638,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,12476.916413333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,9216.500302222223,Off,0.0,0,79.9689834075926,51.666666666666686,46.10666666666668,0.0,50.98159634667165,0.0,0.0,0.0,124.95153657436343,50.23324001392723,50.98159634667165,49.85906184755503,12.43753247303448,20.45689160607592,0.0,0.00536825773463287,2.072208733623076,2.8,9.236100170605994,-1252.3767194125703,1334.6985363611998,-73.81424223309725,-1518.5093891042686,-0.0,-0.0,387.76138698314503,0.0,2.0,0.06599113207031868,0.0,0,0.8539940358604795,131.99922844444444,-121.62871729144658,0.2039185890592299,9.7147646293128,0.0029765179182550095,-23.929893108601835,1.219952161133401,0.3624556363775999,1320.0704127793667,14.628123581833062,0.19224902740757682,182.3428098911069,-256.15705212420414
2025-01-01 00:04:00,0.31873617376644653,0.18332243495638892,0.0,0.005312269562774109,0.0030553739159398154,0.0,0.02092763982488277,0.2478085339415638,0.0,0.05,0.0,0.0,0.0,0.16873910162305558,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.0007377266225366752,0.0,On,0.016679935132170656,0,On,0.02282306511082296,0,On,0.18534307468208513,0.1390073060115638,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,12476.916413333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,9216.500302222223,Off,0.0,0,80.25752274069934,51.666666666666686,46.10666666666668,0.0,50.96791792877633,0.0,0.0,0.0,125.40237928234272,50.22078029456359,50.96791792877633,49.84721147745722,12.43753247303448,20.336860300319373,0.0,0.2272204870257807,2.018254269391906,2.8,9.236100170605994,-1234.6545076229186,1229.5400320629035,-56.223502192160396,-1504.1936582634469,-0.0,-0.0,387.76138698314503,0.0,2.0,0.06581642050590841,0.0,0,0.8517330861037269,131.99922844444444,-118.22223634261672,0.2054278564901736,9.660859386212753,0.0029764029838242763,-23.56092938358039,1.220451186138744,0.3624556363775999,1215.2764395816707,14.263592481232651,0.19270069575523494,196.32086219465592,-252.5443643868163
2025-01-01 00:05:00,0.31873617376644653,0.18332243495638892,0.0,0.005312269562774109,0.0030553739159398154,0.0,0.02092763982488277,0.2478085339415638,0.0,0.05,0.0,0.0,0.0,0.16873910162305558,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.0007377266225366752,0.0,On,0.016679935132170656,0,On,0.02282306511082296,0,On,0.18534307468208513,0.1390073060115638,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,12476.916413333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,9216.500302222223,Off,0.0,0,80.53629287796969,51.666666666666686,46.10666666666668,0.0,50.954192065880264,0.0,0.0,0.0,125.83795762182763,50.20827561878106,50.954192065880264,49.835317395231456,12.43753247303448,20.220424634206466,0.0,0.43164024386161004,1.9670109414615429,2.8,9.236100170605994,-1216.8529975399983,1132.649054873245,-39.903053185206346,-1490.3567127419549,-0.0,-0.0,387.76138698314503,0.0,2.0,0.0656468420447087,0.0,0,0.8495385640530879,131.99922844444444,-114.25767178118832,0.2069038308023188,9.608077086131921,0.0029762898677837203,-23.20260284249635,1.2209356538055647,0.3624556363775999,1118.71685761407,13.93219725917493,0.1931286903742167,209.65428558794522,-249.55733877315154
2025-01-01 00:06:00,0.31873617376644653,0.18332243495638892,0.0,0.005312269562774109,0.0030553739159398154,0.0,0.02092763982488277,0.2478085339415638,0.0,0.05,0.0,0.0,0.0,0.16873910162305558,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.0007377266225366752,0.0,On,0.016679935132170656,0,On,0.02282306511082296,0,On,0.18534307468208513,0.1390073060115638,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,12476.916413333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,9216.500302222223,Off,0.0,0,80.8057314225506,51.666666666666686,46.10666666666668,0.0,50.94042038565686,0.0,0.0,0.0,126.2589553477353,50.19572750868775,50.94042038565686,49.823381070203205,12.43753247303448,20.10742305213295,-0.003688058978219999,0.62003739526429,1.918441594603374,2.8,9.236100170605994,-1199.461921195686,1043.3566464327869,-23.829684167750145,-1476.974957970174,-0.0,-0.0,387.76138698314503,0.0,2.0,0.06548217114638163,0.0,0,0.8474075509814943,131.99922844444444,-110.24835020865692,0.2083475926581244,9.556346215616312,0.0029761785162710267,-22.854448775779407,1.2214062018863698,0.3624556363775999,1029.7257030167223,13.630943416064724,0.19353347766248244,222.3437075753881,-246.1733917431382
2025-01-01 00:07:00,0.31873617376644653,0.18332243495638892,0.0,0.005312269562774109,0.0030553739159398154,0.0,0.02092763982488277,0.2478085339415638,0.0,0.05,0.0,0.0,0.0,0.16873910162305558,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.0007377266225366752,0.0,On,0.016679935132170656,0,On,0.02282306511082296,0,On,0.18534307468208513,0.1390073060115638,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,12476.916413333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,9216.500302222223,Off,0.0,0,81.06626430320784,51.666666666666686,46.10666666666668,0.0,50.9266044428721,0.0,0.0,0.0,126.66603797376226,50.1831374182102,50.9266044428721,49.81140390587926,12.43753247303448,19.997698280810184,-0.11341283030098737,0.7937067944343835,1.872544303812998,2.8,9.236100170605994,-1182.673260581611,961.0484553376467,-8.367321137500852,-1464.0256909782172,-0.0,-0.0,387.76138698314503,0.0,2.0,0.06532218760479674,0.0,0,0.8453371971920829,131.99922844444444,-106.40895658653885,0.20976024677949517,9.506287644618409,0.0029760688778376404,-22.516014099889407,1.2218634533128447,0.3624556363775999,947.6913397829562,13.35711555469063,0.19391521894722405,234.38117100455597,-242.74849214205682
2025-01-01 00:08:00,0.31873617376644653,0.18332243495638892,0.0,0.005312269562774109,0.0030553739159398154,0.0,0.02092763982488277,0.2478085339415638,0.0,0.05,0.0,0.0,0.0,0.16873910162305558,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.0007377266225366752,0.0,On,0.016679935132170656,0,On,0.02282306511082296,0,On,0.18534307468208513,0.1390073060115638,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,12476.916413333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,9216.500302222223,Off,0.0,0,81.31829438618635,51.666666666666686,46.10666666666668,0.0,50.91274572133048,0.0,0.0,0.0,127.05983497841616,50.170506734912294,50.91274572133048,49.7993872417032,12.43753247303448,19.89110157512948,-0.22000953598169204,0.9538377268272211,1.829284710590543,2.8,9.236100170605994,-1166.5096453969418,885.1602186804379,6.5182178342450925,-1451.4875725419995,-0.0,-0.0,387.76138698314503,0.0,2.0,0.0651666828136181,0.0,0,0.8433248031014225,131.99922844444444,-102.7834598380872,0.2111428619197818,9.457825293798113,0.002975960903380782,-22.186869665874514,1.2223079982785126,0.3624556363775999,872.0519978168453,13.108220863592555,0.19427433504307196,245.7677837448082,-239.24956591056312
2025-01-01 00:09:00,0.7843783612664467,0.18332243495638892,0.4602486486486487,0.01307297268777411,0.0030553739159398154,0.007670810810810811,0.02092763982488277,0.2478085339415638,0.4656421875000001,0.05,0.0,0.4602486486486487,0.0,0.16873910162305558,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.0007377266225366752,0.0,On,0.016679935132170656,0,On,0.02282306511082296,0,On,0.18534307468208513,0.1390073060115638,On,0,0,Off,On,9245.27545590162,20.61111111111117,0.9250000000000002,3697.2831449317146,13.488558284684684,0.4656421875000001,1,12476.916413333334,12476.916413333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,9216.500302222223,Off,0.0,0,81.56219668886621,51.666666666666686,46.10666666666668,0.0,50.898845637716946,0.0,0.0,0.0,127.44093232635345,50.157836783588564,50.898845637716946,49.787332356524374,12.43753247303448,19.78749450549772,-0.3236166056134522,1.101522552043541,1.7886185783333466,2.8,9.236100170605994,8094.330424470085,815.1736766898059,3717.5685589165064,-1439.3408033865035,-0.0,-0.0,387.76138698314503,0.0,2.0,0.06501546245666591,0.0,0,0.8413678540555984,131.99922844444444,-99.3656150281765,0.21249644097412107,9.410888396013501,0.0029758545460156524,-21.866615494050013,1.2227403865197912,0.3624556363775999,802.2916908554266,12.881985834379295,0.19461131745333504,256.5078829515158,-236.22246896672414
