Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.10961826906675862,0.06964853938479675,0.0,0.0018269711511126436,0.0011608089897466125,0.0,0.012794936844365517,0.0,0.09682333222239309,0.0,0.0,0.0,0.06964853938479675,0.0,1,0,0,Off,0,0,Off,0,0,Off,0,0,Off,0.003412116228070175,0.0,On,0.009382820616295341,0,On,0.0039586130426640725,0,On,0.09286471917972902,0.06964853938479675,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,2999.8758933333334,Off,0.0,0.0,40.09147348148037,51.666666666666686,46.10666666666668,0.0,51.05979959296443,0.0,0.0,0.0,40.09147348148037,51.10466199798083,51.12709320048903,51.05979959296443,12.43753247303448,16.644888302152598,0.0,2.8,-181.0529006044917,-400.7356746461255,-0.0,-0.0,169.11735294639982,0.0,1.0,0.022210119645321262,0.0,0,0.3101531967517646,65.99961422222222,50.56542109523407,0.2310260968877193,7.5493703296772985,0.002662245545042969,31.521444178401335,1.2326333169086365
2025-01-01 00:01:00,0.10961826906675862,0.06964853938479675,0.0,0.0018269711511126436,0.0011608089897466125,0.0,0.012794936844365517,0.0,0.09682333222239309,0.0,0.0,0.0,0.06964853938479675,0.0,1,0,0,Off,0,0,Off,0,0,Off,0,0,Off,0.003412116228070175,0.0,On,0.009382820616295341,0,On,0.0039586130426640725,0,On,0.09286471917972902,0.06964853938479675,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,2999.8758933333334,Off,0.0,0.0,40.11196833967463,51.666666666666686,46.10666666666668,0.0,51.05385075818131,0.0,0.0,0.0,40.11196833967463,51.099035495560095,51.12162786424949,51.05385075818131,12.43753247303448,16.62163703737148,0.0,2.8,-190.57599464252252,-399.7912449404035,-0.0,-0.0,169.11735294639982,0.0,1.0,0.02219505079662538,0.0,0,0.3099427678270658,65.99961422222222,40.097897351481166,0.23205779395913398,7.560628998452888,0.002662407234052463,31.52472956202938,1.236333073152538
2025-01-01 00:02:00,0.10961826906675862,0.06964853938479675,0.0,0.0018269711511126436,0.0011608089897466125,0.0,0.012794936844365517,0.0,0.09682333222239309,0.0,0.0,0.0,0.06964853938479675,0.0,1,0,0,Off,0,0,Off,0,0,Off,0,0,Off,0.003412116228070175,0.0,On,0.009382820616295341,0,On,0.0039586130426640725,0,On,0.09286471917972902,0.06964853938479675,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,2999.8758933333334,Off,0.0,0.0,40.131957409550935,51.666666666666686,46.10666666666668,0.0,51.04789894923857,0.0,0.0,0.0,40.131957409550935,51.09340611685772,51.116159700667296,51.04789894923857,12.43753247303448,16.59881761632604,0.0,2.8,-200.33406901140825,-398.8651980465989,-0.0,-0.0,169.11735294639982,0.0,1.0,0.02218025926609229,0.0,0,0.3097362115116137,65.99961422222222,29.41377608879087,0.23240882088596546,7.549424460427091,0.002662568456005655,31.52779266601295,1.2364303213095256
2025-01-01 00:03:00,0.10961826906675862,0.06964853938479675,0.0,0.0018269711511126436,0.0011608089897466125,0.0,0.012794936844365517,0.0,0.09682333222239309,0.0,0.0,0.0,0.06964853938479675,0.0,1,0,0,Off,0,0,Off,0,0,Off,0,0,Off,0.003412116228070175,0.0,On,0.009382820616295341,0,On,0.0039586130426640725,0,On,0.09286471917972902,0.06964853938479675,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,2999.8758933333334,Off,0.0,0.0,40.15147521364972,51.666666666666686,46.10666666666668,0.0,51.0419442413342,0.0,0.0,0.0,40.15147521364972,51.08777393285685,51.11068877861818,51.0419442413342,12.43753247303448,16.576400438073275,0.0,2.8,-210.2410654153702,-397.95628724134605,-0.0,-0.0,169.11735294639982,0.0,1.0,0.022165726008540273,0.0,0,0.3095332618489844,65.99961422222222,18.597868879576122,0.23275448258605608,7.5390688393247824,0.002662729680942278,31.530618477138837,1.2365258680453237
2025-01-01 00:04:00,0.10961826906675862,0.06964853938479675,0.0,0.0018269711511126436,0.0011608089897466125,0.0,0.012794936844365517,0.0,0.09682333222239309,0.0,0.0,0.0,0.06964853938479675,0.0,1,0,0,Off,0,0,Off,0,0,Off,0,0,Off,0.003412116228070175,0.0,On,0.009382820616295341,0,On,0.0039586130426640725,0,On,0.09286471917972902,0.06964853938479675,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,2999.8758933333334,Off,0.0,0.0,40.170551650299075,51.666666666666686,46.10666666666668,0.0,51.0359867045341,0.0,0.0,0.0,40.170551650299075,51.082139009695695,51.1052151622765,51.0359867045341,12.43753247303448,16.55435987146278,0.0,2.8,-213.49450160691651,-397.06343158678766,-0.0,-0.0,169.11735294639982,0.0,1.0,0.022151434537396944,0.0,0,0.3093336886124519,65.99961422222222,14.451577033471377,0.23309513047295174,7.528293935138711,0.002662890907870347,31.533222778772327,1.236619821975759
2025-01-01 00:05:00,0.10961826906675862,0.06964853938479675,0.0,0.0018269711511126436,0.0011608089897466125,0.0,0.012794936844365517,0.0,0.09682333222239309,0.0,0.0,0.0,0.06964853938479675,0.0,1,0,0,Off,0,0,Off,0,0,Off,0,0,Off,0.003412116228070175,0.0,On,0.009382820616295341,0,On,0.0039586130426640725,0,On,0.09286471917972902,0.06964853938479675,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,2999.8758933333334,Off,0.0,0.0,40.18900236486846,51.666666666666686,46.10666666666668,0.0,51.03002640445947,0.0,0.0,0.0,40.18900236486846,51.07650140931648,51.09973891174499,51.03002640445947,12.43753247303448,16.53285443048355,0.0,2.8,-212.9196659500513,-396.1930044779549,-0.0,-0.0,169.11735294639982,0.0,1.0,0.022137487784524342,0.0,0,0.3091389291939156,65.99961422222222,14.155985581503803,0.23342838347951705,7.518441140352584,0.002663052135864654,31.535504629603516,1.236711505644607
2025-01-01 00:06:00,0.10961826906675862,0.06964853938479675,0.0,0.0018269711511126436,0.0011608089897466125,0.0,0.012794936844365517,0.0,0.09682333222239309,0.0,0.0,0.0,0.06964853938479675,0.0,1,0,0,Off,0,0,Off,0,0,Off,0,0,Off,0.003412116228070175,0.0,On,0.009382820616295341,0,On,0.0039586130426640725,0,On,0.09286471917972902,0.06964853938479675,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,2999.8758933333334,Off,0.0,0.0,40.20673859181329,51.666666666666686,46.10666666666668,0.0,51.02406343413159,0.0,0.0,0.0,40.20673859181329,51.07086121953405,51.09426011223529,51.02406343413159,12.43753247303448,16.51196049676677,0.0,2.8,-211.28906084181153,-395.3480384334021,-0.0,-0.0,169.11735294639982,0.0,1.0,0.02212393546671112,0.0,0,0.308949677863428,65.99961422222222,14.94162464519082,0.23375306801348666,7.508302185870971,0.002663213363572455,31.53741496203254,1.2368005919041996
2025-01-01 00:07:00,0.10961826906675862,0.06964853938479675,0.0,0.0018269711511126436,0.0011608089897466125,0.0,0.012794936844365517,0.0,0.09682333222239309,0.0,0.0,0.0,0.06964853938479675,0.0,1,0,0,Off,0,0,Off,0,0,Off,0,0,Off,0.003412116228070175,0.0,On,0.009382820616295341,0,On,0.0039586130426640725,0,On,0.09286471917972902,0.06964853938479675,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,2999.8758933333334,Off,0.0,0.0,40.223761322121824,51.666666666666686,46.10666666666668,0.0,51.01809789976395,0.0,0.0,0.0,40.223761322121824,51.06521854062076,51.08877886104918,51.01809789976395,12.43753247303448,16.491677319023925,0.0,2.8,-209.5344088673446,-394.52844183834014,-0.0,-0.0,169.11735294639982,0.0,1.0,0.022110777284409747,0.0,0,0.3087659304379578,65.99961422222222,15.876680024595817,0.2340691536245129,7.49850267889372,0.0026633745894331065,31.538953572391424,1.2368870828376475
2025-01-01 00:08:00,0.10961826906675862,0.06964853938479675,0.0,0.0018269711511126436,0.0011608089897466125,0.0,0.012794936844365517,0.0,0.09682333222239309,0.0,0.0,0.0,0.06964853938479675,0.0,1,0,0,Off,0,0,Off,0,0,Off,0,0,Off,0.003412116228070175,0.0,On,0.009382820616295341,0,On,0.0039586130426640725,0,On,0.09286471917972902,0.06964853938479675,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,2999.8758933333334,Off,0.0,0.0,40.24010008110078,51.666666666666686,46.10666666666668,0.0,51.01212990742143,0.0,0.0,0.0,40.24010008110078,51.05957347270989,51.08329525535413,51.01212990742143,12.43753247303448,16.47197962064895,0.0,2.8,-207.94205400916144,-393.73313509764563,-0.0,-0.0,169.11735294639982,0.0,1.0,0.02209799701824278,0.0,0,0.30858746042202256,65.99961422222222,16.67372814208438,0.2343769769384354,7.489651886642027,0.0026635358118849784,31.540135846498494,1.236971085309654
2025-01-01 00:09:00,0.10961826906675862,0.06964853938479675,0.0,0.0018269711511126436,0.0011608089897466125,0.0,0.012794936844365517,0.0,0.09682333222239309,0.0,0.0,0.0,0.06964853938479675,0.0,1,0,0,Off,0,0,Off,0,0,Off,0,0,Off,0.003412116228070175,0.0,On,0.009382820616295341,0,On,0.0039586130426640725,0,On,0.09286471917972902,0.06964853938479675,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,2999.8758933333334,Off,0.0,0.0,40.25579157551515,51.666666666666686,46.10666666666668,0.0,51.00615955877918,0.0,0.0,0.0,40.25579157551515,51.053926111791085,51.07780938829704,51.00615955877918,12.43753247303448,16.45283594847401,0.0,2.8,-206.4998856113732,-392.9607943825756,-0.0,-0.0,169.11735294639982,0.0,1.0,0.02208557442538215,0.0,0,0.3084139851346671,65.99961422222222,17.34355582480262,0.2346769700951333,7.480485049157481,0.002663697029431464,31.540981140540648,1.2370527326578313
