Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.2886072167368494,0.1886118879068932,0.7068666666666668,0.00481012027894749,0.003143531465114887,0.011781111111111112,0.021275675516973333,0.0,0.2573315412198761,0.0,0.010000000000000002,0.7068666666666668,0.0,0.0,0.18569522124022653,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0005844218456933337,0.0,On,0.016670219314554854,0,On,0.009737912899573984,0,On,0.18680252043414186,0.14010189032560635,On,On,12429.731964444445,20.0555555555556,0.6,0.0,20.716219940740743,0.0,1,12429.731964444445,12429.731964444445,Off,0.0,21.0555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1299.7703777777779,Off,0.0,0.0,33.00364476464221,51.666666666666686,46.10666666666668,0.0,50.652559438774645,0.0,0.0,0.0,33.00364476464221,48.278943870133425,50.652559438774645,47.09213608581282,12.43753247303448,20.000879298953834,0.0,-0.6856527574315567,2.8,9.236100170605994,9287.728948264401,4164.136008855353,-3432.3295805242096,-0.0,-0.0,397.53026875090393,0.0,2.0,0.15311603801365262,0.0,0.0,1.4330146251325764,131.99922844444444,-107.20370440673832,0.1895936037330216,9.169197125060073,0.0026971303615041433,-59.9066235888366,1.2184964729286778,0.9061390909439998,4116.201613184936,47.934395670417075
2025-01-01 00:01:00,0.2886072167368494,0.1886118879068932,0.7068666666666668,0.00481012027894749,0.003143531465114887,0.011781111111111112,0.021275675516973333,0.0,0.2573315412198761,0.0,0.010000000000000002,0.7068666666666668,0.0,0.0,0.18569522124022653,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0005844218456933337,0.0,On,0.016670219314554854,0,On,0.009737912899573984,0,On,0.18680252043414186,0.14010189032560635,On,On,12429.731964444445,20.0555555555556,0.6,0.0,20.716219940740743,0.0,1,12429.731964444445,12429.731964444445,Off,0.0,21.0555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1299.7703777777779,Off,0.0,0.0,32.878617705795165,51.666666666666686,46.10666666666668,0.0,50.64920294702992,0.0,0.0,0.0,32.878617705795165,48.27616479910856,50.64920294702992,47.089645725147875,12.43753247303448,20.10553565007006,0.0,-0.32861129102941133,2.8,9.236100170605994,9249.770635568548,3741.326449251411,-3462.348334544561,-0.0,-0.0,397.53026875090393,0.0,2.0,0.15352109532308253,0.0,0.0,1.4368055607913095,131.99922844444444,-115.14326308224031,0.18890469327552953,9.24080450657257,0.0026969220259277405,-60.24484637631773,1.22161988810459,0.9061390909439998,3694.571932246391,46.75451700501961
2025-01-01 00:02:00,0.2886072167368494,0.1886118879068932,0.7068666666666668,0.00481012027894749,0.003143531465114887,0.011781111111111112,0.021275675516973333,0.0,0.2573315412198761,0.0,0.010000000000000002,0.7068666666666668,0.0,0.0,0.18569522124022653,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0005844218456933337,0.0,On,0.016670219314554854,0,On,0.009737912899573984,0,On,0.18680252043414186,0.14010189032560635,On,On,12429.731964444445,20.0555555555556,0.6,0.0,20.716219940740743,0.0,1,12429.731964444445,12429.731964444445,Off,0.0,21.0555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1299.7703777777779,Off,0.0,0.0,32.756814995667234,51.666666666666686,46.10666666666668,0.0,50.645857849994734,0.0,0.0,0.0,32.756814995667234,48.27339625598383,50.645857849994734,47.08716545897838,12.43753247303448,20.20743133790712,0.0,-0.0026106803870422635,2.8,9.236100170605994,9212.755457439373,3355.380200793556,-3491.6741375907336,-0.0,-0.0,397.53026875090393,0.0,2.0,0.1539151476979943,0.0,0.0,1.4404935011510676,131.99922844444444,-122.83263816524321,0.18770305859333494,9.287194419602514,0.0026967130497993954,-60.5702821930764,1.2211957208720234,0.9061390909439998,3309.5983468643017,45.78185392925451
2025-01-01 00:03:00,0.2886072167368494,0.1886118879068932,0.0,0.00481012027894749,0.003143531465114887,0.0,0.021275675516973333,0.0,0.2573315412198761,0.0,0.010000000000000002,0.0,0.0,0.0,0.18569522124022653,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0005844218456933337,0.0,On,0.016670219314554854,0,On,0.009737912899573984,0,On,0.18680252043414186,0.14010189032560635,On,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,12429.731964444445,Off,0.0,21.0555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1299.7703777777779,Off,0.0,0.0,32.63811248417785,51.666666666666686,46.10666666666668,0.0,50.642523856009646,0.0,0.0,0.0,32.63811248417785,48.27063796925306,50.642523856009646,47.084695025874765,12.43753247303448,20.30667279293399,0.0,0.29509320117207305,2.8,9.236100170605994,-3253.1394737012383,3002.9326068159467,-3520.329709852899,-0.0,-0.0,397.53026875090393,0.0,2.0,0.15429863151285236,0.0,0.0,1.444082530245095,131.99922844444444,-130.3400325992434,0.18654050288467008,9.33279624620677,0.0026965028718283716,-60.88314828271513,1.220782890622939,0.9061390909439998,2958.0403223558574,44.892284460089144
2025-01-01 00:04:00,0.2886072167368494,0.1886118879068932,0.0,0.00481012027894749,0.003143531465114887,0.0,0.021275675516973333,0.0,0.2573315412198761,0.0,0.010000000000000002,0.0,0.0,0.0,0.18569522124022653,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0005844218456933337,0.0,On,0.016670219314554854,0,On,0.009737912899573984,0,On,0.18680252043414186,0.14010189032560635,On,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,12429.731964444445,Off,0.0,21.0555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1299.7703777777779,Off,0.0,0.0,32.785631683864224,51.666666666666686,46.10666666666668,0.0,50.63920068464316,0.0,0.0,0.0,32.785631683864224,48.26788967786409,50.63920068464316,47.08223417447456,12.43753247303448,20.17711533510878,0.0,0.5669948977193655,2.8,9.236100170605994,-3211.0548648474773,2681.038171697077,-3482.938937031848,-0.0,-0.0,397.53026875090393,0.0,2.0,0.15379794228256088,0.0,0.0,1.439396574423863,131.99922844444444,-125.64619656653288,0.18802608622018388,9.272756495013349,0.0026962915367740215,-60.237060766845765,1.2213222448753087,0.9061390909439998,2636.9520557264577,44.08611597061907
2025-01-01 00:05:00,0.2886072167368494,0.1886118879068932,0.0,0.00481012027894749,0.003143531465114887,0.0,0.021275675516973333,0.0,0.2573315412198761,0.0,0.010000000000000002,0.0,0.0,0.0,0.18569522124022653,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0005844218456933337,0.0,On,0.016670219314554854,0,On,0.009737912899573984,0,On,0.18680252043414186,0.14010189032560635,On,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,12429.731964444445,Off,0.0,21.0555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1299.7703777777779,Off,0.0,0.0,32.928928005824886,51.666666666666686,46.10666666666668,0.0,50.63586426583162,0.0,0.0,0.0,32.928928005824886,48.26512896462485,50.63586426583162,47.079761314021475,12.43753247303448,20.05117485169917,0.0,0.8153681997526326,2.8,9.236100170605994,-3169.7563027231445,2387.0033289728167,-3446.743080806002,-0.0,-0.0,397.53026875090393,0.0,2.0,0.15331074125943112,0.0,0.0,1.4348368548766381,131.99922844444444,-120.54349066804676,0.1894827399276302,9.215306094280148,0.002696082536730146,-59.607387489615014,1.2218470009859537,0.9061390909439998,2343.6484315138337,43.35489745898286
2025-01-01 00:06:00,0.2886072167368494,0.1886118879068932,0.0,0.00481012027894749,0.003143531465114887,0.0,0.021275675516973333,0.0,0.2573315412198761,0.0,0.010000000000000002,0.0,0.0,0.0,0.18569522124022653,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0005844218456933337,0.0,On,0.016670219314554854,0,On,0.009737912899573984,0,On,0.18680252043414186,0.14010189032560635,On,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,12429.731964444445,Off,0.0,21.0555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1299.7703777777779,Off,0.0,0.0,33.06820921426752,51.666666666666686,46.10666666666668,0.0,50.63251498150814,0.0,0.0,0.0,33.06820921426752,48.26235618512266,50.63251498150814,47.07727678692993,12.43753247303448,19.92867313261019,0.0,1.0422852479627263,2.8,9.236100170605994,-3129.2521086276793,2118.374039410582,-3411.678649200393,-0.0,-0.0,397.53026875090393,0.0,2.0,0.15283638043646952,0.0,0.0,1.4303973068990887,131.99922844444444,-115.10372817819007,0.1909115925096288,9.158167941111305,0.002695875810239325,-58.99335969119233,1.222357864021852,0.9061390909439998,2075.682462181361,42.691577229220805
2025-01-01 00:07:00,0.2886072167368494,0.1886118879068932,0.0,0.00481012027894749,0.003143531465114887,0.0,0.021275675516973333,0.0,0.2573315412198761,0.0,0.010000000000000002,0.0,0.0,0.0,0.18569522124022653,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0005844218456933337,0.0,On,0.016670219314554854,0,On,0.009737912899573984,0,On,0.18680252043414186,0.14010189032560635,On,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,12429.731964444445,Off,0.0,21.0555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1299.7703777777779,Off,0.0,0.0,33.20365675137143,51.666666666666686,46.10666666666668,0.0,50.629153194817064,0.0,0.0,0.0,33.20365675137143,48.25957167745004,50.629153194817064,47.07478091876653,12.43753247303448,19.809454573149015,0.0,1.249634490634376,2.8,9.236100170605994,-3090.003834497916,1872.9137708679893,-3377.6897090183056,-0.0,-0.0,397.53026875090393,0.0,2.0,0.15237429562695567,0.0,0.0,1.4260726502617096,131.99922844444444,-109.84439423051478,0.1923135849539623,9.103446127577868,0.0026956712987877625,-58.39430332500803,1.2228554481246903,0.9061390909439998,1830.8240822529417,42.08968861504755
2025-01-01 00:08:00,0.2886072167368494,0.1886118879068932,0.0,0.00481012027894749,0.003143531465114887,0.0,0.021275675516973333,0.0,0.2573315412198761,0.0,0.010000000000000002,0.0,0.0,0.0,0.18569522124022653,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0005844218456933337,0.0,On,0.016670219314554854,0,On,0.009737912899573984,0,On,0.18680252043414186,0.14010189032560635,On,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,12429.731964444445,Off,0.0,21.0555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1299.7703777777779,Off,0.0,0.0,33.33544238168227,51.666666666666686,46.10666666666668,0.0,50.62577925249406,0.0,0.0,0.0,33.33544238168227,48.25677576442118,50.62577925249406,47.07227402038473,12.43753247303448,19.69337187098206,0.0,1.4391370112847326,2.8,9.236100170605994,-3052.045928248809,1648.5842207207231,-3344.7236575117126,-0.0,-0.0,397.53026875090393,0.0,2.0,0.1519239515339347,0.0,0.0,1.4218578751146176,131.99922844444444,-104.85253948800045,0.19368962962437178,9.049618884676786,0.002695468946447874,-57.80957915826907,1.2233403357309516,0.9061390909439998,1607.0408670314735,41.54335368924941
2025-01-01 00:09:00,0.2886072167368494,0.1886118879068932,0.0,0.00481012027894749,0.003143531465114887,0.0,0.021275675516973333,0.0,0.2573315412198761,0.0,0.010000000000000002,0.0,0.0,0.0,0.18569522124022653,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0005844218456933337,0.0,On,0.016670219314554854,0,On,0.009737912899573984,0,On,0.18680252043414186,0.14010189032560635,On,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,12429.731964444445,Off,0.0,21.0555555555556,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1299.7703777777779,Off,0.0,0.0,33.46372370141525,51.666666666666686,46.10666666666668,0.0,50.62239348574129,0.0,0.0,0.0,33.46372370141525,48.25396875438683,50.62239348574129,47.06975638870961,12.43753247303448,19.580289886344136,0.0,1.6123614104750985,2.8,9.236100170605994,-3015.324199945389,1443.5276889458564,-3312.732225960316,-0.0,-0.0,397.53026875090393,0.0,2.0,0.1514848570436882,0.0,0.0,1.4177483851193091,131.99922844444444,-100.12224273597677,0.1950405577054999,8.997340591112774,0.0026952686997402096,-57.23859905244897,1.2238130611691982,0.9061390909439998,1402.4804586918383,41.04723025401817
