Metric,Value
Total Electric Energy (kWh),632.4570277688861
Total Gas Energy (therms),0.0
Average Electric Power (kW),0.8784125385678974
Peak Electric Power (kW),11.09519047471672
Other Electric Energy (kWh),246.19641260279306
HVAC Heating Electric Energy (kWh),0.0
Lighting Electric Energy (kWh),125.43090174623657
Water Heating Electric Energy (kWh),186.81889291748155
HVAC Cooling Electric Energy (kWh),74.01082050237501
Average Temperature - Indoor (C),21.39206691763238
Unmet Heating Load (C-hours),-0.0
Unmet Cooling Load (C-hours),28.610598562227484
Total Hot Water Unmet Demand (kWh),0.0
