Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Gas Lighting Gas Power (therms/hour),Gas Lighting Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.8887441781809766,0.1877505294008999,0.49258715497853195,0.014812402969682944,0.0031291754900149983,0.008209785916308866,0.02641264715816596,0.23976069768947728,0.5725708333333334,0.05,0.0,0.0018121549785319972,0.49077499999999996,0.0,0.17316719606756656,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004263514254385964,0.0,On,0.011074566451889999,0,On,0.011074566451889999,0.0,On,0.008871102932721798,0,On,0.17009848687059523,0.1275738651529464,On,0.0018121549785319972,On,On,10264.910577455317,21.111111111111143,0.8000000000000002,1814.2182203224597,14.383197455555553,0.5725708333333334,1,11506.557964444444,11506.557964444444,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,5543.733137777778,Off,0.0,0,76.06626260807211,51.666666666666686,46.10666666666668,0.0,48.893761190258886,0.0,0.0,0.0,118.85353532511266,48.929772889284294,48.947778738797,48.893761190258886,12.43753247303448,20.57913134327461,-0.03197976783653189,-2.609112872978155,-2.065645251698001,2.8,9.236100170605994,5163.719039684525,3946.1725568310867,445.73425384864584,-3392.481001428336,-0.0,-0.0,386.265679211146,0.0,2.0,0.1464162346389035,0.0,0,3.7895573908789384,131.99922844444444,-41.99410006253972,0.18224025520338977,9.421709730238721,0.0026868088603668712,-48.177027252730525,1.216105247314092,0,0,78.97222101756276,0.08385374726526773,531.7170284119126,-85.98277456326673
2025-01-01 00:01:00,0.8887441781809766,0.1877505294008999,0.49258715497853195,0.014812402969682944,0.0031291754900149983,0.008209785916308866,0.02641264715816596,0.23976069768947728,0.5725708333333334,0.05,0.0,0.0018121549785319972,0.49077499999999996,0.0,0.17316719606756656,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004263514254385964,0.0,On,0.011074566451889999,0,On,0.011074566451889999,0.0,On,0.008871102932721798,0,On,0.17009848687059523,0.1275738651529464,On,0.0018121549785319972,On,On,10264.910577455317,21.111111111111143,0.8000000000000002,1814.2182203224597,14.383197455555553,0.5725708333333334,1,11506.557964444444,11506.557964444444,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,5543.733137777778,Off,0.0,0,75.55653474238422,51.666666666666686,46.10666666666668,0.0,48.87702591502298,0.0,0.0,0.0,118.05708553497533,48.91397069123612,48.9324430793427,48.87702591502298,12.43753247303448,20.753274202315712,0.0,-2.2869398950005757,-1.9738208269308342,2.8,9.236100170605994,5109.507882165616,3942.48076757401,433.54945718689794,-3439.553792153888,-0.0,-0.0,386.265679211146,0.0,2.0,0.14700793935111114,0.0,0,3.8048719423758706,131.99922844444444,-49.13246685589657,0.1807904968788677,9.524443432241643,0.0026863446113177362,-48.58325223216973,1.2189353212070293,0,0,75.28043176048614,0.08366001556267802,520.4771978751886,-86.92774068829068
2025-01-01 00:02:00,0.8887441781809766,0.1877505294008999,0.49258715497853195,0.014812402969682944,0.0031291754900149983,0.008209785916308866,0.02641264715816596,0.23976069768947728,0.5725708333333334,0.05,0.0,0.0018121549785319972,0.49077499999999996,0.0,0.17316719606756656,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004263514254385964,0.0,On,0.011074566451889999,0,On,0.011074566451889999,0.0,On,0.008871102932721798,0,On,0.17009848687059523,0.1275738651529464,On,0.0018121549785319972,On,On,10264.910577455317,21.111111111111143,0.8000000000000002,1814.2182203224597,14.383197455555553,0.5725708333333334,1,11506.557964444444,11506.557964444444,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,5543.733137777778,Off,0.0,0,75.06559545673818,51.666666666666686,46.10666666666668,0.0,48.860403523102086,0.0,0.0,0.0,117.28999290115341,48.898274385345765,48.91720981646761,48.860403523102086,12.43753247303448,20.920520746004247,0.0,-1.9708730240823658,-1.8865302300075428,2.8,9.236100170605994,5057.144979362142,3939.2007560990605,422.5596735147324,-3485.0006296548845,-0.0,-0.0,386.265679211146,0.0,2.0,0.14757559222773514,0.0,0,3.819563982226297,131.99922844444444,-56.048532158373696,0.17890813618806933,9.600069983705097,0.0026858775347193124,-48.9611435365117,1.2182424203515123,0,0,72.0004202855368,0.08347543249203175,509.83277678069317,-87.27310326596074
2025-01-01 00:03:00,0.8887441781809766,0.1877505294008999,0.49258715497853195,0.014812402969682944,0.0031291754900149983,0.008209785916308866,0.02641264715816596,0.23976069768947728,0.5725708333333334,0.05,0.0,0.0018121549785319972,0.49077499999999996,0.0,0.17316719606756656,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004263514254385964,0.0,On,0.011074566451889999,0,On,0.011074566451889999,0.0,On,0.008871102932721798,0,On,0.17009848687059523,0.1275738651529464,On,0.0018121549785319972,On,On,10264.910577455317,21.111111111111143,0.8000000000000002,1814.2182203224597,14.383197455555553,0.5725708333333334,1,11506.557964444444,11506.557964444444,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,5543.733137777778,Off,0.0,0,74.59256521982307,51.666666666666686,46.10666666666668,0.0,48.843889870846425,0.0,0.0,0.0,116.55088315597355,48.88268006842602,48.90207516721582,48.843889870846425,12.43753247303448,21.08119486121488,0.0,-1.6605751524009937,-1.8031527014745607,2.8,9.236100170605994,5006.500408156105,3935.9979096858897,412.188712258319,-3528.8808682528434,-0.0,-0.0,386.265679211146,0.0,2.0,0.14812036290816732,0.0,0,3.833663783136062,131.99922844444444,-62.812864766452776,0.17711895373479913,9.671926743877757,0.0026854065573696352,-49.311514313662045,1.217577507253599,0,0,68.79757387236558,0.08329874199553783,499.7024475272977,-87.51373526897865
2025-01-01 00:04:00,0.8887441781809766,0.1877505294008999,0.49258715497853195,0.014812402969682944,0.0031291754900149983,0.008209785916308866,0.02641264715816596,0.23976069768947728,0.5725708333333334,0.05,0.0,0.0018121549785319972,0.49077499999999996,0.0,0.17316719606756656,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004263514254385964,0.0,On,0.011074566451889999,0,On,0.011074566451889999,0.0,On,0.008871102932721798,0,On,0.17009848687059523,0.1275738651529464,On,0.0018121549785319972,On,On,10264.910577455317,21.111111111111143,0.8000000000000002,1814.2182203224597,14.383197455555553,0.5725708333333334,1,11506.557964444444,11506.557964444444,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,5543.733137777778,Off,0.0,0,74.13661991973967,51.666666666666686,46.10666666666668,0.0,48.82748100852421,0.0,0.0,0.0,115.83846862459323,48.86718402000574,48.887035525746505,48.82748100852421,12.43753247303448,21.23559996334898,0.0,-1.35578362038591,-1.7232300184968867,2.8,9.236100170605994,4959.402367478202,3932.9115147330185,402.4872065571974,-3571.2511895197754,-0.0,-0.0,386.265679211146,0.0,2.0,0.14864334516034813,0.0,0,3.8471996540996747,131.99922844444444,-67.540584177424,0.17541702297343756,9.740955905593452,0.0026849319506205885,-49.635720741231225,1.2169392370846148,0,0,65.71117891949444,0.08312902034226928,490.0258466938767,-87.53864013667928
2025-01-01 00:05:00,0.31617334484764326,0.1877505294008999,0.0018121549785319972,0.0052695557474607205,0.0031291754900149983,3.020258297553329e-05,0.02641264715816596,0.23976069768947728,0.0,0.05,0.0,0.0018121549785319972,0.0,0.0,0.17316719606756656,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004263514254385964,0.0,On,0.011074566451889999,0,On,0.011074566451889999,0.0,On,0.008871102932721798,0,On,0.17009848687059523,0.1275738651529464,On,0.0018121549785319972,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11506.557964444444,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,5543.733137777778,Off,0.0,0,73.69672489790135,51.666666666666686,46.10666666666668,0.0,48.81117316810537,0.0,0.0,0.0,115.15113265297084,48.851782690816876,48.87208745217263,48.81117316810537,12.43753247303448,21.384118109078315,0.0,-1.0562749047842934,-1.6463456663155676,2.8,9.236100170605994,-3296.44345779024,62.74221654683639,393.3506657547101,-3612.192667499823,-0.0,-0.0,386.265679211146,0.0,2.0,0.14914589268777523,0.0,0,3.860206631785763,131.99922844444444,-70.51646950156214,0.17379587084180112,9.807389470665466,0.0026844539729314583,-49.93538148083421,1.216325949230998,0,0,62.74221654683639,0.08296542315650021,480.74857651523837,-87.39791076052828
2025-01-01 00:06:00,0.31617334484764326,0.1877505294008999,0.0018121549785319972,0.0052695557474607205,0.0031291754900149983,3.020258297553329e-05,0.02641264715816596,0.23976069768947728,0.0,0.05,0.0,0.0018121549785319972,0.0,0.0,0.17316719606756656,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004263514254385964,0.0,On,0.011074566451889999,0,On,0.011074566451889999,0.0,On,0.008871102932721798,0,On,0.17009848687059523,0.1275738651529464,On,0.0018121549785319972,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11506.557964444444,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,5543.733137777778,Off,0.0,0,74.3796928504947,51.666666666666686,46.10666666666668,0.0,48.794962809639784,0.0,0.0,0.0,116.21827007889797,48.83647274653397,48.85722771498107,48.794962809639784,12.43753247303448,21.114241864575387,0.0,-0.9567181961766568,-1.5721454264583932,2.8,9.236100170605994,-3216.7571480739543,62.143914977553905,384.70463007404067,-3537.9326481573103,-0.0,-0.0,386.265679211146,0.0,2.0,0.1482323397444992,0.0,0,3.8365619771018826,131.99922844444444,-65.09017912779005,0.17666583656246618,9.685459563374813,0.0026839728671380052,-48.753345552081626,1.2174418222152286,0,0,62.143914977553905,0.08280723083782282,471.82452631707577,-87.11989624303507
2025-01-01 00:07:00,0.31617334484764326,0.1877505294008999,0.0018121549785319972,0.0052695557474607205,0.0031291754900149983,3.020258297553329e-05,0.02641264715816596,0.23976069768947728,0.0,0.05,0.0,0.0018121549785319972,0.0,0.0,0.17316719606756656,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004263514254385964,0.0,On,0.011074566451889999,0,On,0.011074566451889999,0.0,On,0.008871102932721798,0,On,0.17009848687059523,0.1275738651529464,On,0.0018121549785319972,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11506.557964444444,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,5543.733137777778,Off,0.0,0,75.03434180124904,51.666666666666686,46.10666666666668,0.0,48.778602554855276,0.0,0.0,0.0,117.24115906445162,48.82102092075884,48.84223010371063,48.778602554855276,12.43753247303448,20.85477786030315,0.0,-0.8583696459485712,-1.500326189387167,2.8,9.236100170605994,-3141.4107158928728,61.41152368677717,376.48464485013585,-3467.108139558917,-0.0,-0.0,386.265679211146,0.0,2.0,0.14735252636993446,0.0,0,3.813790572794166,131.99922844444444,-60.56825554510118,0.17947512370492769,9.567163449329351,0.0026835035802790243,-47.61481951798582,1.218516579623045,0,0,61.41152368677717,0.08265382638517092,463.214360234316,-86.72971538418014
2025-01-01 00:08:00,0.31617334484764326,0.1877505294008999,0.0018121549785319972,0.0052695557474607205,0.0031291754900149983,3.020258297553329e-05,0.02641264715816596,0.23976069768947728,0.0,0.05,0.0,0.0018121549785319972,0.0,0.0,0.17316719606756656,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004263514254385964,0.0,On,0.011074566451889999,0,On,0.011074566451889999,0.0,On,0.008871102932721798,0,On,0.17009848687059523,0.1275738651529464,On,0.0018121549785319972,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11506.557964444444,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,5543.733137777778,Off,0.0,0,75.66222557973578,51.666666666666686,46.10666666666668,0.0,48.76209864766284,0.0,0.0,0.0,118.22222746833714,48.80543309655264,48.827100320997545,48.76209864766284,12.43753247303448,20.60515288496977,-0.005958226141373757,-0.7612827484865129,-1.4306291288363493,2.8,9.236100170605994,-3069.5332144685294,60.742187406678084,368.63554602281584,-3399.498818933207,-0.0,-0.0,386.265679211146,0.0,2.0,0.14650469261906696,0.0,0,3.7918468678166386,131.99922844444444,-56.30007474646803,0.18222508581512895,9.453758463762057,0.0026830456568264108,-46.517508507155256,1.2195523782932791,0,0,60.742187406678084,0.08250468214600376,454.8845670535049,-86.2490210306891
2025-01-01 00:09:00,0.31617334484764326,0.1877505294008999,0.0018121549785319972,0.0052695557474607205,0.0031291754900149983,3.020258297553329e-05,0.02641264715816596,0.23976069768947728,0.0,0.05,0.0,0.0018121549785319972,0.0,0.0,0.17316719606756656,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004263514254385964,0.0,On,0.011074566451889999,0,On,0.011074566451889999,0.0,On,0.008871102932721798,0,On,0.17009848687059523,0.1275738651529464,On,0.0018121549785319972,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11506.557964444444,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,5543.733137777778,Off,0.0,0,76.2647147222819,51.666666666666686,46.10666666666668,0.0,48.74545698942721,0.0,0.0,0.0,119.16361675356545,48.789714834180046,48.81184375655647,48.74545698942721,12.43753247303448,20.36486171643988,-0.2462493946712634,-0.6654783882264728,-1.362833629226039,2.8,9.236100170605994,-3000.9679290987706,60.10537751263976,361.1102433096604,-3334.9094792291035,-0.0,-0.0,386.265679211146,0.0,2.0,0.14568728944819967,0.0,0,3.7706907696890815,131.99922844444444,-52.3241290808128,0.18491676215418015,9.343516933583825,0.0026825986664478657,-45.45937093331416,1.2205511158898057,0,0,60.10537751263976,0.08235934791174228,446.8066267197205,-85.69638341006012
