Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.4170096485057053,0.13632262790079655,0.39869822624749574,0.006950160808428422,0.002272043798346609,0.006644970437458262,0.07129724416277572,0.0,0.18705855818908348,0.15865384615384615,0.39869822624749574,0.0,0.0,0.13632262790079655,0,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.027121593572615933,0,On,0.027121593572615933,0.0,On,0.005295054321354705,0,On,0.14212110971907307,0.10659083228930477,On,0,0,Off,On,9752.336668376069,20.000000000000057,0.8210470437277402,0.0,11.684693216438273,0.15865384615384615,1,9593.682822222223,9593.682822222223,Off,0.0,0.0,36.445970262692256,51.666666666666686,46.10666666666668,0.0,51.05507907717538,0.0,0.0,0.0,36.445970262692256,51.109339929882175,51.13647035623558,51.05507907717538,12.43753247303448,19.78258295832546,0.0,-2.7057217691327984,-3.1454019650716782,2.8,9.236100170605994,6077.67040409651,2029.9415065116057,590.0863166436942,-1987.7535075581545,-0.0,-0.0,314.4069388937463,0.0,1.0,0.08981339882836789,0.0,0,2.3245579984309055,65.99961422222222,-50.85236193993778,0.19291579007156595,9.080731866558523,0.002707545365668551,-46.29949146777284,1.2193968431730435,0,0,79.47417283639167,0.0860991299263617,667.1102859992742,-77.02396935557996
2025-01-01 00:01:00,0.4170096485057053,0.13632262790079655,0.39869822624749574,0.006950160808428422,0.002272043798346609,0.006644970437458262,0.07129724416277572,0.0,0.18705855818908348,0.15865384615384615,0.39869822624749574,0.0,0.0,0.13632262790079655,0,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.027121593572615933,0,On,0.027121593572615933,0.0,On,0.005295054321354705,0,On,0.14212110971907307,0.10659083228930477,On,0,0,Off,On,9752.336668376069,20.000000000000057,0.8210470437277402,0.0,11.684693216438273,0.15865384615384615,1,9593.682822222223,9593.682822222223,Off,0.0,0.0,36.197792962524524,51.666666666666686,46.10666666666668,0.0,51.04967417933251,0.0,0.0,0.0,36.197792962524524,51.10422504329653,51.13150047527855,51.04967417933251,12.43753247303448,19.990766826276683,0.0,-2.479643184367519,-3.0378707640225233,2.8,9.236100170605994,6035.842563177764,2027.346582691677,573.9815879561621,-2022.0738281980068,-0.0,-0.0,314.4069388937463,0.0,1.0,0.09025766761909493,0.0,0,2.336056600915723,65.99961422222222,-58.359882218831444,0.19096686256281917,9.199752224093729,0.002707100413485997,-46.66901515081517,1.2220906617284408,0,0,76.87924901646308,0.0858781481814215,653.3633953696575,-79.38180741349542
2025-01-01 00:02:00,0.4170096485057053,0.13632262790079655,0.39869822624749574,0.006950160808428422,0.002272043798346609,0.006644970437458262,0.07129724416277572,0.0,0.18705855818908348,0.15865384615384615,0.39869822624749574,0.0,0.0,0.13632262790079655,0,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.027121593572615933,0,On,0.027121593572615933,0.0,On,0.005295054321354705,0,On,0.14212110971907307,0.10659083228930477,On,0,0,Off,On,9752.336668376069,20.000000000000057,0.8210470437277402,0.0,11.684693216438273,0.15865384615384615,1,9593.682822222223,9593.682822222223,Off,0.0,0.0,35.95770740704726,51.666666666666686,46.10666666666668,0.0,51.04430623327553,0.0,0.0,0.0,35.95770740704726,51.09914498631577,51.12656436283589,51.04430623327553,12.43753247303448,20.192030766829433,0.0,-2.257757428515267,-2.9354741335198877,2.8,9.236100170605994,5995.136647646693,2025.013972537248,559.3019243867263,-2055.4702394389756,-0.0,-0.0,314.4069388937463,0.0,1.0,0.09068662640629417,0.0,0,2.347158948592006,65.99961422222222,-65.66938650893383,0.18857144774781598,9.291883906466712,0.002706652898691469,-47.01945262414068,1.221252506983872,0,0,74.54663886203421,0.0856671883729038,640.3265225583116,-81.02459817158528
2025-01-01 00:03:00,0.2583558023518592,0.13632262790079655,0.0,0.004305930039197653,0.002272043798346609,0.0,0.07129724416277572,0.0,0.18705855818908348,0.0,0.0,0.0,0.0,0.13632262790079655,0,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.027121593572615933,0,On,0.027121593572615933,0.0,On,0.005295054321354705,0,On,0.14212110971907307,0.10659083228930477,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,9593.682822222223,Off,0.0,0.0,35.72536937046777,51.666666666666686,46.10666666666668,0.0,51.03897403584143,0.0,0.0,0.0,35.72536937046777,51.0940986233313,51.12166091707624,51.03897403584143,12.43753247303448,20.386669502931262,0.0,-2.0397761356283493,-2.8375630435097263,2.8,9.236100170605994,-1846.3797832055682,72.25846514707786,545.670563694034,-2087.969611353278,-0.0,-0.0,314.4069388937463,0.0,1.0,0.09110095286374999,0.0,0,2.357882581070062,65.99961422222222,-72.8171107460363,0.186285630531865,9.38011685037312,0.002706201714070882,-47.35129359673526,1.2204430493998437,0,0,72.25846514707786,0.08546498276395201,627.9098166715544,-82.23925297752044
2025-01-01 00:04:00,0.2583558023518592,0.13632262790079655,0.0,0.004305930039197653,0.002272043798346609,0.0,0.07129724416277572,0.0,0.18705855818908348,0.0,0.0,0.0,0.0,0.13632262790079655,0,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.027121593572615933,0,On,0.027121593572615933,0.0,On,0.005295054321354705,0,On,0.14212110971907307,0.10659083228930477,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,9593.682822222223,Off,0.0,0.0,35.95681431625371,51.666666666666686,46.10666666666668,0.0,51.033676435045145,0.0,0.0,0.0,35.95681431625371,51.08908486704376,51.116789083043074,51.033676435045145,12.43753247303448,20.182721429824376,0.0,-1.923782221893977,-2.743613982665593,2.8,9.236100170605994,-1810.1201908994165,71.18253862321907,532.9534741339927,-2053.920814132287,-0.0,-0.0,314.4069388937463,0.0,1.0,0.09066679702453807,0.0,0,2.3466457228532365,65.99961422222222,-70.60631566087568,0.1886171899367198,9.286481537502915,0.0027057470438437785,-46.73622068881947,1.2212919329543122,0,0,71.18253862321907,0.0852705087370829,616.040816067989,-83.08734193399631
2025-01-01 00:05:00,0.2583558023518592,0.13632262790079655,0.0,0.004305930039197653,0.002272043798346609,0.0,0.07129724416277572,0.0,0.18705855818908348,0.0,0.0,0.0,0.0,0.13632262790079655,0,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.027121593572615933,0,On,0.027121593572615933,0.0,On,0.005295054321354705,0,On,0.14212110971907307,0.10659083228930477,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,9593.682822222223,Off,0.0,0.0,36.18034894459843,51.666666666666686,46.10666666666668,0.0,51.02834449764443,0.0,0.0,0.0,36.18034894459843,51.0840386293971,51.11188569527344,51.02834449764443,12.43753247303448,19.98553970427336,0.0,-1.809471885116076,-2.65317667939115,2.8,9.236100170605994,-1774.440044558472,70.06615743891965,521.03329073885,-2021.2093123506506,-0.0,-0.0,314.4069388937463,0.0,1.0,0.09024651979552362,0.0,0,2.335768072001487,65.99961422222222,-67.63767110156793,0.19090211504622143,9.195518430419948,0.002705298591509717,-46.13961930117593,1.2221137828792827,0,0,70.06615743891965,0.08508288413287302,604.6574718042092,-83.62418106535917
2025-01-01 00:06:00,0.2583558023518592,0.13632262790079655,0.0,0.004305930039197653,0.002272043798346609,0.0,0.07129724416277572,0.0,0.18705855818908348,0.0,0.0,0.0,0.0,0.13632262790079655,0,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.027121593572615933,0,On,0.027121593572615933,0.0,On,0.005295054321354705,0,On,0.14212110971907307,0.10659083228930477,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,9593.682822222223,Off,0.0,0.0,36.39629370056381,51.666666666666686,46.10666666666668,0.0,51.022979399776816,0.0,0.0,0.0,36.39629370056381,51.07896102053811,51.10695183091876,51.022979399776816,12.43753247303448,19.794850017301165,0.0,-1.6968274482297074,-2.565864430645789,2.8,9.236100170605994,-1739.6790021705756,69.01169594785463,509.80792142370933,-1989.7694681293515,-0.0,-0.0,314.4069388937463,0.0,1.0,0.08983959272653716,0.0,0,2.3252359511227505,65.99961422222222,-64.31647293497038,0.19314092709674147,9.107109924011766,0.002704856161526093,-45.56076241888822,1.2229096328939155,0,0,69.01169594785463,0.08490134949417798,593.7066880308146,-83.89876660710527
2025-01-01 00:07:00,0.2583558023518592,0.13632262790079655,0.0,0.004305930039197653,0.002272043798346609,0.0,0.07129724416277572,0.0,0.18705855818908348,0.0,0.0,0.0,0.0,0.13632262790079655,0,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.027121593572615933,0,On,0.027121593572615933,0.0,On,0.005295054321354705,0,On,0.14212110971907307,0.10659083228930477,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,9593.682822222223,Off,0.0,0.0,36.60497184551194,51.666666666666686,46.10666666666668,0.0,51.01758226993683,0.0,0.0,0.0,36.60497184551194,51.07385310564178,51.101988523494256,51.01758226993683,12.43753247303448,19.610375594126445,0.0,-1.5858266203234144,-2.481345753037631,2.8,9.236100170605994,-1706.2557119610383,68.00501542539645,499.18966823288065,-1959.5369340095772,-0.0,-0.0,314.4069388937463,0.0,1.0,0.08944547705619368,0.0,0,2.315035415949211,65.99961422222222,-61.12571684520729,0.19533437033147216,9.021848743995017,0.002704419566479756,-44.99891945745405,1.2236805362497958,0,0,68.00501542539645,0.0847252525969405,583.1430775739555,-83.95340934107482
2025-01-01 00:08:00,0.2583558023518592,0.13632262790079655,0.0,0.004305930039197653,0.002272043798346609,0.0,0.07129724416277572,0.0,0.18705855818908348,0.0,0.0,0.0,0.0,0.13632262790079655,0,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.027121593572615933,0,On,0.027121593572615933,0.0,On,0.005295054321354705,0,On,0.14212110971907307,0.10659083228930477,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,9593.682822222223,Off,0.0,0.0,36.80671499911234,51.666666666666686,46.10666666666668,0.0,51.012154188558,0.0,0.0,0.0,36.80671499911234,51.06871590451609,51.09699676249514,51.012154188558,12.43753247303448,19.431832430755815,-0.06816756924424183,-1.4764475227685314,-2.399336889669189,2.8,9.236100170605994,-1674.1764596363546,67.04250006574861,489.1031356047174,-1930.4478121786624,-0.0,-0.0,314.4069388937463,0.0,1.0,0.08906361377078266,0.0,0,2.3051519980406474,65.99961422222222,-58.13558635143826,0.19748346935674468,8.938883731410193,0.0027039886270626375,-44.45334508331034,1.2244275852929982,0,0,67.04250006574861,0.08455403439000604,572.9278641281052,-83.82472852338779
2025-01-01 00:09:00,0.2583558023518592,0.13632262790079655,0.0,0.004305930039197653,0.002272043798346609,0.0,0.07129724416277572,0.0,0.18705855818908348,0.0,0.0,0.0,0.0,0.13632262790079655,0,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.017054057017543856,0.0,On,0.027121593572615933,0,On,0.027121593572615933,0.0,On,0.005295054321354705,0,On,0.14212110971907307,0.10659083228930477,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,9593.682822222223,Off,0.0,0.0,37.00183948125265,51.666666666666686,46.10666666666668,0.0,51.00669618677116,0.0,0.0,0.0,37.00183948125265,51.06355039042897,51.09197749225789,51.00669618677116,12.43753247303448,19.258949626545554,-0.24105037345450242,-1.3686679551536083,-2.319595280075137,2.8,9.236100170605994,-1643.3646265347236,66.12030863975986,479.4835958027429,-1902.4418953997276,-0.0,-0.0,314.4069388937463,0.0,1.0,0.08869346735344917,0.0,0,2.2955718371044447,65.99961422222222,-55.32967002874251,0.19958927820601705,8.858094036202143,0.002703563172164055,-43.92332756325662,1.22515182602855,0,0,66.12030863975986,0.08438721663783258,563.0279368462619,-83.54434104351903
