Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Pool Pump Electric Power (kW),Pool Pump Reactive Power (kVAR),Pool Pump Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,4.244496916022288,0.11471110967308519,0.43685526315789486,0.07074161526703814,0.0019118518278847532,0.007280921052631581,0.043274852552861925,3.499855208888889,0.16718560458053716,0.4841812500000001,0.05,0.43685526315789486,0.0,0.0,0.10012777633975185,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004263514254385964,0.0,On,0.01950566914923798,0,On,0.01950566914923798,0.0,On,0.015941636032991428,0,On,0.09584342734511293,0.07188257050883468,On,0.017740266761209877,0,On,0,0,Off,On,8511.654170814105,17.77777777777783,0.7599999999999999,1702.7810391858939,12.802965736842108,0.4841812500000001,1,9730.25396,9730.25396,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,6217.210551111111,Lower On,3499.855208888889,1.0,37.14854723962253,51.666666666666686,46.10666666666668,0.0,49.664456537035825,0.0,0.0,3499.855208888889,37.14854723962253,49.66445653703583,49.66445653703584,49.664456537035825,12.43753247303448,17.97378076497726,0.0,-2.632401730621026,-1.7432762107219826,2.8,9.236100170605994,5393.413510788397,3484.140503283577,393.3240386390643,-1699.2516583969878,-0.0,-0.0,318.01037890247574,0.0,2.0,0.0859302836874816,0.0,0,2.2240548833352953,131.99922844444444,-34.66854636837641,0.23358517430845566,8.495381665468907,0.0029290171266808107,-52.19726402344342,1.2268092047012478,0,0,79.0286299348623,0.08317162243523465,492.44980075307495,-99.1257621140107
2025-01-01 00:01:00,3.7603156660222883,0.11471110967308519,0.0,0.06267192776703814,0.0019118518278847532,0.0,0.043274852552861925,3.499855208888889,0.16718560458053716,0.0,0.05,0.0,0.0,0.0,0.10012777633975185,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004263514254385964,0.0,On,0.01950566914923798,0,On,0.01950566914923798,0.0,On,0.015941636032991428,0,On,0.09584342734511293,0.07188257050883468,On,0.017740266761209877,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,9730.25396,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,6217.210551111111,Lower On,3499.855208888889,1.0,37.48859393324301,51.666666666666686,46.10666666666668,0.0,50.15041840678488,0.0,0.0,3499.855208888889,37.48859393324301,50.15041840678487,50.15041840678488,50.15041840678488,12.43753247303448,18.1674739669732,0.0,-2.3333386167688857,-1.6553395238356925,2.8,9.236100170605994,-1455.9386982759418,75.63433539576357,381.82149817837217,-1729.3083725537786,-0.0,-0.0,318.01037890247574,0.0,2.0,0.0863480046301293,0.0,0,2.234866372166705,131.99922844444444,-44.64070462463928,0.23139248316288585,8.60879069435905,0.0029285185259616646,-52.82198340870389,1.2295751708628324,0,0,75.63433539576357,0.08298457725508866,481.8322261597997,-100.01072798142755
2025-01-01 00:02:00,3.7603156660222883,0.11471110967308519,0.0,0.06267192776703814,0.0019118518278847532,0.0,0.043274852552861925,3.499855208888889,0.16718560458053716,0.0,0.05,0.0,0.0,0.0,0.10012777633975185,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004263514254385964,0.0,On,0.01950566914923798,0,On,0.01950566914923798,0.0,On,0.015941636032991428,0,On,0.09584342734511293,0.07188257050883468,On,0.017740266761209877,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,9730.25396,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,6217.210551111111,Lower On,3499.855208888889,1.0,38.23445738207465,51.666666666666686,46.10666666666668,0.0,50.63633255382935,0.0,0.0,3499.855208888889,38.23445738207465,50.636332553829355,50.63633255382936,50.63633255382935,12.43753247303448,18.012321693927937,0.0,-2.211536541414494,-1.5717156338574458,2.8,9.236100170605994,-1435.3647360692348,74.58047639645164,371.4600817766195,-1705.216202623487,-0.0,-0.0,318.01037890247574,0.0,2.0,0.08601343618590346,0.0,0,2.2262070433450223,131.99922844444444,-48.158912348223524,0.23362056631404055,8.535415008891626,0.002928015092815151,-52.074872034009935,1.2302307507579822,0,0,74.58047639645164,0.08280631365469798,471.772919337791,-100.3128375611715
2025-01-01 00:03:00,3.7603156660222883,0.11471110967308519,0.0,0.06267192776703814,0.0019118518278847532,0.0,0.043274852552861925,3.499855208888889,0.16718560458053716,0.0,0.05,0.0,0.0,0.0,0.10012777633975185,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004263514254385964,0.0,On,0.01950566914923798,0,On,0.01950566914923798,0.0,On,0.015941636032991428,0,On,0.09584342734511293,0.07188257050883468,On,0.017740266761209877,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,9730.25396,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,6217.210551111111,Lower On,3499.855208888889,1.0,38.9747733930858,51.666666666666686,46.10666666666668,0.0,51.12214202518756,0.0,0.0,3499.855208888889,38.9747733930858,51.12214202518756,51.12214202518756,51.12214202518756,12.43753247303448,17.861832744139956,0.0,-2.091832263562396,-1.491801811662291,2.8,9.236100170605994,-1416.4120027290267,73.3790997689645,361.6903207100032,-1681.972196078374,-0.0,-0.0,318.01037890247574,0.0,2.0,0.08568865772553609,0.0,0,2.217801099715077,131.99922844444444,-52.45018555312845,0.23580419952935672,8.463789768867086,0.0029275190446816984,-51.34864548295497,1.2308672998564845,0,0,73.3790997689645,0.08263559957849623,462.19420206011023,-100.50388135010701
2025-01-01 00:04:00,3.7603156660222883,0.11471110967308519,0.0,0.06267192776703814,0.0019118518278847532,0.0,0.043274852552861925,3.499855208888889,0.16718560458053716,0.0,0.05,0.0,0.0,0.0,0.10012777633975185,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004263514254385964,0.0,On,0.01950566914923798,0,On,0.01950566914923798,0.0,On,0.015941636032991428,0,On,0.09584342734511293,0.07188257050883468,On,0.017740266761209877,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,9730.25396,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,6217.210551111111,Lower On,3499.855208888889,1.0,39.70984060632236,51.666666666666686,46.10666666666668,0.0,51.6078475993959,0.0,0.0,3499.855208888889,39.70984060632236,51.6078475993959,51.60784759939591,51.6078475993959,12.43753247303448,17.715751216271837,0.0,-1.9741605998999272,-1.4151526149902938,2.8,9.236100170605994,-1394.5102831694696,72.24307721807496,352.55686952080765,-1659.5259953871862,-0.0,-0.0,318.01037890247574,0.0,2.0,0.08537314429193149,0.0,0,2.2096349542928384,131.99922844444444,-52.99466668475941,0.2379453226998533,8.394423301581778,0.0029270301673001,-50.64222263130515,1.2314858416127137,0,0,72.24307721807496,0.08247152746968807,453.0383779024251,-100.48150838161752
2025-01-01 00:05:00,0.26046045713339905,0.11471110967308519,0.0,0.004341007618889984,0.0019118518278847532,0.0,0.043274852552861925,0.0,0.16718560458053716,0.0,0.05,0.0,0.0,0.0,0.10012777633975185,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004263514254385964,0.0,On,0.01950566914923798,0,On,0.01950566914923798,0.0,On,0.015941636032991428,0,On,0.09584342734511293,0.07188257050883468,On,0.017740266761209877,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,9730.25396,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,6217.210551111111,Off,0.0,0.0,40.16237444959687,51.666666666666686,46.10666666666668,0.0,52.0934500130792,0.0,0.0,0.0,40.16237444959687,52.0934500130792,52.093450013079206,52.0934500130792,12.43753247303448,17.574062248418254,0.0,-1.858453329586792,-1.3413649090752313,2.8,9.236100170605994,-1371.1813537363776,71.15236971300189,343.9591540569917,-1637.8650963431023,-0.0,-0.0,318.01037890247574,0.0,2.0,0.08506688922135984,0.0,0,2.2017084346070868,131.99922844444444,-51.32663629575083,0.24004239828232132,8.327314326348528,0.002926548257762291,-49.95547173446926,1.2320863838858223,0,0,71.15236971300189,0.0823132715972455,444.2536601253933,-100.29450606840155
2025-01-01 00:06:00,0.26046045713339905,0.11471110967308519,0.0,0.004341007618889984,0.0019118518278847532,0.0,0.043274852552861925,0.0,0.16718560458053716,0.0,0.05,0.0,0.0,0.0,0.10012777633975185,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004263514254385964,0.0,On,0.01950566914923798,0,On,0.01950566914923798,0.0,On,0.015941636032991428,0,On,0.09584342734511293,0.07188257050883468,On,0.017740266761209877,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,9730.25396,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,6217.210551111111,Off,0.0,0.0,40.3156472187184,51.666666666666686,46.10666666666668,0.0,52.08748061589495,0.0,0.0,0.0,40.3156472187184,52.08781356030159,52.08798003250492,52.08748061589495,12.43753247303448,17.4366786775842,0.0,-1.7446494098661882,-1.270096730413786,2.8,9.236100170605994,-1348.1013155471035,70.10602297773801,335.82518022772445,-1616.9663466180525,-0.0,-0.0,318.01037890247574,0.0,2.0,0.08476972816437041,0.0,0,2.1940172869514116,131.99922844444444,-49.14534783152672,0.2420950230498979,8.261802997531944,0.0029260731150274103,-49.28797760884172,1.2326692430076243,0,0,70.10602297773801,0.08216013007545954,435.7962621197767,-99.9710818920523
2025-01-01 00:07:00,0.26046045713339905,0.11471110967308519,0.0,0.004341007618889984,0.0019118518278847532,0.0,0.043274852552861925,0.0,0.16718560458053716,0.0,0.05,0.0,0.0,0.0,0.10012777633975185,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004263514254385964,0.0,On,0.01950566914923798,0,On,0.01950566914923798,0.0,On,0.015941636032991428,0,On,0.09584342734511293,0.07188257050883468,On,0.017740266761209877,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,9730.25396,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,6217.210551111111,Off,0.0,0.0,40.46407763793768,51.666666666666686,46.10666666666668,0.0,52.081488511931546,0.0,0.0,0.0,40.46407763793768,52.08215559697495,52.08248913949665,52.081488511931546,12.43753247303448,17.303435539774302,0.0,-1.6326928222520232,-1.201056394634878,2.8,9.236100170605994,-1325.8244304180698,69.10141453824589,328.0928068534284,-1596.7953760359605,-0.0,-0.0,318.01037890247574,0.0,2.0,0.08448132667937482,0.0,0,2.1865528552802864,131.99922844444444,-47.03943328458506,0.24410406695874515,8.198432536596483,0.0029256045427121873,-48.63902100125046,1.233235068532365,0,0,69.10141453824589,0.0820115030625425,427.6289474392385,-99.53614058581012
2025-01-01 00:08:00,0.26046045713339905,0.11471110967308519,0.0,0.004341007618889984,0.0019118518278847532,0.0,0.043274852552861925,0.0,0.16718560458053716,0.0,0.05,0.0,0.0,0.0,0.10012777633975185,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004263514254385964,0.0,On,0.01950566914923798,0,On,0.01950566914923798,0.0,On,0.015941636032991428,0,On,0.09584342734511293,0.07188257050883468,On,0.017740266761209877,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,9730.25396,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,6217.210551111111,Off,0.0,0.0,40.60788102498566,51.666666666666686,46.10666666666668,0.0,52.07547442118241,0.0,0.0,0.0,40.60788102498566,52.07647680268249,52.07697799343254,52.07547442118241,12.43753247303448,17.17414845104074,-0.10362932673708869,-1.522531821465688,-1.1339957263475133,2.8,9.236100170605994,-1304.4018210135716,68.13604804491237,320.70896280307625,-1577.3156293441505,-0.0,-0.0,318.01037890247574,0.0,2.0,0.0842013062580866,0.0,0,2.17930534301017,131.99922844444444,-45.09657057189716,0.24607081799828623,8.136496798877587,0.002925142352072556,-48.00780874008726,1.2337845965117977,0,0,68.13604804491237,0.08186687945808398,419.72010448053845,-99.01114167746223
2025-01-01 00:09:00,0.26046045713339905,0.11471110967308519,0.0,0.004341007618889984,0.0019118518278847532,0.0,0.043274852552861925,0.0,0.16718560458053716,0.0,0.05,0.0,0.0,0.0,0.10012777633975185,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004263514254385964,0.0,On,0.01950566914923798,0,On,0.01950566914923798,0.0,On,0.015941636032991428,0,On,0.09584342734511293,0.07188257050883468,On,0.017740266761209877,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,9730.25396,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,6217.210551111111,Off,0.0,0.0,40.74726560196889,51.666666666666686,46.10666666666668,0.0,52.0694390316289,0.0,0.0,0.0,40.74726560196889,52.070777826789445,52.07144722436972,52.0694390316289,12.43753247303448,17.048639095945965,-0.2291386818318628,-1.414118304747911,-1.0687040496456526,2.8,9.236100170605994,-1283.7737838712578,67.20748844002986,313.62845610587937,-1558.4922143338138,-0.0,-0.0,318.01037890247574,0.0,2.0,0.08392929957558506,0.0,0,2.17226524300634,131.99922844444444,-43.291948439919906,0.24799659228178692,8.075914972449686,0.002924686362694214,-47.393574054445885,1.2343185412629745,0,0,67.20748844002986,0.08172582498513897,412.04293620938375,-98.4144801035044
