Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.5043835720783918,0.3281087877265628,0.0,0.008406392867973197,0.0054684797954427135,0.0,0.02370974958376966,0.0,0.4306738224946221,0.0,0.05,0.0,0.0,0.0,0.3135254543932295,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.005086641081871345,0.0,On,0.0004449285772760752,0.0,On,0.01817817992462224,0,On,0.012639883303649308,0,On,0.38121595118431717,0.28591196338823777,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,10965.548693333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,7918.19528,Off,0.0,0.0,35.86919865170787,51.666666666666686,46.10666666666668,0.0,51.2517382824927,0.0,0.0,0.0,35.86919865170787,51.30668589567313,51.33415970226335,51.2517382824927,12.43753247303448,20.476245799328566,0.0,5.792354209369125,0.6927493379834163,2.8,9.236100170605994,-1.1120374852549162,-3120.459134599181,416.3800144873944,-353.85757628579944,-0.0,-0.0,493.69806971771186,0.0,1.0,0.015361046878700747,0.0,0,0.09115444845276917,65.99961422222222,-140.9525309171673,0.172957447696503,9.201720415939459,0.002533193274765585,50.55752527387815,1.2166441975078424,0.8248734568088026,-3216.7549735917933,96.2958389926119,0.16310503636991996,447.9207918973669,-31.540777409972442
2025-01-01 00:01:00,0.5043835720783918,0.3281087877265628,0.0,0.008406392867973197,0.0054684797954427135,0.0,0.02370974958376966,0.0,0.4306738224946221,0.0,0.05,0.0,0.0,0.0,0.3135254543932295,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.005086641081871345,0.0,On,0.0004449285772760752,0.0,On,0.01817817992462224,0,On,0.012639883303649308,0,On,0.38121595118431717,0.28591196338823777,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,10965.548693333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,7918.19528,Off,0.0,0.0,35.91746096516423,51.666666666666686,46.10666666666668,0.0,51.248503860368885,0.0,0.0,0.0,35.91746096516423,51.30366553075982,51.3312463659553,51.248503860368885,12.43753247303448,20.431737648197227,0.0,5.790938209947839,0.7325084155457217,2.8,9.236100170605994,-2.4907865821288624,-3119.0801639634888,410.2879432076682,-352.4769382713832,-0.0,-0.0,493.69806971771186,0.0,1.0,0.015339737941712506,0.0,0,0.09102799845143682,65.99961422222222,-143.71191802845755,0.17394753674730912,9.205078374959157,0.002533304925659287,50.56411713337095,1.2203830773509363,0.8248628720494158,-3215.1915286217327,96.1113646582439,0.16310503636991996,439.46953461325535,-29.181591405587152
2025-01-01 00:02:00,0.5043835720783918,0.3281087877265628,0.0,0.008406392867973197,0.0054684797954427135,0.0,0.02370974958376966,0.0,0.4306738224946221,0.0,0.05,0.0,0.0,0.0,0.3135254543932295,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.005086641081871345,0.0,On,0.0004449285772760752,0.0,On,0.01817817992462224,0,On,0.012639883303649308,0,On,0.38121595118431717,0.28591196338823777,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,10965.548693333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,7918.19528,Off,0.0,0.0,35.964538462978304,51.666666666666686,46.10666666666668,0.0,51.245265108294454,0.0,0.0,0.0,35.964538462978304,51.30064110191971,51.32832909873234,51.245265108294454,12.43753247303448,20.388243733997665,0.0,5.789501390217452,0.7721301241022346,2.8,9.236100170605994,-4.1844506605007155,-3117.688790046454,404.12347042926274,-351.1298514882691,-0.0,-0.0,493.69806971771186,0.0,1.0,0.015318901565675513,0.0,0,0.09090435268820175,65.99961422222222,-146.7526688899435,0.1744229658437347,9.185172703282358,0.0025334162490016775,50.57047280498131,1.220563820926402,0.8248521315169739,-3213.605134750383,95.9163447039293,0.16310503636991996,431.0474767191194,-26.924006289856667
2025-01-01 00:03:00,0.5043835720783918,0.3281087877265628,0.0,0.008406392867973197,0.0054684797954427135,0.0,0.02370974958376966,0.0,0.4306738224946221,0.0,0.05,0.0,0.0,0.0,0.3135254543932295,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.005086641081871345,0.0,On,0.0004449285772760752,0.0,On,0.01817817992462224,0,On,0.012639883303649308,0,On,0.38121595118431717,0.28591196338823777,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,10965.548693333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,7918.19528,Off,0.0,0.0,36.01047897732203,51.666666666666686,46.10666666666668,0.0,51.24202213343404,0.0,0.0,0.0,36.01047897732203,51.29761270892014,51.3254079966632,51.24202213343404,12.43753247303448,20.345723046598636,0.0,5.788095633040487,0.8115379365774176,2.8,9.236100170605994,-6.116476513508928,-3116.0650355810544,397.63294420269807,-349.8149056934412,-0.0,-0.0,493.69806971771186,0.0,1.0,0.01529851896153714,0.0,0,0.09078339966638391,65.99961422222222,-149.9996405377796,0.17488933594352485,9.165789577577499,0.0025335275698498286,50.57658654607456,1.2207405701053733,0.8248416230483583,-3212.053075471422,95.98803989036728,0.16310503636991996,422.67088494055287,-25.037940737854804
2025-01-01 00:04:00,0.5043835720783918,0.3281087877265628,0.0,0.008406392867973197,0.0054684797954427135,0.0,0.02370974958376966,0.0,0.4306738224946221,0.0,0.05,0.0,0.0,0.0,0.3135254543932295,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.005086641081871345,0.0,On,0.0004449285772760752,0.0,On,0.01817817992462224,0,On,0.012639883303649308,0,On,0.38121595118431717,0.28591196338823777,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,10965.548693333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,7918.19528,Off,0.0,0.0,36.055327397245925,51.666666666666686,46.10666666666668,0.0,51.23877503862645,0.0,0.0,0.0,36.055327397245925,51.2945804475008,51.32248315193798,51.23877503862645,12.43753247303448,20.304137101316922,0.0,5.786761372859642,0.8506565560631854,2.8,9.236100170605994,-5.070974957772933,-3114.318204404455,391.0009806233811,-348.5307791798454,-0.0,-0.0,493.69806971771186,0.0,1.0,0.01527857248778789,0.0,0,0.09066503469897327,65.99961422222222,-150.23826549563935,0.1753469742201888,9.146908242268776,0.0025336388880362404,50.58246787251593,1.2209134815082825,0.8248316489180089,-3210.579989266454,96.2617848619987,0.16310503636991996,414.35576451665963,-23.35478389327845
2025-01-01 00:05:00,0.5043835720783918,0.3281087877265628,0.0,0.008406392867973197,0.0054684797954427135,0.0,0.02370974958376966,0.0,0.4306738224946221,0.0,0.05,0.0,0.0,0.0,0.3135254543932295,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.005086641081871345,0.0,On,0.0004449285772760752,0.0,On,0.01817817992462224,0,On,0.012639883303649308,0,On,0.38121595118431717,0.28591196338823777,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,10965.548693333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,7918.19528,Off,0.0,0.0,36.09908423208284,51.666666666666686,46.10666666666668,0.0,51.23552392265082,0.0,0.0,0.0,36.09908423208284,51.29154440962146,51.31955465310678,51.23552392265082,12.43753247303448,20.263485552538153,0.0,5.78552388264907,0.889446996003816,2.8,9.236100170605994,-1.7585639955045735,-3112.6292677279444,384.29694208967464,-347.2773351235555,-0.0,-0.0,493.69806971771186,0.0,1.0,0.015259062753110238,0.0,0,0.09054926139797077,65.99961422222222,-148.17929858966093,0.17579579970594394,9.12777204656424,0.002533750203400121,50.58811598368282,1.2210825532892142,0.8248223980742178,-3209.213772260259,96.58450453231454,0.16310503636991996,406.11040249616445,-21.813460406489842
2025-01-01 00:06:00,0.5043835720783918,0.3281087877265628,0.0,0.008406392867973197,0.0054684797954427135,0.0,0.02370974958376966,0.0,0.4306738224946221,0.0,0.05,0.0,0.0,0.0,0.3135254543932295,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.005086641081871345,0.0,On,0.0004449285772760752,0.0,On,0.01817817992462224,0,On,0.012639883303649308,0,On,0.38121595118431717,0.28591196338823777,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,10965.548693333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,7918.19528,Off,0.0,0.0,36.14175951651698,51.666666666666686,46.10666666666668,0.0,51.232268884239154,0.0,0.0,0.0,36.14175951651698,51.288504687199,51.31662258867893,51.232268884239154,12.43753247303448,20.223759868011072,0.0,5.784395435998944,0.9278849218698715,2.8,9.236100170605994,2.1527146523799274,-3111.018904773889,377.5431695146845,-346.0541875606034,-0.0,-0.0,493.69806971771186,0.0,1.0,0.015239986418466932,0.0,0,0.09043605994909543,65.99961422222222,-145.4911675047285,0.17623582211837302,9.10989171880314,0.0025338615157791257,50.59353231644452,1.221247817754492,0.8248139622938611,-3207.9679674539484,96.94906268005917,0.16310503636991996,397.9399714681161,-20.39680195343158
2025-01-01 00:07:00,0.5043835720783918,0.3281087877265628,0.0,0.008406392867973197,0.0054684797954427135,0.0,0.02370974958376966,0.0,0.4306738224946221,0.0,0.05,0.0,0.0,0.0,0.3135254543932295,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.005086641081871345,0.0,On,0.0004449285772760752,0.0,On,0.01817817992462224,0,On,0.012639883303649308,0,On,0.38121595118431717,0.28591196338823777,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,10965.548693333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,7918.19528,Off,0.0,0.0,36.1833848539095,51.666666666666686,46.10666666666668,0.0,51.22901002121513,0.0,0.0,0.0,36.1833848539095,51.28546137130537,51.31368704635049,51.22901002121513,12.43753247303448,20.18493297699341,0.0,5.783381994242927,0.9659503126431674,2.8,9.236100170605994,5.978778412079123,-3109.5095032452614,370.74944412055794,-344.8603850684345,-0.0,-0.0,493.69806971771186,0.0,1.0,0.015221331210893753,0.0,0,0.09032535752298261,65.99961422222222,-142.85890623719825,0.17666725623583976,9.092494613797317,0.0025339728250111672,50.59872338092658,1.221409384511618,0.8248063861669445,-3206.849148882144,97.33964563688292,0.16310503636991996,389.8487271342594,-19.099283013701424
2025-01-01 00:08:00,0.5043835720783918,0.3281087877265628,0.0,0.008406392867973197,0.0054684797954427135,0.0,0.02370974958376966,0.0,0.4306738224946221,0.0,0.05,0.0,0.0,0.0,0.3135254543932295,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.005086641081871345,0.0,On,0.0004449285772760752,0.0,On,0.01817817992462224,0,On,0.012639883303649308,0,On,0.38121595118431717,0.28591196338823777,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,10965.548693333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,7918.19528,Off,0.0,0.0,36.2239992493182,51.666666666666686,46.10666666666668,0.0,51.22574742854401,0.0,0.0,0.0,36.2239992493182,51.282414550351305,51.31074811125496,51.22574742854401,12.43753247303448,20.146971444539385,0.0,5.78248474552803,1.0036250836395648,2.8,9.236100170605994,9.611608387373053,-3108.1169532036024,363.9249291176878,-343.6947881036748,-0.0,-0.0,493.69806971771186,0.0,1.0,0.015203081753831787,0.0,0,0.0902170628731334,65.99961422222222,-140.391673226664,0.17709039119807748,9.074809419206927,0.002534084130938526,50.603697466287365,1.2215673898617323,0.8247996785994308,-3205.858621481788,97.74166827818544,0.16310503636991996,381.84051360587495,-17.915584488187157
2025-01-01 00:09:00,0.5043835720783918,0.3281087877265628,0.0,0.008406392867973197,0.0054684797954427135,0.0,0.02370974958376966,0.0,0.4306738224946221,0.0,0.05,0.0,0.0,0.0,0.3135254543932295,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.005086641081871345,0.0,On,0.0004449285772760752,0.0,On,0.01817817992462224,0,On,0.012639883303649308,0,On,0.38121595118431717,0.28591196338823777,On,0,0,Off,Off,0.0,20.61111111111117,0.0,0.0,0.0,0.0,0,0.0,10965.548693333334,Off,0.0,21.61111111111117,0,0.0,0.05,0.0,0.0,0,0,0,7918.19528,Off,0.0,0.0,36.26364113200268,51.666666666666686,46.10666666666668,0.0,51.222481197663456,0.0,0.0,0.0,36.26364113200268,51.27936430946317,51.30780586536303,51.222481197663456,12.43753247303448,20.10984232719704,-0.0012687839141314328,5.781701483366188,1.0408930083845884,2.8,9.236100170605994,13.071784587666343,-3106.848532626116,357.0792585909989,-342.556280132456,-0.0,-0.0,493.69806971771186,0.0,1.0,0.015185222858788948,0.0,0,0.09011108586906195,65.99961422222222,-138.0700049975895,0.17750551597319053,9.057573941275699,0.0025341954334093283,50.608462776324934,1.221721968265742,0.8247938231172703,-3204.993943417185,98.14541079106895,0.16310503636991996,373.91878001003045,-16.839521419031556
