Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Gas Lighting Gas Power (therms/hour),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.13604419856562164,0.0883547292689518,0.0012155480209303556,0.13604419856562164,0.0883547292689518,0.0012155480209303556,0.008906624178545057,0.006614,0.12052357438707657,0.0,0.0,0.0012155480209303556,0.0,0.0,0.0,0.0883547292689518,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.0037872532894736837,0.0,0.005119370889071374,0.0,0.002717268695140812,0.0,0.08274155520940657,0.06205616640705491,0.0012155480209303556,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,1554.4491733333334,0.0,0.0,3.641138516030651e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.641138516030651e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,15.255371494747589,0.0,4.964272177410998,2.8,9.236100170605994,73.06591936080024,-269.48304204121854,-124.54123187645196,0.0,0.0,189.6379039231854,0.0,1.0,0.007672335698956675,0.0,0.0,0.3786512117478739,65.99961422222222,7.969247314066783,0.334724876574402,7.926025850205722,0.003524017166998304,24.466527683342782,1.2414846486232847,0.09843458470748154,-277.71407082658703,8.231028785368453
2025-01-01 01:00:00,0.13488353580684784,0.08769726519740437,0.0006354001018499586,0.13488353580684787,0.08769726519740437,0.0006354001018499586,0.008622580181834531,0.006614,0.11964695562501333,0.0,0.0,0.0006354001018499586,0.0,0.0,0.0,0.08769726519740437,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034188131720465954,0.025641098790349457,0.0,0.0,0.0035032092927631572,0.0,0.005119370889071374,0.0,0.002717268695140812,0.0,0.08274155520940657,0.06205616640705491,0.0006354001018499586,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,1554.4491733333334,0.0,0.0,3.668961612943475e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.668961612943475e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,14.977184005552525,0.0,5.381843367960007,2.5,9.236100170605994,76.26042023691224,-267.02129554369776,-118.91179979521759,0.0,0.0,188.47724116441162,0.0,1.0,0.007310871548616224,0.0,0.0,0.36081194559735347,65.99961422222222,6.6949788677182,0.34334200526768544,7.824641250082263,0.0035506217805290393,25.524441097355954,1.2427236472110652,0.07634250625209431,-274.9446409088733,7.9233453651755585
2025-01-01 02:00:00,0.13400691704478465,0.08703980112585694,0.0005248957363108354,0.13400691704478465,0.08703980112585694,0.0005248957363108354,0.008622580181834531,0.006614,0.1187703368629501,0.0,0.0,0.0005248957363108354,0.0,0.0,0.0,0.08703980112585694,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.0035032092927631572,0.0,0.005119370889071374,0.0,0.002717268695140812,0.0,0.08274155520940657,0.06205616640705491,0.0005248957363108354,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,1554.4491733333334,0.0,0.0,3.6931817426477664e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.6931817426477664e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,14.734957286668884,0.0,5.681340716904197,1.6500000000000001,9.236100170605994,72.29160875613917,-261.46771107141905,-121.84765525122778,0.0,0.0,187.60062240234842,0.0,1.0,0.0071107730564726945,0.0,0.0,0.3509365257132401,65.99961422222222,6.538641605018529,0.3515375465373564,7.742165182631546,0.0035791986263065145,27.072296785832474,1.2437478738026193,0.05129667660367724,-268.5086762003679,7.0409651289488755
2025-01-01 03:00:00,0.15098926895158105,0.08638233705430952,0.016698601897087505,0.15098926895158105,0.08638233705430952,0.016698601897087505,0.008433217517360847,0.006614,0.11789371810088688,0.018048333333333333,0.0,0.0004143913707717121,0.016284210526315793,0.0,0.0,0.08638233705430952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03243489419633949,0.024326170647254612,0.0,0.0,0.0033138466282894735,0.0,0.005119370889071374,0.0,0.002717268695140812,0.0,0.08274155520940657,0.06205616640705491,0.0004143913707717121,0.0,0.0,270.6863995833525,15.5555555555556,0.17733333333333334,110.06674086109197,0.477243167251462,0.018048333333333333,0.23333333333333334,362.7048071111111,1554.4491733333334,0.0,0.0,3.641781667143265e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.641781667143265e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,15.248938807095943,-0.02656848569814132,5.962460009390777,1.6500000000000001,9.236100170605994,327.19269374865684,-233.2820739946975,-132.6995670633519,0.0,0.0,186.53464097581153,0.0,1.0,0.007452247928395902,0.0,0.0,0.36778926510168414,65.99961422222222,2.671220252844741,0.34278874896526107,8.02084812690099,0.0036071538662043505,22.572539328248396,1.2415114484433438,0.06466669661170722,-349.17296863252795,5.824153776738502
2025-01-01 04:00:00,0.1475343168561845,0.08572487298276209,0.014399912198998601,0.14753431685618448,0.08572487298276209,0.014399912198998603,0.008433217517360847,0.006614,0.11701709933882364,0.015470000000000001,0.0,0.000442017462156493,0.013957894736842108,0.0,0.0,0.08572487298276209,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.0033138466282894735,0.0,0.005119370889071374,0.0,0.002717268695140812,0.0,0.08274155520940657,0.06205616640705491,0.000442017462156493,0.0,0.0,232.01691392858783,15.5555555555556,0.15200000000000002,94.34292073807883,0.40906557192982457,0.015470000000000001,0.2,310.8898346666667,1554.4491733333334,0.0,0.0,3.651214274924541e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.651214274924541e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,15.154628791482004,-0.09309916039104911,5.733932405331333,0.55,9.236100170605994,272.6219269015436,-236.4740093081771,-149.59381290774436,0.0,0.0,185.65802221374827,0.0,1.0,0.007741125885396879,0.0,0.0,0.38204619972467574,65.99961422222222,4.540803666951851,0.3468987234417788,7.999109068894487,0.0036300816100090635,24.70191125494855,1.2413185494792027,0.057659961544588086,-337.6912812317641,6.8743511855081465
2025-01-01 05:00:00,0.14791304218513185,0.08572487298276209,0.014455164381768162,0.14791304218513185,0.08572487298276209,0.014455164381768162,0.008811942846308216,0.006614,0.11701709933882364,0.015470000000000001,0.0,0.0004972696449260546,0.013957894736842108,0.0,0.0,0.08572487298276209,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.0036925719572368423,0.0,0.005119370889071374,0.0,0.002717268695140812,0.0,0.08274155520940657,0.06205616640705491,0.0004972696449260546,0.0,0.0,232.01691392858783,15.5555555555556,0.15200000000000002,94.34292073807883,0.40906557192982457,0.015470000000000001,0.2,310.8898346666667,1554.4491733333334,0.0,0.0,3.64844930306813e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.64844930306813e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,15.182306461322138,-0.07188714015343776,5.738645561023597,-0.25000000000000006,9.236100170605994,263.27223773770527,-277.0416946559907,-160.3791220485826,0.0,0.0,186.03674754269562,0.0,1.0,0.007891581033366709,0.0,0.0,0.38947158181532504,65.99961422222222,5.597698315004407,0.34891772491854295,8.04335750473773,0.0036598307413686993,24.459868878341158,1.2405535975201503,0.049899038617364354,-377.85742176217207,6.47280636810258
2025-01-01 06:00:00,0.1851340485925105,0.09717085676259589,0.01467617311284641,0.18513404859251048,0.09717085676259588,0.014676173112846407,0.025580628955109572,0.006614,0.13746941963740092,0.015470000000000001,0.0,0.000718278376004301,0.013957894736842108,0.0,0.0,0.09717085676259589,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.004165978618421052,0.0,0.02141465033668852,0.0,0.007908277287273023,0.0,0.09624962939172516,0.07218722204379384,0.000718278376004301,0.0,0.0,232.01691392858783,15.5555555555556,0.15200000000000002,94.34292073807883,0.40906557192982457,0.015470000000000001,0.2,310.8898346666667,1554.4491733333334,0.0,0.0,3.668468723066414e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.668468723066414e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,14.982075297062416,-0.1363505409798089,5.221896390244128,0.3,9.236100170605994,311.6362886717723,-287.35369241114745,-148.9046025528301,0.0,0.0,222.31218875731196,0.0,1.0,0.007716242412197678,0.0,0.0,0.38081813077030835,65.99961422222222,6.211788538702625,0.35554103465192266,7.9740142423861835,0.003681922067384964,19.797694048998103,1.241398621212665,0.06066746641897613,-391.02403800341267,9.3274248541864
2025-01-01 07:00:00,0.21590905970371801,0.1113221360530575,0.007030756935756792,0.21590905970371801,0.11132213605305752,0.007030756935756792,0.04560013451388953,0.006614,0.16369492518982848,0.0,0.006119095920059025,0.0009116610156977668,0.0,0.0,0.0,0.1113221360530575,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.0038819346217105265,0.0,0.041718199892178995,0.0,0.015265410452418427,0.0,0.11336476425488087,0.08502357319116063,0.0009116610156977668,0.0,0.0,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1554.4491733333334,135.28883332726375,20.4549188580683,3.641465458059656e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.04946711863617432,135.28883332726375,135.28883332726375,3.641465458059656e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,15.25212968802763,-0.018369864986127235,5.0816288056921,-0.55,9.236100170605994,105.22728003331719,-449.3466247710067,-168.2379204607986,0.0,0.0,267.35914042809856,2.1018017833738014,1.0,0.008075782938783006,0.0,0.0,0.39856246071177803,65.99961422222222,6.1060600660171875,0.3515434026114598,8.128751990728777,0.003704276848785679,22.612019376604476,1.2402196163396515,0.06165780538782721,-458.95113247023335,9.604507699226593
2025-01-01 08:00:00,0.23206259878790367,0.11620317372793207,0.024705085295315222,0.23206259878790364,0.11620317372793207,0.024705085295315222,0.0508578325631644,0.006614,0.1745907662247392,0.0,0.023793424279617455,0.0009116610156977668,0.0,0.0,0.0,0.11620317372793207,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.002935121299342105,0.0,0.0479227112638223,0.0,0.019653201254163102,0.0,0.11899619572598372,0.08924714679448777,0.0009116610156977668,0.0,0.0,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1554.4491733333334,526.055589535355,79.53667818798836,3.683381737826292e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.19234739199664538,526.055589535355,526.055589535355,3.683381737826292e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,14.832962433081699,-0.22259312247389978,4.256834008531603,-1.4,9.236100170605994,141.9226072982452,-477.70037008845935,-177.07419552563968,0.0,0.0,283.118479309307,122.59385357953663,1.0,0.008250883652681649,0.0,0.0,0.40720417036802453,65.99961422222222,35.878323514577865,0.363945028319027,7.965451106851426,0.003731870812110814,29.05199082809552,1.2425866745506142,0.06568833297469423,-491.24663752534565,13.546267436886373
2025-01-01 09:00:00,0.23901531875528997,0.11727977092093701,0.0049487449054143005,0.23901531875528997,0.11727977092093701,0.0049487449054143005,0.05244444935571153,0.006614,0.17995686939957845,0.0,0.0040647099811013145,0.000884034924312986,0.0,0.0,0.0,0.11727977092093701,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.0023670333059210525,0.0,0.05007741604979047,0.0,0.023583841504995724,0.0,0.12043165864999032,0.09032374398749271,0.000884034924312986,0.0,0.0,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1554.4491733333334,89.86782987895647,13.587515857114676,3.66834653254797e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.03285934613276026,89.86782987895647,89.86782987895647,3.66834653254797e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,14.983274221400661,-0.0903741828702344,4.119678570914286,-0.85,9.236100170605994,191.06356296493294,-412.1228010384274,-169.94930309001333,0.0,0.0,289.97071687201293,275.79321582747633,1.0,0.008123280377953897,0.0,0.0,0.400906592095318,65.99961422222222,71.0421491829334,0.3640089720258872,8.082303520562045,0.0037672000542552167,37.02505921595443,1.242535405692725,0.06474167355995004,-425.62210985477356,13.499308816346169
