Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-01 00:00:00,0.13604419856562164,0.0883547292689518,0.0012155480209303556,0.12052357438707657,0.0,0.008906624178545057,0.006614,0.0012155480209303556,0.0,0.0,0.0,51.66666666666668,15.247336611453944,0.0
2025-01-01 01:00:00,0.13488353580684784,0.08769726519740437,0.0006354001018499586,0.11964695562501333,0.0,0.008622580181834531,0.006614,0.0006354001018499586,0.0,0.0,0.0,51.66666666666668,14.968966175297394,0.0
2025-01-01 02:00:00,0.13400691704478465,0.08703980112585694,0.0005248957363108354,0.1187703368629501,0.0,0.008622580181834531,0.006614,0.0005248957363108354,0.0,0.0,0.0,51.66666666666668,14.726623830431642,0.0
2025-01-01 03:00:00,0.15098926895158105,0.08638233705430952,0.016698601897087505,0.11789371810088688,0.018048333333333333,0.008433217517360847,0.006614,0.0004143913707717121,0.016284210526315793,0.0,0.0,51.66666666666668,15.240549606319648,-0.02888114008325807
2025-01-01 04:00:00,0.1475343168561845,0.08572487298276209,0.014399912198998601,0.11701709933882364,0.015470000000000001,0.008433217517360847,0.006614,0.000442017462156493,0.013957894736842108,0.0,0.0,51.66666666666668,15.156552113979894,-0.09140530176288394
2025-01-01 05:00:00,0.14791304218513185,0.08572487298276209,0.014455164381768162,0.11701709933882364,0.015470000000000001,0.008811942846308216,0.006614,0.0004972696449260546,0.013957894736842108,0.0,0.0,51.66666666666668,15.179891476028114,-0.07299023944270683
2025-01-01 06:00:00,0.1851340485925105,0.09717085676259589,0.01467617311284641,0.13746941963740092,0.015470000000000001,0.025580628955109572,0.006614,0.000718278376004301,0.013957894736842108,0.0,0.0,51.66666666666668,15.021759082876665,-0.13085463929812746
2025-01-01 07:00:00,0.21590905970371801,0.1113221360530575,0.007030756935756792,0.16369492518982848,0.0,0.04560013451388953,0.006614,0.0009116610156977668,0.0,0.006119095920059025,0.0,51.66666666666668,15.207705724827118,-0.025353803622760355
2025-01-01 08:00:00,0.23206259878790367,0.11620317372793207,0.024705085295315222,0.1745907662247392,0.0,0.0508578325631644,0.006614,0.0009116610156977668,0.0,0.023793424279617455,0.0,51.66666666666668,14.818551122898116,-0.23700443265748436
2025-01-01 09:00:00,0.23901531875528997,0.11727977092093701,0.0049487449054143005,0.17995686939957845,0.0,0.05244444935571153,0.006614,0.000884034924312986,0.0,0.0040647099811013145,0.0,51.66666666666668,14.972674829514661,-0.09833164391195665
