Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.31918864708178946,0.184962098252605,0.0,0.005319810784696491,0.0030827016375434167,0.0,0.01810275831765788,0.0,0.2510858887641316,0.0,0.05,0.0,0.0,0.0,0.17037876491927167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.031860399916240616,0.023895299937180453,On,0,0,Off,0.0035099780701754383,0.0,On,0.014592780247482442,0,On,0.02391420220510265,0,On,0.19531128664278835,0.14648346498209122,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,20098.52372888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,11804.904355555556,Off,0.0,0.0,21.58799814631837,51.666666666666686,46.10666666666668,0.0,50.92551208912562,0.06003649774323981,161.09315143671247,0.0,21.58799814631837,48.62712440014742,50.92551208912562,47.477930555658325,12.43753247303448,18.05113577225989,0.0,8.600134365408165,-0.802057783782054,2.8,9.236100170605994,-1799.9084698567258,-2891.8257474938264,-191.70526762432328,-2153.8779140844463,-0.0,-0.0,453.515699683461,0.0,3.0,0.10836804627799679,0.0,0.0,1.4023954779355368,197.99884266666666,-99.5462554557403,0.23440368840910134,8.559920358138479,0.0029537352143858,-48.303521943363016,1.2264650263313903,0.387751487844919,-2930.955193973659,39.12944647983235,0.0031540623634287728,14.806029266137568,-206.51129689046084
2025-01-01 00:01:00,0.31918864708178946,0.184962098252605,0.0,0.005319810784696491,0.0030827016375434167,0.0,0.01810275831765788,0.0,0.2510858887641316,0.0,0.05,0.0,0.0,0.0,0.17037876491927167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.031860399916240616,0.023895299937180453,On,0,0,Off,0.0035099780701754383,0.0,On,0.014592780247482442,0,On,0.02391420220510265,0,On,0.19531128664278835,0.14648346498209122,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,20098.52372888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,11804.904355555556,Off,0.0,0.0,21.675707486104102,51.666666666666686,46.10666666666668,0.0,50.92125603905643,0.0600431373902567,161.09315143671247,0.0,21.675707486104102,48.61174173883178,50.92125603905643,47.45698458871946,12.43753247303448,17.91161931459549,0.0,8.522311379735223,-0.8128408456125521,2.8,9.236100170605994,-1771.7107209639407,-2849.403180036303,-191.17763643879474,-2123.7471134734137,-0.0,-0.0,453.515699683461,0.0,3.0,0.10783857619399326,0.0,0.0,1.3955435831472531,197.99884266666666,-101.4793071739879,0.23714277566390435,8.517679360437503,0.002953504446261443,-47.21747708825003,1.2306374675629235,0.3874911853932204,-2889.688075834197,40.28489579789409,0.0031540623634287728,14.850352355500473,-206.0279887942952
2025-01-01 00:02:00,0.31918864708178946,0.184962098252605,0.0,0.005319810784696491,0.0030827016375434167,0.0,0.01810275831765788,0.0,0.2510858887641316,0.0,0.05,0.0,0.0,0.0,0.17037876491927167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.031860399916240616,0.023895299937180453,On,0,0,Off,0.0035099780701754383,0.0,On,0.014592780247482442,0,On,0.02391420220510265,0,On,0.19531128664278835,0.14648346498209122,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,20098.52372888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,11804.904355555556,Off,0.0,0.0,21.760198295485765,51.666666666666686,46.10666666666668,0.0,50.91699075758717,0.060049792912259446,161.09315143671247,0.0,21.760198295485765,48.59635169195353,50.91699075758717,47.43603215913671,12.43753247303448,17.776665595609717,0.0,8.44974657050699,-0.8232625099292714,2.8,9.236100170605994,-1744.6337223994076,-2809.850514573804,-190.01033520522302,-2094.7637878545725,-0.0,-0.0,453.515699683461,0.0,3.0,0.10732533998654549,0.0,0.0,1.3889017716432317,197.99884266666666,-103.38563422829615,0.239149071227723,8.453735204769888,0.0029532796314936612,-46.165089665473936,1.2312084969549333,0.3872483128612405,-2851.2556143776296,41.40509980382566,0.0031540623634287728,14.89318994338425,-204.90352514860726
2025-01-01 00:03:00,0.31918864708178946,0.184962098252605,0.0,0.005319810784696491,0.0030827016375434167,0.0,0.01810275831765788,0.0,0.2510858887641316,0.0,0.05,0.0,0.0,0.0,0.17037876491927167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.031860399916240616,0.023895299937180453,On,0,0,Off,0.0035099780701754383,0.0,On,0.014592780247482442,0,On,0.02391420220510265,0,On,0.19531128664278835,0.14648346498209122,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,20098.52372888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,11804.904355555556,Off,0.0,0.0,21.841681859756335,51.666666666666686,46.10666666666668,0.0,50.912716535931466,0.060056463864758776,161.09315143671247,0.0,21.841681859756335,48.58095453052893,50.912716535931466,47.415073527827666,12.43753247303448,17.645974869798813,0.0,8.381979075979551,-0.8331183529579986,2.8,9.236100170605994,-1718.8512921770584,-2772.9435694258923,-188.43346328007027,-2066.848329234723,-0.0,-0.0,453.515699683461,0.0,3.0,0.10682729585425814,0.0,0.0,1.3824565614274789,197.99884266666666,-105.51866262579634,0.24111005585490394,8.39199690618505,0.002953059929362084,-45.14403117633645,1.2317619949926994,0.38702135918518654,-2815.404431941785,42.46086251589286,0.0031540623634287728,14.93370175887561,-203.36716503894587
2025-01-01 00:04:00,0.31918864708178946,0.184962098252605,0.0,0.005319810784696491,0.0030827016375434167,0.0,0.01810275831765788,0.0,0.2510858887641316,0.0,0.05,0.0,0.0,0.0,0.17037876491927167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.031860399916240616,0.023895299937180453,On,0,0,Off,0.0035099780701754383,0.0,On,0.014592780247482442,0,On,0.02391420220510265,0,On,0.19531128664278835,0.14648346498209122,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,20098.52372888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,11804.904355555556,Off,0.0,0.0,21.920336552862665,51.666666666666686,46.10666666666668,0.0,50.9084336461976,0.06006314983271623,161.09315143671245,0.0,21.920336552862665,48.56555050778299,50.9084336461976,47.39410893857568,12.43753247303448,17.519294106838988,0.0,8.31861626307266,-0.8422510770460047,2.8,9.236100170605994,-1690.5836043318727,-2738.468123886545,-186.5307011667455,-2039.9328293821518,-0.0,-0.0,453.515699683461,0.0,3.0,0.10634356917580014,0.0,0.0,1.3761966339882958,197.99884266666666,-104.16647463318193,0.2430280149787182,8.332332124276935,0.002952845183043132,-44.15253162897667,1.2322989865192608,0.3868090363498928,-2781.9188648965214,43.4507410099764,0.0031540623634287728,14.97124123998427,-201.50194240672977
2025-01-01 00:05:00,0.31918864708178946,0.184962098252605,0.0,0.005319810784696491,0.0030827016375434167,0.0,0.01810275831765788,0.0,0.2510858887641316,0.0,0.05,0.0,0.0,0.0,0.17037876491927167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.031860399916240616,0.023895299937180453,On,0,0,Off,0.0035099780701754383,0.0,On,0.014592780247482442,0,On,0.02391420220510265,0,On,0.19531128664278835,0.14648346498209122,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,20098.52372888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,11804.904355555556,Off,0.0,0.0,21.996250764785145,51.666666666666686,46.10666666666668,0.0,50.90414234436429,0.06006985042592821,161.09315143671247,0.0,21.996250764785145,48.550139861920705,50.90414234436429,47.37313862069892,12.43753247303448,17.396498035239663,0.0,8.259317334340581,-0.8505357199081737,2.8,9.236100170605994,-1660.7689493701318,-2706.2471981681656,-184.5822955835809,-2013.9778176821685,-0.0,-0.0,453.515699683461,0.0,3.0,0.10587376509147071,0.0,0.0,1.3701168794295666,197.99884266666666,-100.3068313714245,0.24490341634111554,8.274063469602552,0.002952635244726688,-43.18973953496222,1.2328199593599638,0.3866102255812838,-2750.611965458863,44.364767290697245,0.0031540623634287728,15.00529473719052,-199.58759032077143
2025-01-01 00:06:00,0.31918864708178946,0.184962098252605,0.0,0.005319810784696491,0.0030827016375434167,0.0,0.01810275831765788,0.0,0.2510858887641316,0.0,0.05,0.0,0.0,0.0,0.17037876491927167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.031860399916240616,0.023895299937180453,On,0,0,Off,0.0035099780701754383,0.0,On,0.014592780247482442,0,On,0.02391420220510265,0,On,0.19531128664278835,0.14648346498209122,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,20098.52372888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,11804.904355555556,Off,0.0,0.0,22.06951563448976,51.666666666666686,46.10666666666668,0.0,50.89984287841654,0.060076565266343945,161.09315143671247,0.0,22.06951563448976,48.53472282370424,50.89984287841654,47.3521627963481,12.43753247303448,17.277457472325718,-0.0003203054521101478,8.203780624272788,-0.8578876249717512,2.8,9.236100170605994,-1631.2951244640738,-2676.08212215922,-182.33819989459113,-1988.9438915203623,-0.0,-0.0,453.515699683461,0.0,3.0,0.10541746829322556,0.0,0.0,1.3642119232322951,197.99884266666666,-95.86693262717256,0.24673687635655814,8.217136449430987,0.0029524299711171224,-42.25476935498974,1.2333254209827347,0.38642393559815447,-2721.318543587472,45.23642142825209,0.0031540623634287728,15.035514275040047,-197.37371416963117
2025-01-01 00:07:00,0.31918864708178946,0.184962098252605,0.0,0.005319810784696491,0.0030827016375434167,0.0,0.01810275831765788,0.0,0.2510858887641316,0.0,0.05,0.0,0.0,0.0,0.17037876491927167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.031860399916240616,0.023895299937180453,On,0,0,Off,0.0035099780701754383,0.0,On,0.014592780247482442,0,On,0.02391420220510265,0,On,0.19531128664278835,0.14648346498209122,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,20098.52372888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,11804.904355555556,Off,0.0,0.0,22.140244802805597,51.666666666666686,46.10666666666668,0.0,50.89553548809718,0.06008329398846578,161.09315143671247,0.0,22.140244802805597,48.51929961622139,50.89553548809718,47.33118168028349,12.43753247303448,17.162011276218138,-0.11576650155969048,8.151737571381554,-0.8642261421672643,2.8,9.236100170605994,-1602.8403055707056,-2647.8707088135443,-180.31701600769276,-1964.7858465557272,-0.0,-0.0,453.515699683461,0.0,3.0,0.10497413524862693,0.0,0.0,1.3584747315201775,197.99884266666666,-91.5701586984394,0.24852960222902246,8.162692849825806,0.00295222922357185,-41.34649700493522,1.2338160176408606,0.3862492830421878,-2693.8917940515544,46.02108523801019,0.0031540623634287728,15.061568346555285,-195.37858435424803
2025-01-01 00:08:00,0.31918864708178946,0.184962098252605,0.0,0.005319810784696491,0.0030827016375434167,0.0,0.01810275831765788,0.0,0.2510858887641316,0.0,0.05,0.0,0.0,0.0,0.17037876491927167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.031860399916240616,0.023895299937180453,On,0,0,Off,0.0035099780701754383,0.0,On,0.014592780247482442,0,On,0.02391420220510265,0,On,0.19531128664278835,0.14648346498209122,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,20098.52372888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,11804.904355555556,Off,0.0,0.0,22.208554441727784,51.666666666666686,46.10666666666668,0.0,50.89122040287245,0.06009003624254076,161.0931514367125,0.0,22.208554441727784,48.5038704529908,50.89122040287245,47.310195478049984,12.43753247303448,17.04999470104093,-0.22778307673689824,8.102942493287433,-0.8695196501239021,2.8,9.236100170605994,-1575.4875387117627,-2621.4115761664284,-177.839762764456,-1941.4586914869483,-0.0,-0.0,453.515699683461,0.0,3.0,0.10454320247103857,0.0,0.0,1.3528980121887815,197.99884266666666,-87.5445469082753,0.2502829602033313,8.108824669498208,0.002952032869230504,-40.463765797783246,1.2342924141679728,0.3860854586795662,-2668.1977544838246,46.78617831739636,0.0031540623634287728,15.08332697410407,-192.92308973856007
2025-01-01 00:09:00,1.319299063748456,0.184962098252605,0.8572375000000001,0.021988317729140935,0.0030827016375434167,0.014287291666666669,0.01810275831765788,0.0,0.2510858887641316,1.0001104166666666,0.05,0.8572375000000001,0.0,0.0,0.17037876491927167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.031860399916240616,0.023895299937180453,On,0,0,Off,0.0035099780701754383,0.0,On,0.014592780247482442,0,On,0.02391420220510265,0,On,0.19531128664278835,0.14648346498209122,On,0,0,Off,On,16794.980141598946,17.77777777777783,0.8,4303.654003956609,25.123154661111112,1.0001104166666666,1,20098.52372888889,20098.52372888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,11804.904355555556,Off,0.0,0.0,22.27455431529961,51.666666666666686,46.10666666666668,0.0,50.88689784170323,0.06009679169493452,161.09315143671247,0.0,22.27455431529961,48.4884355377489,50.88689784170323,47.28920438577174,12.43753247303448,16.94125209041602,-0.33652568736180655,8.057174139613721,-0.8737085964442916,2.8,9.236100170605994,15245.807504919227,1707.0018387839564,-175.32876258653585,-1918.9202472433926,-0.0,-0.0,453.515699683461,0.0,3.0,0.10412413558801897,0.0,0.0,1.3474748499017029,197.99884266666666,-83.76808911978829,0.2519982719456959,8.057272687375566,0.0029518407811443175,-39.60547939740862,1.2347552398533985,0.38593173302186934,-2644.11600199713,47.46383682447749,0.0031540623634287728,15.100545371347227,-190.42930795788308
