Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.2292971617328969,0.1304480748422789,0.0,0.0038216193622149486,0.0021741345807046483,0.0,0.020804444860704912,0.0,0.16849271687219197,0.0,0.04000000000000001,0.0,0.0,0.0,0.11878140817561224,0,0.011666666666666674,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005684610681074085,0.0,On,0.01621494943587236,0,On,0.010117505971375614,0,On,0.12071493645959344,0.09053620234469506,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,18243.090524444444,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,9433.079853333333,Off,0.0,0.0,34.952818267172475,51.666666666666686,46.10666666666668,0.0,50.265997774319466,0.0,0.0,0.0,34.952818267172475,47.61584561996567,50.265997774319466,46.29076954278877,12.43753247303448,17.67272359224179,-0.1606097410915801,-1.0090222106125193,2.8,9.236100170605994,-1246.3067458309172,4501.956076245601,-1653.7794131838832,-0.0,-0.0,444.84557306961426,0.0,4.0,0.08532364945060213,0.0,0,0.7985449409388174,263.9984568888889,-37.37290571664826,0.24789015637145845,8.494745228031366,0.003050587925984469,18.91309387157682,1.2279891413742123,0.9061390909439998,4498.068069044702,3.8880072008994513
2025-01-01 00:01:00,0.2292971617328969,0.1304480748422789,0.0,0.0038216193622149486,0.0021741345807046483,0.0,0.020804444860704912,0.0,0.16849271687219197,0.0,0.04000000000000001,0.0,0.0,0.0,0.11878140817561224,0,0.011666666666666674,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005684610681074085,0.0,On,0.01621494943587236,0,On,0.010117505971375614,0,On,0.12071493645959344,0.09053620234469506,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,18243.090524444444,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,9433.079853333333,Off,0.0,0.0,35.04464623545991,51.666666666666686,46.10666666666668,0.0,50.2624216504193,0.0,0.0,0.0,35.04464623545991,47.61290241883814,50.2624216504193,46.28814280304756,12.43753247303448,17.590833894781518,-0.24249943855185307,-0.7025208413891155,2.8,9.236100170605994,-1243.6760386437488,4139.781969829817,-1640.8869686752405,-0.0,-0.0,444.84557306961426,0.0,4.0,0.08512720106232448,0.0,0,0.7967063783875811,263.9984568888889,-47.63464303812276,0.24990740843497555,8.479755377291639,0.0030506531910718198,19.329518138576333,1.23192309241754,0.9061390909439998,4136.1211058106455,3.660864019171251
2025-01-01 00:02:00,1.1370804950662303,0.1304480748422789,0.7781,0.018951341584437172,0.0021741345807046483,0.012968333333333333,0.020804444860704912,0.0,0.16849271687219197,0.9077833333333333,0.04000000000000001,0.7781,0.0,0.0,0.11878140817561224,0,0.011666666666666674,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005684610681074085,0.0,On,0.01621494943587236,0,On,0.010117505971375614,0,On,0.12071493645959344,0.09053620234469506,On,0,0,Off,On,15514.304361762126,18.33333333333337,0.8,3636.56949601565,22.803863155555554,0.9077833333333333,1,18243.090524444444,18243.090524444444,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,9433.079853333333,Off,0.0,0.0,35.13425922440326,51.666666666666686,46.10666666666668,0.0,50.2588373234013,0.0,0.0,0.0,35.13425922440326,47.609951485338996,50.2588373234013,46.28550856630785,12.43753247303448,17.510840150615376,-0.3224931827179951,-0.42178900452911894,2.8,9.236100170605994,14272.548721534833,7444.777892637763,-1628.3311465585596,-0.0,-0.0,444.84557306961426,0.0,4.0,0.08493517809244977,0.0,0,0.7949092333741546,263.9984568888889,-58.27006673834628,0.2511781186875506,8.441883555026111,0.0030507196801487406,19.73591287515646,1.232262084692259,0.9061390909439998,3804.605340996778,3.603055625334849
2025-01-01 00:03:00,1.1370804950662303,0.1304480748422789,0.7781,0.018951341584437172,0.0021741345807046483,0.012968333333333333,0.020804444860704912,0.0,0.16849271687219197,0.9077833333333333,0.04000000000000001,0.7781,0.0,0.0,0.11878140817561224,0,0.011666666666666674,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005684610681074085,0.0,On,0.01621494943587236,0,On,0.010117505971375614,0,On,0.12071493645959344,0.09053620234469506,On,0,0,Off,On,15514.304361762126,18.33333333333337,0.8,3636.56949601565,22.803863155555554,0.9077833333333333,1,18243.090524444444,18243.090524444444,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,9433.079853333333,Off,0.0,0.0,34.8940645763988,51.666666666666686,46.10666666666668,0.0,50.25524499360253,0.0,0.0,0.0,34.8940645763988,47.60699300598051,50.25524499360253,46.28286701216951,12.43753247303448,17.71429782629964,-0.11903550703373256,0.03028498324518658,2.8,9.236100170605994,14214.724376874281,6910.1564046182375,-1660.3398222164915,-0.0,-0.0,444.84557306961426,0.0,4.0,0.08542333468413453,0.0,0,0.7994778960976294,263.9984568888889,-84.0857357409663,0.24797947277885682,8.537863649240395,0.0030507875484541286,18.63861215133184,1.231400075017385,0.9061390909439998,3270.7519117393226,2.83499686326469
2025-01-01 00:04:00,1.1370804950662303,0.1304480748422789,0.7781,0.018951341584437172,0.0021741345807046483,0.012968333333333333,0.020804444860704912,0.0,0.16849271687219197,0.9077833333333333,0.04000000000000001,0.7781,0.0,0.0,0.11878140817561224,0,0.011666666666666674,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005684610681074085,0.0,On,0.01621494943587236,0,On,0.010117505971375614,0,On,0.12071493645959344,0.09053620234469506,On,0,0,Off,On,15514.304361762126,18.33333333333337,0.8,3636.56949601565,22.803863155555554,0.9077833333333333,1,18243.090524444444,18243.090524444444,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,9433.079853333333,Off,0.0,0.0,34.66153084722786,51.666666666666686,46.10666666666668,0.0,50.25167448003005,0.0,0.0,0.0,34.66153084722786,47.60405475220595,50.25167448003005,46.2802448882939,12.43753247303448,17.911191474518862,0.0,0.4439170468891641,2.8,9.236100170605994,14167.094756173887,6421.085610120295,-1691.5475080869537,-0.0,-0.0,444.84557306961426,0.0,4.0,0.08589499113699782,0.0,0,0.8038921338467212,263.9984568888889,-100.50767057089833,0.24492742327400543,8.629982295057738,0.003050851688204828,17.578592829739392,1.2305670243938263,0.9061390909439998,2782.294487514733,2.2216265899113443
2025-01-01 00:05:00,1.1370804950662303,0.1304480748422789,0.7781,0.018951341584437172,0.0021741345807046483,0.012968333333333333,0.020804444860704912,0.0,0.16849271687219197,0.9077833333333333,0.04000000000000001,0.7781,0.0,0.0,0.11878140817561224,0,0.011666666666666674,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005684610681074085,0.0,On,0.01621494943587236,0,On,0.010117505971375614,0,On,0.12071493645959344,0.09053620234469506,On,0,0,Off,On,15514.304361762126,18.33333333333337,0.8,3636.56949601565,22.803863155555554,0.9077833333333333,1,18243.090524444444,18243.090524444444,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,9433.079853333333,Off,0.0,0.0,34.43602578132553,51.666666666666686,46.10666666666668,0.0,50.24812508978667,0.0,0.0,0.0,34.43602578132553,47.60113607892782,50.24812508978667,46.27764157349841,12.43753247303448,18.102063851725486,0.0,0.8224692065250692,2.8,9.236100170605994,14125.25502384515,5973.528658553324,-1722.0177266570486,-0.0,-0.0,444.84557306961426,0.0,4.0,0.08635151392323206,0.0,0,0.8081647354491845,263.9984568888889,-111.87718432954156,0.24200882557880551,8.719171964335388,0.003050912221136216,16.55282749450072,1.2297605259781301,0.9061390909439998,2335.262864285537,1.6962982521370975
2025-01-01 00:06:00,1.1370804950662303,0.1304480748422789,0.7781,0.018951341584437172,0.0021741345807046483,0.012968333333333333,0.020804444860704912,0.0,0.16849271687219197,0.9077833333333333,0.04000000000000001,0.7781,0.0,0.0,0.11878140817561224,0,0.011666666666666674,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005684610681074085,0.0,On,0.01621494943587236,0,On,0.010117505971375614,0,On,0.12071493645959344,0.09053620234469506,On,0,0,Off,On,15514.304361762126,18.33333333333337,0.8,3636.56949601565,22.803863155555554,0.9077833333333333,1,18243.090524444444,18243.090524444444,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,9433.079853333333,Off,0.0,0.0,34.21708323260961,51.666666666666686,46.10666666666668,0.0,50.24459618714693,0.0,0.0,0.0,34.21708323260961,47.59823639429774,50.24459618714693,46.27505649787316,12.43753247303448,18.287315001790805,0.0,1.1690109230091537,2.8,9.236100170605994,14085.840061196057,5563.857503523432,-1751.7942128458315,-0.0,-0.0,444.84557306961426,0.0,4.0,0.08679392003633685,0.0,0,0.8123052189579771,263.9984568888889,-121.51566078985127,0.23921337914816174,8.805679201143105,0.0030509692591655967,15.559061251750023,1.228978790558751,0.9061390909439998,1926.0323207707115,1.255686737070214
2025-01-01 00:07:00,1.1370804950662303,0.1304480748422789,0.7781,0.018951341584437172,0.0021741345807046483,0.012968333333333333,0.020804444860704912,0.0,0.16849271687219197,0.9077833333333333,0.04000000000000001,0.7781,0.0,0.0,0.11878140817561224,0,0.011666666666666674,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005684610681074085,0.0,On,0.01621494943587236,0,On,0.010117505971375614,0,On,0.12071493645959344,0.09053620234469506,On,0,0,Off,On,15514.304361762126,18.33333333333337,0.8,3636.56949601565,22.803863155555554,0.9077833333333333,1,18243.090524444444,18243.090524444444,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,9433.079853333333,Off,0.0,0.0,34.00435784780758,51.666666666666686,46.10666666666668,0.0,50.241087178537974,0.0,0.0,0.0,34.00435784780758,47.595355145719125,50.241087178537974,46.27248912930971,12.43753247303448,18.467241190620886,0.0,1.4863405934625071,2.8,9.236100170605994,14047.63292509782,5188.75698304501,-1780.9062765090002,-0.0,-0.0,444.84557306961426,0.0,4.0,0.08722297255635067,0.0,0,0.8163207260472801,263.9984568888889,-130.6107332249195,0.23653285405788646,8.889057118879176,0.0030510229069603484,14.595600292728221,1.2282204778585724,0.9061390909439998,1551.2982344086433,0.8892526207164408
2025-01-01 00:08:00,0.2292971617328969,0.1304480748422789,0.0,0.0038216193622149486,0.0021741345807046483,0.0,0.020804444860704912,0.0,0.16849271687219197,0.0,0.04000000000000001,0.0,0.0,0.0,0.11878140817561224,0,0.011666666666666674,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005684610681074085,0.0,On,0.01621494943587236,0,On,0.010117505971375614,0,On,0.12071493645959344,0.09053620234469506,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,18243.090524444444,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,9433.079853333333,Off,0.0,0.0,33.79756432688224,51.666666666666686,46.10666666666668,0.0,50.23759750161781,0.0,0.0,0.0,33.79756432688224,47.59249180967585,50.23759750161781,46.269938963704874,12.43753247303448,18.642087099462838,0.0,1.7770077552044639,2.8,9.236100170605994,-1503.874923131486,1208.6376704232355,-1809.3766539966998,-0.0,-0.0,444.84557306961426,0.0,4.0,0.08763930680350247,0.0,0,0.8202172026858598,263.9984568888889,-139.34384220440046,0.23396018893055587,8.970089120035874,0.0030510732638038443,13.661032832057117,1.2274844736555055,0.9061390909439998,1208.0498607686532,0.5878096545823257
2025-01-01 00:09:00,0.2292971617328969,0.1304480748422789,0.0,0.0038216193622149486,0.0021741345807046483,0.0,0.020804444860704912,0.0,0.16849271687219197,0.0,0.04000000000000001,0.0,0.0,0.0,0.11878140817561224,0,0.011666666666666674,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005684610681074085,0.0,On,0.01621494943587236,0,On,0.010117505971375614,0,On,0.12071493645959344,0.09053620234469506,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,18243.090524444444,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,9433.079853333333,Off,0.0,0.0,33.924126337641866,51.666666666666686,46.10666666666668,0.0,50.23412661984544,0.0,0.0,0.0,33.924126337641866,47.58964588667547,50.23412661984544,46.26740552009049,12.43753247303448,18.530442189111852,0.0,1.848433996711789,2.8,9.236100170605994,-1478.6824599222052,1124.7462726269746,-1791.1768884760372,-0.0,-0.0,444.84557306961426,0.0,4.0,0.0873735323932646,0.0,0,0.8177298171591858,263.9984568888889,-132.35114451578247,0.23560536311871982,8.918254723101589,0.0030511204245208937,14.23561755472224,1.2279542761781603,0.9061390909439998,1123.7027295492974,1.0435430776771946
