Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Gas Lighting Gas Power (therms/hour),Gas Lighting Mode,Pool Pump Electric Power (kW),Pool Pump Reactive Power (kVAR),Pool Pump Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.32893793620456535,0.17018866312932474,0.0036091342185571368,0.0054822989367427554,0.0028364777188220787,6.015223697595228e-05,0.038102566134341785,0.0,0.29083537007022353,0.0,0.0036091342185571368,0.0,0.0,0.0,0.17018866312932474,0,1,0,0,Off,0,0,Off,0.06797617738451245,0.05098213303838432,On,0,0,Off,0.004544051535087718,0.0,On,0.03355851459925407,0,On,0.028585183404688123,0,On,0.15894204012125396,0.11920653009094043,On,0.0036091342185571368,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14607.250320000001,Off,0.0,0.0,40.263046563939525,51.666666666666686,46.10666666666668,0.0,51.36866979666498,0.08638095634686785,234.45079697717327,0.0,40.263046563939525,50.558837339122796,51.36866979666498,50.1539211103517,12.43753247303448,15.974344065899029,0.0,2.8,-154.95225971025405,-904.8926379414561,-0.0,-0.0,678.4777095696419,0.0,6.0,0.05270482813891897,0.0,0,0.3843800129199935,395.9976853333333,71.46266866156012,0.28068464216882577,7.74907362344694,0.003101324570573288,185.74947622586603,1.235164827532452
2025-01-01 00:01:00,0.32893793620456535,0.17018866312932474,0.0036091342185571368,0.0054822989367427554,0.0028364777188220787,6.015223697595228e-05,0.038102566134341785,0.0,0.29083537007022353,0.0,0.0036091342185571368,0.0,0.0,0.0,0.17018866312932474,0,1,0,0,Off,0,0,Off,0.06797617738451245,0.05098213303838432,On,0,0,Off,0.004544051535087718,0.0,On,0.03355851459925407,0,On,0.028585183404688123,0,On,0.15894204012125396,0.11920653009094043,On,0.0036091342185571368,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14607.250320000001,Off,0.0,0.0,40.28611941489123,51.666666666666686,46.10666666666668,0.0,51.361939783977505,0.0863958915757469,234.45079697717318,0.0,40.28611941489123,50.53570506727341,51.361939783977505,50.12258770892138,12.43753247303448,15.931986066721768,0.0,2.8,-167.27873721703776,-901.0310201758043,-0.0,-0.0,678.4777095696419,0.0,6.0,0.05264918802096082,0.0,0,0.3839742256322853,395.9976853333333,55.2745733891247,0.28231278816296423,7.751373246220832,0.0031018211583315907,185.7982815025557,1.238954045292686
2025-01-01 00:02:00,0.32893793620456535,0.17018866312932474,0.0036091342185571368,0.0054822989367427554,0.0028364777188220787,6.015223697595228e-05,0.038102566134341785,0.0,0.29083537007022353,0.0,0.0036091342185571368,0.0,0.0,0.0,0.17018866312932474,0,1,0,0,Off,0,0,Off,0.06797617738451245,0.05098213303838432,On,0,0,Off,0.004544051535087718,0.0,On,0.03355851459925407,0,On,0.028585183404688123,0,On,0.15894204012125396,0.11920653009094043,On,0.0036091342185571368,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14607.250320000001,Off,0.0,0.0,40.30910621528315,51.666666666666686,46.10666666666668,0.0,51.35520511093282,0.08641084231772934,234.4507969771732,0.0,40.30910621528315,50.512570852575244,51.35520511093282,50.09125372339646,12.43753247303448,15.889699982170503,0.0,2.8,-179.81843965712943,-897.1820013844207,-0.0,-0.0,678.4777095696419,0.0,6.0,0.052593637417754344,0.0,0,0.38356909118194726,395.9976853333333,38.88585215764937,0.28312215696343446,7.731826652436844,0.0031023163574039263,185.8472821181878,1.2391349324598953
2025-01-01 00:03:00,0.32893793620456535,0.17018866312932474,0.0036091342185571368,0.0054822989367427554,0.0028364777188220787,6.015223697595228e-05,0.038102566134341785,0.0,0.29083537007022353,0.0,0.0036091342185571368,0.0,0.0,0.0,0.17018866312932474,0,1,0,0,Off,0,0,Off,0.06797617738451245,0.05098213303838432,On,0,0,Off,0.004544051535087718,0.0,On,0.03355851459925407,0,On,0.028585183404688123,0,On,0.15894204012125396,0.11920653009094043,On,0.0036091342185571368,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14607.250320000001,Off,0.0,0.0,40.33200087514493,51.666666666666686,46.10666666666668,0.0,51.348465785737524,0.0864258085680143,234.4507969771732,0.0,40.33200087514493,50.48943470227417,51.348465785737524,50.059919160542485,12.43753247303448,15.847491053697116,0.0,2.8,-192.4835883337882,-893.3460293464345,-0.0,-0.0,678.4777095696419,0.0,6.0,0.05253818334663016,0.0,0,0.38316466074686456,395.9976853333333,22.384731443004426,0.2839326966863415,7.711759617799392,0.0031028116147676804,185.89621856869977,1.2393155416484043
2025-01-01 00:04:00,0.32893793620456535,0.17018866312932474,0.0036091342185571368,0.0054822989367427554,0.0028364777188220787,6.015223697595228e-05,0.038102566134341785,0.0,0.29083537007022353,0.0,0.0036091342185571368,0.0,0.0,0.0,0.17018866312932474,0,1,0,0,Off,0,0,Off,0.06797617738451245,0.05098213303838432,On,0,0,Off,0.004544051535087718,0.0,On,0.03355851459925407,0,On,0.028585183404688123,0,On,0.15894204012125396,0.11920653009094043,On,0.0036091342185571368,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14607.250320000001,Off,0.0,0.0,40.35479621284955,51.666666666666686,46.10666666666668,0.0,51.34172181714868,0.08644079032057295,234.4507969771732,0.0,40.35479621284955,50.46629662412886,51.34172181714868,50.02858402761895,12.43753247303448,15.805365461510789,0.0,2.8,-196.02841948254326,-889.5236339905391,-0.0,-0.0,678.4777095696419,0.0,6.0,0.05248283406071304,0.0,0,0.38276099451765583,395.9976853333333,15.017504938353994,0.2847442902071632,7.692275329684705,0.0031033069303459697,185.94507082191814,1.2394958460813026
2025-01-01 00:05:00,0.32893793620456535,0.17018866312932474,0.0036091342185571368,0.0054822989367427554,0.0028364777188220787,6.015223697595228e-05,0.038102566134341785,0.0,0.29083537007022353,0.0,0.0036091342185571368,0.0,0.0,0.0,0.17018866312932474,0,1,0,0,Off,0,0,Off,0.06797617738451245,0.05098213303838432,On,0,0,Off,0.004544051535087718,0.0,On,0.03355851459925407,0,On,0.028585183404688123,0,On,0.15894204012125396,0.11920653009094043,On,0.0036091342185571368,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14607.250320000001,Off,0.0,0.0,40.37733470224751,51.666666666666686,46.10666666666668,0.0,51.334973214572514,0.08645578756792706,234.4507969771732,0.0,40.37733470224751,50.44315662650275,51.334973214572514,49.99724833246787,12.43753247303448,15.763458602482196,0.0,2.8,-194.22746192283336,-885.7270390892537,-0.0,-0.0,678.4777095696419,0.0,6.0,0.052427767615858094,0.0,0,0.38235939106817657,395.9976853333333,13.021867596778463,0.28555445673070806,7.672897498429022,0.0031038023040193185,185.99341486683704,1.2396752645056546
2025-01-01 00:06:00,0.32893793620456535,0.17018866312932474,0.0036091342185571368,0.0054822989367427554,0.0028364777188220787,6.015223697595228e-05,0.038102566134341785,0.0,0.29083537007022353,0.0,0.0036091342185571368,0.0,0.0,0.0,0.17018866312932474,0,1,0,0,Off,0,0,Off,0.06797617738451245,0.05098213303838432,On,0,0,Off,0.004544051535087718,0.0,On,0.03355851459925407,0,On,0.028585183404688123,0,On,0.15894204012125396,0.11920653009094043,On,0.0036091342185571368,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14607.250320000001,Off,0.0,0.0,40.39952697249575,51.666666666666686,46.10666666666668,0.0,51.3282200016575,0.08647080027092316,234.4507969771732,0.0,40.39952697249575,50.42001473102374,51.3282200016575,49.96591209570687,12.43753247303448,15.721847309794267,0.0,2.8,-191.01133947863212,-881.9630986947965,-0.0,-0.0,678.4777095696419,0.0,6.0,0.05237308516110153,0.0,0,0.38196058808545125,395.9976853333333,12.474049646522445,0.2863617579770196,7.653123154150053,0.003104297734771203,186.04100879011975,1.2398534663568217
2025-01-01 00:07:00,0.32893793620456535,0.17018866312932474,0.0036091342185571368,0.0054822989367427554,0.0028364777188220787,6.015223697595228e-05,0.038102566134341785,0.0,0.29083537007022353,0.0,0.0036091342185571368,0.0,0.0,0.0,0.17018866312932474,0,1,0,0,Off,0,0,Off,0.06797617738451245,0.05098213303838432,On,0,0,Off,0.004544051535087718,0.0,On,0.03355851459925407,0,On,0.028585183404688123,0,On,0.15894204012125396,0.11920653009094043,On,0.0036091342185571368,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14607.250320000001,Off,0.0,0.0,40.421351150015454,51.666666666666686,46.10666666666668,0.0,51.32146221013211,0.08648582837238347,234.4507969771732,0.0,40.421351150015454,50.39687096684521,51.32146221013211,49.93457534520177,12.43753247303448,15.68055041227799,0.0,2.8,-187.72437788209385,-878.2333896596705,-0.0,-0.0,678.4777095696419,0.0,6.0,0.05231881164001752,0.0,0,0.381564767484718,395.9976853333333,12.031302207934743,0.28716580494177524,7.634054481034083,0.0031047932210734753,186.0877916459745,1.2400303697256196
2025-01-01 00:08:00,0.32893793620456535,0.17018866312932474,0.0036091342185571368,0.0054822989367427554,0.0028364777188220787,6.015223697595228e-05,0.038102566134341785,0.0,0.29083537007022353,0.0,0.0036091342185571368,0.0,0.0,0.0,0.17018866312932474,0,1,0,0,Off,0,0,Off,0.06797617738451245,0.05098213303838432,On,0,0,Off,0.004544051535087718,0.0,On,0.03355851459925407,0,On,0.028585183404688123,0,On,0.15894204012125396,0.11920653009094043,On,0.0036091342185571368,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14607.250320000001,Off,0.0,0.0,40.44280789706849,51.666666666666686,46.10666666666668,0.0,51.31469987370207,0.08650087181065297,234.4507969771732,0.0,40.44280789706849,50.3737253649624,51.31469987370207,49.903238110592575,12.43753247303448,15.639567371876828,0.0,2.8,-184.5749650075989,-874.5377340900029,-0.0,-0.0,678.4777095696419,0.0,6.0,0.05226494654411641,0.0,0,0.38117192555752627,395.9976853333333,11.485059512762206,0.28796656170368684,7.61460221901396,0.003105288761269248,186.1337630180554,1.240205975789156
2025-01-01 00:09:00,0.32893793620456535,0.17018866312932474,0.0036091342185571368,0.0054822989367427554,0.0028364777188220787,6.015223697595228e-05,0.038102566134341785,0.0,0.29083537007022353,0.0,0.0036091342185571368,0.0,0.0,0.0,0.17018866312932474,0,1,0,0,Off,0,0,Off,0.06797617738451245,0.05098213303838432,On,0,0,Off,0.004544051535087718,0.0,On,0.03355851459925407,0,On,0.028585183404688123,0,On,0.15894204012125396,0.11920653009094043,On,0.0036091342185571368,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14607.250320000001,Off,0.0,0.0,40.46390111989032,51.666666666666686,46.10666666666668,0.0,51.30793302601278,0.08651593052412661,234.4507969771732,0.0,40.46390111989032,50.35057795631478,51.30793302601278,49.87190042146578,12.43753247303448,15.5988948622684,0.0,2.8,-181.520968101248,-870.8757044234017,-0.0,-0.0,678.4777095696419,0.0,6.0,0.052211485695226226,0.0,0,0.38078203183217424,395.9976853333333,10.877026752511796,0.2887640441288441,7.595851133847399,0.003105784353700933,186.1789312444929,1.240380297712552
