Metric,Value
Total Electric Energy (kWh),903.0940807389042
Total Gas Energy (therms),0.0
Average Electric Power (kW),1.2542973343595891
Peak Electric Power (kW),9.860309012706203
Other Electric Energy (kWh),249.71326482310172
HVAC Heating Electric Energy (kWh),372.0811958154536
Lighting Electric Energy (kWh),29.441935308941535
Water Heating Electric Energy (kWh),217.1076847914074
HVAC Cooling Electric Energy (kWh),34.75
Average Temperature - Indoor (C),17.70763054331229
Unmet Heating Load (C-hours),41.24484326683583
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
