Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.21500917641542905,0.12646343533993287,0.0,0.21500917641542905,0.12646343533993287,0.0,0.011136992055173283,0.0,0.15387218436025576,0.0,0.05,0.0,0.0,0.11188010200659954,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.003103307748538012,0.0,0.008033684306635269,0.0,0.004698715018123009,0.0,0.10522809014731811,0.07892106761048856,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,4644.2978977777775,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3807.5798755555556,0.0,0.0,40.33186108465574,51.66666666666668,46.10666666666668,0.0,50.58913504848116,0.0,0.0,0.0,40.33186108465574,50.613832573276795,50.62618133567462,50.58913504848116,12.43753247303448,15.948042336640581,0.0,4.94448250498499,2.8,9.236100170605994,-170.44915265414545,-728.0718631356261,-477.90295262316516,0.0,0.0,289.64243854956123,0.0,2.0,0.02789065108766541,0.0,0.0,0.5190012546988318,131.99922844444444,17.811361419458496,0.26732174704238054,7.5655662370167915,0.0029394782298872916,52.89071313628274,1.2389464266096644,0.2610180606930463,-729.6915606231743,1.6196974875482233
2025-01-01 01:00:00,0.21367779385441832,0.12563945948003008,0.0,0.21367779385441832,0.12563945948003008,0.0,0.010904243974032928,0.0,0.15277354988038538,0.0,0.05,0.0,0.0,0.11105612614669674,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042846744714944256,0.03213505853620819,0.0,0.0,0.0028705596673976605,0.0,0.008033684306635269,0.0,0.004698715018123009,0.0,0.10522809014731811,0.07892106761048856,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,4644.2978977777775,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3807.5798755555556,0.0,0.0,40.18298424470416,51.66666666666668,46.10666666666668,0.0,50.25158329147377,0.0,0.0,0.0,40.18298424470416,50.27491706109909,50.28658394591175,50.25158329147377,12.43753247303448,15.737126105236511,0.0,5.376533577322488,2.5,9.236100170605994,-159.07275457178193,-722.837844348313,-461.2443158450263,0.0,0.0,288.3110559885505,0.0,2.0,0.02672749476099769,0.0,0.0,0.49735674051901024,131.99922844444444,13.860505284693852,0.27294896471609026,7.489643440247694,0.0029610516120000237,54.48678862107283,1.239895073680224,0.20246000094991137,-727.4128088230594,4.5749644747463645
2025-01-01 02:00:00,0.21257915937454797,0.12481548362012732,0.0,0.21257915937454797,0.12481548362012732,0.0,0.010904243974032928,0.0,0.151674915400515,0.0,0.05,0.0,0.0,0.11023215028679398,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.0028705596673976605,0.0,0.008033684306635269,0.0,0.004698715018123009,0.0,0.10522809014731811,0.07892106761048856,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,4644.2978977777775,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3807.5798755555556,0.0,0.0,40.09057887938079,51.66666666666668,46.10666666666668,0.0,49.8941291157088,0.0,0.0,0.0,40.09057887938079,49.936982770065676,49.95840959724411,49.8941291157088,12.43753247303448,15.478037309184307,0.0,5.7145875673009545,1.6500000000000001,9.236100170605994,-171.68392115440295,-713.0745133469949,-471.4023173057506,0.0,0.0,287.21242150868005,0.0,2.0,0.026034498308740054,0.0,0.0,0.4844611638939592,131.99922844444444,12.505974642667514,0.27968263507842633,7.391698706196021,0.00298421490282368,59.304201129656704,1.240990770787341,0.1362033728379987,-718.8352690656302,5.76075571863535
2025-01-01 03:00:00,0.21132535950725068,0.12399150776022454,0.0,0.21132535950725068,0.12399150776022452,0.0,0.01074907858660603,0.0,0.15057628092064465,0.0,0.05,0.0,0.0,0.1094081744268912,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04064947575520353,0.030487106816402636,0.0,0.0,0.0027153942799707604,0.0,0.008033684306635269,0.0,0.004698715018123009,0.0,0.10522809014731811,0.07892106761048856,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,4644.2978977777775,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3807.5798755555556,0.0,0.0,40.04193781315046,51.66666666666668,46.10666666666668,0.0,49.55524120475543,0.0,0.0,0.0,40.04193781315046,49.5995673934391,49.621730487780944,49.55524120475543,12.43753247303448,15.18238522817635,0.0,5.576263227330913,1.6500000000000001,9.236100170605994,-168.81169609077187,-828.2148686709097,-465.3981453476001,0.0,0.0,285.9586216413829,0.0,2.0,0.02627491940190042,0.0,0.0,0.4889350232030909,131.99922844444444,10.627827615445359,0.28727590448909435,7.2759922773550665,0.003007709838583212,47.739948420539704,1.2422456322532844,0.16985497977326103,-838.2009685978502,9.986099926940513
2025-01-01 04:00:00,0.21022672502738032,0.12316753190032176,0.0,0.21022672502738032,0.12316753190032176,0.0,0.01074907858660603,0.0,0.14947764644077427,0.0,0.05,0.0,0.0,0.10858419856698842,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.0027153942799707604,0.0,0.008033684306635269,0.0,0.004698715018123009,0.0,0.10522809014731811,0.07892106761048856,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,4644.2978977777775,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3807.5798755555556,0.0,0.0,39.95998845987969,51.66666666666668,46.10666666666668,0.0,49.24783288859863,0.0,0.0,0.0,39.95998845987969,49.262823983323074,49.270319530685306,49.24783288859863,12.43753247303448,14.916943343812447,0.0,5.357252146211072,0.55,9.236100170605994,-219.00120466075018,-807.3999153641599,-513.7303654912,0.0,0.0,284.8599871615125,0.0,2.0,0.02710502176056199,0.0,0.0,0.5043819256192321,131.99922844444444,9.86917366893744,0.2937991526303023,7.1640689968251205,0.003025341812888403,57.84697215828359,1.2427935247503212,0.15065104931930495,-818.8388456809662,11.438930316806248
2025-01-01 05:00:00,0.21053705580223409,0.12316753190032176,0.0,0.21053705580223409,0.12316753190032176,0.0,0.01105940936145983,0.0,0.14947764644077427,0.0,0.05,0.0,0.0,0.10858419856698842,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.003025725054824562,0.0,0.008033684306635269,0.0,0.004698715018123009,0.0,0.10522809014731811,0.07892106761048856,0.0,0.0,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,4644.2978977777775,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3807.5798755555556,0.0,0.0,40.002182219436534,51.66666666666668,46.10666666666668,0.0,48.89154397161085,0.0,0.0,0.0,40.002182219436534,48.926095397012965,48.943371109714015,48.89154397161085,12.43753247303448,14.543371690118487,-0.014065453335149266,5.291775174687912,-0.25000000000000006,9.236100170605994,-235.2223363349971,-887.7810122634302,-529.9572500425883,0.0,0.0,285.1703179363663,0.0,2.0,0.027170320600535116,0.0,0.0,0.5055970345734803,131.99922844444444,9.564595771224898,0.3036289852522852,7.011555205830992,0.003053786627920137,59.70711458204746,1.243761575255397,0.13030060477955047,-899.5460753356554,11.765063072225264
2025-01-01 06:00:00,5.030746698508319,0.12481548362012732,0.0,5.030746698508319,0.12481548362012732,0.0,0.011447322830027081,0.0,0.151674915400515,4.817624460277776,0.05,0.0,0.0,0.11023215028679398,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.003413638523391813,0.0,0.008033684306635269,0.0,0.004698715018123009,0.0,0.10522809014731811,0.07892106761048856,0.0,0.0,2692.0747064142884,18.33333333333337,1.0,2125.549753863489,4.644297897777777,0.17332656250000003,1.0,4644.2978977777775,4644.2978977777775,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3807.5798755555556,0.0,0.0,37.66187690271058,51.66666666666668,46.10666666666668,0.0,48.542868526080504,0.0,0.0,0.0,37.66187690271058,48.59631091997992,48.62303211692963,48.542868526080504,12.43753247303448,16.224511604241776,-1.5532661735360405,7.194086870152955,0.3,9.236100170605994,2362.1342833790054,593.3860344501843,-602.0604675392478,0.0,0.0,287.7555003646743,0.0,2.0,0.02868962576253834,0.0,0.0,0.5338689197608005,131.99922844444444,-15.635455860709374,0.2745619021292394,7.845391853234033,0.0030712869073003576,36.54120356755121,1.2365338445705525,0.1685535954515164,-1519.6507376160823,-12.512981797222313
2025-01-01 07:00:00,4.2002072374066435,0.12825390440049111,0.0,4.2002072374066435,0.12825390440049111,0.0,0.014705886843606016,0.5249782813333334,0.15789220603063087,3.4526308631990736,0.05,0.0,0.0,0.11367057106715776,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.0031808904422514625,0.0,0.011524996401354551,0.0,0.006331444607753803,0.0,0.10761538222806243,0.08071153667104679,0.0,0.0,1929.3202062635735,18.33333333333337,0.7166666666666667,1523.3106569355004,3.328413493407407,0.12421736979166667,0.7166666666666667,3328.4134934074073,4644.2978977777775,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3807.5798755555556,524.9782813333334,0.15,34.96604902839069,51.66666666666668,46.10666666666668,0.0,48.21174689668782,0.20361534304977366,503.9436877390018,524.9782813333334,34.96604902839069,48.09136468928514,48.24071916033235,48.00220132193929,12.43753247303448,18.043027495690037,-0.04844538281063026,8.115533952847837,-0.55,9.236100170605994,1445.0941604941772,-480.49322639750164,-775.3865804171985,0.0,0.0,297.06424456271696,0.7939120247617489,2.0,0.03160929244626812,0.0,0.0,0.5881993356193345,131.99922844444444,-5.903709914914682,0.24558624352363548,8.725201505910348,0.0030871193508783448,46.21737253129195,1.2287901679465358,0.1748161957402862,-2000.54596536047,-3.2579179725321223
2025-01-01 08:00:00,4.116372701673735,0.12995556117243223,0.0,4.116372701673735,0.12995556117243223,0.0,0.015641088004233587,0.758301961925926,0.16097375256302018,3.1314558991805552,0.05,0.0,0.0,0.1153722278390989,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.0024050635051169594,0.0,0.013236024499116626,0.0,0.00714411544422162,0.0,0.10878562344411356,0.08158921758308516,0.0,0.0,1749.8485591692877,18.33333333333337,0.65,1381.607340011268,3.018793633555555,0.11266226562500001,0.65,3018.7936335555555,4644.2978977777775,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3807.5798755555556,758.301961925926,0.21666666666666667,38.50081212109216,51.66666666666668,46.10666666666668,0.0,51.306426970658094,0.14389108889395325,378.6038474551988,758.301961925926,38.50081212109216,51.03957661948462,51.3064269706581,50.90615144389788,12.43753247303448,17.981915695148647,-0.06325695840201248,6.58643896437224,-1.4,9.236100170605994,1181.1100950953098,-531.7036967758028,-834.6440242969879,0.0,0.0,244.8994032817214,21.099957511231974,1.15,0.03257242382080295,0.0,0.0,0.606121699290667,75.89955635555556,21.00615694128864,0.24795407725319096,8.719327640343776,0.0031034962950983827,29.712885065994076,1.2296134815761008,0.18240493730520088,-1926.2410888517725,12.930052064701652
2025-01-01 09:00:00,2.7121671845672135,0.12907788026039388,0.0,2.712167184567213,0.12907788026039388,0.0,0.01346456374419081,0.0,0.15959664967950452,2.489105971143518,0.05,0.0,0.0,0.11449454692706054,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.0019395673428362575,0.0,0.011524996401354551,0.0,0.006937253776757084,0.0,0.10761538222806243,0.08071153667104679,0.0,0.0,1390.9052649807159,18.33333333333337,0.5166666666666667,1098.2007061628026,2.3995539138518516,0.08955205729166667,0.5166666666666667,2399.5539138518516,4644.2978977777775,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3807.5798755555556,0.0,0.0,38.162909006392994,51.66666666666668,46.10666666666668,0.0,51.347104693078386,0.04671494439883907,126.11513826493996,0.0,38.162909006392994,50.91089621847039,51.347104693078386,50.692791981166394,12.43753247303448,18.114296107814617,-0.03943782006885481,6.257615352895463,-0.85,9.236100170605994,850.9431679782177,-584.1387588792387,-805.1369029991246,0.0,0.0,231.52775088995318,56.86921017901182,1.0,0.0321255714808866,0.0,0.0,0.597806478381957,65.99961422222222,33.64705510667336,0.24727494119192744,8.803169389601319,0.0031193949036135205,54.265620888352096,1.2296594632768705,0.17932567320451695,-1687.2415912166616,4.902126174620182
