Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,3.6971407338788786,2.313133170994219,0.0,0.06161901223131464,0.03855221951657031,0.0,0.057467732629608276,0.0,0.3282271802687248,3.2614458209805455,0.05,0.0,0.0,0.19186395385374616,2.106685883807139,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.004021034356725146,0.0,On,0.0018102618165606512,0.0,On,0.05163643645632248,0,On,0.07240857513039657,0,On,0.19682376462675608,0.14761782347006702,On,HP On,5663.1839651683395,16.666666666666686,2.3698843846748585,1468.8787295665325,2.8255062376472124,0.4359395833333334,1,6696.123111401538,6696.123111401538,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8760.774724444445,Off,0.0,0.0,39.04250060792083,51.666666666666686,46.10666666666668,0.0,51.05318066732167,0.8277807360356891,2228.5134458560105,0.0,39.04250060792083,49.90136551758974,51.05318066732167,49.32545794272378,12.43753247303448,16.297172929900004,0.0,9.067031623441903,0.0903435199676881,2.8,9.236100170605994,4950.291925840852,30.995628170826194,1976.6153512863482,-1115.6269539612542,-0.0,-0.0,437.91686359668245,0.0,1.0,0.0634247164446753,0.0,0,0.5935925944740174,65.99961422222222,-35.18194896291577,0.23391394245998254,7.349907304059517,0.002636398255292639,-1.2730577406729324,1.234133346537872,0.1778523097413441,-1452.57661355706,14.693512161353741,0.5436834545663999,1919.897330651708,56.71802063464022
2025-01-01 00:01:00,3.69951711421811,2.314668161053845,0.0,0.06165861857030183,0.03857780268423075,0.0,0.057467732629608276,0.0,0.3282271802687248,3.2638222013197766,0.05,0.0,0.0,0.19186395385374616,2.1082208738667654,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.004021034356725146,0.0,On,0.0018102618165606512,0.0,On,0.05163643645632248,0,On,0.07240857513039657,0,On,0.19682376462675608,0.14761782347006702,On,HP On,5662.137231668617,16.666666666666686,2.3674267243609144,1468.607234841529,2.8278826179864427,0.4359395833333334,1,6694.804883176812,6694.804883176812,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8760.774724444445,Off,0.0,0.0,38.77731182369325,51.666666666666686,46.10666666666668,0.0,51.02130963615766,0.8284645007568989,2228.5134458560105,0.0,38.77731182369325,49.71042602975348,51.02130963615766,49.0549842265514,12.43753247303448,16.340018396017218,0.0,9.114208193907976,0.30514958700547196,2.8,9.236100170605994,4933.9276162326,18.816916545081313,1823.403405726603,-1121.1677911795107,-0.0,-0.0,437.91686359668245,0.0,1.0,0.06353802432238134,0.0,0,0.594653044104258,65.99961422222222,-44.95868785318822,0.233957031496091,7.3927609341317595,0.0026363938841106643,-1.373353233432951,1.2375552238151282,0.17792407037811836,-1464.101733335934,14.311415039486398,0.5436834545663999,1767.6988517106745,55.70455401592857
2025-01-01 00:02:00,3.7018211786123354,2.3161564396275605,0.0,0.06169701964353892,0.038602607327126004,0.0,0.057467732629608276,0.0,0.3282271802687248,3.2661262657140027,0.05,0.0,0.0,0.19186395385374616,2.1097091524404807,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.004021034356725146,0.0,On,0.0018102618165606512,0.0,On,0.05163643645632248,0,On,0.07240857513039657,0,On,0.19682376462675608,0.14761782347006702,On,HP On,5661.123080469443,16.666666666666686,2.3650481185223953,1468.3441910954325,2.830186682380669,0.4359395833333334,1,6693.527688231542,6693.527688231542,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8760.774724444445,Off,0.0,0.0,38.51373317898333,51.666666666666686,46.10666666666668,0.0,50.989437616379796,0.829149417283208,2228.51344585601,0.0,38.51373317898333,49.51950887213171,50.989437616379796,48.78454450000767,12.43753247303448,16.381501469881968,0.0,9.158048724799173,0.5068021045676356,2.8,9.236100170605994,4917.943040861256,7.527565285792889,1679.6609882477487,-1126.5429066630988,-0.0,-0.0,437.91686359668245,0.0,1.0,0.06364763933266743,0.0,0,0.5956789321491146,65.99961422222222,-54.55399654177018,0.23333901111925343,7.412931312422124,0.0026363891815918837,-1.470281086867793,1.2373779146883777,0.17799073060466375,-1474.819561976608,14.002936166968297,0.5436834545663999,1624.8201757457496,54.84081250199925
2025-01-01 00:03:00,3.704056238406187,2.3176001456326953,0.0,0.06173427064010311,0.038626669093878255,0.0,0.057467732629608276,0.0,0.3282271802687248,3.268361325507854,0.05,0.0,0.0,0.19186395385374616,2.1111528584456156,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.004021034356725146,0.0,On,0.0018102618165606512,0.0,On,0.05163643645632248,0,On,0.07240857513039657,0,On,0.19682376462675608,0.14761782347006702,On,HP On,5660.139983561581,16.666666666666686,2.3627447503964754,1468.0892020034407,2.8324217421745206,0.4359395833333334,1,6692.289602231688,6692.289602231688,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8760.774724444445,Off,0.0,0.0,38.25168863355566,51.666666666666686,46.10666666666668,0.0,50.95756446607013,0.8298354915837439,2228.5134458560105,0.0,38.25168863355566,49.32861390914267,50.95756446607013,48.514138630678936,12.43753247303448,16.421687370005397,0.0,9.198832570661189,0.6961333370450219,2.8,9.236100170605994,4902.197177548578,-2.995687409650145,1544.7055111409895,-1131.7597507767357,-0.0,-0.0,437.91686359668245,0.0,1.0,0.06375374255211895,0.0,0,0.5966719533062721,65.99961422222222,-64.09991883294967,0.2327420209234229,7.432360160190261,0.002636384146459628,-1.5640025459285383,1.2372061988112515,0.17805272068569464,-1484.7967656214125,13.711876208321842,0.5436834545663999,1490.671610966056,54.03390017493347
2025-01-01 00:04:00,3.70622515298954,2.319001126052649,0.0,0.06177041921649233,0.03865001876754415,0.0,0.057467732629608276,0.0,0.3282271802687248,3.270530240091207,0.05,0.0,0.0,0.19186395385374616,2.112553838865569,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.004021034356725146,0.0,On,0.0018102618165606512,0.0,On,0.05163643645632248,0,On,0.07240857513039657,0,On,0.19682376462675608,0.14761782347006702,On,HP On,5659.186618331109,16.666666666666686,2.360513305002448,1467.841924514812,2.8345906567578734,0.4359395833333334,1,6691.088959512587,6691.088959512587,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8760.774724444445,Off,0.0,0.0,37.99111221277508,51.666666666666686,46.10666666666668,0.0,50.92569005018677,0.8305227295093445,2228.5134458560105,0.0,37.99111221277508,49.13774101160756,50.92569005018677,48.24376649231796,12.43753247303448,16.460632669871533,0.0,9.236801242299332,0.8739177007917187,2.8,9.236100170605994,4889.770591597391,-12.808390058016812,1417.989932905472,-1136.824744293001,-0.0,-0.0,437.91686359668245,0.0,1.0,0.06385649140788238,0.0,0,0.5976335809380653,65.99961422222222,-70.50814603739846,0.23216505424650738,7.451079842792954,0.0026363787896249873,-1.6546602226819118,1.237039829892475,0.17811041240339134,-1494.09103616049,13.440721587661079,0.5436834545663999,1364.7044531716388,53.2854797338331
2025-01-01 00:05:00,3.708333651806905,2.320363081742973,0.0,0.06180556086344841,0.03867271802904955,0.0,0.057467732629608276,0.0,0.3282271802687248,3.272638738908572,0.05,0.0,0.0,0.19186395385374616,2.113915794555893,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.004021034356725146,0.0,On,0.0018102618165606512,0.0,On,0.05163643645632248,0,On,0.07240857513039657,0,On,0.19682376462675608,0.14761782347006702,On,HP On,5658.2604076880625,16.666666666666686,2.358347553848842,1467.6016902012109,2.8366991555752383,0.4359395833333334,1,6689.922514555939,6689.922514555939,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8760.774724444445,Off,0.0,0.0,37.731878638027865,51.666666666666686,46.10666666666668,0.0,50.893814239653715,0.8312111368111711,2228.5134458560105,0.0,37.731878638027865,48.946890055903005,50.893814239653715,47.97342796402765,12.43753247303448,16.498444918520523,0.0,9.272171207236447,1.0408805486451307,2.8,9.236100170605994,4880.794649320221,-21.962010834547527,1298.995909780229,-1141.7510376943242,-0.0,-0.0,437.91686359668245,0.0,1.0,0.06395617693228936,0.0,0,0.5985665388191757,65.99961422222222,-73.63158427019947,0.23160636825516376,7.469779088787966,0.002636373121518306,-1.742515948388693,1.2368783443656257,0.1781641386940432,-1502.7541696094302,13.190468573671826,0.5436834545663999,1246.4047615782783,52.59114820195082
2025-01-01 00:06:00,3.710387313990399,2.3216896164670033,0.0,0.06183978856650665,0.03869482694111672,0.0,0.057467732629608276,0.0,0.3282271802687248,3.2746924010920657,0.05,0.0,0.0,0.19186395385374616,2.1152423292799236,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.004021034356725146,0.0,On,0.0018102618165606512,0.0,On,0.05163643645632248,0,On,0.07240857513039657,0,On,0.19682376462675608,0.14761782347006702,On,HP On,5657.35884911508,16.666666666666686,2.35624147122438,1467.367849976444,2.8387528177587322,0.4359395833333334,1,6688.78711575819,6688.78711575819,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8760.774724444445,Off,0.0,0.0,37.47386657015568,51.666666666666686,46.10666666666668,0.0,50.86193691672262,0.8319007190237173,2228.5134458560105,0.0,37.47386657015568,48.75606092895467,50.86193691672262,47.7031229350707,12.43753247303448,16.53522829007082,0.0,9.305138239500598,1.1977009862081842,2.8,9.236100170605994,4873.116489551542,-30.505539816600958,1187.238524692633,-1146.551463625814,-0.0,-0.0,437.91686359668245,0.0,1.0,0.06405308019633621,0.0,0,0.5994734574960411,65.99961422222222,-75.60775953440644,0.23106429203323012,7.4872623979556945,0.0026363671516789066,-1.827822490102328,1.2367212936771776,0.17821420039287034,-1510.8330910016657,12.95970120862104,0.5436834545663999,1135.2913633716728,51.94716132096031
2025-01-01 00:07:00,3.712389313783877,2.322982780583719,0.0,0.06187315522973128,0.03871637967639532,0.0,0.057467732629608276,0.0,0.3282271802687248,3.276694400885544,0.05,0.0,0.0,0.19186395385374616,2.1165354933966394,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.004021034356725146,0.0,On,0.0018102618165606512,0.0,On,0.05163643645632248,0,On,0.07240857513039657,0,On,0.19682376462675608,0.14761782347006702,On,HP On,5656.480502758392,16.666666666666686,2.3541915368706494,1467.1400303808828,2.840754817552211,0.4359395833333334,1,6687.68094980594,6687.68094980594,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8760.774724444445,Off,0.0,0.0,37.21700543848692,51.666666666666686,46.10666666666668,0.0,50.830057974616565,0.832591481470659,2228.5134458560105,0.0,37.21700543848692,48.56525352790562,50.830057974616565,47.43285130455015,12.43753247303448,16.57104333446018,0.0,9.335880389287455,1.345014868101233,2.8,9.236100170605994,4865.914977342074,-38.4249717061773,1082.2637403890599,-1151.2332603168006,-0.0,-0.0,437.91686359668245,0.0,1.0,0.06414736648387172,0.0,0,0.6003558838619569,65.99961422222222,-77.24912869619897,0.23053781482889968,7.5048208713420514,0.0026363608887850654,-1.910729067904363,1.236568416022966,0.17826087085478384,-1518.3705493755422,12.805547288482003,0.5436834545663999,1030.9137307460667,51.35000964299317
2025-01-01 00:08:00,3.7143418707097586,2.324244007762973,0.0,0.061905697845162644,0.038737400129382885,0.0,0.057467732629608276,0.0,0.3282271802687248,3.278646957811426,0.05,0.0,0.0,0.19186395385374616,2.1177967205758934,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.004021034356725146,0.0,On,0.0018102618165606512,0.0,On,0.05163643645632248,0,On,0.07240857513039657,0,On,0.19682376462675608,0.14761782347006702,On,HP On,5655.624352183235,16.666666666666686,2.3521952335512606,1466.9179677784866,2.8427073744780924,0.4359395833333334,1,6686.602736628388,6686.602736628388,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8760.774724444445,Off,0.0,0.0,36.9612449712954,51.666666666666686,46.10666666666668,0.0,50.79817731293973,0.8332834293627385,2228.5134458560105,0.0,36.9612449712954,48.37446775584129,50.79817731293973,47.16261297729207,12.43753247303448,16.605933161702694,0.0,9.36456727438739,1.4834175778244616,2.8,9.236100170605994,4858.872731885195,-45.9508194601915,983.6464346398956,-1155.8014509645182,-0.0,-0.0,437.91686359668245,0.0,1.0,0.06423915459794931,0.0,0,0.6012149297959616,65.99961422222222,-78.86703293020338,0.23002619381310274,7.521851254243705,0.002636354341008777,-1.9913433122152853,1.2364195243617206,0.17830441014752862,-1525.4073700673157,12.53858282863747,0.5436834545663999,932.8500112632854,50.79642337661014
2025-01-01 00:09:00,3.716246796779287,2.3254744684484017,0.0,0.06193744661298811,0.03875790780747336,0.0,0.057467732629608276,0.0,0.3282271802687248,3.280551883880954,0.05,0.0,0.0,0.19186395385374616,2.119027181261322,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.004021034356725146,0.0,On,0.0018102618165606512,0.0,On,0.05163643645632248,0,On,0.07240857513039657,0,On,0.19682376462675608,0.14761782347006702,On,HP On,5654.789563174854,16.666666666666686,2.350250480302955,1466.7014457962186,2.8446123005476207,0.4359395833333334,1,6685.551425637739,6685.551425637739,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8760.774724444445,Off,0.0,0.0,36.706543699046506,51.666666666666686,46.10666666666668,0.0,50.76629483584208,0.8339765678366873,2228.5134458560105,0.0,36.706543699046506,48.18370352008026,50.76629483584208,46.89240786219935,12.43753247303448,16.63993332069819,0.0,9.391333417774947,1.6134666287580417,2.8,9.236100170605994,4852.0121084985385,-52.8577084927133,890.9885401591451,-1160.2601190119876,-0.0,-0.0,437.91686359668245,0.0,1.0,0.06432854300714029,0.0,0,0.602051516866459,65.99961422222222,-80.43419926101063,0.22952880612347693,7.538373828736155,0.002636347516158041,-2.0697546381668133,1.236274464166422,0.17834502466421862,-1531.9758911150857,12.416736826153858,0.5436834545663999,840.7051849426474,50.28335521649774
