Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-20 06:00:00,6.419951288875623,0.3411484426547489,0.003939994084585633,0.46086114099996517,5.366874491259259,0.01723737528306447,0.5249782813333334,0.05,0.003939994084585633,0.0,48.688562311675575,19.557257952849742,-0.1928078881732395
2025-01-20 07:00:00,4.41600018121056,0.3730648329533476,0.005000761722743305,0.5314883180665511,3.626266548148149,0.03325255455141461,0.17499276044444445,0.05,0.005000761722743305,0.0,51.81177422222611,19.74873441588048,-0.06803808692025039
2025-01-20 08:00:00,4.122966611010138,0.3763320238781221,0.005000761722743305,0.5579787212413774,3.481215886222223,0.033772003546538074,0.0,0.05,0.005000761722743305,0.0,51.264103202152924,19.77640835869374,-0.053408966686079515
2025-01-20 09:00:00,4.074016968324129,0.38805670798402825,0.00484922348872078,0.6449300087966123,2.755962576592593,0.03981518145344194,0.5833092014814816,0.05,0.00484922348872078,0.0,51.551399887176814,19.818756420131795,-0.04890226892286531
2025-01-20 10:00:00,3.060903379710017,0.4078523572236186,0.005000761722743305,0.7555320437822751,2.030709266962963,0.04966930852033364,0.17499276044444445,0.05,0.005000761722743305,0.0,51.37000752670934,19.736845209236947,-0.060673731868278465
2025-01-20 11:00:00,3.1852223457516713,0.38736637070890345,0.005000761722743305,0.6555513829530575,1.4505066192592593,0.03753870102083593,0.9916256425185186,0.05,0.005000761722743305,0.0,51.342936980648076,19.818182339931102,-0.045577921758804214
2025-01-20 12:00:00,2.448643616876288,0.42082887319729184,0.00484922348872078,0.7772433702205443,1.1604052954074076,0.05267851021129856,0.40831644103703707,0.05,0.00484922348872078,0.0,51.24096329993367,19.72381754105542,-0.06142750924853993
2025-01-20 13:00:00,1.849165774550111,0.42082887319729184,0.00484922348872078,0.8161048525102075,0.5802026477037038,0.05287275344731079,0.3499855208888889,0.05,0.00484922348872078,0.0,51.59858083963128,19.65595212762553,-0.06507499623703263
2025-01-20 14:00:00,2.87940434947173,0.42443646830680143,0.00484922348872078,0.855673075283828,1.1604052954074076,0.05502401685456855,0.758301961925926,0.05,0.00484922348872078,0.0,51.24802657347301,19.761378136559806,-0.06195603558862033
2025-01-20 15:00:00,2.152202000590703,0.4399803090244698,0.005000761722743305,0.9337897779889555,0.5802026477037038,0.0632312935647099,0.5249782813333334,0.05,0.005000761722743305,0.0,51.218280737275016,19.637284614236737,-0.07620179016825546
2025-01-20 16:00:00,3.467583674377671,0.5245106376386349,0.006819220531013596,1.2113843763828533,1.1604052954074076,0.11249928021703935,0.9332947223703704,0.05,0.006819220531013596,0.0,51.38035765531064,19.817310538417225,-0.04144257732257438
2025-01-20 17:00:00,4.0773871058333375,0.5520097817757713,0.00863767933928389,1.2717326306327237,2.610911914666667,0.14474256053394638,0.0,0.05,0.00863767933928389,0.0,51.3133334045211,20.786154454025212,-0.06812222185832055
2025-01-20 18:00:00,4.323856044062419,0.46474669077807085,0.01000152344548661,0.982556865496667,3.191114562370371,0.10018461619538015,0.0,0.05,0.01000152344548661,0.0,50.99667326006274,20.879129436154553,-0.04610339163229741
2025-01-20 19:00:00,4.494657449793868,0.4579546235635569,0.01151690578571185,1.1250846943736406,2.465861252740741,0.09540954075356016,0.758301961925926,0.05,0.01151690578571185,0.0,50.73688866256646,20.838607068738913,-0.04633692805152538
