Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-01 00:00:00,0.3026075809363012,0.17192964436619995,0.0,0.2301879164575988,0.0,0.022419664478702344,0.0,0.05,0.0,51.260321287030685,17.037184613555425,-0.016382832626508394
2025-01-01 01:00:00,3.5001253872804168,0.16797609642912076,0.0,0.2136062073148048,3.2194562584768516,0.017062921488760024,0.0,0.05,0.0,51.12638140469258,15.839205931383058,-0.04789841620114919
2025-01-01 02:00:00,3.994549731360946,0.16731863235757333,0.0,0.2127295885527416,3.714757221319444,0.017062921488760024,0.0,0.05,0.0,50.991991877290744,15.859400008156195,-0.05431954350069575
2025-01-01 03:00:00,3.993497613695374,0.16666116828602592,0.0,0.21185296979067836,3.714757221319444,0.016887422585251253,0.0,0.05,0.0,50.85813890710958,15.828267683801268,-0.057374391322711354
2025-01-01 04:00:00,4.1026560080071635,0.17879023645145514,0.0,0.32036679531788725,3.714757221319444,0.017531991369832387,0.0,0.05,0.0,50.71242658049274,15.805792593146629,-0.058628572538310456
2025-01-01 05:00:00,5.8624930919079965,0.1767443912935389,0.0,0.2302955110262945,4.457708665583334,0.024475806853924333,1.1000131084444444,0.05,0.0,50.75731659215522,15.77197422416649,-0.07091183024186455
2025-01-01 06:00:00,4.49046494036582,0.16731863235757333,0.0,0.2127295885527416,4.210058184162037,0.017677167651040725,0.0,0.05,0.0,51.841679517721005,15.85279180830629,-0.046747562014393416
2025-01-01 07:00:00,5.292987121990495,0.18198838305928827,0.0,0.24474202379518678,4.953009628425926,0.04523546976938274,0.0,0.05,0.0,51.647729352153554,15.749794975653817,-0.07541121790466297
2025-01-01 08:00:00,4.491954053779201,0.1692910245722156,0.0,0.21535944483893127,4.210058184162037,0.016536424778233708,0.0,0.05,0.0,51.474661368482515,15.843977608730983,-0.053755548461443294
2025-01-01 09:00:00,10.930340074022379,0.1692910245722156,0.0,0.21535944483893127,10.64897070111574,0.01600992806770739,0.0,0.05,0.0,51.34123846415792,18.525794103584676,-0.550761638344554
2025-01-01 10:00:00,6.799602456794548,0.18511397982832697,0.0,0.2609909556763526,6.438912516953703,0.04969898416449255,0.0,0.05,0.0,51.12644236008598,19.140226318496484,-0.06031659451574569
2025-01-01 11:00:00,5.863008173570268,0.19574100884305873,0.0,0.2949819349030364,5.448310591268519,0.06971564739871314,0.0,0.05,0.0,50.85096288915961,19.16420339108576,-0.05377682152908392
2025-01-01 12:00:00,4.987605138673331,0.16994848864376302,0.0,0.2162360636009945,4.705359147004629,0.01600992806770739,0.0,0.05,0.0,50.68868740548309,19.093057131299837,-0.0679001762173699
2025-01-01 13:00:00,3.501965498500817,0.16994848864376302,0.0,0.2162360636009945,3.2194562584768516,0.01627317642297055,0.0,0.05,0.0,50.561882386557045,19.167095005729756,-0.05695688099225767
2025-01-01 14:00:00,3.5021409974043256,0.16994848864376302,0.0,0.2162360636009945,3.2194562584768516,0.016448675326479322,0.0,0.05,0.0,50.435755548480316,19.248000058003594,-0.045729138401778675
2025-01-01 15:00:00,2.511101200215849,0.1692910245722156,0.0,0.21535944483893127,2.228854332791667,0.016887422585251253,0.0,0.05,0.0,50.31020080204144,19.116047053145337,-0.05963222021051641
2025-01-01 16:00:00,4.400428600789236,0.18393629095950584,0.0,0.2631051236346991,3.2194562584768516,0.042857387344351475,0.8250098313333335,0.05,0.0,50.16114563609459,19.16813914519794,-0.04432750475317141
2025-01-01 17:00:00,5.899819830990028,0.2458388277931029,0.0,0.486278141844345,3.714757221319444,0.18210032323364594,1.4666841445925927,0.05,0.0,51.59171257486799,19.19402244100677,-0.061007639469277446
2025-01-01 18:00:00,6.23456591169507,0.272385846217165,0.0,0.6382046525837227,3.714757221319444,0.2732521341622725,1.5583519036296296,0.05,0.0,51.42004166125279,19.170629251934013,-0.05259926183198272
2025-01-01 19:00:00,5.948676214259366,0.2533402600387959,0.0,0.6615077138867317,3.714757221319444,0.2390626525346707,1.2833486265185186,0.05,0.0,51.32180308660275,19.175888684014645,-0.04930290028682365
2025-01-01 20:00:00,6.427379337786663,0.1818169928583156,0.0,0.27091851197522016,5.695961072689815,0.043828716973479946,0.36667103614814817,0.05,0.0,51.601584498062074,19.164995687210716,-0.05745340592594553
2025-01-01 21:00:00,5.7375730360556485,0.17257834492995272,0.0,0.21974253864924742,5.448310591268519,0.01951990613788283,0.0,0.05,0.0,51.48079883673261,19.154899108699517,-0.058502279802561334
2025-01-01 22:00:00,6.230331016308326,0.17126341678685783,0.0,0.21798930112512097,5.9436115541111105,0.018730161072093358,0.0,0.05,0.0,51.35273479123637,19.1474476011231,-0.06464397208608268
2025-01-01 23:00:00,7.0626563230199695,0.1839529148706155,0.0,0.28533377242800595,6.686562998374999,0.04075955221696418,0.0,0.05,0.0,51.22519341396629,19.151603605682055,-0.055297177215568816
2025-01-02 00:00:00,1.5849721028786958,0.1847161766031766,0.0,0.26580153199245865,1.2382524071064815,0.030918163779755755,0.0,0.05,0.0,51.09511432511834,16.889066022002044,-0.024768150591737412
2025-01-02 01:00:00,4.582342362800348,0.1836609093064788,0.0,0.24577248025729712,3.714757221319444,0.021806107001384228,0.5500065542222222,0.05,0.0,50.868319821539295,15.818813059107457,-0.05761702143519152
