Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.365003335982531,0.18181789596279524,0.0,0.006083388933042183,0.0030302982660465874,0.0,0.037700148382739836,0.0,0.27730318759979117,0.0,0.05,0.0,0.0,0.1672345626294619,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0035099780701754383,0.0,On,0.001448127723678238,0.0,On,0.03274204258888616,0,On,0.054323770760508566,0,On,0.1879146663567534,0.14093599976756502,On,Off,0.0,16.111111111111143,0.0,0.0,0.0,0.0,0,0.0,14324.436697777777,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9579.029266666666,Off,0.0,0.0,22.71093112797461,51.666666666666686,46.10666666666668,0.0,51.32322195865749,0.0,0.0,0.0,22.71093112797461,51.35456394184999,51.37023493344624,51.32322195865749,12.43753247303448,19.104739464243757,0.0,7.6962844136999005,-1.279123994707287,-1.8020558301176988,2.8,9.236100170605994,-845.7160674993547,-2398.5917934365275,2421.0728987617435,1121.0404643159131,-1193.436563065159,-0.0,-0.0,433.8485377820027,0.0,2.0,0.056165266463239924,0.0,0.0,0.7268370927628773,131.99922844444444,-86.12804221619851,0.20632691234955416,8.846953874263331,0.0027765006413435402,31.235609501694437,1.2221741973401872,0.3847174334385936,-2454.8567568311814,56.26496339465377,0.4530695454719999,2408.51541100838,12.557487753363999,0.22236142343624232,1333.6104209437278,-212.56995662781478
2025-01-01 00:01:00,0.365003335982531,0.18181789596279524,0.0,0.006083388933042183,0.0030302982660465874,0.0,0.037700148382739836,0.0,0.27730318759979117,0.0,0.05,0.0,0.0,0.1672345626294619,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0035099780701754383,0.0,On,0.001448127723678238,0.0,On,0.03274204258888616,0,On,0.054323770760508566,0,On,0.1879146663567534,0.14093599976756502,On,Off,0.0,16.111111111111143,0.0,0.0,0.0,0.0,0,0.0,14324.436697777777,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9579.029266666666,Off,0.0,0.0,22.792346178622196,51.666666666666686,46.10666666666668,0.0,51.321172255449135,0.0,0.0,0.0,22.792346178622196,51.35265156850166,51.36839122502793,51.321172255449135,12.43753247303448,18.98721571483247,0.0,7.665582572696968,-0.9245693135768627,-1.7367613336821834,2.8,9.236100170605994,-845.7823425120498,-2382.1677691155255,2211.050072204181,1098.0906973656547,-1180.204956386906,-0.0,-14.365119803117159,433.8485377820027,0.0,2.0,0.05594581797436415,0.0,0.0006809566197260235,0.7328094890361714,131.99922844444444,-85.06080410402947,0.20846398173761654,8.815844799730376,0.0027766503921139328,30.590996570459904,1.2262373197641978,0.38461395282190475,-2438.8075705174783,56.63980140195287,0.4530695454719999,2199.1688908594942,11.881181344686834,0.22188778580817903,1311.8886695216827,-213.79797215602795
2025-01-01 00:02:00,0.365003335982531,0.18181789596279524,0.0,0.006083388933042183,0.0030302982660465874,0.0,0.037700148382739836,0.0,0.27730318759979117,0.0,0.05,0.0,0.0,0.1672345626294619,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0035099780701754383,0.0,On,0.001448127723678238,0.0,On,0.03274204258888616,0,On,0.054323770760508566,0,On,0.1879146663567534,0.14093599976756502,On,Off,0.0,16.111111111111143,0.0,0.0,0.0,0.0,0,0.0,14324.436697777777,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9579.029266666666,Off,0.0,0.0,22.87150573402714,51.666666666666686,46.10666666666668,0.0,51.31911520730389,0.0,0.0,0.0,22.87150573402714,51.350732339601166,51.366540905749815,51.31911520730389,12.43753247303448,18.87288781030886,0.0,7.636996494420049,-0.6025234514312373,-1.6738682944819658,2.8,9.236100170605994,-828.8633685983054,-2366.763149544775,2020.3449505649464,1076.4760394975551,-1167.3899473142712,-0.0,-9.987126428156698,433.8485377820027,0.0,2.0,0.055731968623336514,0.0,0.00047679202481729267,0.7273999528524949,131.99922844444444,-85.33483263788014,0.2099689188576517,8.762455337039029,0.0027767965665028687,31.124520844178615,1.2267172874257162,0.3845175783517964,-2423.8716719512045,57.10852240642937,0.4530695454719999,2009.0171761688805,11.327774396066,0.22143061013531917,1291.0364485846865,-214.56040908713132
2025-01-01 00:03:00,0.365003335982531,0.18181789596279524,0.0,0.006083388933042183,0.0030302982660465874,0.0,0.037700148382739836,0.0,0.27730318759979117,0.0,0.05,0.0,0.0,0.1672345626294619,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0035099780701754383,0.0,On,0.001448127723678238,0.0,On,0.03274204258888616,0,On,0.054323770760508566,0,On,0.1879146663567534,0.14093599976756502,On,Off,0.0,16.111111111111143,0.0,0.0,0.0,0.0,0,0.0,14324.436697777777,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9579.029266666666,Off,0.0,0.0,22.948274739440926,51.666666666666686,46.10666666666668,0.0,51.31705101820562,0.0,0.0,0.0,22.948274739440926,51.348806445072434,51.364684158505845,51.31705101820562,12.43753247303448,18.76194771362044,0.0,7.610326847803124,-0.30994004790282004,-1.6130595109473957,2.8,9.236100170605994,-812.3352018156861,-2352.415679235356,1847.092445606062,1056.1492534487386,-1155.008334825325,-0.0,-5.748291011258618,433.8485377820027,0.0,2.0,0.055524106994903524,0.0,0.0002763345644559651,0.7221158782258199,131.99922844444444,-85.427113761105,0.21144144300624776,8.711513324269468,0.002776945232065853,31.645003054551918,1.2271833868654918,0.38442764311150807,-2409.943425111592,57.5277458762361,0.4530695454719999,1836.2615459605752,10.830899645486847,0.2209876858215407,1270.9413508358239,-214.79209738708525
2025-01-01 00:04:00,0.365003335982531,0.18181789596279524,0.0,0.006083388933042183,0.0030302982660465874,0.0,0.037700148382739836,0.0,0.27730318759979117,0.0,0.05,0.0,0.0,0.1672345626294619,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0035099780701754383,0.0,On,0.001448127723678238,0.0,On,0.03274204258888616,0,On,0.054323770760508566,0,On,0.1879146663567534,0.14093599976756502,On,Off,0.0,16.111111111111143,0.0,0.0,0.0,0.0,0,0.0,14324.436697777777,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9579.029266666666,Off,0.0,0.0,23.0227965607553,51.666666666666686,46.10666666666668,0.0,51.31497990434727,0.0,0.0,0.0,23.0227965607553,51.34687408621164,51.36282117714384,51.31497990434727,12.43753247303448,18.654192052902008,0.0,7.5854025768742055,-0.044065386144994556,-1.5540583140449746,2.8,9.236100170605994,-794.7711485457367,-2338.9582504526734,1689.6645210907118,1036.917839908102,-1143.032829908606,-0.0,-1.640032061265345,433.8485377820027,0.0,2.0,0.05532188092490025,0.0,7.937624889881305e-05,0.7169500161806897,131.99922844444444,-83.94682435786822,0.21288331238768726,8.660876477067202,0.0027770963262909666,32.1532009042746,1.2276364416743948,0.3843435745940483,-2396.9322349860104,57.9739845333369,0.4530695454719999,1679.2760703851227,10.388450705589026,0.22055707755042184,1251.505872429121,-214.58803252101887
2025-01-01 00:05:00,0.365003335982531,0.18181789596279524,0.0,0.006083388933042183,0.0030302982660465874,0.0,0.037700148382739836,0.0,0.27730318759979117,0.0,0.05,0.0,0.0,0.1672345626294619,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0035099780701754383,0.0,On,0.001448127723678238,0.0,On,0.03274204258888616,0,On,0.054323770760508566,0,On,0.1879146663567534,0.14093599976756502,On,Off,0.0,16.111111111111143,0.0,0.0,0.0,0.0,0,0.0,14324.436697777777,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9579.029266666666,Off,0.0,0.0,23.09516532286772,51.666666666666686,46.10666666666668,0.0,51.31290206895789,0.0,0.0,0.0,23.09516532286772,51.34493545224289,51.3609521438854,51.31290206895789,12.43753247303448,18.54948736368997,0.0,7.562083297891523,0.1975959813366957,-1.496629827497894,2.8,9.236100170605994,-778.4192812927192,-2326.5771665669868,1546.582194829485,1018.5809864590564,-1131.4443606695497,-0.0,-0.0,433.8485377820027,0.0,2.0,0.0551250666944646,0.0,0.0,0.7133758234867116,131.99922844444444,-80.82345840517216,0.2142954424994443,8.61250995634547,0.0027772497903332874,32.49646720499142,1.2280769844972306,0.3842649029930302,-2384.7637389006786,58.18657233369184,0.4530695454719999,1536.5873145198389,9.994880309646128,0.22013713845853822,1232.6475242333909,-214.06653777433448
2025-01-01 00:06:00,0.365003335982531,0.18181789596279524,0.0,0.006083388933042183,0.0030302982660465874,0.0,0.037700148382739836,0.0,0.27730318759979117,0.0,0.05,0.0,0.0,0.1672345626294619,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0035099780701754383,0.0,On,0.001448127723678238,0.0,On,0.03274204258888616,0,On,0.054323770760508566,0,On,0.1879146663567534,0.14093599976756502,On,Off,0.0,16.111111111111143,0.0,0.0,0.0,0.0,0,0.0,14324.436697777777,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9579.029266666666,Off,0.0,0.0,23.165499851940908,51.666666666666686,46.10666666666668,0.0,51.31081770675475,0.0,0.0,0.0,23.165499851940908,51.34299072446446,51.35907723331932,51.31081770675475,12.43753247303448,18.447665099133538,0.0,7.540234683235824,0.41730508520164433,-1.4405768826008372,2.8,9.236100170605994,-763.6531474787221,-2314.8697740894554,1416.5056304453437,1001.0187298036454,-1120.2203442885195,-0.0,-0.0,433.8485377820027,0.0,2.0,0.05493337236055826,0.0,0.0,0.7108950989904289,131.99922844444444,-77.28134097220533,0.21567923193682378,8.564976532764046,0.0027774048371124226,32.726399511411444,1.2285056987014908,0.38419117831342564,-2373.3669153056517,58.49714121619633,0.4530695454719999,1406.8602546696902,9.645375775653456,0.21972648387731197,1214.2972164120786,-213.27848660843313
2025-01-01 00:07:00,0.365003335982531,0.18181789596279524,0.0,0.006083388933042183,0.0030302982660465874,0.0,0.037700148382739836,0.0,0.27730318759979117,0.0,0.05,0.0,0.0,0.1672345626294619,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0035099780701754383,0.0,On,0.001448127723678238,0.0,On,0.03274204258888616,0,On,0.054323770760508566,0,On,0.1879146663567534,0.14093599976756502,On,Off,0.0,16.111111111111143,0.0,0.0,0.0,0.0,0,0.0,14324.436697777777,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9579.029266666666,Off,0.0,0.0,23.233913948793216,51.666666666666686,46.10666666666668,0.0,51.30872700171007,0.0,0.0,0.0,23.233913948793216,51.34104007416889,51.3571966103983,51.30872700171007,12.43753247303448,18.348563838206196,0.0,7.519753984697321,0.61711065708401,-1.3857322547267554,2.8,9.236100170605994,-749.3173724704836,-2303.8774136648212,1298.2207898627234,984.1229632080459,-1109.3393725953058,-0.0,-0.0,433.8485377820027,0.0,2.0,0.05474651698009171,0.0,0.0,0.7084769955956147,131.99922844444444,-73.82653765718058,0.21703607666462896,8.518864596185896,0.0027775609264521555,32.94984687880098,1.2289232401060612,0.3841220566006079,-2362.6873667750806,58.809953110259315,0.4530695454719999,1288.8852189246554,9.33557093806793,0.2193239374468148,1196.3964912476204,-212.27352803957444
2025-01-01 00:08:00,0.365003335982531,0.18181789596279524,0.0,0.006083388933042183,0.0030302982660465874,0.0,0.037700148382739836,0.0,0.27730318759979117,0.0,0.05,0.0,0.0,0.1672345626294619,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0035099780701754383,0.0,On,0.001448127723678238,0.0,On,0.03274204258888616,0,On,0.054323770760508566,0,On,0.1879146663567534,0.14093599976756502,On,Off,0.0,16.111111111111143,0.0,0.0,0.0,0.0,0,0.0,14324.436697777777,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9579.029266666666,Off,0.0,0.0,23.300491928320387,51.666666666666686,46.10666666666668,0.0,51.30663012750551,0.0,0.0,0.0,23.300491928320387,51.33908366306612,51.35531043084642,51.30663012750551,12.43753247303448,18.25206401907109,0.0,7.500544684294498,0.7988691189613497,-1.3319548911540675,2.8,9.236100170605994,-735.5020920163554,-2293.586693476138,1190.6276000658856,967.8019816567147,-1098.7849706372717,-0.0,-0.0,433.8485377820027,0.0,2.0,0.05456429644073578,0.0,0.0,0.7061188718759697,131.99922844444444,-70.56565916108637,0.2183669092437739,8.473448782405761,0.0027777180281340925,33.16708316512279,1.2293300900298691,0.38405721451054686,-2352.6740659672687,59.08737249113088,0.4530695454719999,1181.5660844534402,9.061515612445513,0.21892850578000755,1178.8961150413836,-211.09413338466894
2025-01-01 00:09:00,0.365003335982531,0.18181789596279524,0.0,0.006083388933042183,0.0030302982660465874,0.0,0.037700148382739836,0.0,0.27730318759979117,0.0,0.05,0.0,0.0,0.1672345626294619,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0035099780701754383,0.0,On,0.001448127723678238,0.0,On,0.03274204258888616,0,On,0.054323770760508566,0,On,0.1879146663567534,0.14093599976756502,On,Off,0.0,16.111111111111143,0.0,0.0,0.0,0.0,0,0.0,14324.436697777777,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9579.029266666666,Off,0.0,0.0,23.365313140829198,51.666666666666686,46.10666666666668,0.0,51.30452725019814,0.0,0.0,0.0,23.365313140829198,51.33712164576636,51.35341884355047,51.30452725019814,12.43753247303448,18.15805312239006,0.0,7.4825173074372975,0.9642626894066244,-1.2791262929509315,2.8,9.236100170605994,-722.1845703372267,-2283.9480571185654,1092.7292230467037,951.9780080189054,-1088.5417082038766,-0.0,-0.0,433.8485377820027,0.0,2.0,0.054386518229871554,0.0,0.0,0.7038182365175367,131.99922844444444,-67.49139991535277,0.21967261906044536,8.42933835734013,0.0027778761132416347,33.37836667417821,1.2297267019580367,0.38399635211138955,-2343.2797629233555,59.331705804790076,0.4530695454719999,1083.909586681857,8.81963636484668,0.21853935382215134,1161.7547535691479,-209.77674555024245
