Metric,Value
Total Electric Energy (kWh),1299.7701369240324
Total Gas Energy (therms),0.0
Average Electric Power (kW),1.8052363012833783
Peak Electric Power (kW),9.662431842670678
Other Electric Energy (kWh),99.56587171167594
HVAC Heating Electric Energy (kWh),1033.9262909131114
Lighting Electric Energy (kWh),30.1988330133194
Water Heating Electric Energy (kWh),101.32914128592594
HVAC Cooling Electric Energy (kWh),34.75
Average Temperature - Indoor (C),18.03219420650425
Unmet Heating Load (C-hours),40.49404442896978
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
