Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.49273808219266274,0.3005137435346618,0.0,0.008212301369877712,0.005008562392244363,0.0,0.07895515038534995,0.0,0.4137829318073128,0.0,0.0,0.0,0.0,0.3005137435346618,0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.024126206140350874,0.0,On,0.002680166296435852,0.0,On,0.05214877794856322,0,On,0.013097940427763586,0,On,0.36386700337289357,0.2729002525296701,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,18077.212275555557,Off,0.0,0.0,30.277293955731682,51.666666666666686,46.10666666666668,0.0,50.35073177997382,0.0,0.0,0.0,30.277293955731682,47.68595042997919,50.35073177997382,46.35355975498188,12.43753247303448,21.741450865377114,0.0,8.850360048166454,-0.987590311632138,2.8,9.236100170605994,-704.6523662222075,-4148.462770804609,2688.1001493183153,-1249.0942510493658,-0.0,-0.0,599.2666204010047,0.0,2.0,0.050601607758765293,0.0,0,0.4735809841622671,131.99922844444444,-54.824735573846425,0.17685559913713095,10.072081407155496,0.002800792127771502,38.46905634676725,1.2112286220117834,0.5373136563273161,-4236.69061061591,88.22783981130137,0.5436834545663999,2683.6555048550285,4.444644463286967
2025-01-01 00:01:00,0.49273808219266274,0.3005137435346618,0.0,0.008212301369877712,0.005008562392244363,0.0,0.07895515038534995,0.0,0.4137829318073128,0.0,0.0,0.0,0.0,0.3005137435346618,0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.024126206140350874,0.0,On,0.002680166296435852,0.0,On,0.05214877794856322,0,On,0.013097940427763586,0,On,0.36386700337289357,0.2729002525296701,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,18077.212275555557,Off,0.0,0.0,30.39191276646471,51.666666666666686,46.10666666666668,0.0,50.345636185968736,0.0,0.0,0.0,30.39191276646471,47.68170126543268,50.345636185968736,46.34973380516465,12.43753247303448,21.638662327732394,-0.0835598944898912,8.801655833027178,-0.772699231929279,2.8,9.236100170605994,-698.0306183239502,-4111.600466906207,2535.973679757984,-1238.5509058223802,-0.0,-0.0,599.2666204010047,0.0,2.0,0.05044825488542638,0.0,0,0.4721457529928114,131.99922844444444,-58.74633290257461,0.17849901059241322,10.050855084259224,0.0028009267132739642,38.6645528098802,1.2151902505677041,0.5370889133191443,-4200.828257622325,89.22779071611797,0.5436834545663999,2531.3967911241048,4.576888633879433
2025-01-01 00:02:00,0.49273808219266274,0.3005137435346618,0.0,0.008212301369877712,0.005008562392244363,0.0,0.07895515038534995,0.0,0.4137829318073128,0.0,0.0,0.0,0.0,0.3005137435346618,0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.024126206140350874,0.0,On,0.002680166296435852,0.0,On,0.05214877794856322,0,On,0.013097940427763586,0,On,0.36386700337289357,0.2729002525296701,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,18077.212275555557,Off,0.0,0.0,30.50360653012895,51.666666666666686,46.10666666666668,0.0,50.34052374511907,0.0,0.0,0.0,30.50360653012895,47.67743601509633,50.34052374511907,46.34589215008497,12.43753247303448,21.538371747146005,-0.18385047507628016,8.755947554079661,-0.5701729129223259,2.8,9.236100170605994,-692.063415859818,-4076.9882011616323,2392.678172213752,-1228.2983085432609,-0.0,-0.0,599.2666204010047,0.0,2.0,0.0502984209608223,0.0,0,0.47074345570191944,131.99922844444444,-63.031727717561694,0.17960640359980623,10.00643215338056,0.0028010615417379888,38.85515733967542,1.2156037144226342,0.5368779093218553,-4167.197188195376,90.20898703374338,0.5436834545663999,2387.8989927450534,4.779179468698477
2025-01-01 00:03:00,0.49273808219266274,0.3005137435346618,0.0,0.008212301369877712,0.005008562392244363,0.0,0.07895515038534995,0.0,0.4137829318073128,0.0,0.0,0.0,0.0,0.3005137435346618,0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.024126206140350874,0.0,On,0.002680166296435852,0.0,On,0.05214877794856322,0,On,0.013097940427763586,0,On,0.36386700337289357,0.2729002525296701,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,18077.212275555557,Off,0.0,0.0,30.612496002625225,51.666666666666686,46.10666666666668,0.0,50.33539489234925,0.0,0.0,0.0,30.612496002625225,47.673155089476026,50.33539489234925,46.34203518803942,12.43753247303448,21.440475745698407,-0.2817464765238782,8.713037450535671,-0.37929569793078827,2.8,9.236100170605994,-686.7009286453092,-4044.5686332082046,2257.583028004028,-1218.3234505018224,-0.0,-0.0,599.2666204010047,0.0,2.0,0.05015196565759281,0.0,0,0.4693727789643371,131.99922844444444,-67.64409854449146,0.18069505291848473,9.962466101794138,0.0028011969887801473,39.04100469499807,1.2160075749460098,0.5366797470978772,-4135.647245082449,91.0786118742447,0.5436834545663999,2252.6550390391153,4.927988964912869
2025-01-01 00:04:00,1.1673849571926629,0.3005137435346618,0.6668324324324324,0.01945641595321105,0.005008562392244363,0.011113873873873872,0.07895515038534995,0.0,0.4137829318073128,0.6746468750000001,0.6668324324324324,0.0,0.0,0.3005137435346618,0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.024126206140350874,0.0,On,0.002680166296435852,0.0,On,0.05214877794856322,0,On,0.013097940427763586,0,On,0.36386700337289357,0.2729002525296701,On,0,0,Off,On,14597.314829023442,22.222222222222285,0.9250000000000003,4154.544321532115,19.542932189789788,0.6746468750000001,1,18077.212275555557,18077.212275555557,Off,0.0,0.0,30.718695706484276,51.666666666666686,46.10666666666668,0.0,50.3302500446301,0.0,0.0,0.0,30.718695706484276,47.668858882130515,50.3302500446301,46.33816330088073,12.43753247303448,21.344876285999987,-0.37734593622229795,8.67273919130265,-0.19939752241741376,2.8,9.236100170605994,13920.21812451569,140.3933776904464,2130.2570320049513,-1208.6140543708134,-0.0,-0.0,599.2666204010047,0.0,2.0,0.05000875558755953,0.0,0,0.468032474398687,131.99922844444444,-67.74927053794323,0.18176556748108524,9.91966954304664,0.0028013330384765995,39.2222829558825,1.2164022176613172,0.5364935799286867,-4106.037348551523,91.88640470985467,0.5436834545663999,2125.190163139746,5.0668688652053735
2025-01-01 00:05:00,1.1673849571926629,0.3005137435346618,0.6668324324324324,0.01945641595321105,0.005008562392244363,0.011113873873873872,0.07895515038534995,0.0,0.4137829318073128,0.6746468750000001,0.6668324324324324,0.0,0.0,0.3005137435346618,0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.024126206140350874,0.0,On,0.002680166296435852,0.0,On,0.05214877794856322,0,On,0.013097940427763586,0,On,0.36386700337289357,0.2729002525296701,On,0,0,Off,On,14597.314829023442,22.222222222222285,0.9250000000000003,4154.544321532115,19.542932189789788,0.6746468750000001,1,18077.212275555557,18077.212275555557,Off,0.0,0.0,30.513909280782165,51.666666666666686,46.10666666666668,0.0,50.32508960190554,0.0,0.0,0.0,30.513909280782165,47.66454777054631,50.32508960190554,46.33427685486669,12.43753247303448,21.51655313986098,-0.20566908236130388,8.784788079422755,-0.02982231596005333,2.8,9.236100170605994,13891.314197266742,55.447861912186454,2010.2472729706908,-1226.0723379430315,-0.0,-0.0,599.2666204010047,0.0,2.0,0.050265796727550105,0.0,0,0.47043812515641104,131.99922844444444,-79.1949142146743,0.17987255484616282,9.997032758629786,0.0028014696755455423,38.83614868511514,1.2156934244846822,0.537011056039903,-4188.41451250706,89.31805288713136,0.5436834545663999,2005.0395135569192,5.207759413771562
2025-01-01 00:06:00,1.1673849571926629,0.3005137435346618,0.6668324324324324,0.01945641595321105,0.005008562392244363,0.011113873873873872,0.07895515038534995,0.0,0.4137829318073128,0.6746468750000001,0.6668324324324324,0.0,0.0,0.3005137435346618,0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.024126206140350874,0.0,On,0.002680166296435852,0.0,On,0.05214877794856322,0,On,0.013097940427763586,0,On,0.36386700337289357,0.2729002525296701,On,0,0,Off,On,14597.314829023442,22.222222222222285,0.9250000000000003,4154.544321532115,19.542932189789788,0.6746468750000001,1,18077.212275555557,18077.212275555557,Off,0.0,0.0,30.31529252303006,51.666666666666686,46.10666666666668,0.0,50.31995978668982,0.0,0.0,0.0,30.31529252303006,47.660265399021256,50.31995978668982,46.33041820518697,12.43753247303448,21.682955986530487,-0.0392662356917981,8.88941862250914,0.13005480971899658,2.8,9.236100170605994,13865.085794038485,-23.732731312305987,1897.112275536728,-1243.0898579734785,-0.0,-0.0,599.2666204010047,0.0,2.0,0.05051436411802301,0.0,0,0.47276447000244826,131.99922844444444,-88.40579741248277,0.1780590575548127,10.071356173075891,0.002801605046334329,38.462011525432224,1.2150071914664513,0.5374938221406057,-4265.470668478589,87.19361563416791,0.5436834545663999,1891.7603325664877,5.351942970240403
2025-01-01 00:07:00,1.1673849571926629,0.3005137435346618,0.6668324324324324,0.01945641595321105,0.005008562392244363,0.011113873873873872,0.07895515038534995,0.0,0.4137829318073128,0.6746468750000001,0.6668324324324324,0.0,0.0,0.3005137435346618,0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.024126206140350874,0.0,On,0.002680166296435852,0.0,On,0.05214877794856322,0,On,0.013097940427763586,0,On,0.36386700337289357,0.2729002525296701,On,0,0,Off,On,14597.314829023442,22.222222222222285,0.9250000000000003,4154.544321532115,19.542932189789788,0.6746468750000001,1,18077.212275555557,18077.212275555557,Off,0.0,0.0,30.122407882298408,51.666666666666686,46.10666666666668,0.0,50.314859681553706,0.0,0.0,0.0,30.122407882298408,47.65601090169416,50.314859681553706,46.3265865117644,12.43753247303448,21.84446003176247,0.0,8.987276380201356,0.2808209112699551,2.8,9.236100170605994,13839.52966499274,-97.93942892742234,1790.4345682997653,-1259.696100582636,-0.0,-0.0,599.2666204010047,0.0,2.0,0.05075507448614302,0.0,0,0.4750172808928807,131.99922844444444,-97.35568384907106,0.1763188012570845,10.143619611042306,0.002801739188717343,38.099004434096464,1.2143418990620383,0.5379449464711289,-4337.6549300452825,85.17117958574546,0.5436834545663999,1784.9366676283414,5.497900671423873
2025-01-01 00:08:00,1.1673849571926629,0.3005137435346618,0.6668324324324324,0.01945641595321105,0.005008562392244363,0.011113873873873872,0.07895515038534995,0.0,0.4137829318073128,0.6746468750000001,0.6668324324324324,0.0,0.0,0.3005137435346618,0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.024126206140350874,0.0,On,0.002680166296435852,0.0,On,0.05214877794856322,0,On,0.013097940427763586,0,On,0.36386700337289357,0.2729002525296701,On,0,0,Off,On,14597.314829023442,22.222222222222285,0.9250000000000003,4154.544321532115,19.542932189789788,0.6746468750000001,1,18077.212275555557,18077.212275555557,Off,0.0,0.0,29.934934666959588,51.666666666666686,46.10666666666668,0.0,50.30978843411337,0.0,0.0,0.0,29.934934666959588,47.65178347411043,50.30978843411337,46.32278099410897,12.43753247303448,22.00134010270633,0.0,9.07890133201426,0.42302584978649516,2.8,9.236100170605994,13814.640240604953,-167.51605904520147,1689.8231736593093,-1275.9112757576927,-0.0,-0.0,599.2666204010047,0.0,2.0,0.05098838817833436,0.0,0,0.47720086621477925,131.99922844444444,-106.02993306180173,0.1746468663596344,10.213219588603414,0.0028018721378533502,37.74648135352991,1.213696349621366,0.5383669948917079,-4405.343095300062,83.28271472274498,0.5436834545663999,1684.1789207053291,5.64425295398027
2025-01-01 00:09:00,1.1673849571926629,0.3005137435346618,0.6668324324324324,0.01945641595321105,0.005008562392244363,0.011113873873873872,0.07895515038534995,0.0,0.4137829318073128,0.6746468750000001,0.6668324324324324,0.0,0.0,0.3005137435346618,0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.024126206140350874,0.0,On,0.002680166296435852,0.0,On,0.05214877794856322,0,On,0.013097940427763586,0,On,0.36386700337289357,0.2729002525296701,On,0,0,Off,On,14597.314829023442,22.222222222222285,0.9250000000000003,4154.544321532115,19.542932189789788,0.6746468750000001,1,18077.212275555557,18077.212275555557,Off,0.0,0.0,29.752600619194023,51.666666666666686,46.10666666666668,0.0,50.3047452396606,0.0,0.0,0.0,29.752600619194023,47.64758235682184,50.3047452396606,46.31900091540247,12.43753247303448,22.153829443009005,0.0,9.164765589721295,0.5571848260321178,2.8,9.236100170605994,13790.453098540644,-232.79636979698626,1594.9120809419856,-1291.7521131971803,-0.0,-0.0,599.2666204010047,0.0,2.0,0.05121469837135721,0.0,0,0.4793189057136161,131.99922844444444,-114.37623768662269,0.1730389900996857,10.281067404875397,0.002802003926895083,37.40389083830903,1.2130695231948807,0.5387622079612195,-4468.864529160951,81.5238378318504,0.5436834545663999,1589.1220519564663,5.790028985519255
