occupants,plug_loads_other,plug_loads_tv,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0,0,0,0
1.0,0.586,0.0212,0.0678,0.0,0.084,0,0,0,0
1.0,0.589,0.022,0.0705,0.0,0.084,0,0,0,0
1.0,0.627,0.0371,0.16,0.0,0.216,0,0,0,0
1.0,0.633,0.0394,0.173,0.0,0.0,0,0,0,0
1.0,0.664,0.0496,0.227,0.0,0.0,0,0,0,0
1.0,0.668,0.0512,0.235,0.0,0.331,0,0,0,0
1.0,0.781,0.0962,0.424,0.0,0.0,0,0,0,0
0.827,0.757,0.088,0.383,0.0,0.0,0,0,0,0
0.627,0.71,0.0705,0.303,0.0,0.248,0,0,0,0
0.6,0.704,0.0682,0.292,0.0,0.193,0,0,0,0
0.253,0.625,0.042,0.157,0.0,0.084,0,0,0,0
0.2,0.613,0.038,0.136,0.0,0.166,0,0,0,0
0.2,0.613,0.038,0.136,0.0,0.0,0,0,0,0
0.2,0.613,0.038,0.136,0.0,0.0,0,0,0,0
0.2,0.613,0.042,0.139,0.0,0.084,0,0,0,0
0.2,0.613,0.0426,0.139,0.0,0.0,0,0,0,0
0.2,0.613,0.0426,0.139,0.0,0.168,0,0,0,0
0.2,0.613,0.0426,0.139,0.0,0.084,0,0,0,0
0.2,0.613,0.0457,0.137,0.0,0.0,0,0,0,0
0.2,0.613,0.0462,0.136,0.0,0.0,0,0,0,0
0.2,0.613,0.0462,0.136,0.0,0.0,0,0,0,0
0.373,0.657,0.0725,0.211,0.0,0.0,0,0,0,0
0.4,0.664,0.0828,0.216,0.0,0.336,0,0,0,0
0.4,0.664,0.0837,0.215,0.0,0.084,0,0,0,0
0.4,0.664,0.0837,0.215,0.0,0.084,0,0,0,0
0.4,0.664,0.0837,0.215,0.0,0.084,0,0,0,0
0.4,0.664,0.0873,0.211,0.0,0.084,0,0,0,0
0.4,0.664,0.0879,0.21,0.0,0.0,0,0,0,0
0.227,0.62,0.0567,0.141,0.0,0.084,0,0,0,0
0.2,0.613,0.0519,0.13,0.0,0.0,0,0,0,0
0.2,0.613,0.0563,0.129,0.0,0.0,0,0,0,0
0.2,0.613,0.057,0.129,0.0,0.084,0,0,0,0
0.2,0.613,0.057,0.129,0.0,0.0,0,0,0,0
0.2,0.613,0.057,0.129,0.0,0.0,0,0,0,0
0.2,0.613,0.0593,0.131,0.0,0.0,0,0,0,0
0.2,0.613,0.0596,0.131,0.0,0.168,0,0,0,0
0.373,0.657,0.0975,0.201,0.0,0.084,0,0,0,0
0.4,0.664,0.103,0.212,0.0,0.336,0,0,0,0
0.227,0.626,0.0703,0.15,0.0,0.168,0,0,0,0
0.2,0.621,0.0653,0.141,0.0,0.168,0,0,0,0
0.2,0.621,0.0653,0.141,0.0,0.0,0,0,0,0
0.2,0.621,0.0653,0.141,0.0,0.336,0,0,0,0
0.2,0.631,0.0764,0.162,0.0,0.252,0,0,0,0
0.2,0.632,0.0782,0.165,0.0,0.0,0,0,0,0
0.2,0.632,0.0782,0.165,0.0,0.084,0,0,0,0
0.373,0.694,0.132,0.265,0.0,0.084,0,0,0,0
0.4,0.723,0.166,0.35,0.867,0.084,0,0,0,0
0.573,0.798,0.237,0.496,0.133,0.084,0,0,0,0
