Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.21523070699241892,0.1473128776282727,0.3067141666666667,0.21523070699241892,0.1473128776282727,0.3067141666666667,0.01288219227500362,0.0,0.2023485147174153,0.0,0.3067141666666667,0.0,0.0,0.1473128776282727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031860399916240616,0.023895299937180457,0.0,0.0,0.0035099780701754383,0.0,0.00039696097147767377,0.0,0.008975253233350506,0.0,0.005931344546384967,0.0,0.1645567702547897,0.12341757769109224,0.0,0.0,5393.343697111111,21.111111111111143,0.41,0.0,8.988906161851851,0.0,0.6833333333333333,5393.343697111111,7892.698093333333,0.0,0.0,33.15043735575947,51.66666666666668,46.10666666666668,0.0,50.80072358882532,0.0,0.0,0.0,33.15043735575947,49.343289915723105,50.80072358882532,48.614573079172004,12.43753247303448,20.89367705861982,-0.034668872425700194,7.39058987630373,2.082418888681568,-0.25899467186997444,2.8,9.236100170605994,4422.2308544735215,-2228.888559624502,262.6689331861155,648.7817190529713,-1176.094611583507,0.0,0.0,335.7109615190281,0.0,2.0,0.04987031081890076,0.0,0.0,0.6453738050813822,131.99922844444444,-130.7291925731109,0.19672001326648794,9.880631891979283,0.0029492262544209714,11.78603111084258,1.2181021624475818,0.38368566174129765,-2295.471824054948,66.58326443044564,0.27184172728319994,253.7474714103132,8.921461775802289,0.2108135969901798,845.4918121814628,-196.71009312849156
2025-01-01 01:00:00,0.21417094863924974,0.14671549512984317,0.2917525,0.21417094863924974,0.14671549512984317,0.29175249999999997,0.012618943919740461,0.0,0.20155200471950926,0.0,0.2917525,0.0,0.0,0.14671549512984317,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031063889918334597,0.02329791743875094,0.0,0.0,0.0032467297149122803,0.0,0.00039696097147767377,0.0,0.008975253233350506,0.0,0.005931344546384967,0.0,0.1645567702547897,0.12341757769109224,0.0,0.0,5130.253760666667,21.111111111111143,0.38999999999999996,0.0,8.550422934444445,0.0,0.65,5130.253760666667,7892.698093333333,0.0,0.0,32.95667199601485,51.66666666666668,46.10666666666668,0.0,50.48668785785241,0.0,0.0,0.0,32.95667199601485,49.06499604173071,50.48668785785241,48.354150133669854,12.43753247303448,20.780868043298742,-0.05235730972707433,7.70737093440419,3.0119300451722935,1.360339043206501,2.5,9.236100170605994,4220.9285777621635,-1936.5460019243328,-172.79402321190796,82.61454642803442,-1118.9548511336698,0.0,0.0,334.6512031658589,0.0,2.0,0.04696078579821689,0.0,0.0,0.6077215185256188,131.99922844444444,-125.02153493669208,0.19835639602453695,9.834580651767663,0.002953099539919106,18.865731937736417,1.2186259028218296,0.30229669105522444,-2000.0767527840435,63.530750859710686,0.27184172728319994,-181.65788121865836,8.863858006750412,0.15168893117946539,255.74265179205972,-173.1281053640253
2025-01-01 02:00:00,0.2133744386413437,0.14611811263141367,0.26931,0.2133744386413437,0.14611811263141367,0.26931,0.012618943919740461,0.0,0.20075549472160326,0.0,0.26931,0.0,0.0,0.14611811263141367,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03026737992042858,0.02270053494032143,0.0,0.0,0.0032467297149122803,0.0,0.00039696097147767377,0.0,0.008975253233350506,0.0,0.005931344546384967,0.0,0.1645567702547897,0.12341757769109224,0.0,0.0,4735.618856,21.111111111111143,0.36,0.0,7.892698093333334,0.0,0.6,4735.618856,7892.698093333333,0.0,0.0,32.54295183947456,51.66666666666668,46.10666666666668,0.0,50.17580794860419,0.0,0.0,0.0,32.54295183947456,48.789233395917236,50.17580794860419,48.09594611957377,12.43753247303448,20.85965890345977,-0.04445666092119224,8.272793283364203,2.7795629493671488,1.6388396814709212,1.6500000000000001,9.236100170605994,3819.493821821391,-1772.1010041553097,-392.87718820610104,-171.12402556979347,-1127.295285885138,0.0,0.0,333.85469316795286,0.0,2.0,0.044822766920037595,0.0,0.0,0.5800533256451476,131.99922844444444,-122.68444146142438,0.19788744381991466,9.878063845038286,0.002960389844683407,31.190150033928944,1.2182941585137053,0.2121628948372931,-1831.0240873350583,58.92308317974841,0.27184172728319994,-402.05873240471425,9.181544198613187,0.09388861726648338,7.002002952367308,-178.12602852216077
2025-01-01 03:00:00,0.21240242973992893,0.14552073013298417,0.29923333333333335,0.21240242973992893,0.14552073013298417,0.29923333333333335,0.01244344501623169,0.0,0.19995898472369725,0.0,0.29923333333333335,0.0,0.0,0.14552073013298417,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029470869922522562,0.022103152441891916,0.0,0.0,0.003071230811403509,0.0,0.00039696097147767377,0.0,0.008975253233350506,0.0,0.005931344546384967,0.0,0.1645567702547897,0.12341757769109224,0.0,0.0,5261.798728888889,21.111111111111143,0.4,0.0,8.769664548148148,0.0,0.6666666666666666,5261.798728888889,7892.698093333333,0.0,0.0,32.347396250677875,51.66666666666668,46.10666666666668,0.0,49.86803973534193,0.0,0.0,0.0,32.347396250677875,48.515968181611456,49.86803973534193,47.83993240474623,12.43753247303448,20.75345383155128,-0.07893515310669746,8.133771911273607,2.542490149262119,1.4552564520506057,1.6500000000000001,9.236100170605994,4325.737575106874,-2076.6724511154384,-308.7546144533909,-131.18171006394414,-1152.8941875541136,0.0,0.0,332.8826842665381,0.0,2.0,0.04613164967941208,0.0,0.0,0.5969916328855104,131.99922844444444,-116.04965049443936,0.19975344580199045,9.8396365461983,0.002968792348985323,11.164067850330698,1.2187284154629017,0.2582642560360105,-2140.255797414383,63.58334629894421,0.27184172728319994,-317.7629018589541,9.00828740556321,0.11866155955725155,56.45869763098264,-187.64040769492678
2025-01-01 04:00:00,0.21160591974202292,0.14492334763455464,0.2917525,0.2116059197420229,0.14492334763455464,0.29175249999999997,0.01244344501623169,0.0,0.1991624747257912,0.0,0.2917525,0.0,0.0,0.14492334763455464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028674359924616546,0.021505769943462403,0.0,0.0,0.003071230811403509,0.0,0.00039696097147767377,0.0,0.008975253233350506,0.0,0.005931344546384967,0.0,0.1645567702547897,0.12341757769109224,0.0,0.0,5130.253760666667,21.111111111111143,0.38999999999999996,0.0,8.550422934444445,0.0,0.65,5130.253760666667,7892.698093333333,0.0,0.0,31.894550041131644,51.66666666666668,46.10666666666668,0.0,49.56360226168897,0.0,0.0,0.0,31.894550041131644,48.24541501636304,49.56360226168897,47.58632139370008,12.43753247303448,20.87111926146144,-0.0457184852301418,7.865210226911551,2.441667435750572,1.4998923233114276,0.55,9.236100170605994,4075.946229526351,-1992.0639988204935,-668.2518816597571,-273.6400962096223,-1269.106464341822,0.0,0.0,332.0861742686321,0.0,2.0,0.04750678308796265,0.0,0.0,0.614787292583594,131.99922844444444,-117.28724106712599,0.19827745562738627,9.889732918057877,0.0029697499428185245,30.98442950587863,1.2176682185485381,0.2335978466416531,-2059.12301098282,67.05901216232635,0.27184172728319994,-677.2834423672776,9.03156070752039,0.12154689967966617,-88.09752712282291,-185.54256908679935
2025-01-01 05:00:00,0.21195691754904045,0.14492334763455464,0.29923333333333335,0.21195691754904045,0.14492334763455464,0.29923333333333335,0.012794442823249234,0.0,0.1991624747257912,0.0,0.29923333333333335,0.0,0.0,0.14492334763455464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028674359924616546,0.021505769943462403,0.0,0.0,0.0034222286184210525,0.0,0.00039696097147767377,0.0,0.008975253233350506,0.0,0.005931344546384967,0.0,0.1645567702547897,0.12341757769109224,0.0,0.0,5261.798728888889,21.111111111111143,0.4,0.0,8.769664548148148,0.0,0.6666666666666666,5261.798728888889,7892.698093333333,0.0,0.0,31.68240084820324,51.66666666666668,46.10666666666668,0.0,49.262714196178614,0.0,0.0,0.0,31.68240084820324,47.977788235795806,49.262714196178614,47.3353252556044,12.43753247303448,20.784851428467938,-0.05301266372886951,7.99140353663742,1.3250927884508763,0.6763461403574342,-0.25000000000000006,9.236100170605994,4169.323224648986,-2107.677648530342,-554.0179507987704,-304.01741118494033,-1313.7691762580664,0.0,0.0,332.43717207564964,0.0,2.0,0.04743471068762739,0.0,0.0,0.6138546005974816,131.99922844444444,-111.14350005748625,0.20028152044698463,9.86436116294164,0.002985522595255573,37.02149057308618,1.2174025315168415,0.20667632909364367,-2173.352702314537,65.6750537841949,0.27184172728319994,-564.1890422112009,10.171091412430536,0.09582094444663042,-95.07272401078582,-208.94468717415447
2025-01-01 06:00:00,0.21398868480362443,0.14611811263141367,0.2767908333333333,0.21398868480362443,0.14611811263141367,0.2767908333333333,0.013233190082021165,0.0,0.20075549472160326,0.0,0.2767908333333333,0.0,0.0,0.14611811263141367,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03026737992042858,0.02270053494032143,0.0,0.0,0.0038609758771929823,0.0,0.00039696097147767377,0.0,0.008975253233350506,0.0,0.005931344546384967,0.0,0.1645567702547897,0.12341757769109224,0.0,0.0,4867.1638242222225,21.111111111111143,0.37,0.0,8.111939707037036,0.0,0.6166666666666667,4867.1638242222225,7892.698093333333,0.0,0.0,31.277812443880794,51.66666666666668,46.10666666666668,0.0,48.964987855260226,0.0,0.0,0.0,31.277812443880794,47.712729494680914,48.964987855260226,47.086600314391255,12.43753247303448,20.866569842274373,-0.0389894460090171,7.563971298005933,1.7447946068233289,0.43756902006826537,0.3,9.236100170605994,3802.9166819033107,-2254.980622722223,-506.75179214705764,-212.49747419754584,-1280.8971461644558,0.0,0.0,334.4689393302336,0.0,2.0,0.0473939055981882,0.0,0.0,0.6133265402063266,131.99922844444444,-117.81893548468905,0.19948193152954527,9.904437884390994,0.0029885924671446988,5.7252301378152195,1.2170619410439618,0.24417534092995194,-2325.6941668793356,70.71354415711275,0.27184172728319994,-516.1265165535722,9.374724406514536,0.10658079233008756,-16.870839466837026,-195.62663473070882
2025-01-01 07:00:00,1.5067100159622149,0.1667478520511582,0.3216758333333333,1.5067100159622149,0.16674785205115822,0.3216758333333333,0.04130045332664685,1.2249493231111113,0.24046023952445691,0.0,0.3216758333333333,0.0,0.0,0.1667478520511582,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031860399916240616,0.023895299937180457,0.0,0.0,0.0035977275219298247,0.0,0.001596902325929202,0.0,0.03610582347878782,0.0,0.018129770122912538,0.0,0.19047006948530373,0.14285255211397774,0.0,0.0,5656.433633555555,21.111111111111143,0.43,0.0,9.42738938925926,0.0,0.7166666666666667,5656.433633555555,7892.698093333333,1224.9493231111112,0.35,32.62163376263222,51.66666666666668,46.10666666666668,0.0,50.05775197974627,0.3582849701876181,953.6783267785703,1224.9493231111112,32.62163376263222,48.783683922225556,50.05775197974627,48.1466498934652,12.43753247303448,20.801336875016496,-0.052745223856106506,7.340097303675671,1.3058280625745908,0.22767783605096106,-0.55,9.236100170605994,4577.955271870426,-2507.0576389376884,-654.9612424847516,-323.8659898587452,-1364.8773733351777,0.0,0.0,400.42701643157693,1.6415298694473666,2.0,0.04847228124012464,0.0,0.0,0.6272818450744052,131.99922844444444,-114.02800478152807,0.2005785699636501,9.880083432239076,0.002992988614638861,31.35182022655168,1.217328826731494,0.24728517331792255,-2579.4520550022507,72.3944160645624,0.27184172728319994,-664.9608132797708,9.999570795019311,0.11302982038361593,-124.47531860566829,-199.39067125307693
2025-01-01 08:00:00,1.8278686498333958,0.1754705910879692,0.2917525,1.8278686498333958,0.1754705910879692,0.29175249999999997,0.051862573206172685,1.516603923851852,0.2594021527753713,0.0,0.2917525,0.0,0.0,0.1754705910879692,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032656909914146624,0.02449268243560996,0.0,0.0,0.002720233004385965,0.0,0.0020814282175857742,0.0,0.04706091198420095,0.0,0.02544136465807891,0.0,0.20130387820314574,0.15097790865235924,0.0,0.0,5130.253760666667,21.111111111111143,0.38999999999999996,0.0,8.550422934444445,0.0,0.65,5130.253760666667,7892.698093333333,1516.603923851852,0.43333333333333335,33.89385998706332,51.66666666666668,46.10666666666668,0.0,51.19647305752429,0.5082620211386736,1366.938935049284,1516.603923851852,33.89385998706332,49.94775696666067,51.19669761909188,49.32317435966127,12.43753247303448,20.86277833222247,-0.045627148652157244,6.746167457721097,0.6581700057053405,-0.28721466212804914,-1.4,9.236100170605994,3996.2899740396037,-2755.2542435726787,-728.9879599421587,-383.8164125962547,-1473.8814596042575,0.0,0.0,429.1726829517682,119.52129352433211,2.0,0.05007439834557728,0.0,0.0,0.6480149104103459,131.99922844444444,-89.25500997457374,0.20089224772512312,9.927669421532583,0.0030076590657634153,73.7910649646326,1.2176354517096621,0.2630814068778653,-2833.0748356711274,77.82059209844883,0.27184172728319994,-739.6030962692851,10.615136327126335,0.12602200444755002,-186.0621737015928,-197.75423889466182
2025-01-01 09:00:00,0.7777948690600262,0.1900742724339792,0.3067141666666667,0.7777948690600262,0.19007427243397923,0.3067141666666667,0.07391113606609964,0.40831644103703707,0.2955672919568895,0.0,0.3067141666666667,0.0,0.0,0.1900742724339792,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032656909914146624,0.02449268243560996,0.0,0.0,0.0021937362938596492,0.0,0.0030375968862059316,0.0,0.06867980288603406,0.0,0.042134928711583766,0.0,0.2207754533311591,0.16558158999836928,0.0,0.0,5393.343697111111,21.111111111111143,0.41,0.0,8.988906161851851,0.0,0.6833333333333333,5393.343697111111,7892.698093333333,408.31644103703707,0.11666666666666667,34.75015077333606,51.66666666666668,46.10666666666668,0.0,51.64181898351624,0.22198964725096987,603.4943376649655,408.31644103703707,34.75015077333606,50.63703266101927,51.64241032400287,50.134048159284156,12.43753247303448,20.785624853333314,-0.05476193287967703,6.639578150371962,0.6252419138656357,-0.08640766094269521,-0.85,9.236100170605994,4426.749588960198,-2494.544673843584,-520.6180330639119,-276.6422244457522,-1406.2747582840368,0.0,0.0,469.5234711786969,354.8181330611555,1.75,0.04921611823120806,0.0,0.0,0.6369078710889424,115.49932488888888,-29.842821045573714,0.20379427027456237,9.927901641081933,0.0030353195161554073,108.9888522064724,1.2185458409309526,0.2598022633107325,-2571.0435660340513,76.49889219046786,0.27184172728319994,-529.6802122636853,9.062179199773558,0.1218096581519034,-129.6299012329381,-147.0123232128141
