Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,1.5369715518943285,0.26686960327896686,0.9279875000000001,0.025616192531572143,0.004447826721316115,0.015466458333333334,0.028201748268315292,0.37611772029268004,1.0826520833333333,0.05,0.0,0.9279875000000001,0.0,0.2522862699456335,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0.0,0,Off,0.004021034356725146,0.0,On,0.024180713911590147,0,On,0.03973602703183524,0,On,0.27020178325092037,0.20265133743819022,On,On,17973.122419807507,17.77777777777783,0.8,4866.835881303607,27.196632772222223,1.0826520833333333,1,21757.30621777778,21757.30621777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,11777.648742222222,Off,0.0,0,85.02088002266153,51.666666666666686,46.10666666666668,-0.0,50.84680023296572,0.020470149919674555,54.814273871567345,0.0,132.84512503540864,49.48234122169448,50.84680023296572,48.80011171605887,12.43753247303448,17.841771009856917,0.0,8.057520220868327,-1.926190097469981,2.8,9.236100170605994,16112.261972497148,1287.050966298389,1337.7438931075662,-2489.322463969028,-0.0,-0.0,715.403414844542,0.0,5.0,0.12698854098955614,0.0,0.0,1.1884871031345237,329.99807111111113,-86.9413981858726,0.24411882202088345,8.55782906744386,0.0030362887307541133,-13.01199227045036,1.2272863422497329,0.5336433687561629,-3656.3664955762515,76.58158057103397,0.2560579416471889,1577.1285290384685,-239.38463593090216
2025-01-01 00:01:00,0.4543194685609953,0.26686960327896686,0.0,0.007571991142683255,0.004447826721316115,0.0,0.028201748268315292,0.37611772029268004,0.0,0.05,0.0,0.0,0.0,0.2522862699456335,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0.0,0,Off,0.004021034356725146,0.0,On,0.024180713911590147,0,On,0.03973602703183524,0,On,0.27020178325092037,0.20265133743819022,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,21757.30621777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,11777.648742222222,Off,0.0,0,84.35037721802631,51.666666666666686,46.10666666666668,-0.0,50.831159649577465,0.020470149919674555,54.791953028933385,0.0,131.79746440316612,49.46362849906269,50.831159649577465,48.77986292380532,12.43753247303448,18.073040626391368,0.0,8.193940422489996,-1.8698999376835277,2.8,9.236100170605994,-1937.5003502263844,-3682.0640081186507,1314.9963008298275,-2544.285067797539,-0.0,-0.0,715.403414844542,0.0,5.0,0.12782700403362313,0.0,0.0,1.1963342876644292,329.99807111111113,-108.6186972733876,0.24129080077534265,8.688461212812072,0.0030362438034077805,-14.808348821961925,1.229893963204649,0.5342766937395118,-3755.692500470768,73.62849235211769,0.25556321227629747,1555.3336395414142,-240.33733871158668
2025-01-01 00:02:00,0.4543194685609953,0.26686960327896686,0.0,0.007571991142683255,0.004447826721316115,0.0,0.028201748268315292,0.37611772029268004,0.0,0.05,0.0,0.0,0.0,0.2522862699456335,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0.0,0,Off,0.004021034356725146,0.0,On,0.024180713911590147,0,On,0.03973602703183524,0,On,0.27020178325092037,0.20265133743819022,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,21757.30621777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,11777.648742222222,Off,0.0,0,84.57522382995259,51.666666666666686,46.10666666666668,-0.0,50.81562953543834,0.020470149919674555,54.76978983813789,0.0,132.14878723430093,49.44502247114845,50.81562953543834,48.75971893900351,12.43753247303448,17.97074763563761,0.0,8.146293258287505,-1.815306493985258,2.8,9.236100170605994,-1913.2270676640333,-3646.231499506245,1293.5763193806874,-2519.9162889778236,-0.0,-0.0,715.403414844542,0.0,5.0,0.12745635019578305,0.0,0.0,1.192865334461506,329.99807111111113,-108.71419353075157,0.24284428966730112,8.64103561832837,0.0030361927820704024,-13.98555433578461,1.2303261569032973,0.5340555791552231,-3720.9761433187,74.74464381245463,0.25508247862457073,1534.2595219497107,-240.68320256902328
2025-01-01 00:03:00,0.4543194685609953,0.26686960327896686,0.0,0.007571991142683255,0.004447826721316115,0.0,0.028201748268315292,0.37611772029268004,0.0,0.05,0.0,0.0,0.0,0.2522862699456335,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0.0,0,Off,0.004021034356725146,0.0,On,0.024180713911590147,0,On,0.03973602703183524,0,On,0.27020178325092037,0.20265133743819022,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,21757.30621777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,11777.648742222222,Off,0.0,0,84.79183897500133,51.666666666666686,46.10666666666668,-0.0,50.80006082072941,0.020470149919674555,54.74757156005935,0.0,132.48724839843956,49.42638362061468,50.80006082072941,48.739545020557316,12.43753247303448,17.87148924355866,0.0,8.102125681785132,-1.762166380125115,2.8,9.236100170605994,-1891.6968825315325,-3613.332381594917,1273.51803408707,-2496.358725599873,-0.0,-0.0,715.403414844542,0.0,5.0,0.12709637781889016,0.0,0.0,1.189496349164974,329.99807111111113,-110.74157177620137,0.2443625562800488,8.59456170440568,0.003036144612552513,-13.187144322531235,1.2307458186995655,0.5338505303809193,-3688.8190201040206,75.48663850910351,0.25461367081952757,1513.8069330795504,-240.28889899248037
2025-01-01 00:04:00,0.4543194685609953,0.26686960327896686,0.0,0.007571991142683255,0.004447826721316115,0.0,0.028201748268315292,0.37611772029268004,0.0,0.05,0.0,0.0,0.0,0.2522862699456335,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0.0,0,Off,0.004021034356725146,0.0,On,0.024180713911590147,0,On,0.03973602703183524,0,On,0.27020178325092037,0.20265133743819022,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,21757.30621777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,11777.648742222222,Off,0.0,0,85.00103051497793,51.666666666666686,46.10666666666668,-0.0,50.784454879536646,0.020470149919674555,54.725300155670425,0.0,132.814110179653,49.40771323547382,50.784454879536646,48.719342413442405,12.43753247303448,17.774965675551147,0.0,8.06108271155278,-1.7102644700522187,2.8,9.236100170605994,-1868.1119198558163,-3582.7326507775315,1254.537398022828,-2473.5337674385687,-0.0,-0.0,715.403414844542,0.0,5.0,0.12674602735721346,0.0,0.0,1.186217415475089,329.99807111111113,-109.98156726178968,0.2458493470074638,8.54888897237686,0.0030360992084325707,-12.410776817239462,1.231154191301685,0.5336599170250783,-3658.95750669635,76.22485591881832,0.2541549518211799,1493.888679056146,-239.3512810333179
2025-01-01 00:05:00,0.4543194685609953,0.26686960327896686,0.0,0.007571991142683255,0.004447826721316115,0.0,0.028201748268315292,0.37611772029268004,0.0,0.05,0.0,0.0,0.0,0.2522862699456335,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0.0,0,Off,0.004021034356725146,0.0,On,0.024180713911590147,0,On,0.03973602703183524,0,On,0.27020178325092037,0.20265133743819022,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,21757.30621777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,11777.648742222222,Off,0.0,0,85.20319699150323,51.666666666666686,46.10666666666668,-0.0,50.76881295137479,0.020470149919674555,54.702977393895786,0.0,133.1299952992238,49.389012477672324,50.76881295137479,48.69911224082109,12.43753247303448,17.681029571830003,0.0,8.022873049401532,-1.6594216008784919,2.8,9.236100170605994,-1842.4492919423437,-3554.261316776629,1236.432668614107,-2451.399869727498,-0.0,-0.0,715.403414844542,0.0,5.0,0.12640478870928418,0.0,0.0,1.1830237593467905,329.99807111111113,-106.45283705938814,0.24730617068033559,8.505174909766723,0.0030360564915658337,-11.65530341903165,1.2315518760158815,0.5334824010125012,-3631.175326433346,76.91400965671698,0.25370478864130264,1474.4323453718346,-237.99967675772763
2025-01-01 00:06:00,0.4543194685609953,0.26686960327896686,0.0,0.007571991142683255,0.004447826721316115,0.0,0.028201748268315292,0.37611772029268004,0.0,0.05,0.0,0.0,0.0,0.2522862699456335,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0.0,0,Off,0.004021034356725146,0.0,On,0.024180713911590147,0,On,0.03973602703183524,0,On,0.27020178325092037,0.20265133743819022,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,21757.30621777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,11777.648742222222,Off,0.0,0,85.3986305581343,51.666666666666686,46.10666666666668,-0.0,50.75313620934163,0.020470149919674555,54.68060494887573,0.0,133.43536024708484,49.370282446884715,50.75313620934163,48.678855565656264,12.43753247303448,17.589573157805194,0.0,7.987242541946031,-1.6094879999258809,2.8,9.236100170605994,-1816.6356023404082,-3527.7321508955565,1219.0707810110916,-2429.9254226437206,-0.0,-0.0,715.403414844542,0.0,5.0,0.1260722932956888,0.0,0.0,1.1799119312414341,329.99807111111113,-102.11359454122982,0.24873398679538955,8.462134510682539,0.0030360163879302013,-10.919884637531407,1.2319393085887373,0.5333168141036128,-3605.2840145555074,77.55186365995088,0.2532618973200066,1455.3775554960193,-236.3067744849276
2025-01-01 00:07:00,0.4543194685609953,0.26686960327896686,0.0,0.007571991142683255,0.004447826721316115,0.0,0.028201748268315292,0.37611772029268004,0.0,0.05,0.0,0.0,0.0,0.2522862699456335,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0.0,0,Off,0.004021034356725146,0.0,On,0.024180713911590147,0,On,0.03973602703183524,0,On,0.27020178325092037,0.20265133743819022,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,21757.30621777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,11777.648742222222,Off,0.0,0,85.587648694372,51.666666666666686,46.10666666666668,-0.0,50.73742577783383,0.020470149919674555,54.658184425248685,0.0,133.73070108495625,49.35152419709906,50.73742577783383,48.65857340673168,12.43753247303448,17.500479174841125,0.0,7.953967976225217,-1.560337836586641,2.8,9.236100170605994,-1791.4952179760317,-3502.981781424439,1202.3333316579472,-2409.0771016704543,-0.0,-0.0,715.403414844542,0.0,5.0,0.12574813613111238,0.0,0.0,1.1768781408971587,329.99807111111113,-97.82153115011931,0.25013395862601095,8.420322272277867,0.003035978826544175,-10.203604390719345,1.2323169666388443,0.5331621296065682,-3581.1182487675205,78.13646734308188,0.25282519710234075,1436.673714278033,-234.34038262008585
2025-01-01 00:08:00,0.4543194685609953,0.26686960327896686,0.0,0.007571991142683255,0.004447826721316115,0.0,0.028201748268315292,0.37611772029268004,0.0,0.05,0.0,0.0,0.0,0.2522862699456335,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0.0,0,Off,0.004021034356725146,0.0,On,0.024180713911590147,0,On,0.03973602703183524,0,On,0.27020178325092037,0.20265133743819022,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,21757.30621777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,11777.648742222222,Off,0.0,0,85.77056000758886,51.666666666666686,46.10666666666668,-0.0,50.72168272833294,0.020470149919674555,54.63571735213734,0.0,134.01650001185757,49.332738732677896,50.72168272833294,48.63826673485038,12.43753247303448,17.413633620998866,0.0,7.922851281051851,-1.511866196475362,2.8,9.236100170605994,-1767.188289007454,-3479.863204252223,1186.1202355606179,-2388.8228497787804,-0.0,-0.0,715.403414844542,0.0,5.0,0.1254319221911478,0.0,0.0,1.1739186912763446,329.99807111111113,-93.76885407321558,0.25150725381920336,8.379073494260464,0.003035943739720359,-9.505570357562572,1.2326853156544495,0.5330174358507771,-3558.5315112898475,78.66830703762449,0.25239378555983555,1418.2787143649493,-232.1584788043314
2025-01-01 00:09:00,0.4543194685609953,0.26686960327896686,0.0,0.007571991142683255,0.004447826721316115,0.0,0.028201748268315292,0.37611772029268004,0.0,0.05,0.0,0.0,0.0,0.2522862699456335,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0.0,0,Off,0.004021034356725146,0.0,On,0.024180713911590147,0,On,0.03973602703183524,0,On,0.27020178325092037,0.20265133743819022,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,21757.30621777778,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,11777.648742222222,Off,0.0,0,85.94764555740727,51.666666666666686,46.10666666666668,-0.0,50.70590808088528,0.020470149919674555,54.61320518526065,0.0,134.29319618344886,49.313927009748134,50.70590808088528,48.617936474179565,12.43753247303448,17.328932712127976,0.0,7.89371532088386,-1.4639861912795629,2.8,9.236100170605994,-1743.6836532694638,-3458.24381899719,1170.346951722965,-2369.1334588421437,-0.0,-0.0,715.403414844542,0.0,5.0,0.12512329191920218,0.0,0.0,1.1710302172850229,329.99807111111113,-89.95360927186235,0.25285492983553454,8.338943865745422,0.0030359110629722555,-8.82496904075229,1.2330447793303958,0.5328819169672733,-3537.3929359183803,79.1491169211906,0.25196691455585873,1400.1577202891795,-229.81076856621445
