occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.624,0.107,0.267,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.584,0.0463,0.372,0.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.584,0.0182,0.365,0.05,0.0,0.0,0.0,0.0,0.0,0.533,0.0731,0,0,0,0
1.0,0.601,0.0185,0.316,0.05,0.0,0.0,0.0,0.0,0.0,0.467,0.0731,0,0,0,0
1.0,0.582,0.0182,0.372,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0179,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.584,0.0225,0.365,0.0637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.601,0.0265,0.316,0.0757,0.0,0.0,0.0,0.0,0.0,0.0,0.0731,0,0,0,0
1.0,0.63,0.0396,0.26,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0,0,0,0
1.0,0.655,0.0511,0.211,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.679,0.06,0.154,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.7,0.0677,0.105,0.281,0.0,0.0,0.0,0.0,0.0,0.533,0.378,0,0,0,0
1.0,0.756,0.0936,0.0491,0.373,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.804,0.116,0.0,0.453,0.0,0.0,0.0,0.0,0.0,1.0,0.0731,0,0,0,0
