occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.602,0.0388,0.0707,0.0,0.0,0.0,0.258,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.568,0.0164,0.0496,0.0,0.0,0.0,0.133,0,0,0,0
1.0,0.608,0.02,0.0512,0.0,0.0,0.0,0.562,0,0,0,0
1.0,0.608,0.02,0.0512,0.0,0.0,0.0,0.133,0,0,0,0
1.0,0.608,0.0208,0.0554,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.0831,0.0,0.0,0.0,0.0789,0,0,0,0
1.0,0.614,0.0274,0.0876,0.0,0.0,0.0,0.0789,0,0,0,0
0.956,0.648,0.0349,0.112,0.0,0.0,0.0,0.158,0,0,0,0
0.667,0.61,0.0273,0.0921,0.0,0.0,0.0,0.0789,0,0,0,0
0.667,0.621,0.0355,0.151,0.0,0.0,0.0,0.158,0,0,0,0
0.667,0.621,0.0355,0.151,0.0,0.0,0.0,0.158,0,0,0,0
0.667,0.621,0.0355,0.151,0.0,0.0,0.0,0.0789,0,0,0,0
0.667,0.624,0.0368,0.155,0.0,0.0,0.0,0.0789,0,0,0,0
0.667,0.64,0.0449,0.182,0.0,0.0,0.0,0.237,0,0,0,0
0.622,0.63,0.0411,0.164,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
0.378,0.573,0.0218,0.0689,0.0,0.0,0.0,0.0789,0,0,0,0
0.622,0.636,0.0545,0.176,0.0,0.0,0.0,0.0789,0,0,0,0
