Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.2928649217436202,0.1805048510444378,0.0,0.004881082029060337,0.0030084141840739636,0.0,0.04382992459324141,0.0,0.24903499715037886,0.0,0.0,0.0,0.0,0.1805048510444378,0.0,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.017112774122807015,0.0,On,0.026717150470434388,0,On,0.008361862424461672,0,On,0.20385514671926153,0.1528913600394461,On,Off,0.0,0.0,33.75591522367211,51.666666666666686,46.10666666666668,0.0,51.60577174408003,0.0,0.0,0.0,33.75591522367211,51.62149445407387,51.6293558090708,51.60577174408003,12.43753247303448,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1428.2980033860592,0.0,Off,0.0,26.666666666666686,0,0.0,0.0,0.0,0.0,0,0.0,0,2142.2060475048147,22.607966417191744,0,2.8,-108.48023945868573,-550.7733598907254,-0.0,-0.0,410.5942899177164,0.0,2.0,0.021336116937906758,0.0,0.0,0.5442456443929345,131.99922844444444,31.69883051432322,0.19107074345784666,10.877959777927057,0.003191920454426447,50.00649194675139,1.207395085983785
2025-01-01 00:01:00,0.2928649217436202,0.1805048510444378,0.0,0.004881082029060337,0.0030084141840739636,0.0,0.04382992459324141,0.0,0.24903499715037886,0.0,0.0,0.0,0.0,0.1805048510444378,0.0,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.017112774122807015,0.0,On,0.026717150470434388,0,On,0.008361862424461672,0,On,0.20385514671926153,0.1528913600394461,On,Off,0.0,0.0,33.75207761125369,51.666666666666686,46.10666666666668,0.0,51.600758062215114,0.0,0.0,0.0,33.75207761125369,51.61675709417595,51.62475661015637,51.600758062215114,12.43753247303448,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1428.484205715238,0.0,Off,0.0,26.666666666666686,0,0.0,0.0,0.0,0.0,0,0.0,0,2142.478363748047,22.606519307486554,0,2.8,-110.53363927064669,-550.7142029737861,-0.0,-0.0,410.5942899177164,0.0,2.0,0.021335383987672676,0.0,0.0,0.5442269481618623,131.99922844444444,29.586273785422954,0.1916742964960427,10.90227643779195,0.0031923987975072646,49.975996855709106,1.2109276191405054
2025-01-01 00:02:00,0.2928649217436202,0.1805048510444378,0.0,0.004881082029060337,0.0030084141840739636,0.0,0.04382992459324141,0.0,0.24903499715037886,0.0,0.0,0.0,0.0,0.1805048510444378,0.0,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.017112774122807015,0.0,On,0.026717150470434388,0,On,0.008361862424461672,0,On,0.20385514671926153,0.1528913600394461,On,Off,0.0,0.0,33.74859806263463,51.666666666666686,46.10666666666668,0.0,51.59574501248335,0.0,0.0,0.0,33.74859806263463,51.612020272854764,51.620157903040486,51.59574501248335,12.43753247303448,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1428.5097422166823,0.0,Off,0.0,26.666666666666686,0,0.0,0.0,0.0,0.0,0,0.0,0,2142.4701190629207,22.604764984806664,0,2.8,-112.57632063914798,-550.6424907791386,-0.0,-0.0,410.5942899177164,0.0,2.0,0.021334495424144072,0.0,0.0,0.5442042825178927,131.99922844444444,27.47188022227421,0.19172318912145406,10.90221618967987,0.003192875454306202,49.946032606989085,1.2109344540228395
2025-01-01 00:03:00,0.2928649217436202,0.1805048510444378,0.0,0.004881082029060337,0.0030084141840739636,0.0,0.04382992459324141,0.0,0.24903499715037886,0.0,0.0,0.0,0.0,0.1805048510444378,0.0,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.017112774122807015,0.0,On,0.026717150470434388,0,On,0.008361862424461672,0,On,0.20385514671926153,0.1528913600394461,On,Off,0.0,0.0,33.74545667029216,51.666666666666686,46.10666666666668,0.0,51.590732541644236,0.0,0.0,0.0,33.74545667029216,51.607283939859094,51.61555963896652,51.590732541644236,12.43753247303448,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1428.5406999688746,0.0,Off,0.0,26.666666666666686,0,0.0,0.0,0.0,0.0,0,0.0,0,2142.4693584481993,22.60272050930654,0,2.8,-114.61021737016364,-550.5589225745529,-0.0,-0.0,410.5942899177164,0.0,2.0,0.021333459881460463,0.0,0.0,0.5441778677022645,131.99922844444444,25.35441528667284,0.19177545143996969,10.902004241980409,0.0031933518226259015,49.916482098043424,1.2109424772102182
2025-01-01 00:04:00,0.2928649217436202,0.1805048510444378,0.0,0.004881082029060337,0.0030084141840739636,0.0,0.04382992459324141,0.0,0.24903499715037886,0.0,0.0,0.0,0.0,0.1805048510444378,0.0,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.017112774122807015,0.0,On,0.026717150470434388,0,On,0.008361862424461672,0,On,0.20385514671926153,0.1528913600394461,On,Off,0.0,0.0,33.74263493427135,51.666666666666686,46.10666666666668,0.0,51.585720599416845,0.0,0.0,0.0,33.74263493427135,51.6025480477315,51.610961771888846,51.585720599416845,12.43753247303448,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1428.5767779188557,0.0,Off,0.0,26.666666666666686,0,0.0,0.0,0.0,0.0,0,0.0,0,2142.4666557484666,22.600401734014294,0,2.8,-115.53248792160167,-550.4641484401747,-0.0,-0.0,410.5942899177164,0.0,2.0,0.021332285381788295,0.0,0.0,0.5441479083458933,131.99922844444444,24.337370600856588,0.19183090192952046,10.901648854971056,0.0031938279059485234,49.88732437827058,1.2109516238380442
2025-01-01 00:05:00,0.2928649217436202,0.1805048510444378,0.0,0.004881082029060337,0.0030084141840739636,0.0,0.04382992459324141,0.0,0.24903499715037886,0.0,0.0,0.0,0.0,0.1805048510444378,0.0,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.017112774122807015,0.0,On,0.026717150470434388,0,On,0.008361862424461672,0,On,0.20385514671926153,0.1528913600394461,On,Off,0.0,0.0,33.74005268146279,51.666666666666686,46.10666666666668,0.0,51.58070913827054,0.0,0.0,0.0,33.74005268146279,51.597812551610936,51.60636425828114,51.58070913827054,12.43753247303448,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1428.6176963152886,0.0,Off,0.0,26.666666666666686,0,0.0,0.0,0.0,0.0,0,0.0,0,2142.462116712909,22.597877522418145,0,2.8,-115.729975496505,-550.3609849943873,-0.0,-0.0,410.5942899177164,0.0,2.0,0.021331006798480566,0.0,0.0,0.5441152940047622,131.99922844444444,24.03671958016585,0.19188874138416426,10.900441231775233,0.003194303707582667,49.8584668595763,1.2109616119890512
2025-01-01 00:06:00,0.2928649217436202,0.1805048510444378,0.0,0.004881082029060337,0.0030084141840739636,0.0,0.04382992459324141,0.0,0.24903499715037886,0.0,0.0,0.0,0.0,0.1805048510444378,0.0,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.017112774122807015,0.0,On,0.026717150470434388,0,On,0.008361862424461672,0,On,0.20385514671926153,0.1528913600394461,On,Off,0.0,0.0,33.737655738022305,51.666666666666686,46.10666666666668,0.0,51.57569812259155,0.0,0.0,0.0,33.737655738022305,51.59307741788791,51.6017670655361,51.57569812259155,12.43753247303448,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1428.66223995482,0.0,Off,0.0,26.666666666666686,0,0.0,0.0,0.0,0.0,0,0.0,0,2142.4562004207073,22.59519440313913,0,2.8,-115.84441720343125,-550.2513354983574,-0.0,-0.0,410.5942899177164,0.0,2.0,0.02132964769360825,0.0,0.0,0.5440806257045658,131.99922844444444,23.812628377209773,0.1919484299622798,10.89989505106466,0.0031947792300652898,49.829846973797565,1.2109722511854275
2025-01-01 00:07:00,0.2928649217436202,0.1805048510444378,0.0,0.004881082029060337,0.0030084141840739636,0.0,0.04382992459324141,0.0,0.24903499715037886,0.0,0.0,0.0,0.0,0.1805048510444378,0.0,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.017112774122807015,0.0,On,0.026717150470434388,0,On,0.008361862424461672,0,On,0.20385514671926153,0.1528913600394461,On,Off,0.0,0.0,33.735429112923676,51.666666666666686,46.10666666666668,0.0,51.570687524818474,0.0,0.0,0.0,33.735429112923676,51.58834262055582,51.5971701684245,51.570687524818474,12.43753247303448,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1428.7095877675654,0.0,Off,0.0,26.666666666666686,0,0.0,0.0,0.0,0.0,0,0.0,0,2142.4396542896616,22.59236523473526,0,2.8,-115.89662302293289,-550.1357269159384,-0.0,-0.0,410.5942899177164,0.0,2.0,0.021328214575199365,0.0,0.0,0.5440440694532945,131.99922844444444,23.64481397528914,0.19200981970419218,10.899272223329964,0.003195254475411887,49.801447572193425,1.2109834888083169
2025-01-01 00:08:00,0.2928649217436202,0.1805048510444378,0.0,0.004881082029060337,0.0030084141840739636,0.0,0.04382992459324141,0.0,0.24903499715037886,0.0,0.0,0.0,0.0,0.1805048510444378,0.0,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.017112774122807015,0.0,On,0.026717150470434388,0,On,0.008361862424461672,0,On,0.20385514671926153,0.1528913600394461,On,Off,0.0,0.0,33.73335979568269,51.666666666666686,46.10666666666668,0.0,51.56567731961843,0.0,0.0,0.0,33.73335979568269,51.5836081357119,51.59257354375865,51.56567731961843,12.43753247303448,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1428.7595128442692,0.0,Off,0.0,26.666666666666686,0,0.0,0.0,0.0,0.0,0,0.0,0,2142.4316914222004,22.589401175726778,0,2.8,-115.9260012318951,-550.0146166575269,-0.0,-0.0,410.5942899177164,0.0,2.0,0.021326713090431017,0.0,0.0,0.5440057693001938,131.99922844444444,23.494325507915335,0.1920727823189232,10.898578561445214,0.003195729445495434,49.77325377539075,1.210995279198204
2025-01-01 00:09:00,0.2928649217436202,0.1805048510444378,0.0,0.004881082029060337,0.0030084141840739636,0.0,0.04382992459324141,0.0,0.24903499715037886,0.0,0.0,0.0,0.0,0.1805048510444378,0.0,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.017112774122807015,0.0,On,0.026717150470434388,0,On,0.008361862424461672,0,On,0.20385514671926153,0.1528913600394461,On,Off,0.0,0.0,33.731437806041875,51.666666666666686,46.10666666666668,0.0,51.560667483592596,0.0,0.0,0.0,33.731437806041875,51.578873941279326,51.5879771701227,51.560667483592596,12.43753247303448,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1428.811818275488,0.0,Off,0.0,26.666666666666686,0,0.0,0.0,0.0,0.0,0,0.0,0,2142.4228217195014,22.586310782083327,0,2.8,-115.95236680525892,-549.8883557187393,-0.0,-0.0,410.5942899177164,0.0,2.0,0.02132514756839519,0.0,0.0,0.5439658356725484,131.99922844444444,23.341698995763938,0.1921372197365295,10.897818523135303,0.0031962041420652517,49.74525420065803,1.2110075873508117
