Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,1.7385989942248266,1.0873604453692245,0.0,0.02897664990374711,0.018122674089487076,0.0,0.05577176531324281,0.001,0.26636404011179665,1.3654631887997872,0.05,0.0,0.0002506236243534685,0.19052440019719125,0.8820020882143463,0.01458333333333334,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.03715191882201474,0,On,0.01233150651554158,0,On,0.21240801974016657,0.15930601480512488,On,0,0,Off,HP On,2465.4532239662767,21.166666666666714,1.9079628362516303,0.0,1.2114923554664538,0.15397083333333333,1,2311.4823906329434,2311.4823906329434,0.0,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,3094.244791111111,Off,0.0,0.0,36.44466184926533,51.666666666666686,43.496666666666684,1741.8803735112967,0,3.7404307548480893,0.0,50.98665005222064,0.0,0.0,0.0,47.59288246568711,47.73200343414825,51.12623869712289,22.388990062665748,12.43753247303448,21.041236103683158,0.0,2.8,1750.8025836381994,-1115.4040144611452,-0.0,-0.0,439.6414724876723,0.0,2.0,0.04692024667545514,0.0,0.0,0.8731121700529033,131.99922844444444,-38.888098354604644,0.18416241259161362,9.750777604619941,0.0027939720148092875,41.5169127501395,1.214116506041415
2025-01-01 00:01:00,1.739398648182296,1.0878769707989264,0.0,0.028989977469704935,0.018131282846648774,0.0,0.05577176531324281,0.001,0.26636404011179665,1.3662628427572567,0.05,0.0,0.0002506236243534685,0.19052440019719125,0.8825186136440483,0.01458333333333334,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.03715191882201474,0,On,0.01233150651554158,0,On,0.21240801974016657,0.15930601480512488,On,0,0,Off,HP On,2465.0758878234287,21.166666666666714,1.9063930443526753,0.0,1.2122920094239231,0.15397083333333333,1,2311.1050544900954,2311.1050544900954,0.0,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,3094.244791111111,Off,0.0,0.0,36.394802028358335,51.666666666666686,43.496666666666684,1745.0026043107894,0,3.7455449057848833,0.0,50.978328961233466,0.0,0.0,0.0,47.52640270447778,47.72799587675288,51.12206503269194,22.40580332792116,12.43753247303448,21.07345369938017,0.0,2.8,1745.2329982490041,-1118.2737380040555,-0.0,-0.0,439.6414724876723,0.0,2.0,0.04695802652280296,0.0,0.0,0.8738151937332834,131.99922844444444,-41.210624058041496,0.18435404817848797,9.789851568067316,0.0027942601241742345,41.42124287010783,1.2175295512705033
2025-01-01 00:02:00,1.7401716782914032,1.0883762989214842,0.0,0.029002861304856718,0.018139604982024736,0.0,0.05577176531324281,0.001,0.26636404011179665,1.3670358728663639,0.05,0.0,0.0002506236243534685,0.19052440019719125,0.883017941766606,0.01458333333333334,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.03715191882201474,0,On,0.01233150651554158,0,On,0.21240801974016657,0.15930601480512488,On,0,0,Off,HP On,2464.7112279056373,21.166666666666714,1.9048775780908036,0.0,1.2130650395330305,0.15397083333333333,1,2310.740394572304,2310.740394572304,0.0,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,3094.244791111111,Off,0.0,0.0,36.34651105794967,51.666666666666686,43.496666666666684,1746.2362761455192,0,3.74775405921716,0.0,50.97002296845474,0.0,0.0,0.0,47.4620147439329,47.723993917284034,51.11789630844495,22.422594210912965,12.43753247303448,21.104573965425867,0.0,2.8,1739.8485615959414,-1121.0484954390238,-0.0,-0.0,439.6414724876723,0.0,2.0,0.046994509708886155,0.0,0.0,0.8744940885820652,131.99922844444444,-43.455643358344446,0.18402076486151944,9.804185315968178,0.002794546763848934,41.32753312027292,1.2174005751713186
2025-01-01 00:03:00,1.740919299455363,1.0888592144868503,0.0,0.029015321657589382,0.018147653574780837,0.0,0.05577176531324281,0.001,0.26636404011179665,1.3677834940303237,0.05,0.0,0.0002506236243534685,0.19052440019719125,0.883500857331972,0.01458333333333334,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.03715191882201474,0,On,0.01233150651554158,0,On,0.21240801974016657,0.15930601480512488,On,0,0,Off,HP On,2464.358659320547,21.166666666666714,1.9034138469609903,0.0,1.2138126606969901,0.15397083333333333,1,2310.3878259872135,2310.3878259872135,0.0,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,3094.244791111111,Off,0.0,0.0,36.29971540505433,51.666666666666686,43.496666666666684,1747.426127216761,0,3.749895591877386,0.0,50.961731752363804,0.0,0.0,0.0,47.39962054007244,47.71999737960167,51.11373237353499,22.439362465224573,12.43753247303448,21.13464834088453,0.0,2.8,1734.59147215927,-1123.7325900720396,-0.0,-0.0,439.6414724876723,0.0,2.0,0.04702975754129383,0.0,0.0,0.875149995437287,131.99922844444444,-45.676069576909484,0.1836999230454781,9.817947295629597,0.0027948327853405974,41.23557462563032,1.217275953000028
2025-01-01 00:04:00,1.741642617060789,1.089326431504241,0.0,0.02902737695101315,0.018155440525070683,0.0,0.05577176531324281,0.001,0.26636404011179665,1.3685068116357497,0.05,0.0,0.0002506236243534685,0.19052440019719125,0.8839680743493629,0.01458333333333334,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.03715191882201474,0,On,0.01233150651554158,0,On,0.21240801974016657,0.15930601480512488,On,0,0,Off,HP On,2464.01764995691,21.166666666666714,1.9019994943685241,0.0,1.2145359783024163,0.15397083333333333,1,2310.046816623577,2310.046816623577,0.0,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,3094.244791111111,Off,0.0,0.0,36.254348165055056,51.666666666666686,43.496666666666684,1748.631306328716,0,3.752060477922642,0.0,50.953455005982114,0.0,0.0,0.0,47.33913088674007,47.7160060958216,51.109573084147826,22.456107858804884,12.43753247303448,21.163723619882738,0.0,2.8,1730.225616067768,-1126.329937285682,-0.0,-0.0,439.6414724876723,0.0,2.0,0.04706382578961281,0.0,0.0,0.8757839520834537,131.99922844444444,-47.10356909113253,0.1833909254054597,9.831912289505967,0.002795118199618809,41.1452913830954,1.2171554885647697
2025-01-01 00:05:00,1.7423433665032901,1.0897790709284823,0.0,0.029039056108388167,0.018162984515474705,0.0,0.05577176531324281,0.001,0.26636404011179665,1.3692075610782508,0.05,0.0,0.0002506236243534685,0.19052440019719125,0.8844207137736041,0.01458333333333334,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.03715191882201474,0,On,0.01233150651554158,0,On,0.21240801974016657,0.15930601480512488,On,0,0,Off,HP On,2463.6873718339402,21.166666666666714,1.9006309517872182,0.0,1.2152367277449172,0.15397083333333333,1,2309.716538500607,2309.716538500607,0.0,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,3094.244791111111,Off,0.0,0.0,36.210306725655435,51.666666666666686,43.496666666666684,1749.7404617074476,0,3.75407746046596,0.0,50.945192435572366,0.0,0.0,0.0,47.28040896754058,47.712019905571154,51.10541830286773,22.47283017266785,12.43753247303448,21.191871677027702,0.0,2.8,1726.5957585872811,-1128.846720181164,-0.0,-0.0,439.6414724876723,0.0,2.0,0.04709679951455335,0.0,0.0,0.876397541366918,131.99922844444444,-47.88636555316741,0.18309289943952606,9.844621820617316,0.0027954030171828373,41.05656627723771,1.2170388822132667
2025-01-01 00:06:00,1.7430230709989205,1.090218116659947,0.0,0.029050384516648674,0.01817030194433245,0.0,0.05577176531324281,0.001,0.26636404011179665,1.3698872655738812,0.05,0.0,0.0002506236243534685,0.19052440019719125,0.8848597595050688,0.01458333333333334,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.03715191882201474,0,On,0.01233150651554158,0,On,0.21240801974016657,0.15930601480512488,On,0,0,Off,HP On,2463.3670982100703,21.166666666666714,1.899305086798813,0.0,1.2159164322405478,0.15397083333333333,1,2309.396264876737,2309.396264876737,0.0,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,3094.244791111111,Off,0.0,0.0,36.16750100712126,51.666666666666686,43.496666666666684,1750.813340351008,0,3.756038430133474,0.0,50.93694376759397,0.0,0.0,0.0,47.22333467616168,47.70803865999835,51.101267902095685,22.489529207848395,12.43753247303448,21.21915559994503,0.0,2.8,1723.4134554215916,-1131.2883657682999,-0.0,-0.0,439.6414724876723,0.0,2.0,0.04712875337863846,0.0,0.0,0.8769921526400836,131.99922844444444,-48.30674950785121,0.18280507947810473,9.856858533626548,0.0027956872478003877,40.969296527451775,1.2169258709246042
2025-01-01 00:07:00,1.743682931195255,1.0906443442403537,0.0,0.029061382186587586,0.01817740573733923,0.0,0.05577176531324281,0.001,0.26636404011179665,1.3705471257702158,0.05,0.0,0.0002506236243534685,0.19052440019719125,0.8852859870854756,0.01458333333333334,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.03715191882201474,0,On,0.01233150651554158,0,On,0.21240801974016657,0.15930601480512488,On,0,0,Off,HP On,2463.056255364525,21.166666666666714,1.8980194143072948,0.0,1.2165762924368824,0.15397083333333333,1,2309.0854220311917,2309.0854220311917,0.0,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,3094.244791111111,Off,0.0,0.0,36.12585969977801,51.666666666666686,43.496666666666684,1751.9094058729922,0,3.758034850585617,0.0,50.92870874624768,0.0,0.0,0.0,47.16781293303735,47.70406222036472,51.097121762850136,22.506204782947535,12.43753247303448,21.24562530813289,0.0,2.8,1720.2251017534677,-1133.6591472920607,-0.0,-0.0,439.6414724876723,0.0,2.0,0.04715974653503317,0.0,0.0,0.8775688866505363,131.99922844444444,-48.81347880666904,0.18252685435485297,9.869401196444516,0.002795970900597256,40.883400880560785,1.2168162463666345
2025-01-01 00:08:00,1.7443236907323387,1.0910582340137192,0.0,0.029072061512205646,0.01818430390022865,0.0,0.05577176531324281,0.001,0.26636404011179665,1.3711878853072994,0.05,0.0,0.0002506236243534685,0.19052440019719125,0.8856998768588409,0.01458333333333334,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.03715191882201474,0,On,0.01233150651554158,0,On,0.21240801974016657,0.15930601480512488,On,0,0,Off,HP On,2462.7544856471955,21.166666666666714,1.8967723534349918,0.0,1.2172170519739662,0.15397083333333333,1,2308.783652313862,2308.783652313862,0.0,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,3094.244791111111,Off,0.0,0.0,36.08533785474266,51.666666666666686,43.496666666666684,1752.9727001783986,0,3.7599806555880275,0.0,50.920487129805416,0.0,0.0,0.0,47.11378380632355,47.70009045593799,51.092979772970764,22.522856730462607,12.43753247303448,21.27131222083048,0.0,2.8,1717.1412697156197,-1135.961699807522,-0.0,-0.0,439.6414724876723,0.0,2.0,0.047189816408520914,0.0,0.0,0.8781284398147747,131.99922844444444,-49.29298861172603,0.18225782534619842,9.881516943758196,0.0027962539841927593,40.79882837598487,1.2167098768685987
2025-01-01 00:09:00,1.744946159158684,1.0914603088967239,0.0,0.029082435985978063,0.01819100514827873,0.0,0.05577176531324281,0.001,0.26636404011179665,1.3718103537336446,0.05,0.0,0.0002506236243534685,0.19052440019719125,0.8861019517418456,0.01458333333333334,1,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.03715191882201474,0,On,0.01233150651554158,0,On,0.21240801974016657,0.15930601480512488,On,0,0,Off,HP On,2462.461400987859,21.166666666666714,1.8955622058444213,0.0,1.2178395204003112,0.15397083333333333,1,2308.490567654526,2308.490567654526,0.0,Off,0.0,22.166666666666714,0,0.0,0.05,0.0,0.0,0,0,0,3094.244791111111,Off,0.0,0.0,36.045886955850946,51.666666666666686,43.496666666666684,1753.9471236063305,0,3.761789549731522,0.0,50.91227868546182,0.0,0.0,0.0,47.06118260780126,47.69612324103243,51.0888418245955,22.539484891639322,12.43753247303448,21.29625026752286,0.0,2.8,1714.1180514200692,-1138.1988981576594,-0.0,-0.0,439.6414724876723,0.0,2.0,0.047219003310168,0.0,0.0,0.8786715622584924,131.99922844444444,-49.78592389780308,0.181997569660721,9.89247120884345,0.002796536506890981,40.71552390556691,1.216606620532713
