Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Pool Pump Electric Power (kW),Pool Pump Reactive Power (kVAR),Pool Heater Gas Power (therms/hour),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.4529632960863534,0.10093655459895441,0.25353404724659545,0.4529632960863534,0.10093655459895441,0.25353404724659545,0.012368389969115122,0.1357872498672382,0.25480765625,0.05,0.0,0.0016778310303792445,0.25185621621621623,0.0,0.08635322126562107,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0035099780701754383,0.0,0.008858411898939683,0.0,0.0029093547518668455,0.0,0.08182611539575875,0.061369586546819045,0.017740266761209877,0.0,0.0016778310303792445,0.0,0.0,6006.980715555851,20.000000000000057,0.3545833333333334,1075.4166949163728,7.381178112672672,0.25480765625,0.38333333333333336,6827.589754222223,17811.10370666667,0.0,22.77777777777783,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10651.962604444445,0.0,0.0,47.924983374226045,51.66666666666668,46.10666666666668,0.0,51.36304474005575,0.0,0.0,0.0,74.88278652222819,51.38011331674364,51.38864760508759,51.36304474005575,12.43753247303448,19.70951826693673,-0.06358868650719351,8.42398010391767,2.8,9.236100170605994,4121.004648018504,-1709.6490696478618,-2020.3620305593624,0.0,0.0,256.6867734418848,0.0,2.0,0.09165896112569714,0.0,0.0,1.1861624990931137,131.99922844444444,-122.30081041986843,0.2040235569621559,9.223076903459047,0.002842148567234304,-37.62351235630428,1.2231070679857043,0.3871617716514538,-2837.6975953003944,52.631830736159806
2025-01-01 01:00:00,0.44078866615713014,0.10031196373098436,0.2425837769763252,0.44078866615713014,0.10031196373098436,0.24258377697632516,0.012105141613851964,0.13495446204327813,0.2437290625,0.05,0.0,0.0016778310303792445,0.24090594594594592,0.0,0.08572863039765102,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.0032467297149122803,0.0,0.008858411898939683,0.0,0.0029093547518668455,0.0,0.08182611539575875,0.061369586546819045,0.017740266761209877,0.0,0.0016778310303792445,0.0,0.0,5745.807640966466,20.000000000000057,0.3391666666666667,1028.659447311313,7.060257325165165,0.2437290625,0.36666666666666664,6530.738025777779,17811.10370666667,0.0,22.77777777777783,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10651.962604444445,0.0,0.0,47.13092794144589,51.66666666666668,46.10666666666668,0.0,50.88893460839503,0.0,0.0,0.0,73.6420749085092,50.93589011519678,50.959367868597646,50.88893460839503,12.43753247303448,19.789001865176285,-0.050036792473944894,8.72748472721999,2.5,9.236100170605994,3857.2775456651743,-1360.7821147234902,-2022.1833541413969,0.0,0.0,255.59073726266155,0.0,2.0,0.08966675057778381,0.0,0.0,1.1603812179918374,131.99922844444444,-121.93747842255655,0.20232655824525855,9.248663801884321,0.0028322293855827657,-27.438491245704885,1.222841953798631,0.30699412088916017,-2439.260999846417,49.819437811613525
2025-01-01 02:00:00,0.4621130658331701,0.09968737286301431,0.26448431751686574,0.4621130658331701,0.09968737286301431,0.2644843175168657,0.012105141613851964,0.13412167421931806,0.26588625000000005,0.05,0.0,0.0016778310303792445,0.26280648648648647,0.0,0.08510403952968097,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0032467297149122803,0.0,0.008858411898939683,0.0,0.0029093547518668455,0.0,0.08182611539575875,0.061369586546819045,0.017740266761209877,0.0,0.0016778310303792445,0.0,0.0,6268.153790145236,20.000000000000057,0.3700000000000001,1122.1739425214323,7.702098900180179,0.26588625000000005,0.4,7124.441482666667,17811.10370666667,0.0,22.77777777777783,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10651.962604444445,0.0,0.0,46.554656640245916,51.66666666666668,46.10666666666668,0.0,50.47634370535176,0.0,0.0,0.0,72.74165100038425,50.49783457135716,50.50858000435986,50.47634370535176,12.43753247303448,19.73263358584967,-0.057777862872453706,9.400859415662312,1.6500000000000001,9.236100170605994,4311.11927019189,-1046.8760671270504,-2101.0411575756034,0.0,0.0,254.75794943870147,0.0,2.0,0.08871993641791534,0.0,0.0,1.1481284558368507,131.99922844444444,-110.75131181644366,0.20266972094484834,9.217047303774551,0.002827114422889729,-5.898080872900083,1.2230810395985234,0.2189681438491836,-2213.3850884275284,44.33507877904556
2025-01-01 03:00:00,0.4337824201094378,0.09906278199504426,0.23219278371618132,0.4337824201094378,0.09906278199504426,0.23219278371618135,0.011929642710343191,0.1392023086490946,0.23265046875000003,0.05,0.0,0.00223710804050566,0.22995567567567568,0.0,0.08447944866171092,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.003071230811403509,0.0,0.008858411898939683,0.0,0.0029093547518668455,0.0,0.08182611539575875,0.061369586546819045,0.0236536890149465,0.0,0.00223710804050566,0.0,0.0,5484.634566377081,20.000000000000057,0.3237500000000001,981.9021997062533,6.739336537657658,0.23265046875000003,0.35,6233.8862973333335,17811.10370666667,0.0,22.77777777777783,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10651.962604444445,0.0,0.0,45.79900539443621,51.66666666666668,46.10666666666668,0.0,50.027824018149666,0.0,0.0,0.0,71.56094592880658,50.066166578509154,50.0853378586889,50.027824018149666,12.43753247303448,19.799740839015257,-0.04603579235275461,9.298593110253496,1.6500000000000001,9.236100170605994,3480.8461250514183,-1561.978402943855,-2146.84456258784,0.0,0.0,253.74966271123262,0.0,2.0,0.09034772016871145,0.0,0.0,1.169193674317558,131.99922844444444,-110.69354144905557,0.20166840899137914,9.245191612355303,0.002824853311729144,-38.79518281032399,1.2228025748110918,0.26437187911569404,-2593.0803848361347,49.199782186026475
2025-01-01 04:00:00,0.48983910255042423,0.0984381911270742,0.2672807025674978,0.48983910255042423,0.09843819112707419,0.26728070256749775,0.011929642710343191,0.16202320984008103,0.26588625000000005,0.05,0.0,0.00447421608101132,0.26280648648648647,0.0,0.08385485779374087,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.003071230811403509,0.0,0.008858411898939683,0.0,0.0029093547518668455,0.0,0.08182611539575875,0.061369586546819045,0.047307378029893,0.0,0.00447421608101132,0.0,0.0,6268.153790145236,20.000000000000057,0.3700000000000001,1122.1739425214323,7.702098900180179,0.26588625000000005,0.4,7124.441482666667,17811.10370666667,0.0,22.77777777777783,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10651.962604444445,0.0,0.0,45.264540247855,51.66666666666668,46.10666666666668,0.0,49.60690905923424,0.0,0.0,0.0,70.72584413727344,49.64021450945628,49.65686723456731,49.60690905923424,12.43753247303448,19.727149192452195,-0.060005562816233454,8.9792776213055,0.55,9.236100170605994,4064.388775062892,-1301.1262990697735,-2354.515703174026,0.0,0.0,252.91687488727257,0.0,2.0,0.09313373035478363,0.0,0.0,1.2052475501658604,131.99922844444444,-102.16618679558977,0.20147775626400338,9.192233827435052,0.0028107937884636666,7.247646832704717,1.222542104846781,0.24061259935590495,-2476.555600717709,53.2553591265029
2025-01-01 05:00:00,0.5426626498835981,0.0984381911270742,0.282145911908653,0.5426626498835982,0.09843819112707419,0.28214591190865296,0.012280640517360737,0.20341716561623743,0.27696484375,0.05,0.0,0.008389155151896224,0.27375675675675676,0.0,0.08385485779374087,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0034222286184210525,0.0,0.008858411898939683,0.0,0.0029093547518668455,0.0,0.08182611539575875,0.061369586546819045,0.08870133380604939,0.0,0.008389155151896224,0.0,0.0,6529.326864734621,20.000000000000057,0.3854166666666668,1168.931190126492,8.023019687687686,0.27696484375,0.4166666666666667,7421.293211111112,17811.10370666667,0.0,22.77777777777783,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10651.962604444445,0.0,0.0,44.67555424806877,51.66666666666668,46.10666666666668,0.0,49.19157351893282,0.0,0.0,0.0,69.80555351260745,49.219849054960804,49.23398682297479,49.19157351893282,12.43753247303448,19.696172636955282,-0.06746097086134437,9.235860693355145,-0.25000000000000006,9.236100170605994,4202.718766999824,-1396.4460441606639,-2481.8396633965954,0.0,0.0,253.2678726942901,0.0,2.0,0.09444656474271292,0.0,0.0,1.222236995598763,131.99922844444444,-98.03630703249115,0.20282525063606582,9.190867785208132,0.0028256847037104985,16.333715999888646,1.2220466594153372,0.21481223804284202,-2615.8188891769314,50.44165488977543
2025-01-01 06:00:00,0.6027148978543306,0.10760426792465912,0.24449687793896244,0.6027148978543306,0.10760426792465912,0.24449687793896246,0.034986704096134705,0.28507772500819595,0.23265046875000003,0.05,0.0,0.014541202263286784,0.22995567567567568,0.0,0.09302093459132578,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0038609758771929823,0.0,0.03112572821894172,0.0,0.007300833622609255,0.0,0.09238197547795182,0.06928648160846383,0.15374897859715225,0.0,0.014541202263286784,0.0,0.0,5484.634566377081,20.000000000000057,0.3237500000000001,981.9021997062533,6.739336537657658,0.23265046875000003,0.35,6233.8862973333335,17811.10370666667,0.0,22.77777777777783,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10651.962604444445,0.0,0.0,42.770071274727655,51.66666666666668,46.10666666666668,0.0,48.62129143443853,0.10598018483674444,267.5704140315977,0.0,66.82823636676196,47.954786434221845,48.639662154445354,47.60316321410668,12.43753247303448,19.701166539449854,-0.07166748745439075,8.751829008222707,0.3,9.236100170605994,3291.350898316362,-1738.2480480501893,-2381.2792867518697,0.0,0.0,291.8479406681662,0.0,2.0,0.09338855265743794,0.0,0.0,1.20854521638015,131.99922844444444,-103.85232197701602,0.20207132711846193,9.182070357197604,0.0028159544201561645,-41.29165419642745,1.2220331185790905,0.2504158772254896,-2776.4947399788903,56.344492222448146
2025-01-01 07:00:00,0.7646377052313854,0.11322139176357567,0.3330764822616498,0.7646377052313854,0.11322139176357568,0.3330764822616498,0.046632000337265625,0.40211945489411977,0.26588625000000005,0.05,0.045661807329601116,0.024608188445562253,0.26280648648648647,0.0,0.09863805843024234,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0035977275219298247,0.0,0.04303427281533579,0.0,0.010411464489385127,0.0,0.09820589828192043,0.07365442371144029,0.2601905791644115,0.0,0.024608188445562253,0.0,0.0,6268.153790145236,20.000000000000057,0.3700000000000001,1122.1739425214323,7.702098900180179,0.26588625000000005,0.4,7124.441482666667,17811.10370666667,0.0,22.77777777777783,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10651.962604444445,1055.056,0.0,45.911090002363956,51.66666666666668,46.10666666666668,0.0,51.53614664320187,0.31324092346727433,850.5966851082974,1055.056,71.73607812869368,50.010008655744635,51.53614664320187,49.246939662016025,12.43753247303448,19.732775574441256,-0.05692539393708559,8.57284089272221,-0.55,9.236100170605994,3912.071556803666,-1878.80217969489,-2568.4596169074907,0.0,0.0,313.6856916316839,6.465924788997686,2.0,0.09602222027233959,0.0,0.0,1.2426276205608855,131.99922844444444,-101.30830806576301,0.20123300215907475,9.189616376005768,0.0028098086570564926,12.17059468046857,1.2219056179174503,0.25368854454976136,-3058.2739972087497,57.29787499242752
2025-01-01 08:00:00,0.993358006243023,0.11436467575627415,0.32927668995323583,0.993358006243023,0.11436467575627414,0.3292766899532358,0.04683260868774687,0.641717741305276,0.25480765625,0.05,0.030441204886400744,0.04697926885061885,0.25185621621621623,0.0,0.09978134242294082,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.002720233004385965,0.0,0.044112375683360905,0.0,0.011948482094144971,0.0,0.09889748911489168,0.07417311683616874,0.49672746931387657,0.0,0.04697926885061885,0.0,0.0,6006.980715555851,19.500000000000057,0.3545833333333334,1075.4166949163728,7.381178112672672,0.25480765625,0.38333333333333336,6827.589754222223,17811.10370666667,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10651.962604444445,703.3706666666666,0.0,48.181268923958875,51.66666666666668,46.10666666666668,0.0,51.63742965955647,0.09783512356053461,267.0836192665939,703.3706666666666,75.28323269368573,51.01500387043355,51.638304116700084,50.70291651872848,12.43753247303448,19.217911490734846,-0.0636863914685239,7.85981507175586,-1.4,9.236100170605994,3680.566459730374,-2147.7062494201878,-2654.27946176599,0.0,0.0,312.51031053977056,416.22229026020585,1.9335,0.0973624784294385,0.0,0.0,1.2599719581524302,127.61025409866666,15.354895400742429,0.20898068320621677,8.973258777221067,0.0028247280267753596,94.6497466483547,1.2246213871337666,0.2685127913568726,-3286.9396241135732,63.816679777012695
2025-01-01 09:00:00,1.1281064805749195,0.10156114546692446,0.2976281939009719,1.1281064805749192,0.10156114546692446,0.29762819390097184,0.011052148192799333,0.83440386363212,0.23265046875000003,0.05,0.0,0.06767251822529619,0.22995567567567568,0.0,0.08697781213359113,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0021937362938596492,0.0,0.008858411898939683,0.0,0.0029093547518668455,0.0,0.08182611539575875,0.061369586546819045,0.7155240927021317,0.0,0.06767251822529619,0.0,0.0,5484.634566377081,19.500000000000057,0.3237500000000001,981.9021997062533,6.739336537657658,0.23265046875000003,0.35,6233.8862973333335,17811.10370666667,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10651.962604444445,0.0,0.0,45.31069068217796,51.66666666666668,46.10666666666668,0.0,50.95737024630575,0.04078948861757248,110.16928759683736,0.0,70.79795419090306,49.18098869950641,50.95737024630575,48.292797926106736,12.43753247303448,19.294133482776246,-0.04460096364795436,7.773518467016869,-0.85,9.236100170605994,3298.6378656331685,-1980.157791313365,-2553.453024619537,0.0,0.0,190.20370526730682,1084.475320610542,1.0,0.09593985771306943,0.0,0.0,1.2415617631920501,65.99961422222222,177.25261860831728,0.21050100597562973,9.049865953520785,0.0028575212577275186,136.29445886562976,1.224892442263603,0.26539897741000895,-3023.7081548551923,61.64816383557408
