Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.549555984089807,0.134809793153185,0.27072083333333335,0.549555984089807,0.134809793153185,0.27072083333333335,0.015201832171048694,0.0,0.16851317969653618,0.3158409722222222,0.05,0.27072083333333335,0.0,0.0,0.12022645981985168,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.0035099780701754383,0.0,0.0004952095268871373,0.0,0.011196644573986118,0.0,0.008211233270067217,0.0,0.12264167198524603,0.09198125398893449,0.0,0.0,5669.547191580562,20.000000000000057,0.26666666666666666,993.5302147157349,7.9340455425925915,0.3158409722222222,0.3333333333333333,6347.236434074074,19041.70930222222,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8269.880613333333,0.0,0.0,36.14747821169268,51.66666666666668,46.10666666666668,0.0,51.51570435997394,0.0,0.0,0.0,36.14747821169268,50.72530962816278,51.51570435997394,50.33011226225721,12.43753247303448,19.686859340617023,-0.07078867154274401,8.422071090386574,2.4357239720116124,2.8,9.236100170605994,3572.569837782364,-1788.45277027406,453.29209127376964,-2520.2145943041496,0.0,0.0,505.1281659397288,0.0,5.0,0.11448994867139799,0.0,0.0,1.4816192761651794,329.99807111111113,-81.89092543377623,0.22776648664313978,9.58210239231918,0.0031701237273791733,-37.774455683115775,1.2229598652289275,0.3871554264465929,-2836.6735204050406,54.69053541524545,0.9061390909439998,426.5737575034154,26.71833377035424
2025-01-01 01:00:00,0.4105659872391855,0.130298894718744,0.1624325,0.4105659872391855,0.130298894718744,0.1624325,0.012450855977156615,0.0,0.15861054792869558,0.18950458333333334,0.05,0.1624325,0.0,0.0,0.11571556138541067,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03671876758019234,0.027539075685144247,0.0,0.0,0.0032467297149122803,0.0,0.00038984159162532315,0.0,0.00881428467061901,0.0,0.004323132748147972,0.0,0.11756864760035528,0.08817648570026643,0.0,0.0,3401.7283149483364,18.33333333333337,0.16000000000000003,596.1181288294409,4.760427325555556,0.18950458333333334,0.2,3808.341860444444,19041.70930222222,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8269.880613333333,0.0,0.0,37.47893552520348,51.66666666666668,46.10666666666668,0.0,51.309355308717905,0.0,0.0,0.0,37.47893552520348,50.53997091652355,51.309355308717905,50.15527872042638,12.43753247303448,18.356401680139758,-0.04417516304849289,8.373590350165111,2.8298310655160424,2.5,9.236100170605994,1637.7102111237277,-1636.1542888024273,-364.28953713776497,-2205.1034065911185,0.0,-0.43420918785052165,492.82966968493844,0.0,5.0,0.10651853501647778,0.0,1.93790021767385e-05,1.378711658833165,329.99807111111113,-51.310157730577835,0.24704553814095778,8.963204953261858,0.003162121512851259,-9.667495641113442,1.2286115186540834,0.30536383455603416,-2286.50560402042,54.23318638855132,0.9061390909439998,-390.0478867262481,25.758349588483174
2025-01-01 02:00:00,0.47279267482259946,0.1295927645729711,0.21657666666666667,0.4727926748225994,0.1295927645729711,0.21657666666666667,0.012450855977156615,0.0,0.15766904106766502,0.25267277777777775,0.05,0.21657666666666667,0.0,0.0,0.11500943123963775,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.0032467297149122803,0.0,0.00038984159162532315,0.0,0.00881428467061901,0.0,0.004323132748147972,0.0,0.11756864760035528,0.08817648570026643,0.0,0.0,4535.637753264449,18.33333333333337,0.21333333333333335,794.824171772588,6.347236434074074,0.25267277777777775,0.26666666666666666,5077.789147259259,19041.70930222222,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8269.880613333333,0.0,0.0,37.550323475273736,51.66666666666668,46.10666666666668,0.0,51.09795725796531,0.0,0.0,0.0,37.550323475273736,50.349744508395325,51.09795725796531,49.97563813361033,12.43753247303448,18.104039185107116,-0.05151950899833467,9.057312771285373,2.1642720875895716,1.6500000000000001,9.236100170605994,2707.5203262495725,-1256.3882003287586,-583.8602902717936,-2251.2009589694985,0.0,0.0,491.8881628239079,0.0,5.0,0.10444996317664115,0.0,0.0,1.3516913985298677,329.99807111111113,-68.80463086928617,0.25094134689798214,8.848854875256457,0.0031635233395977173,16.8779747666118,1.2296706734715057,0.21692025343856497,-2095.023427445932,43.81105534458574,0.9061390909439998,-610.1860675979376,26.325777326144184
2025-01-01 03:00:00,0.47167566905806,0.12888663442719817,0.21657666666666667,0.47167566905806,0.12888663442719817,0.21657666666666667,0.012275357073647842,0.0,0.15672753420663443,0.25267277777777775,0.05,0.21657666666666667,0.0,0.0,0.11430330109386481,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03483575385813119,0.026126815393598384,0.0,0.0,0.003071230811403509,0.0,0.00038984159162532315,0.0,0.00881428467061901,0.0,0.004323132748147972,0.0,0.11756864760035528,0.08817648570026643,0.0,0.0,4535.637753264449,18.33333333333337,0.21333333333333335,794.824171772588,6.347236434074074,0.25267277777777775,0.26666666666666666,5077.789147259259,19041.70930222222,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8269.880613333333,0.0,0.0,37.3620785990372,51.66666666666668,46.10666666666668,0.0,50.88772459506656,0.0,0.0,0.0,37.3620785990372,50.16041889106818,50.88772459506656,49.796766039069006,12.43753247303448,18.07573324029056,-0.0519284526975263,8.927429960643488,1.9428599511183646,1.6500000000000001,9.236100170605994,2662.8034626665667,-1606.629508066082,-322.90170739257223,-2284.1404366460188,0.0,0.0,490.77115705936853,0.0,5.0,0.10622235634829981,0.0,0.0,1.3746280136523883,329.99807111111113,-79.4650110112321,0.25165627075196967,8.839749890962114,0.003166990412631103,-25.66295307817504,1.229787446598208,0.26242909828971694,-2447.7596908450064,46.3060110063365,0.9061390909439998,-349.15424996526986,26.252542572697642
2025-01-01 04:00:00,0.629012152078346,0.12861197285024326,0.27072083333333335,0.629012152078346,0.12861197285024326,0.27072083333333335,0.01265341702661021,0.0,0.2505177628295136,0.3158409722222222,0.05,0.27072083333333335,0.0,0.0,0.1140286395169099,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.09399330697398325,0.0,0.003071230811403509,0.0,0.0004058543547701767,0.0,0.009176331860436527,0.0,0.004486269832983744,0.0,0.11814393902544598,0.08860795426908447,0.0,0.0,5669.547191580562,18.33333333333337,0.26666666666666666,993.5302147157349,7.9340455425925915,0.3158409722222222,0.3333333333333333,6347.236434074074,19041.70930222222,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8269.880613333333,0.0,0.0,37.185621607287665,51.66666666666668,46.10666666666668,0.0,50.67887692850408,0.0,0.0,0.0,37.185621607287665,49.97220101697375,50.67887692850408,49.618863061208586,12.43753247303448,18.038413954219152,-0.06868119531847737,8.620828691084569,1.4183423103788733,0.55,9.236100170605994,3613.6201630741875,-1298.6867468489338,-1009.3438390084342,-2535.3146919748415,0.0,0.0,558.5810492827384,0.0,5.0,0.10994566129683686,0.0,0.0,1.4228114607305844,329.99807111111113,-79.19338581427,0.25125975360656777,8.80599286356553,0.003155959347682196,30.10407997308385,1.229376220976294,0.2383703564409984,-2341.09611070586,48.879149141191526,0.9061390909439998,-1036.4939771671447,27.15013815871063
2025-01-01 05:00:00,1.0717265526618927,0.13312278061515903,0.24364875000000003,1.0717265526618927,0.133122780615159,0.24364875,0.018301921581927613,0.36667103614814817,0.3524967199318168,0.28425687499999996,0.05,0.24364875000000003,0.0,0.0,0.11853944728182567,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.1879866139479665,0.0,0.0034222286184210525,0.0,0.0006302307272320133,0.0,0.014249462236274548,0.0,0.006457509608082662,0.0,0.12415834937866697,0.09311876203400021,0.0,0.0,5102.592472422505,18.33333333333337,0.24000000000000002,894.1771932441613,7.140640988333333,0.28425687499999996,0.3,5712.512790666666,19041.70930222222,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8269.880613333333,366.6710361481482,0.06666666666666667,35.61273083072336,51.66666666666668,46.10666666666668,0.0,50.281135759610684,0.1896092139094455,500.3021569412249,366.6710361481482,35.61273083072336,48.57225825414036,50.281135759610684,47.7178195014052,12.43753247303448,18.02172893115992,-0.06676754602479829,8.842422842560918,0.21655375248294115,-0.25000000000000006,9.236100170605994,2974.0956494970496,-1532.6310594757865,-532.1817161816097,-2688.8423754317378,0.0,0.0,639.4693762629182,0.0,5.0,0.11164885693017687,0.0,0.0,1.4448525875781446,329.99807111111113,-79.12382375663641,0.253393707098608,8.823264619133688,0.003181234969092104,42.95139839061912,1.2288107237345833,0.21232361504610525,-2472.5330107103196,45.724757990371224,0.9061390909439998,-561.5459774861198,29.364261304510155
2025-01-01 06:00:00,1.2867362992829317,0.14183078216126427,0.24364875000000003,1.2867362992829314,0.14183078216126427,0.24364875,0.037979719780340086,0.7333420722962963,0.1811576322062951,0.28425687499999996,0.05,0.24364875000000003,0.0,0.0,0.12724744882793093,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.0038609758771929823,0.0,0.0014451024517145603,0.0,0.03267364145143255,0.0,0.011494367102387137,0.0,0.1338860043847462,0.10041450328855964,0.0,0.0,5102.592472422505,18.33333333333337,0.24000000000000002,894.1771932441613,7.140640988333333,0.28425687499999996,0.3,5712.512790666666,19041.70930222222,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8269.880613333333,733.3420722962964,0.13333333333333333,37.89538460594078,51.66666666666668,46.10666666666668,0.0,51.46944119269017,0.21785500239376573,590.5187816481987,733.3420722962964,37.89538460594078,50.60071415909147,51.46944119269017,50.16635064229211,12.43753247303448,18.06853667559782,-0.05606888699213499,8.398104402586178,0.8875127355962736,0.3,9.236100170605994,2976.9249547585214,-1695.5095254035564,-671.3255907929736,-2579.9622269559036,0.0,0.0,539.7634027908141,0.0,5.0,0.11047143037998504,0.0,0.0,1.4296154607100047,329.99807111111113,-85.46869349889322,0.25204853837538627,8.836290615692024,0.00317363975063077,-40.01559427431239,1.2286188791265311,0.24857462268097355,-2640.387316911226,50.7005982635083,0.9061390909439998,-699.6079494559764,28.282358663002903
2025-01-01 07:00:00,1.9610294699510715,0.15344139044305447,0.27072083333333335,1.9610294699510715,0.1534413904430545,0.27072083333333335,0.05769297264333542,1.1000131084444444,0.4374824166410694,0.3158409722222222,0.05,0.27072083333333335,0.0,0.0,0.13885805710972116,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.23341443865382488,0.0,0.0035977275219298247,0.0,0.0022912089487512654,0.0,0.051804036172654326,0.0,0.018923901840949612,0.0,0.147483801705072,0.11061285127880396,0.0,0.0,5669.547191580562,18.33333333333337,0.26666666666666666,993.5302147157349,7.9340455425925915,0.3158409722222222,0.3333333333333333,6347.236434074074,19041.70930222222,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8269.880613333333,1100.0131084444445,0.2,36.73856634066191,51.66666666666668,46.10666666666668,0.0,51.2483837832332,0.3404843661201016,920.8015158427453,1100.0131084444445,36.73856634066191,49.526166566051025,51.248445239129296,48.664996501563834,12.43753247303448,18.021098039691807,-0.07499095485056842,8.178720764674527,0.1903011457917286,-0.55,9.236100170605994,3555.566407238535,-1857.6377341610998,-854.6092167194327,-2781.7008279007878,0.0,0.0,749.4935514530899,3.566529013569273,5.0,0.11355013850565589,0.0,0.0,1.469457152994909,329.99807111111113,-81.77350789432867,0.2525058930410183,8.809891537383304,0.0031698697160234524,37.43088503036156,1.2288219145747847,0.2516564588954282,-2903.335843345382,52.16789446854675,0.9061390909439998,-884.2726841578155,29.663467438382945
2025-01-01 08:00:00,2.043188812084151,0.16136481301269262,0.27072083333333335,2.043188812084151,0.16136481301269262,0.27072083333333335,0.07100439487894714,0.9166775903703706,0.6896658546126109,0.3158409722222222,0.05,0.27072083333333335,0.0,0.0,0.14678147967935928,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.46682887730764977,0.0,0.002720233004385965,0.0,0.0028921817877679908,0.0,0.06539198008679317,0.0,0.027128337732482005,0.0,0.15710685827022564,0.11783014370266919,0.0,0.0,5669.547191580562,18.33333333333337,0.26666666666666666,993.5302147157349,7.9340455425925915,0.3158409722222222,0.3333333333333333,6347.236434074074,19041.70930222222,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8269.880613333333,916.6775903703705,0.16666666666666666,37.000096902962,51.66666666666668,46.10666666666668,0.0,51.408623464144426,0.2648999717073537,719.869470778489,916.6775903703705,37.000096902962,49.771665888304916,51.408623464144426,48.953187100385165,12.43753247303448,18.03943770325873,-0.06360739899745506,7.574770026074913,-0.6195735908371707,-1.4,9.236100170605994,3582.7390026871535,-2118.1790555010575,-903.4909845650235,-3015.39921818982,0.0,0.0,948.9587548776115,254.8652516586389,5.0,0.11730617419196632,0.0,0.0,1.51806416993728,329.99807111111113,-20.367725581199057,0.25445178780646693,8.852863220766348,0.0031966400761351877,148.3829387803868,1.229301725597285,0.26713289331901513,-3169.400522028821,57.69125181202871,0.9061390909439998,-934.86875614667,31.37777158164648
2025-01-01 09:00:00,0.6512004902903349,0.15814841095423093,0.27072083333333335,0.6512004902903348,0.15814841095423093,0.27072083333333335,0.06539042472732227,0.0,0.2199690933407904,0.3158409722222222,0.05,0.27072083333333335,0.0,0.0,0.1435650776208976,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.0021937362938596492,0.0,0.002676701394831073,0.0,0.060519987038631554,0.0,0.02854898984626019,0.0,0.15281832219227673,0.1146137416442075,0.0,0.0,5669.547191580562,18.33333333333337,0.26666666666666666,993.5302147157349,7.9340455425925915,0.3158409722222222,0.3333333333333333,6347.236434074074,19041.70930222222,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8269.880613333333,0.0,0.0,37.5498030278603,51.66666666666668,46.10666666666668,0.0,51.62617459068478,0.07056102421153362,193.25869909889994,0.0,37.5498030278603,50.24656330148287,51.62617459068478,49.55675765688193,12.43753247303448,18.01669885538721,-0.06935498809035981,7.466989077028223,-0.39983077077953727,-0.85,9.236100170605994,3394.533466740389,-1849.6410127832523,-511.02415491414166,-2869.438193268656,0.0,0.0,492.4609624479866,751.7398752571353,3.3,0.11512106940234117,0.0,0.0,1.489786636281976,217.79872693333334,101.96350598049756,0.25821596289917575,8.893585079391928,0.0032379183939489674,131.40786540369015,1.2299841293754068,0.2638998232587084,-2899.510791635668,56.33956413668065,0.9061390909439998,-541.729449516369,30.705294602227344
