Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,3.7188490154723395,0.11394374349083339,0.0,0.06198081692453899,0.0018990623915138899,0.0,0.015453623619802582,0.0,0.14181733851920383,3.5115780533333334,0.05,0.0,0.0,0.09936041015750005,0.0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0028521290204678363,0.0,On,0.012601494599334746,0,On,0.00933679164253705,0,On,0.09283815272801108,0.06962861454600829,On,0,0,Off,On,3511.578053333333,14.444444444444457,0.9999999999999999,0.0,3.5115780533333334,0.0,1,3511.578053333333,3511.578053333333,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,2611.556671111111,Off,0.0,0.0,39.99806345844334,51.666666666666686,46.10666666666668,0.0,48.71475000061982,0.0,0.0,0.0,39.99806345844334,48.75305855400539,48.77221283069819,48.71475000061982,12.43753247303448,14.37376393794377,0.0,2.8,2843.4226123903045,-855.7253130336561,-0.0,-0.0,216.7719056702679,0.0,1.0,0.05673383051168057,0.0,0.0,1.4471771145409937,65.99961422222222,-29.20203357964055,0.2728975950411936,6.5033244022396985,0.0027186616596829964,-12.31901459075074,1.2423274701542368
2025-01-01 00:01:00,3.7188490154723395,0.11394374349083339,0.0,0.06198081692453899,0.0018990623915138899,0.0,0.015453623619802582,0.0,0.14181733851920383,3.5115780533333334,0.05,0.0,0.0,0.09936041015750005,0.0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0028521290204678363,0.0,On,0.012601494599334746,0,On,0.00933679164253705,0,On,0.09283815272801108,0.06962861454600829,On,0,0,Off,On,3511.578053333333,14.444444444444457,0.9999999999999999,0.0,3.5115780533333334,0.0,1,3511.578053333333,3511.578053333333,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,2611.556671111111,Off,0.0,0.0,39.85636119141025,51.666666666666686,46.10666666666668,0.0,48.70881358509095,0.0,0.0,0.0,39.85636119141025,48.74744516089882,48.766760948802755,48.70881358509095,12.43753247303448,14.489933492266584,0.0,2.8,2827.3548213690065,-867.5013787268132,-0.0,-0.0,216.7719056702679,0.0,1.0,0.05694301803389059,0.0,0.0,1.452513108815654,65.99961422222222,-33.493758907780986,0.27163424259517377,6.58211912273263,0.002718547134131312,-12.539783286462566,1.245453349437049
2025-01-01 00:02:00,3.7188490154723395,0.11394374349083339,0.0,0.06198081692453899,0.0018990623915138899,0.0,0.015453623619802582,0.0,0.14181733851920383,3.5115780533333334,0.05,0.0,0.0,0.09936041015750005,0.0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0028521290204678363,0.0,On,0.012601494599334746,0,On,0.00933679164253705,0,On,0.09283815272801108,0.06962861454600829,On,0,0,Off,On,3511.578053333333,14.444444444444457,0.9999999999999999,0.0,3.5115780533333334,0.0,1,3511.578053333333,3511.578053333333,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,2611.556671111111,Off,0.0,0.0,39.71929498971352,51.666666666666686,46.10666666666668,0.0,48.70289830317169,0.0,0.0,0.0,39.71929498971352,48.74185165451825,48.76132833019153,48.70289830317169,12.43753247303448,14.602138291944536,0.0,2.8,2811.7792752307037,-878.9335629156218,-0.0,-0.0,216.7719056702679,0.0,1.0,0.05714492902146185,0.0,0.0,1.4576634918896003,65.99961422222222,-37.63712085727552,0.2696599681822105,6.638093681574461,0.00271843084876176,-12.751684727595887,1.2449677902310503
2025-01-01 00:03:00,0.20727096213900642,0.11394374349083339,0.0,0.003454516035650107,0.0018990623915138899,0.0,0.015453623619802582,0.0,0.14181733851920383,0.0,0.05,0.0,0.0,0.09936041015750005,0.0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0028521290204678363,0.0,On,0.012601494599334746,0,On,0.00933679164253705,0,On,0.09283815272801108,0.06962861454600829,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,3511.578053333333,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,2611.556671111111,Off,0.0,0.0,39.58664909301901,51.666666666666686,46.10666666666668,0.0,48.697003465517724,0.0,0.0,0.0,39.58664909301901,48.73627738423076,48.755914343587285,48.697003465517724,12.43753247303448,14.71056313031394,0.0,2.8,-714.9334624185487,-890.0346951276565,-0.0,-0.0,216.7719056702679,0.0,1.0,0.05733990766340376,0.0,0.0,1.4626370434001847,65.99961422222222,-41.67067296116014,0.26776687970429836,6.69184019353766,0.0027183125522435188,-12.955074755160183,1.2444989526407075
2025-01-01 00:04:00,0.20727096213900642,0.11394374349083339,0.0,0.003454516035650107,0.0018990623915138899,0.0,0.015453623619802582,0.0,0.14181733851920383,0.0,0.05,0.0,0.0,0.09936041015750005,0.0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0028521290204678363,0.0,On,0.012601494599334746,0,On,0.00933679164253705,0,On,0.09283815272801108,0.06962861454600829,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,3511.578053333333,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,2611.556671111111,Off,0.0,0.0,39.66019155431693,51.666666666666686,46.10666666666668,0.0,48.69112841486216,0.0,0.0,0.0,39.66019155431693,48.73072172968358,48.750518387094296,48.69112841486216,12.43753247303448,14.641788613875487,0.0,2.8,-707.2038965071661,-882.9870216757182,-0.0,-0.0,216.7719056702679,0.0,1.0,0.05721624653301041,0.0,0.0,1.4594826722560281,65.99961422222222,-40.98878050171574,0.2689467076610648,6.6572532022845765,0.002718192323613291,-12.790580435256416,1.2447964448329878
2025-01-01 00:05:00,0.20727096213900642,0.11394374349083339,0.0,0.003454516035650107,0.0018990623915138899,0.0,0.015453623619802582,0.0,0.14181733851920383,0.0,0.05,0.0,0.0,0.09936041015750005,0.0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0028521290204678363,0.0,On,0.012601494599334746,0,On,0.00933679164253705,0,On,0.09283815272801108,0.06962861454600829,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,3511.578053333333,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,2611.556671111111,Off,0.0,0.0,39.730859980341165,51.666666666666686,46.10666666666668,0.0,48.68524250484181,0.0,0.0,0.0,39.730859980341165,48.72515575406809,48.745112378681235,48.68524250484181,12.43753247303448,14.57547398140441,0.0,2.8,-699.2773921366881,-876.2116630059437,-0.0,-0.0,216.7719056702679,0.0,1.0,0.057096959305471845,0.0,0.0,1.456439871440467,65.99961422222222,-39.837634801012285,0.2700896003664233,6.62458445078644,0.002718073649929091,-12.63150422429409,1.24508343325229
2025-01-01 00:06:00,0.20727096213900642,0.11394374349083339,0.0,0.003454516035650107,0.0018990623915138899,0.0,0.015453623619802582,0.0,0.14181733851920383,0.0,0.05,0.0,0.0,0.09936041015750005,0.0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0028521290204678363,0.0,On,0.012601494599334746,0,On,0.00933679164253705,0,On,0.09283815272801108,0.06962861454600829,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,3511.578053333333,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,2611.556671111111,Off,0.0,0.0,39.798775165977275,51.666666666666686,46.10666666666668,0.0,48.67934616274935,0.0,0.0,0.0,39.798775165977275,48.71957986073106,48.73969670972192,48.67934616274935,12.43753247303448,14.511515814257448,0.0,2.8,-691.3663461014014,-869.6959060116163,-0.0,-0.0,216.7719056702679,0.0,1.0,0.05698186567222259,0.0,0.0,1.453504041609033,65.99961422222222,-38.44234576005299,0.27119678476745657,6.592102636757385,0.0027179564792010617,-12.477622228641394,1.2453603510366296
2025-01-01 00:07:00,0.20727096213900642,0.11394374349083339,0.0,0.003454516035650107,0.0018990623915138899,0.0,0.015453623619802582,0.0,0.14181733851920383,0.0,0.05,0.0,0.0,0.09936041015750005,0.0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0028521290204678363,0.0,On,0.012601494599334746,0,On,0.00933679164253705,0,On,0.09283815272801108,0.06962861454600829,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,3511.578053333333,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,2611.556671111111,Off,0.0,0.0,39.864062556498645,51.666666666666686,46.10666666666668,0.0,48.67343979791818,0.0,0.0,0.0,39.864062556498645,48.713994436066706,48.73427175514098,48.67343979791818,12.43753247303448,14.449806679812195,0.0,2.8,-683.7377700466702,-863.4268235115193,-0.0,-0.0,216.7719056702679,0.0,1.0,0.056870777532751576,0.0,0.0,1.4506703846588596,65.99961422222222,-37.08285220541876,0.2722696075515274,6.561423125893833,0.002717840761629957,-12.328702443620841,1.2456276500007206
2025-01-01 00:08:00,0.20727096213900642,0.11394374349083339,0.0,0.003454516035650107,0.0018990623915138899,0.0,0.015453623619802582,0.0,0.14181733851920383,0.0,0.05,0.0,0.0,0.09936041015750005,0.0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0028521290204678363,0.0,On,0.012601494599334746,0,On,0.00933679164253705,0,On,0.09283815272801108,0.06962861454600829,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,3511.578053333333,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,2611.556671111111,Off,0.0,0.0,39.92685561912056,51.666666666666686,46.10666666666668,0.0,48.667523801031436,0.0,0.0,0.0,39.92685561912056,48.70839984886407,48.728837872780396,48.667523801031436,12.43753247303448,14.390232233091256,0.0,2.8,-676.4362950337966,-857.3909762605298,-0.0,-0.0,216.7719056702679,0.0,1.0,0.05676349379985826,0.0,0.0,1.4479337712201854,65.99961422222222,-35.8172244435347,0.27330958580947945,6.531372015364916,0.0027177264496776044,-12.184498779673547,1.2458858131615238
2025-01-01 00:09:00,0.20727096213900642,0.11394374349083339,0.0,0.003454516035650107,0.0018990623915138899,0.0,0.015453623619802582,0.0,0.14181733851920383,0.0,0.05,0.0,0.0,0.09936041015750005,0.0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0028521290204678363,0.0,On,0.012601494599334746,0,On,0.00933679164253705,0,On,0.09283815272801108,0.06962861454600829,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,3511.578053333333,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,2611.556671111111,Off,0.0,0.0,39.987283061091276,51.666666666666686,46.10666666666668,0.0,48.66159854292994,0.0,0.0,0.0,39.987283061091276,48.70279644918117,48.72339540230679,48.66159854292994,12.43753247303448,14.332682201373823,0.0,2.8,-669.439064229754,-851.5755204422668,-0.0,-0.0,216.7719056702679,0.0,1.0,0.056659820207591895,0.0,0.0,1.4452892459209592,65.99961422222222,-34.63544945775509,0.2743182123280852,6.502444387177542,0.00271761349819405,-12.044773891767662,1.246135307115378
