Metric,Value
Total Electric Energy (kWh),1398.9843532660814
Total Gas Energy (therms),0.0
Average Electric Power (kW),1.9430338239806686
Peak Electric Power (kW),11.435942898181075
Other Electric Energy (kWh),170.7079404450564
HVAC Heating Electric Energy (kWh),925.8226545892593
Lighting Electric Energy (kWh),35.50932459095086
Water Heating Electric Energy (kWh),232.19443364081482
HVAC Cooling Electric Energy (kWh),34.75
Average Temperature - Indoor (C),16.908319504094685
Unmet Heating Load (C-hours),50.30873481711695
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
