Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-18 05:00:00,0.2809844249003833,0.17833522424559142,0.055050911537840884,0.24631754554546784,0.016346153846153847,0.018320725508761626,0.0,0.0026470933538642397,0.05240381818397664,0.0,50.34491769164697,17.963971029622204,-0.06769535535263765
2025-01-18 06:00:00,0.3253919942046666,0.18061489079132245,0.18723694293283324,0.24935710093977587,0.057211538461538466,0.018823354803352267,0.0,0.0038235792889150127,0.18341336364391825,0.0,50.21642106507821,19.27951310526802,-0.34987706576857475
2025-01-18 07:00:00,0.31450817715042534,0.18289455733705345,0.14459651963935546,0.25239665633408387,0.04358974358974359,0.018521777226597883,0.0,0.00485300448208444,0.13974351515727104,0.0,50.09286998374919,19.76050025231409,-0.03488123749052943
2025-01-18 08:00:00,0.7410799243042792,0.20486166739374892,0.08345873175804938,0.6572674804150399,0.024519230769230772,0.05929321312000855,0.0,0.00485300448208444,0.07860572727596496,0.0,49.97015089100138,19.62357458431012,-0.06918470525234076
2025-01-18 09:00:00,0.4457708331699844,0.21530584431467245,0.10951358010815637,0.33228428044618735,0.032692307692307694,0.08079424503148942,0.0,0.004705943740203093,0.10480763636795327,0.0,49.8478249270657,19.75227015788609,-0.044580652972732795
2025-01-18 10:00:00,1.7137947036095524,0.21416601104180694,0.057256822666061066,0.33559690645734225,0.016346153846153847,0.07850301678753763,1.2833486265185186,0.00485300448208444,0.05240381818397664,0.0,50.521656850336576,19.663042649655704,-0.050615154344560945
2025-01-18 11:00:00,1.3492316549479262,0.21416601104180694,0.057256822666061066,0.34018768998023585,0.016346153846153847,0.07602022075116616,0.9166775903703706,0.00485300448208444,0.05240381818397664,0.0,51.59227096828036,19.64831913360115,-0.05339920636035593
2025-01-18 12:00:00,2.425692422266655,0.21644567758753794,0.004705943740203093,1.4347196706070615,0.0,0.0742951612892229,0.9166775903703706,0.004705943740203093,0.0,0.0,51.548379390297015,19.429888896633408,-0.070111103366651
2025-01-18 13:00:00,0.8089859419492657,0.21644567758753794,0.052742777075515015,0.3530262862275037,0.01498397435897436,0.07430464521463946,0.36667103614814817,0.004705943740203093,0.04803683333531192,0.0,51.676354267332094,19.604188927549547,-0.1075021803001866
2025-01-18 14:00:00,0.43495440446656913,0.2172396793417602,0.004705943740203093,0.3581119583233908,0.0,0.07684244614317828,0.0,0.004705943740203093,0.0,0.0,51.32585563037149,19.525046775587096,-0.055290747647792196
2025-01-18 15:00:00,1.3901026515996253,0.22116924188431372,0.05288983781739635,0.37247924871804583,0.01498397435897436,0.08596183815223468,0.9166775903703706,0.00485300448208444,0.04803683333531192,0.0,51.70224521316475,19.680937720457816,-0.09588452951119901
2025-01-18 16:00:00,0.5111895730367783,0.23167368043289346,0.006617733384660599,0.4046066806889775,0.0,0.10658289234780079,0.0,0.006617733384660599,0.0,0.0,51.76944586511945,19.517113704293255,-0.03854140466752677
2025-01-18 17:00:00,0.7932271719947228,0.271053143434863,0.056419295622548674,0.6419748639754926,0.01498397435897436,0.13626833366025595,0.0,0.008382462287236759,0.04803683333531192,0.0,51.40473153804848,19.548229713528727,-0.13864154045238042
2025-01-18 18:00:00,3.306636868704273,0.3145598241421342,0.00970600896416888,0.8465666840705599,0.0,0.2600439677448239,2.200026216888889,0.00970600896416888,0.0,0.0,51.45389885361703,19.57993001127462,-0.024671077910838158
2025-01-18 19:00:00,0.704805072532302,0.2413024093397745,0.05921344971829426,0.5374496779878251,0.01498397435897436,0.1523714201855024,0.0,0.011176616382982346,0.04803683333531192,0.0,51.39608077431769,19.625767030597498,-0.07019149182015454
2025-01-18 20:00:00,0.7086785784722972,0.23472671790338737,0.0643157382763657,0.5662674515817121,0.016346153846153847,0.12606497304443132,0.0,0.01191192009238908,0.05240381818397664,0.0,51.176865308605024,19.65114459388883,-0.06559198954582388
2025-01-18 21:00:00,1.8554164275321254,0.24653522093014635,0.012647223801795811,0.6954393759929766,0.0,0.1516317021317413,1.0083453494074075,0.012647223801795811,0.0,0.0,51.38155791699012,19.088204583370363,-0.0018000888875565242
2025-01-18 22:00:00,0.5023261479261341,0.21170148246130285,0.011029555641100999,0.41890485813417355,0.0,0.08342128979196056,0.0,0.011029555641100999,0.0,0.0,51.58881564432361,18.566130960489932,0.0
2025-01-18 23:00:00,1.098051197744678,0.18403439060991897,0.009558948222287533,0.25391643403123787,0.0,0.019124932380106655,0.8250098313333335,0.009558948222287533,0.0,0.0,51.81119667424561,17.93227376791071,-0.03392949800370619
2025-01-19 00:00:00,0.2858018820607379,0.18289455733705345,0.05450750597809117,0.25239665633408387,0.01498397435897436,0.018421251367679754,0.0,0.006470672642779253,0.04803683333531192,0.0,51.78013865338497,17.936267253680782,-0.0803370835314477
2025-01-19 01:00:00,0.296240142171445,0.18175472406418794,0.09072209403656536,0.25087687863692987,0.027243589743589744,0.018119673790925366,0.0,0.003382397063270973,0.0873396969732944,0.0,51.65126711486236,17.947849075995684,-0.07349934371588708
2025-01-19 02:00:00,0.29199600549993204,0.18061489079132245,0.08139988137171053,0.24935710093977587,0.024519230769230772,0.018119673790925366,0.0,0.0027941540957455865,0.07860572727596496,0.0,51.52306470897672,18.08846287254202,-0.04455145652603593
2025-01-19 03:00:00,0.2963465270276876,0.18790369152481629,0.06334369900952627,0.25935739213408565,0.01907051282051282,0.01791862207308911,0.0,0.0022059111282201993,0.061137787881306076,0.0,51.27407640506091,17.991002631860805,-0.049768566652475005
2025-01-19 04:00:00,0.3010150137724031,0.17833522424559142,0.12026156278404897,0.24631754554546784,0.036778846153846155,0.01791862207308911,0.0,0.0023529718701015465,0.11790859091394743,0.0,51.0265915947051,17.976120104058477,-0.07171518595503065
2025-01-19 05:00:00,0.2850709633619217,0.17833522424559142,0.06815186608383503,0.24631754554546784,0.020432692307692308,0.018320725508761626,0.0,0.0026470933538642397,0.0655047727299708,0.0,50.89648074740683,18.059288078342874,-0.03713965470877412
2025-01-19 06:00:00,1.0882043134820452,0.185378901316656,0.21780583687348629,0.25960188462746947,0.06674679487179487,0.0285135616864845,0.7333420722962963,0.0038235792889150127,0.21398225758457126,0.0,50.6868516176081,19.277793626003394,-0.3669636488284695
2025-01-19 07:00:00,1.2605166220732749,0.23175620375073078,0.17079842873134377,0.3586880664577842,0.051762820512820516,0.11672366280637352,0.7333420722962963,0.00485300448208444,0.16594542424925934,0.0,51.42651416752718,19.66959647767364,-0.060774260199097326
2025-01-19 08:00:00,0.4779596842058267,0.22568894417757887,0.09219270145537882,0.34996748987610804,0.027243589743589744,0.10074860458612887,0.0,0.00485300448208444,0.0873396969732944,0.0,51.28636261620383,19.71467259164058,-0.04899722817720485
2025-01-19 09:00:00,1.6164032815683784,0.21530584431467245,0.10077961041082693,1.5056410878189403,0.02996794871794872,0.08079424503148942,0.0,0.004705943740203093,0.09607366667062384,0.0,51.14711975411471,19.624732790736424,-0.06808103947565555
2025-01-19 10:00:00,0.6338022925026732,0.19327765719995987,0.07909174690938467,0.5731375683983475,0.02315705128205128,0.037507672822274365,0.0,0.00485300448208444,0.07423874242730025,0.0,50.927859384997035,19.78565347943187,-0.041168987605658104
2025-01-19 11:00:00,0.4889053758764902,0.18808610726850666,0.061623807514725785,0.44476702144786945,0.017708333333333333,0.026430021095287474,0.0,0.00485300448208444,0.056770803032641357,0.0,50.8003455594146,19.693521324275295,-0.041433627602383775
2025-01-19 12:00:00,1.6216018586966963,0.21644567758753794,0.05274277707551501,0.5239773736410914,0.01498397435897436,0.0742951612892229,1.0083453494074075,0.004705943740203093,0.04803683333531192,0.0,50.90765124440228,19.575922322647717,-0.07693624332420583
2025-01-19 13:00:00,0.4273309314421432,0.21644567758753794,0.004705943740203093,0.3530262862275037,0.0,0.07430464521463946,0.0,0.004705943740203093,0.0,0.0,51.7353988194175,19.499295810566206,-0.08343898890902146
2025-01-19 14:00:00,1.6714876121802966,0.22322523102743566,0.052742777075515015,0.3770998356843286,0.01498397435897436,0.08772293465551215,1.1916808674814816,0.004705943740203093,0.04803683333531192,0.0,51.292675771624765,19.74216191269058,-0.05640941714036713
