Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Gas Fireplace Gas Power (therms/hour),Gas Fireplace Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.3254472092077847,0.19975182534977215,0.006470672642779253,0.005424120153463078,0.0033291970891628692,0.00010784454404632087,0.02925792583231294,0.0,0.29618928337547173,0.0,0.006470672642779253,0.0,0.0,0.0,0.19975182534977215,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0008547839713818325,0.0,On,0.024382107504205962,0,On,0.029853516242442125,0,On,0.20554465924686935,0.15415849443515198,On,0.006470672642779253,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6304.838813333334,Off,0.0,0.0,22.81446481646355,51.666666666666686,46.10666666666668,0.0,51.60769101070694,0.0,0.0,0.0,22.81446481646355,49.90979634389738,51.60769101070694,49.0608490104926,12.43753247303448,17.576704499801043,-0.25662883353232857,4.512843678988834,-1.5283976398300263,2.8,9.236100170605994,-670.8118462080344,-1058.4214299243204,3072.8867692572167,-1213.4548759777144,-0.0,-0.0,537.8766725577275,0.0,2.0,0.06301274378865505,0.0,0,0.5897369380131371,131.99922844444444,4.766357211952439,0.23007194361415748,8.173143999560939,0.0028131428147264437,34.065122756071105,1.2285706753221244,0.5169154105975889,-1153.8646303691203,95.4432004448,0.5436834545663999,3066.8385959425104,6.0481733147061485
2025-01-01 00:01:00,0.3254472092077847,0.19975182534977215,0.006470672642779253,0.005424120153463078,0.0033291970891628692,0.00010784454404632087,0.02925792583231294,0.0,0.29618928337547173,0.0,0.006470672642779253,0.0,0.0,0.0,0.19975182534977215,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0008547839713818325,0.0,On,0.024382107504205962,0,On,0.029853516242442125,0,On,0.20554465924686935,0.15415849443515198,On,0.006470672642779253,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6304.838813333334,Off,0.0,0.0,22.828040149235445,51.666666666666686,46.10666666666668,0.0,51.605429703519754,0.0,0.0,0.0,22.828040149235445,49.907875252497576,51.605429703519754,49.0590980269865,12.43753247303448,17.555494404174635,-0.27783892915873665,4.563255142356974,-1.3127590778487381,2.8,9.236100170605994,-671.4037271402295,-1094.7781507333557,2918.5852118199546,-1210.9712697691093,-0.0,-0.0,537.8766725577275,0.0,2.0,0.06297416561828256,0.0,0,0.5893758845071047,131.99922844444444,1.690870071152176,0.23106276434847242,8.186135518238714,0.0028132603106191733,34.09772504830923,1.2322493013031344,0.5171571041073809,-1188.3799226634992,93.60177193014349,0.5436834545663999,2914.050261855043,4.534949964911253
2025-01-01 00:02:00,0.3254472092077847,0.19975182534977215,0.006470672642779253,0.005424120153463078,0.0033291970891628692,0.00010784454404632087,0.02925792583231294,0.0,0.29618928337547173,0.0,0.006470672642779253,0.0,0.0,0.0,0.19975182534977215,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0008547839713818325,0.0,On,0.024382107504205962,0,On,0.029853516242442125,0,On,0.20554465924686935,0.15415849443515198,On,0.006470672642779253,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6304.838813333334,Off,0.0,0.0,22.841414534444194,51.666666666666686,46.10666666666668,0.0,51.60316720873278,0.0,0.0,0.0,22.841414534444194,49.905953017987244,51.60316720873278,49.05734592261449,12.43753247303448,17.534568501752652,-0.2987648315807192,4.6109919546756615,-1.1088191661800564,2.8,9.236100170605994,-672.0928951123186,-1128.84558618193,2772.9836609595527,-1208.5228996130984,-0.0,-0.0,537.8766725577275,0.0,2.0,0.0629360974955027,0.0,0,0.5890196045419058,131.99922844444444,-1.446668056947793,0.2313778347993298,8.176099352747269,0.0028133775678668297,34.12966149514071,1.2323379217019916,0.517385870149338,-1221.0929864661118,92.24740028418174,0.5436834545663999,2769.5508779252477,3.432783034305027
2025-01-01 00:03:00,0.4071779784385539,0.19975182534977215,0.2684897635626624,0.006786299640642565,0.0033291970891628692,0.00447482939271104,0.02925792583231294,0.0,0.29618928337547173,0.08173076923076923,0.006470672642779253,0.2620190909198832,0.0,0.0,0.19975182534977215,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0008547839713818325,0.0,On,0.024382107504205962,0,On,0.029853516242442125,0,On,0.20554465924686935,0.15415849443515198,On,0.006470672642779253,On,0,0,Off,On,6386.569582564103,18.33333333333337,0.8210470437277401,0.0,7.67902261082134,0.08173076923076923,1,6304.838813333334,6304.838813333334,Off,0.0,0.0,22.85459227942337,51.666666666666686,46.10666666666668,0.0,51.60090354451953,0.0,0.0,0.0,22.85459227942337,49.90402965728717,51.60090354451953,49.05559271367099,12.43753247303448,17.513920693230624,-0.3194126401027475,4.65628060719805,-0.9159379480897407,2.8,9.236100170605994,5713.696106464232,-1161.0720894467831,2635.122901967796,-1206.1089740900688,-0.0,-0.0,537.8766725577275,0.0,2.0,0.06289852860285991,0.0,0,0.5886679968768592,131.99922844444444,-4.641174567529703,0.23168932375866547,8.166849449254922,0.0028134949264992538,34.16087919811598,1.2324253756565078,0.5176028105700012,-1252.154461781147,91.08237233436385,0.5436834545663999,2632.8870098396405,2.2358921281558657
2025-01-01 00:04:00,0.4071779784385539,0.19975182534977215,0.2684897635626624,0.006786299640642565,0.0033291970891628692,0.00447482939271104,0.02925792583231294,0.0,0.29618928337547173,0.08173076923076923,0.006470672642779253,0.2620190909198832,0.0,0.0,0.19975182534977215,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0008547839713818325,0.0,On,0.024382107504205962,0,On,0.029853516242442125,0,On,0.20554465924686935,0.15415849443515198,On,0.006470672642779253,On,0,0,Off,On,6386.569582564103,18.33333333333337,0.8210470437277401,0.0,7.67902261082134,0.08173076923076923,1,6304.838813333334,6304.838813333334,Off,0.0,0.0,22.785939582236185,51.666666666666686,46.10666666666668,0.0,51.59863872866395,0.0,0.0,0.0,22.785939582236185,49.902105186955424,51.59863872866395,49.053838416101165,12.43753247303448,17.609467927464777,-0.22386540586859383,4.6993011341936874,-0.7335325508027635,2.8,9.236100170605994,5694.590261748355,-1191.6081773432084,2504.718727744474,-1217.2952510568798,-0.0,-0.0,537.8766725577275,0.0,2.0,0.06307232207296785,0.0,0,0.5902945318084581,131.99922844444444,-12.560742316595089,0.2303056520195284,8.212066594048995,0.002813612384141732,33.8842939372025,1.232020297787787,0.5178088021047808,-1281.683838666921,90.0756613237127,0.5436834545663999,2503.645669496914,1.0730582475602235
2025-01-01 00:05:00,0.4071779784385539,0.19975182534977215,0.2684897635626624,0.006786299640642565,0.0033291970891628692,0.00447482939271104,0.02925792583231294,0.0,0.29618928337547173,0.08173076923076923,0.006470672642779253,0.2620190909198832,0.0,0.0,0.19975182534977215,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0008547839713818325,0.0,On,0.024382107504205962,0,On,0.029853516242442125,0,On,0.20554465924686935,0.15415849443515198,On,0.006470672642779253,On,0,0,Off,On,6386.569582564103,18.33333333333337,0.8210470437277401,0.0,7.67902261082134,0.08173076923076923,1,6304.838813333334,6304.838813333334,Off,0.0,0.0,22.719444508079242,51.666666666666686,46.10666666666668,0.0,51.596380159726166,0.0,0.0,0.0,22.719444508079242,49.90018649752221,51.596380159726166,49.05208966642024,12.43753247303448,17.701957216206885,-0.13137611712648578,4.740206838103256,-0.5610202931463577,2.8,9.236100170605994,5677.92969239867,-1220.5930304298165,2381.389210547233,-1228.1621107434464,-0.0,-0.0,537.8766725577275,0.0,2.0,0.06324041787844707,0.0,0,0.5918677422363147,131.99922844444444,-18.35445197971363,0.22897534344826337,8.256170543615347,0.0028137289290889535,33.616062127749174,1.2316284356377547,0.5180045914377888,-1309.782827235429,89.18979680561264,0.5436834545663999,2381.414004553436,-0.024794006203151087
2025-01-01 00:06:00,0.4071779784385539,0.19975182534977215,0.2684897635626624,0.006786299640642565,0.0033291970891628692,0.00447482939271104,0.02925792583231294,0.0,0.29618928337547173,0.08173076923076923,0.006470672642779253,0.2620190909198832,0.0,0.0,0.19975182534977215,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0008547839713818325,0.0,On,0.024382107504205962,0,On,0.029853516242442125,0,On,0.20554465924686935,0.15415849443515198,On,0.006470672642779253,On,0,0,Off,On,6386.569582564103,18.33333333333337,0.8210470437277401,0.0,7.67902261082134,0.08173076923076923,1,6304.838813333334,6304.838813333334,Off,0.0,0.0,22.6549541377507,51.666666666666686,46.10666666666668,0.0,51.594127642573994,0.0,0.0,0.0,22.6549541377507,49.89827340730494,51.594127642573994,49.050346289670415,12.43753247303448,17.79160551667014,-0.041727816663232886,4.779130293586487,-0.397840629093737,2.8,9.236100170605994,5662.196215500111,-1248.1406636300471,2264.7389053177526,-1238.7313573522956,-0.0,-0.0,537.8766725577275,0.0,2.0,0.06340322280223205,0.0,0,0.593391435246231,131.99922844444444,-23.51868226942431,0.22769436067317114,8.298648320456099,0.0028138445882406053,33.355593437647585,1.231248846075043,0.5181908243354202,-1336.5393723759162,88.39870874586894,0.5436834545663999,2265.7948462800837,-1.0559409623309075
2025-01-01 00:07:00,0.4071779784385539,0.19975182534977215,0.2684897635626624,0.006786299640642565,0.0033291970891628692,0.00447482939271104,0.02925792583231294,0.0,0.29618928337547173,0.08173076923076923,0.006470672642779253,0.2620190909198832,0.0,0.0,0.19975182534977215,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0008547839713818325,0.0,On,0.024382107504205962,0,On,0.029853516242442125,0,On,0.20554465924686935,0.15415849443515198,On,0.006470672642779253,On,0,0,Off,On,6386.569582564103,18.33333333333337,0.8210470437277401,0.0,7.67902261082134,0.08173076923076923,1,6304.838813333334,6304.838813333334,Off,0.0,0.0,22.592356518212387,51.666666666666686,46.10666666666668,0.0,51.59188099590274,0.0,0.0,0.0,22.592356518212387,49.896365747497576,51.59188099590274,49.048608123295,12.43753247303448,17.87857162883676,0.0,4.816188171567936,-0.24346370355814292,2.8,9.236100170605994,5647.021204609529,-1274.347839859998,2154.3864413304764,-1249.018372263363,-0.0,-0.0,537.8766725577275,0.0,2.0,0.06356103658699178,0.0,0,0.5948684161330277,131.99922844444444,-28.40667824893829,0.22645961216981073,8.339590126169753,0.0028139593866068004,33.102453172929884,1.2308808349916864,0.5183680690296976,-1362.0308862408176,87.68304638081972,0.5436834545663999,2156.4127716761213,-2.0263303456449018
2025-01-01 00:08:00,0.4071779784385539,0.19975182534977215,0.2684897635626624,0.006786299640642565,0.0033291970891628692,0.00447482939271104,0.02925792583231294,0.0,0.29618928337547173,0.08173076923076923,0.006470672642779253,0.2620190909198832,0.0,0.0,0.19975182534977215,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0008547839713818325,0.0,On,0.024382107504205962,0,On,0.029853516242442125,0,On,0.20554465924686935,0.15415849443515198,On,0.006470672642779253,On,0,0,Off,On,6386.569582564103,18.33333333333337,0.8210470437277401,0.0,7.67902261082134,0.08173076923076923,1,6304.838813333334,6304.838813333334,Off,0.0,0.0,22.531558417530732,51.666666666666686,46.10666666666668,0.0,51.589640048531216,0.0,0.0,0.0,22.531558417530732,49.89446335872109,51.589640048531216,49.046875013816035,12.43753247303448,17.9629877785133,0.0,4.851484647575172,-0.09739073787075,2.8,9.236100170605994,5632.3132994172665,-1299.2981613606748,2049.9729129578172,-1259.035731047046,-0.0,-0.0,537.8766725577275,0.0,2.0,0.06371410964765574,0.0,0,0.5963010285326883,131.99922844444444,-33.09722465751764,0.2252684717039134,8.379720421951497,0.002814073347814289,32.856278256899586,1.230523822907459,0.5185368327532405,-1386.3265282687705,87.0283669080957,0.5436834545663999,2052.914376595332,-2.941463637514894
2025-01-01 00:09:00,0.4071779784385539,0.19975182534977215,0.2684897635626624,0.006786299640642565,0.0033291970891628692,0.00447482939271104,0.02925792583231294,0.0,0.29618928337547173,0.08173076923076923,0.006470672642779253,0.2620190909198832,0.0,0.0,0.19975182534977215,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0008547839713818325,0.0,On,0.024382107504205962,0,On,0.029853516242442125,0,On,0.20554465924686935,0.15415849443515198,On,0.006470672642779253,On,0,0,Off,On,6386.569582564103,18.33333333333337,0.8210470437277401,0.0,7.67902261082134,0.08173076923076923,1,6304.838813333334,6304.838813333334,Off,0.0,0.0,22.472477409628194,51.666666666666686,46.10666666666668,0.0,51.587404637708985,0.0,0.0,0.0,22.472477409628194,49.89256608944705,51.587404637708985,49.04514681531609,12.43753247303448,18.04497085595182,0.0,4.885113894887676,0.04084786717820471,2.8,9.236100170605994,5618.069327946005,-1323.065094694162,1951.1612697571925,-1268.7944754475516,-0.0,-0.0,537.8766725577275,0.0,2.0,0.0638626636534357,0.0,0,0.5976913470497186,131.99922844444444,-37.5824517282742,0.22411860320990507,8.418461894269917,0.0028141864943376145,32.61674727554765,1.2301772970482778,0.5186975738441068,-1409.4888702988314,86.42377560466932,0.5436834545663999,1954.9669316766542,-3.805661919461655
