Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.45704168767919323,0.16571943751709473,0.16112287476341303,0.45704168767919323,0.16571943751709473,0.16112287476341303,0.09501740149753528,0.23034772368165798,0.13167656249999998,0.030971523412061684,0.13015135135135134,0.0,0.16571943751709473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.024126206140350874,0.0,0.0034653264826944984,0.0,0.06742586887448991,0.0,0.009388473658864959,0.0,0.18589449954026385,0.13942087465519784,2958.4855591620194,18.33333333333337,0.18500000000000003,701.4741100046475,3.814360115315315,0.13167656249999998,0.2,3528.2831066666668,17641.415533333333,703.3706666666666,0.0,86.97347503729958,51.66666666666668,46.10666666666668,0.0,51.1565600890928,0.0,0.0,703.3706666666666,135.8960547457806,50.70354324039525,51.18331419963227,50.450280705507005,12.43753247303448,18.34057934843825,-0.045042653878385804,2.2503918792541997,2.8,9.236100170605994,1882.1620139983756,1213.1021978858635,-1409.2364604234024,0.0,0.0,422.3408673127081,0.0,1.6664999999999999,0.0695337093541689,0.0,0.0,0.6507667239623663,109.98835710133334,-89.42795205294925,0.21374828882121105,8.459690902150552,0.002731665401472183,6.1276997672950335,1.228937343596441,0.7249112727551998,519.225061282445,-7.596973401229164
2025-01-01 01:00:00,0.5092208378316037,0.1650619734455473,0.18438108108108106,0.5092208378316037,0.1650619734455473,0.1843810810810811,0.09320793603700897,0.22947110491959474,0.18654179687499997,0.0,0.18438108108108106,0.0,0.1650619734455473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034188131720465954,0.025641098790349457,0.0,0.0,0.022316740679824556,0.0,0.0034653264826944984,0.0,0.06742586887448991,0.0,0.009388473658864959,0.0,0.18589449954026385,0.13942087465519784,4191.187875479527,18.33333333333337,0.2620833333333334,993.7549891732507,5.403676830030029,0.18654179687499997,0.2833333333333333,4998.401067777778,17641.415533333333,0.0,0.0,87.44363907810059,51.66666666666668,46.10666666666668,0.0,50.582831461915575,0.0,0.0,0.0,136.63068605953217,50.614892520216266,50.63092304936662,50.582831461915575,12.43753247303448,18.026215814658293,-0.05785232812099021,3.5086685377755567,2.5,9.236100170605994,3230.2457322788605,32.9211795273549,-1297.6836330479687,0.0,0.0,441.6656544332297,0.0,2.0,0.06413508164028786,0.0,0.0,0.6002409098804492,131.99922844444444,-104.92416458592798,0.21824737106081296,8.31840632788069,0.002736246757613547,31.6895521343103,1.2303159290937962,0.7249112727551998,-954.1000934711585,-6.733716174737368
2025-01-01 02:00:00,0.49737117219454047,0.16440450937399984,0.17353513513513513,0.49737117219454047,0.16440450937399986,0.17353513513513513,0.09320793603700897,0.2285944861575315,0.17556875,0.0,0.17353513513513513,0.0,0.16440450937399984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.022316740679824556,0.0,0.0034653264826944984,0.0,0.06742586887448991,0.0,0.009388473658864959,0.0,0.18589449954026385,0.13942087465519784,3944.6474122160257,18.33333333333337,0.2466666666666667,935.29881333953,5.085813487087086,0.17556875,0.26666666666666666,4704.377475555555,17641.415533333333,0.0,0.0,85.22674590512496,51.66666666666668,46.10666666666668,0.0,49.77318365211707,0.0,0.0,0.0,133.16679047675774,49.80814210715803,49.825621334678516,49.77318365211707,12.43753247303448,18.045534562317574,-0.057616947003483666,2.9941455649667588,1.6500000000000001,9.236100170605994,2984.010349732084,-346.56912173427116,-1290.9554232449118,0.0,0.0,440.78903567116646,0.0,2.0,0.06014198158440036,0.0,0.0,0.5628694440697006,131.99922844444444,-110.4706749101959,0.21863603803959686,8.336992485685114,0.002744405629000103,47.536567926882846,1.2302284120559206,0.7249112727551998,-1275.4089151691162,-6.459019904684935
2025-01-01 03:00:00,0.5211146775155966,0.16657980158961638,0.195227027027027,0.5211146775155966,0.16657980158961636,0.19522702702702702,0.09200162572999143,0.23159820803560516,0.19751484375,0.0,0.195227027027027,0.0,0.16657980158961638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03243489419633949,0.024326170647254612,0.0,0.0,0.021110430372807017,0.0,0.0034653264826944984,0.0,0.06742586887448991,0.0,0.009491805916116617,0.0,0.18967150792314905,0.14225363094236174,4437.728338743028,18.33333333333337,0.2775,1052.2111650069714,5.721540172972973,0.19751484375,0.3,5292.42466,17641.415533333333,0.0,0.0,83.12995188517938,51.66666666666668,46.10666666666668,0.0,48.98113508390657,0.0,0.0,0.0,129.89054982059278,49.02103767152284,49.040988965330975,48.98113508390657,12.43753247303448,18.039671835075513,-0.05732100928094995,2.6139326471051105,1.6500000000000001,9.236100170605994,3421.1526615167336,130.26128732851177,-1342.8164301908678,0.0,0.0,442.3220566554206,0.0,2.0,0.06264958799404458,0.0,0.0,0.5863381590763932,131.99922844444444,-116.08130369084815,0.21944919901076004,8.345091519471406,0.002753687362107809,20.684081860425795,1.230246197511432,0.7249112727551998,-915.1618877338823,-6.787989944577257
2025-01-01 04:00:00,0.5684069970103457,0.18033244558755496,0.26337620403701145,0.5684069970103457,0.18033244558755496,0.26337620403701145,0.09570436057876933,0.2532416989315764,0.2194609375,0.04645728511809253,0.2169189189189189,0.0,0.18033244558755496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.021110430372807017,0.0,0.003646324772612112,0.0,0.0709476054333502,0.0,0.012798438148169685,0.0,0.20888498534913041,0.15666373901184777,4930.809265270032,18.33333333333337,0.3083333333333334,1169.1235166744125,6.357266858858859,0.2194609375,0.3333333333333333,5880.471844444444,17641.415533333333,1055.056,0.0,84.66738097312626,51.66666666666668,46.10666666666668,0.0,50.03936382757225,0.23396713304121974,604.3559012229719,1055.056,132.29278277050977,49.55969164665773,50.04373223965158,49.31548714412115,12.43753247303448,18.04473077416886,-0.0540428132331213,2.4950250581410702,0.55,9.236100170605994,3801.0950734678013,-693.055327324469,-1481.2929943957965,0.0,0.0,466.32333898035097,0.0,2.0,0.06445436058764442,0.0,0.0,0.6032290449379805,131.99922844444444,-114.74453638678509,0.21944658635157233,8.346395855609678,0.002755866493608026,48.79262281476932,1.229645673249738,0.7249112727551998,-1855.7065434626231,-6.472300536258354
2025-01-01 05:00:00,0.6283108284903766,0.18033244558755496,0.24478737723805008,0.6283108284903767,0.18033244558755496,0.24478737723805008,0.1614589113243252,0.25836402654105145,0.20848789062499998,0.03871440426507711,0.20607297297297297,0.0,0.18033244558755496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.023523050986842105,0.0,0.006742625615668758,0.0,0.13119323472181432,0.0,0.017920765757644747,0.0,0.20888498534913041,0.15666373901184777,4684.26880200653,18.33333333333337,0.2929166666666667,1110.667340840692,6.039403515915915,0.20848789062499998,0.31666666666666665,5586.448252222222,17641.415533333333,879.2133333333333,0.0,85.77709056930482,51.66666666666668,46.10666666666668,0.0,51.369789887246256,0.28335184968442134,768.787799023248,879.2133333333333,134.02670401453878,49.9798219569056,51.369789887246256,49.28483799173527,12.43753247303448,18.06608317709176,-0.05133563922911725,1.038247717020998,-0.25000000000000006,9.236100170605994,3550.061058600045,-126.75365672694635,-1553.0289894532289,0.0,0.0,537.2002173353818,0.0,2.0,0.06439083415748127,0.0,0.0,0.6026345004037353,131.99922844444444,-118.37897128863864,0.2203765628245554,8.372107802521628,0.0027726975581362574,57.286399816510404,1.2289262063734854,0.7249112727551998,-1230.6024807623608,-6.818516805277568
2025-01-01 06:00:00,0.6649899644532141,0.17684400437415446,0.2339414312921041,0.6649899644532141,0.17684400437415446,0.23394143129210412,0.21286188230017036,0.2546132384030438,0.19751484375,0.03871440426507711,0.195227027027027,0.0,0.17684400437415446,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.02653882675438596,0.0,0.009107904239252325,0.0,0.17721515130653206,0.0,0.018821232570837773,0.0,0.2024804928738033,0.1518603696553524,4437.728338743028,18.33333333333337,0.2775,1052.2111650069714,5.721540172972973,0.19751484375,0.3,5292.42466,17641.415533333333,879.2133333333333,0.0,86.18482795794188,51.66666666666668,46.10666666666668,0.0,51.573336308001586,0.18886853077195145,512.1327604519339,879.2133333333333,134.66379368428417,50.08359327791046,51.573336308001586,49.33872176286489,12.43753247303448,18.03374776260824,-0.05492095244084035,1.7260547160465654,0.3,9.236100170605994,3375.6253494362195,-313.2613954970197,-1496.012058137499,0.0,0.0,557.8118753229369,0.0,1.5835000000000001,0.0641896093486795,0.0,0.0,0.6007512352821108,104.51038912088889,-123.9028064922467,0.22109327597840486,8.360862471947314,0.002776150140126313,-6.600814492398814,1.229059972061485,0.7249112727551998,-1358.5211662315417,-6.951394272449375
2025-01-01 07:00:00,0.5454292178327019,0.16571943751709473,0.2169189189189189,0.545429217832702,0.16571943751709473,0.2169189189189189,0.09562055665104406,0.23034772368165798,0.2194609375,0.0,0.2169189189189189,0.0,0.16571943751709473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.024729361293859647,0.0,0.0034653264826944984,0.0,0.06742586887448991,0.0,0.009388473658864959,0.0,0.18589449954026385,0.13942087465519784,4930.809265270032,18.33333333333337,0.3083333333333334,1169.1235166744125,6.357266858858859,0.2194609375,0.3333333333333333,5880.471844444444,17641.415533333333,0.0,0.0,89.57643831138446,51.66666666666668,46.10666666666668,0.0,51.57750433625622,0.0,0.0,0.0,139.96318486153822,51.36775966304141,51.57750433625622,51.26288732643402,12.43753247303448,17.99254262597401,-0.06215534325024053,1.2124563522033038,-0.55,9.236100170605994,3578.898195202807,-521.5725518202638,-1611.8450120462196,0.0,0.0,378.9552795871058,6.244061260228187,1.0,0.06589595027888374,0.0,0.0,0.6167208981611033,65.99961422222222,-119.02133760811076,0.2214369795885339,8.33813940968726,0.0027732703468665155,-0.3074395797624597,1.2292360191993863,0.7249112727551998,-1683.9945367685098,-6.701531726166694
2025-01-01 08:00:00,0.5622203788096775,0.16637690158864213,0.23861081081081081,0.5622203788096776,0.16637690158864213,0.23861081081081081,0.08958900511595634,0.2312243424437212,0.24140703125,0.0,0.23861081081081081,0.0,0.16637690158864213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.01869780975877193,0.0,0.0034653264826944984,0.0,0.06742586887448991,0.0,0.009388473658864959,0.0,0.18589449954026385,0.13942087465519784,5423.890191797035,18.33333333333337,0.3391666666666667,1286.0358683418538,6.992993544744745,0.24140703125,0.36666666666666664,6468.519028888889,17641.415533333333,0.0,0.0,87.15255722617293,51.66666666666668,46.10666666666668,0.0,50.68957011369288,0.0,0.0,0.0,136.1758706658952,50.54169177447186,50.68957011369288,50.46775260486136,12.43753247303448,18.06766057394014,-0.04563757842827609,0.4954045007863181,-1.4,9.236100170605994,4014.9499660647275,-535.8726577145906,-1761.800628019333,0.0,0.0,373.8003468140813,416.47835850299094,1.0,0.06844741616167797,0.0,0.0,0.6406000944425857,65.99961422222222,-20.939944527055715,0.2209506485741384,8.383917558714739,0.0027790011480272347,60.6476673144125,1.2294919708727121,0.7249112727551998,-1816.272576917467,-5.63594913897739
2025-01-01 09:00:00,0.6573588697636249,0.16637690158864213,0.3362243243243243,0.6573588697636248,0.16637690158864213,0.3362243243243243,0.08597007419490371,0.2312243424437212,0.340164453125,0.0,0.3362243243243243,0.0,0.16637690158864213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.015078878837719297,0.0,0.0034653264826944984,0.0,0.06742586887448991,0.0,0.009388473658864959,0.0,0.18589449954026385,0.13942087465519784,7642.75436116855,20.000000000000057,0.4779166666666667,1812.1414508453395,9.85376363123123,0.340164453125,0.5166666666666667,9114.731358888888,17641.415533333333,0.0,0.0,81.04960115449487,51.66666666666668,46.10666666666668,0.0,49.84434197344617,0.0,0.0,0.0,126.64000180389823,49.75395108487668,49.84434197344617,49.70875564059194,12.43753247303448,19.552334878987214,-0.13659838390354787,1.0424664768717178,-0.85,9.236100170605994,6242.728263146878,-0.2713457361658053,-1895.9650623755122,0.0,0.0,370.18141589302866,1136.7202836530562,1.0,0.0703648063622828,0.0,0.0,0.6585449696835948,65.99961422222222,125.7575484608121,0.20292896312974545,9.101501677719941,0.0027986296521022172,129.81214030278394,1.2238566386321363,0.7249112727551998,-1811.4893218120133,-0.9234747694919545
