occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.589,0.0318,0.337,0.0641,0.0,0.268,0,0,0,0
1.0,0.58,0.0265,0.365,0.0592,0.0,0.0535,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.571,0.0179,0.393,0.0561,0.0,0.13,0,0,0,0
1.0,0.589,0.022,0.337,0.0696,0.0,0.0651,0,0,0,0
1.0,0.599,0.024,0.309,0.0763,0.333,0.195,0,0,0,0
1.0,0.617,0.0281,0.253,0.0898,1.0,0.13,0,0,0,0
1.0,0.634,0.0358,0.225,0.137,0.733,0.0772,0,0,0,0
1.0,0.668,0.0512,0.168,0.232,0.0,0.0651,0,0,0,0
1.0,0.668,0.0512,0.168,0.232,0.0,0.0651,0,0,0,0
1.0,0.668,0.0512,0.168,0.232,0.0,0.309,0,0,0,0
0.933,0.664,0.051,0.196,0.224,0.0,0.445,0,0,0,0
0.8,0.656,0.0508,0.253,0.208,0.0,0.0651,0,0,0,0
0.733,0.656,0.0508,0.253,0.208,0.0,0.173,0,0,0,0
0.6,0.656,0.0508,0.253,0.208,0.0,0.173,0,0,0,0
0.533,0.642,0.0465,0.281,0.184,0.0,0.0651,0,0,0,0
0.333,0.596,0.0306,0.365,0.106,0.0,0.0,0,0,0,0
0.2,0.579,0.0232,0.393,0.0777,0.333,0.0,0,0,0,0
0.2,0.613,0.038,0.337,0.135,1.0,0.0651,0,0,0,0
0.2,0.613,0.0395,0.337,0.135,1.0,0.26,0,0,0,0
0.2,0.613,0.0426,0.337,0.137,0.733,0.13,0,0,0,0
0.2,0.613,0.0426,0.337,0.137,0.0,0.195,0,0,0,0
0.2,0.613,0.0426,0.337,0.137,0.0,0.13,0,0,0,0
0.2,0.613,0.0438,0.337,0.136,0.0,0.0651,0,0,0,0
0.2,0.613,0.0462,0.337,0.135,0.0,0.0,0,0,0,0
0.2,0.613,0.0462,0.337,0.135,0.0,0.0,0,0,0,0
0.2,0.613,0.0462,0.337,0.135,0.0,0.0651,0,0,0,0
0.2,0.613,0.0474,0.337,0.133,0.0,0.0,0,0,0,0
0.2,0.613,0.0498,0.337,0.131,0.0,0.0651,0,0,0,0
0.2,0.613,0.0498,0.337,0.131,0.333,0.0651,0,0,0,0
0.2,0.596,0.0385,0.365,0.104,1.0,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0493,0.733,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.133,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.0667,0.581,0.0323,0.393,0.0791,0.0,0.0651,0,0,0,0
0.2,0.621,0.0653,0.337,0.139,0.0,0.13,0,0,0,0
0.2,0.624,0.0696,0.337,0.147,0.0,0.26,0,0,0,0
0.267,0.632,0.0782,0.337,0.163,0.0,0.0,0,0,0,0
0.4,0.632,0.0782,0.337,0.163,0.0,0.0651,0,0,0,0
0.4,0.632,0.0782,0.337,0.163,0.0,0.0651,0,0,0,0
0.4,0.664,0.109,0.309,0.227,0.0,0.13,0,0,0,0
0.4,0.726,0.17,0.253,0.356,0.0,0.13,0,0,0,0
0.4,0.726,0.17,0.253,0.356,0.0,0.13,0,0,0,0
0.4,0.726,0.17,0.253,0.356,0.0,0.13,0,0,0,0
0.467,0.758,0.224,0.225,0.441,0.0,0.195,0,0,0,0
0.533,0.763,0.261,0.225,0.487,0.0,0.13,0,0,0,0
0.467,0.677,0.156,0.309,0.299,0.0,0.0651,0,0,0,0
0.6,0.734,0.226,0.253,0.424,0.0,0.0,0,0,0,0
0.6,0.731,0.255,0.253,0.423,0.0,0.0651,0,0,0,0
0.6,0.726,0.313,0.253,0.42,0.0,0.0,0,0,0,0
0.6,0.726,0.313,0.253,0.42,0.0,0.0,0,0,0,0
0.6,0.726,0.313,0.253,0.42,0.0,0.266,0,0,0,0
0.667,0.746,0.398,0.225,0.447,0.0,0.298,0,0,0,0
0.8,0.785,0.568,0.168,0.499,0.0,0.25,0,0,0,0
0.8,0.785,0.568,0.168,0.499,0.0,0.0,0,0,0,0
0.8,0.785,0.568,0.168,0.499,0.0,0.0968,0,0,0,0
0.8,0.77,0.558,0.168,0.459,0.0,0.0,0,0,0,0
0.8,0.739,0.538,0.168,0.381,0.0,0.0,0,0,0,0
0.8,0.739,0.538,0.168,0.381,0.0,0.0,0,0,0,0
0.8,0.739,0.538,0.168,0.381,0.0,0.0,0,0,0,0
0.8,0.709,0.434,0.196,0.334,0.0,0.0,0,0,0,0
0.8,0.648,0.224,0.253,0.239,0.0,0.0,0,0,0,0
0.8,0.634,0.189,0.281,0.207,0.0,0.0,0,0,0,0
0.8,0.605,0.12,0.337,0.144,0.0,0.0,0,0,0,0
0.8,0.591,0.0852,0.365,0.112,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.867,0.572,0.0303,0.393,0.0626,0.0,0.0,0,0,0,0
1.0,0.583,0.0447,0.365,0.0759,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
