Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,1.0330846363603652,0.11031519255939101,0.0,1.0330846363603652,0.11031519255939101,0.0,0.013032800649549686,0.0,0.1309475345626674,0.8391043011481483,0.05,0.0,0.0,0.09573185922605768,0.0,0.01458333333333334,1.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.004654961622807018,0.0,0.008377839026742669,0.0,0.0033050555945904336,0.0,0.08800008481942125,0.06600006361456591,632.6763732769012,18.111111111111143,0.13333333333333333,206.4279278712469,0.8089153428148149,0.03018895833333333,0.13333333333333333,808.9153428148148,6066.865071111111,0.0,19.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3792.3401777777776,0.0,0.0,37.18113312762002,51.66666666666668,46.10666666666668,0.0,50.31152845130783,0.0,0.0,0.0,37.18113312762002,49.92729026009538,50.31152845130783,49.735171164489174,12.43753247303448,17.981615010076894,-0.035348853323596725,7.470472743191748,2.8,9.236100170605994,268.3126251973279,-1395.5669339607014,-595.172802019122,0.0,-0.04986772082410507,203.8199434970798,0.0,1.0,0.030070704981357887,0.0,2.396878959528291e-06,0.5596132391865571,65.99961422222222,27.038978163292843,0.23314196310044685,8.505225359392874,0.0029153966547664687,-0.45016710120355674,1.2303126997112523,0.2670176601593265,-1625.356311985081,23.36145015313284
2025-01-01 01:00:00,1.9757367931766052,0.10957189766910372,0.0,1.9757367931766052,0.10957189766910372,0.0,0.012683678527839158,0.0,0.129956474708951,1.783096639939815,0.05,0.0,0.0,0.09498856433577038,0.0,0.01458333333333334,1.0,0.0,0.0,0.03865133429493931,0.028988500721204475,0.0,0.0,0.00430583950109649,0.0,0.008377839026742669,0.0,0.0033050555945904336,0.0,0.08800008481942125,0.06600006361456591,1344.4372932134152,18.111111111111143,0.2833333333333333,438.65934672639963,1.7189451034814816,0.06415153645833332,0.2833333333333333,1718.9451034814815,6066.865071111111,0.0,19.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3792.3401777777776,0.0,0.0,37.07291850592089,51.66666666666668,46.10666666666668,0.0,49.974567352449775,0.0,0.0,0.0,37.07291850592089,49.613840495263375,49.974567352449775,49.433477066670186,12.43753247303448,17.760480840795626,-0.06376542897249013,7.773201486577126,2.5,9.236100170605994,989.6925434790849,-950.9467916060173,-577.0393857511975,0.0,0.0,202.47976152165288,0.0,1.0,0.02899374046702934,0.0,0.0,0.5395280172378399,65.99961422222222,19.814874495214458,0.236409038058945,8.402153404812035,0.002915645993381458,2.8241993490319586,1.2313063965027813,0.210449603543701,-1409.8931657461324,20.2870274137152
2025-01-01 02:00:00,2.0796337709664074,0.10882860277881642,0.0,2.079633770966407,0.10882860277881642,0.0,0.012683678527839158,0.0,0.1289654148552346,1.8879846775833335,0.05,0.0,0.0,0.09424526944548309,0.0,0.01458333333333334,1.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.00430583950109649,0.0,0.008377839026742669,0.0,0.0033050555945904336,0.0,0.08800008481942125,0.06600006361456591,1423.5218398730278,18.111111111111143,0.3,464.4628377103055,1.8200595213333335,0.06792515625,0.3,1820.0595213333334,6066.865071111111,0.0,19.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3792.3401777777776,0.0,0.0,36.69206894833023,51.66666666666668,46.10666666666668,0.0,49.641252256664174,0.0,0.0,0.0,36.69206894833023,49.303538771866734,49.641252256664174,49.13468202946802,12.43753247303448,17.776837972724778,-0.05729823463662722,8.420890686455245,1.6500000000000001,9.236100170605994,1033.4305295639717,-824.5424582574299,-605.9816583859506,0.0,0.0,201.4887016679365,0.0,1.0,0.028688497810356563,0.0,0.0,0.5338479303405198,65.99961422222222,14.401646408958065,0.23634995938446313,8.412659627979556,0.0029179869936338,9.16841774677385,1.2312353021385332,0.14818168503767248,-1307.596514421792,18.591218454056893
2025-01-01 03:00:00,1.8686338877445132,0.10808530788852913,0.0,1.8686338877445132,0.10808530788852913,0.0,0.012450930446698809,0.0,0.12797435500151821,1.6782086022962965,0.05,0.0,0.0,0.0935019745551958,0.0,0.01458333333333334,1.0,0.0,0.0,0.03666921458750652,0.027501910940629884,0.0,0.0,0.00407309141995614,0.0,0.008377839026742669,0.0,0.0033050555945904336,0.0,0.08800008481942125,0.06600006361456591,1265.3527465538025,18.111111111111143,0.26666666666666666,412.8558557424938,1.6178306856296298,0.06037791666666666,0.26666666666666666,1617.8306856296297,6066.865071111111,0.0,19.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3792.3401777777776,0.0,0.0,36.336535733983865,51.66666666666668,46.10666666666668,0.0,49.311461649878055,0.0,0.0,0.0,36.336535733983865,48.99627668089495,49.311461649878055,48.8386841964034,12.43753247303448,17.774489769361065,-0.0616839884247342,8.366778972001022,1.6500000000000001,9.236100170605994,860.0370264801708,-1115.1044897477668,-616.7202660466438,0.0,0.0,200.26489373307976,0.0,1.0,0.02921674681334589,0.0,0.0,0.5436778154329519,65.99961422222222,11.139652239932097,0.23665611491023128,8.41543611006812,0.002921317376570034,-2.188585483676845,1.2312428498192396,0.1804533555823004,-1551.2664218966722,23.306076406411673
2025-01-01 04:00:00,2.287194978464871,0.10734201299824184,0.0,2.2871949784648713,0.10734201299824184,0.0,0.012450930446698809,0.0,0.12698329514780182,2.0977607528703706,0.05,0.0,0.0,0.0927586796649085,0.0,0.01458333333333334,1.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.00407309141995614,0.0,0.008377839026742669,0.0,0.0033050555945904336,0.0,0.08800008481942125,0.06600006361456591,1581.6909331922532,18.111111111111143,0.3333333333333333,516.0698196781173,2.022288357037037,0.07547239583333333,0.3333333333333333,2022.288357037037,6066.865071111111,0.0,19.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3792.3401777777776,0.0,0.0,35.94786396625331,51.66666666666668,46.10666666666668,0.0,48.98498335433683,0.0,0.0,0.0,35.94786396625331,48.691859880880685,48.98498335433683,48.54529814415262,12.43753247303448,17.803483094185264,-0.054847069830742674,8.141518603795204,0.55,9.236100170605994,1100.2069181745076,-961.255957605146,-690.1406283185188,0.0,0.0,199.27383387936337,0.0,1.0,0.030329555804444748,0.0,0.0,0.5643854446957147,65.99961422222222,9.382779421410124,0.23590730678339172,8.42237799836739,0.0029187492309084256,11.05811261318356,1.2305443962901357,0.16371971284078526,-1501.8471113090277,24.521334025764475
2025-01-01 05:00:00,2.182772436983633,0.10734201299824184,0.0,2.182772436983633,0.10734201299824184,0.0,0.01291642660897951,0.0,0.12698329514780182,1.992872715226852,0.05,0.0,0.0,0.0927586796649085,0.0,0.01458333333333334,1.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.004538587582236842,0.0,0.008377839026742669,0.0,0.0033050555945904336,0.0,0.08800008481942125,0.06600006361456591,1502.6063865326403,18.111111111111143,0.31666666666666665,490.2663286942114,1.9211739391851852,0.07169877604166666,0.31666666666666665,1921.1739391851852,6066.865071111111,0.0,19.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3792.3401777777776,0.0,0.0,35.5661331285611,51.66666666666668,46.10666666666668,0.0,48.662066362815985,0.0,0.0,0.0,35.5661331285611,48.39052942230425,48.662066362815985,48.254760952048386,12.43753247303448,17.82961108898189,-0.050267991462046344,8.36838397587651,-0.25000000000000006,9.236100170605994,975.8459241576251,-1089.2282800095704,-735.0395535181939,0.0,0.0,199.73933004164402,0.0,1.0,0.030850516408748505,0.0,0.0,0.5740797041245269,65.99961422222222,8.539761101534443,0.23624613173546535,8.442885004489568,0.002929237624038604,14.206502314105839,1.2298086734672302,0.14547562023442134,-1603.1061137740378,23.61150507025617
2025-01-01 06:00:00,2.290224464537436,0.10882860277881642,0.0,2.2902244645374354,0.10882860277881642,0.0,0.013498296811830386,0.0,0.1289654148552346,2.0977607528703706,0.05,0.0,0.0,0.09424526944548309,0.0,0.01458333333333334,1.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.00512045778508772,0.0,0.008377839026742669,0.0,0.0033050555945904336,0.0,0.08800008481942125,0.06600006361456591,1581.6909331922532,18.33333333333337,0.3333333333333333,516.0698196781173,2.022288357037037,0.07547239583333333,0.3333333333333333,2022.288357037037,6066.865071111111,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3792.3401777777776,0.0,0.0,34.95926331233861,51.66666666666668,46.10666666666668,0.0,48.343802301792294,0.0,0.0,0.0,34.95926331233861,48.09332228022389,48.343802301792294,47.96808226943969,12.43753247303448,18.05338402421911,-0.04392287908592589,8.015154507297652,0.3,9.236100170605994,1072.535938537831,-1192.6504967045428,-716.6788321127684,0.0,0.0,202.3033199519277,0.0,1.0,0.03071431011765518,0.0,0.0,0.5715451187628187,65.99961422222222,5.220517506418921,0.2328539482785953,8.546660564212315,0.0029281837037932043,-5.8783055860193025,1.2288642829405991,0.17146585215677324,-1735.2785463635867,26.55822998092643
2025-01-01 07:00:00,2.291857462123158,0.11031519255939101,0.0,2.2918574621231578,0.11031519255939101,0.0,0.013149174690119862,0.0,0.1309475345626674,2.0977607528703706,0.05,0.0,0.0,0.09573185922605768,0.0,0.01458333333333334,1.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.004771335663377193,0.0,0.008377839026742669,0.0,0.0033050555945904336,0.0,0.08800008481942125,0.06600006361456591,1581.6909331922532,18.33333333333337,0.3333333333333333,516.0698196781173,2.022288357037037,0.07547239583333333,0.3333333333333333,2022.288357037037,6066.865071111111,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3792.3401777777776,0.0,0.0,34.65177612789312,51.66666666666668,46.10666666666668,0.0,48.03028528873647,0.0,0.0,0.0,34.65177612789312,47.80033430912983,48.03028528873647,47.68535881932651,12.43753247303448,18.024073639386582,-0.05058167930000277,7.7554763710820565,-0.55,9.236100170605994,1021.1114383900045,-1360.5269322341778,-773.8604231048281,0.0,0.0,203.93631753764996,0.17197374020911996,1.0,0.031591436737437875,0.0,0.0,0.5878670688946421,65.99961422222222,9.344610764929655,0.23328845802783083,8.53300174286025,0.002928229276417301,10.678456866353859,1.2289879986247814,0.17348619864603348,-1904.5757111873986,27.97895927510356
2025-01-01 08:00:00,2.7112369321452467,0.1110584874496783,0.0,2.7112369321452463,0.1110584874496783,0.0,0.011985434284418107,0.0,0.13193859441638378,2.5173129034444446,0.05,0.0,0.0,0.09647515411634497,0.0,0.01458333333333334,1.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.0036075952576754386,0.0,0.008377839026742669,0.0,0.0033050555945904336,0.0,0.08800008481942125,0.06600006361456591,1898.0291198307036,18.33333333333337,0.4,619.2837836137408,2.426746028444445,0.09056687499999999,0.4,2426.7460284444446,6066.865071111111,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3792.3401777777776,0.0,0.0,34.35079219363569,51.66666666666668,46.10666666666668,0.0,47.71992830686459,0.0,0.0,0.0,34.35079219363569,47.510072961609616,47.71992830686459,47.40514528898213,12.43753247303448,17.99191316327869,-0.06719426456427803,7.149544456514912,-1.4,9.236100170605994,1279.8472589546734,-1434.1068216817657,-835.4349883696639,0.0,0.0,203.76363698566462,6.980810098069339,1.0,0.03258228739080346,0.0,0.0,0.6063052448518655,65.99961422222222,13.489490507969087,0.23464928955740183,8.532832680579613,0.002937963467028395,39.02507967162226,1.2296939296171987,0.18433305046215087,-2083.5458730131572,30.15526771765072
2025-01-01 09:00:00,4.913187478415714,0.1110584874496783,0.0,4.913187478415714,0.1110584874496783,0.0,0.011287190040997057,0.0,0.13193859441638378,4.719961693958334,0.05,0.0,0.0,0.09647515411634497,0.0,0.01458333333333334,1.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.002909351014254386,0.0,0.008377839026742669,0.0,0.0033050555945904336,0.0,0.08800008481942125,0.06600006361456591,3558.8045996825695,20.000000000000057,0.75,1161.157094275764,4.550148803333333,0.16981289062499996,0.75,4550.1488033333335,6066.865071111111,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3792.3401777777776,0.0,0.0,32.309005067266966,51.66666666666668,46.10666666666668,0.0,47.41842051791616,0.0,0.0,0.0,32.309005067266966,47.22791656308062,47.41842051791616,47.13266458566286,12.43753247303448,19.46409245919368,-0.22655979153147593,7.650924457762517,-0.85,9.236100170605994,2858.19281945689,-884.1317526817464,-899.5994865279881,0.0,0.0,203.06539274224357,22.725936763696886,1.0,0.033538944429437174,0.0,0.0,0.6241071312906853,65.99961422222222,-4.077686439934742,0.21584499537635823,9.244215128294194,0.002960496065044659,71.27135944743424,1.2241081037760533,0.18415213950936202,-2068.2378702929186,22.94902333540846
