Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,3.00600256152023,1.917419893428054,0.0,0.050100042692003834,0.0319569982238009,0.0,0.024060952096792286,0.0,0.15632852557896978,2.775613083844468,0.05,0.0,0.0,0.10996762294108964,1.792868937153631,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.010481540558630062,0,On,0.010481540558630062,0.0,On,0.009705028324183565,0,On,0.10896322281356331,0.08172241711017246,On,0,0,Off,HP On,4073.670627389093,16.666666666666686,2.1706986703377984,1549.713995713713,2.4325401671778013,0.34307291666666667,1,5280.3117064361395,5280.3117064361395,0.0,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6894.497888888889,Off,0.0,0.0,40.02616993593006,51.666666666666686,46.10666666666668,0.0,50.66654473361749,0.7621499645772527,2031.2815557194715,0.0,40.02616993593006,50.32752663278001,50.66654473361749,50.158017582361275,12.43753247303448,15.855983647233558,-0.31068301943312804,-2.7332084122207716,-1.9329029979115606,2.8,9.236100170605994,1743.792599787777,2467.537959410095,610.5925650798824,-1828.6283248400186,-0.0,-0.0,370.7608947454793,0.0,3.0,0.10747270830024543,0.0,0,2.0116764356602097,197.99884266666666,-57.27647202895834,0.27073832882899923,7.5336042003717205,0.002968239698018006,-53.369682980278895,1.2357698601138332,0,0,103.08983821856316,0.1190699263380099,734.4248114834985,-123.83224640361604
2025-01-01 00:01:00,3.0059507259235367,1.9173864109402783,0.0,0.05009917876539228,0.031956440182337974,0.0,0.024060952096792286,0.0,0.15632852557896978,2.775561248247775,0.05,0.0,0.0,0.10996762294108964,1.7928354546658554,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.010481540558630062,0,On,0.010481540558630062,0.0,On,0.009705028324183565,0,On,0.10896322281356331,0.08172241711017246,On,0,0,Off,HP On,4073.6896487591434,16.666666666666686,2.170755721784674,1549.7212318616691,2.432488331581108,0.34307291666666667,1,5280.337963954145,5280.337963954145,0.0,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6894.497888888889,Off,0.0,0.0,39.83073064082828,51.666666666666686,46.10666666666668,0.0,50.637204624804085,0.7627353508288411,2031.2815557194713,0.0,39.83073064082828,50.15311222112915,50.637204624804085,49.91106601929168,12.43753247303448,15.854890892380267,-0.3117757742864189,-2.5290036864836414,-1.8550734121963728,2.8,9.236100170605994,1739.373751043499,2464.520701479319,595.8659457940813,-1828.4118798225018,-0.0,-0.0,370.7608947454793,0.0,3.0,0.10746898222569197,0.0,0,2.0116066909176116,197.99884266666666,-61.926982886793496,0.27151484704568474,7.554696535543476,0.0029678736821684565,-53.23737687202896,1.2393846637471218,0,0,100.06153986582136,0.11880974256281386,720.7692349935198,-124.90328919943856
2025-01-01 00:02:00,3.0058919253910314,1.9173484295484085,0.0,0.05009819875651719,0.03195580715914014,0.0,0.024060952096792286,0.0,0.15632852557896978,2.7755024477152697,0.05,0.0,0.0,0.10996762294108964,1.7927974732739855,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.010481540558630062,0,On,0.010481540558630062,0.0,On,0.009705028324183565,0,On,0.10896322281356331,0.08172241711017246,On,0,0,Off,HP On,4073.711226403593,16.666666666666686,2.1708204421993207,1549.7294404726879,2.432429531048603,0.34307291666666667,1,5280.367750209614,5280.367750209614,0.0,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6894.497888888889,Off,0.0,0.0,39.63548046418191,51.666666666666686,46.10666666666668,0.0,50.60785941743476,0.7633217389693092,2031.2815557194713,0.0,39.63548046418191,49.9787142664389,50.60785941743476,49.66414169094097,12.43753247303448,15.85365125871851,-0.31301540794817484,-2.328380847334837,-1.7805398139697015,2.8,9.236100170605994,1735.027577317324,2461.833827296264,582.5050142535923,-1828.166354222117,-0.0,-0.0,370.7608947454793,0.0,3.0,0.10746475528077971,0.0,0,2.0115275708730036,197.99884266666666,-66.53594432891319,0.2715032310446935,7.553926708997219,0.0029675096385700754,-53.104778749810094,1.2393902520345086,0,0,97.36214154285727,0.118560042029557,707.7382353775924,-125.23322112400011
2025-01-01 00:03:00,3.0058263378646846,1.9173060641916027,0.0,0.050097105631078075,0.03195510106986004,0.0,0.024060952096792286,0.0,0.15632852557896978,2.7754368601889228,0.05,0.0,0.0,0.10996762294108964,1.7927551079171795,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.010481540558630062,0,On,0.010481540558630062,0.0,On,0.009705028324183565,0,On,0.10896322281356331,0.08172241711017246,On,0,0,Off,HP On,4073.7352951924354,16.666666666666686,2.170892636917323,1549.7385967698804,2.432363943522256,0.34307291666666667,1,5280.400975295649,5280.400975295649,0.0,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6894.497888888889,Off,0.0,0.0,39.440415044344945,51.666666666666686,46.10666666666668,0.0,50.57850909779379,0.7639091318210461,2031.2815557194715,0.0,39.440415044344945,49.80433275278455,50.57850909779379,49.41724458027994,12.43753247303448,15.852268479048446,-0.3143981876182398,-2.131131252016402,-1.7088393871652463,2.8,9.236100170605994,1730.6709474332338,2459.212786897819,569.846088207866,-1827.8924918835585,-0.0,-0.0,370.7608947454793,0.0,3.0,0.10746004017766925,0.0,0,2.0114393134728785,197.99884266666666,-71.18569158263566,0.27149418061809494,7.5525138540113455,0.0029671465033309806,-52.971551545755716,1.2393964535774977,0,0,94.72713108945156,0.11831933581410412,695.2454258618149,-125.39933765394879
2025-01-01 00:04:00,3.0057540027718694,1.917259340337428,0.0,0.05009590004619782,0.031954322338957133,0.0,0.024060952096792286,0.0,0.15632852557896978,2.7753645250961076,0.05,0.0,0.0,0.10996762294108964,1.7927083840630051,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.010481540558630062,0,On,0.010481540558630062,0.0,On,0.009705028324183565,0,On,0.10896322281356331,0.08172241711017246,On,0,0,Off,HP On,4073.7618408417734,16.666666666666686,2.1709722638495985,1549.748695319338,2.432291608429441,0.34307291666666667,1,5280.437619494444,5280.437619494444,0.0,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6894.497888888889,Off,0.0,0.0,39.24553341989031,51.666666666666686,46.10666666666668,0.0,50.549153652559426,0.7644975322088852,2031.2815557194713,0.0,39.24553341989031,49.62996766460867,50.549153652559426,49.1703746706333,12.43753247303448,15.850743364202073,-0.3159233024646131,-1.9370953356331397,-1.6396290702569092,2.8,9.236100170605994,1728.6403818504946,2456.6884181913015,557.9415250495712,-1827.590458355403,-0.0,-0.0,370.7608947454793,0.0,3.0,0.10745483966353954,0.0,0,2.0113419701389894,197.99884266666666,-73.53952721300053,0.27148768194405143,7.551589519322329,0.002966784280923908,-52.83770377600348,1.2394032649134414,0,0,92.1873547036091,0.1180865237836518,683.2264585673117,-125.2849335177406
2025-01-01 00:05:00,3.005678981478815,1.9172108813693085,0.0,0.05009464969131359,0.031953514689488476,0.0,0.024060952096792286,0.0,0.15632852557896978,2.7752895038030534,0.05,0.0,0.0,0.10996762294108964,1.7926599250948856,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.010481540558630062,0,On,0.010481540558630062,0.0,On,0.009705028324183565,0,On,0.10896322281356331,0.08172241711017246,On,0,0,Off,HP On,4073.7893730444225,16.666666666666686,2.1710548532070546,1549.7591691753955,2.432216587136387,0.34307291666666667,1,5280.475625553151,5280.475625553151,0.0,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6894.497888888889,Off,0.0,0.0,39.05073595948397,51.666666666666686,46.10666666666668,0.0,50.51979306849652,0.7650869429662649,2031.2815557194713,0.0,39.05073595948397,49.45561898643477,50.51979306849652,48.923531945403894,12.43753247303448,15.849161528712193,-0.31750513795449287,-1.7461401074125598,-1.5725999146737366,2.8,9.236100170605994,1728.482406072565,2454.2604109696063,546.6703611001373,-1827.277212472893,-0.0,-0.0,370.7608947454793,0.0,3.0,0.10744944566346695,0.0,0,2.0112410051311134,197.99884266666666,-74.03277463555915,0.2714822483782812,7.550069881573826,0.002966422975760928,-52.70380552953125,1.2394103188896404,0,0,89.74336718532591,0.11786061045273684,671.6238037782556,-124.95344267811832
2025-01-01 00:06:00,3.0056044387158516,1.917162731501092,0.0,0.050093407311930856,0.031952712191684864,0.0,0.024060952096792286,0.0,0.15632852557896978,2.77521496104009,0.05,0.0,0.0,0.10996762294108964,1.792611775226669,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.010481540558630062,0,On,0.010481540558630062,0.0,On,0.009705028324183565,0,On,0.10896322281356331,0.08172241711017246,On,0,0,Off,HP On,4073.8167304043495,16.666666666666686,2.171136921246514,1549.7695765174326,2.432142044373423,0.34307291666666667,1,5280.513390255115,5280.513390255115,0.0,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6894.497888888889,Off,0.0,0.0,38.85594501979267,51.666666666666686,46.10666666666668,0.0,50.49042734137753,0.7656773667557605,2031.2815557194713,0.0,38.85594501979267,49.2812867111758,50.49042734137753,48.676716396074944,12.43753247303448,15.847589697631696,-0.31907696903498994,-1.558152472244802,-1.5074904586953397,2.8,9.236100170605994,1728.7086533738682,2451.9273727015902,535.9462144688534,-1826.9659685037896,-0.0,-0.0,370.7608947454793,0.0,3.0,0.10744408570414109,0.0,0,2.0111406772986573,197.99884266666666,-74.13965719130158,0.27147672106779586,7.549122878392487,0.0029660625882476713,-52.570299185350365,1.239417329351658,0,0,87.39445010328808,0.11764075185160779,660.3889039596023,-124.44268949074893
2025-01-01 00:07:00,3.005530898424905,1.9171152291658298,0.0,0.05009218164041508,0.031951920486097164,0.0,0.024060952096792286,0.0,0.15632852557896978,2.775141420749143,0.05,0.0,0.0,0.10996762294108964,1.7925642728914069,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.010481540558630062,0,On,0.010481540558630062,0.0,On,0.009705028324183565,0,On,0.10896322281356331,0.08172241711017246,On,0,0,Off,HP On,4073.843720610952,16.666666666666686,2.1712178909708344,1549.7798441862612,2.4320685040824763,0.34307291666666667,1,5280.5506481305465,5280.5506481305465,0.0,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6894.497888888889,Off,0.0,0.0,38.66114774272114,51.666666666666686,46.10666666666668,0.0,50.46105647399447,0.7662688061077951,2031.2815557194715,0.0,38.66114774272114,49.106970838282706,50.46105647399447,48.429928020426836,12.43753247303448,15.846038921473292,-0.3206277451933932,-1.3730339636186908,-1.4440783608409669,2.8,9.236100170605994,1729.0665199953185,2449.6863550058074,525.6945134641103,-1826.658913988413,-0.0,-0.0,370.7608947454793,0.0,3.0,0.10743879747010217,0.0,0,2.011041692021645,197.99884266666666,-74.11043725051003,0.2714709078702629,7.548189059160244,0.002965703115681267,-52.4372567576263,1.2394242489074734,0,0,85.13776669735564,0.1174262291246095,649.4805661477769,-123.78605268366664
2025-01-01 00:08:00,3.0054584498559676,1.917068432013321,0.0,0.050090974164266125,0.03195114053355535,0.0,0.024060952096792286,0.0,0.15632852557896978,2.7750689721802058,0.05,0.0,0.0,0.10996762294108964,1.7925174757388982,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.010481540558630062,0,On,0.010481540558630062,0.0,On,0.009705028324183565,0,On,0.10896322281356331,0.08172241711017246,On,0,0,Off,HP On,4073.870310876476,16.666666666666686,2.1712976638868198,1549.7899597086982,2.431996055513539,0.34307291666666667,1,5280.587353918508,5280.587353918508,0.0,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6894.497888888889,Off,0.0,0.0,38.46634193530849,51.666666666666686,46.10666666666668,0.0,50.43168047030133,0.7668612635378125,2031.281555719472,0.0,38.46634193530849,48.93267136828912,50.43168047030133,48.18316681728302,12.43753247303448,15.844511085815272,-0.3221555808514136,-1.1906971742407917,-1.3821751406061251,2.8,9.236100170605994,1729.4222812828157,2447.533391068155,515.8516326295916,-1826.3564214154226,-0.0,-0.0,370.7608947454793,0.0,3.0,0.10743358739433392,0.0,0,2.0109441697128028,197.99884266666666,-74.07844074842232,0.2714647757795447,7.546703926954802,0.0029653445548528516,-52.30468932988069,1.2394310694696948,0,0,82.96936918416169,0.11721643221647697,638.863926702173,-123.0122940725814
2025-01-01 00:09:00,3.0053869625024907,1.9170222557446643,0.0,0.050089782708374844,0.03195037092907774,0.0,0.024060952096792286,0.0,0.15632852557896978,2.774997484826729,0.05,0.0,0.0,0.10996762294108964,1.7924712994702412,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.0030978709795321632,0.0,On,0.010481540558630062,0,On,0.010481540558630062,0.0,On,0.009705028324183565,0,On,0.10896322281356331,0.08172241711017246,On,0,0,Off,HP On,4073.8965490689475,16.666666666666686,2.1713763834756903,1549.7999412947945,2.431924568160062,0.34307291666666667,1,5280.623573697075,5280.623573697075,0.0,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6894.497888888889,Off,0.0,0.0,38.27153079669347,51.666666666666686,46.10666666666668,0.0,50.402299334449864,0.7674547415656238,2031.2815557194715,0.0,38.27153079669347,48.75838830191334,50.402299334449864,47.93643278564508,12.43753247303448,15.843003441871332,-0.3236632247953537,-1.0110632769666519,-1.3216215009841372,2.8,9.236100170605994,1729.743165972832,2445.4639832011303,506.3634633774389,-1826.0579457306367,-0.0,-0.0,370.7608947454793,0.0,3.0,0.10742844610614818,0.0,0,2.01084793497139,197.99884266666666,-74.07702229716875,0.2714583722725677,7.545797031772258,0.0029649869024756938,-52.17257731094415,1.2394378028266217,0,0,80.8847320925465,0.1170108452402545,628.5095417781737,-122.14607840073468
