Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-14 01:00:00,0.32313553450795335,0.15930114926458677,0.05412458333333334,0.20325644559088865,0.06314534722222223,0.01673374169484248,0.0,0.04000000000000001,0.05412458333333334,0.0,50.36116976022033,17.993535827827188,-0.0636535415266442
2025-01-14 02:00:00,0.586206835765348,0.15855785437429948,0.28046375,0.20226538573717226,0.3272077083333333,0.01673374169484248,0.0,0.04000000000000001,0.28046375,0.0,50.02334188058314,19.18998022154847,-0.4488984432145402
2025-01-14 03:00:00,0.38409771030490647,0.15781455948401216,0.10824916666666667,0.20127432588345584,0.12629069444444446,0.016532689977006222,0.0,0.04000000000000001,0.10824916666666667,0.0,49.70299632119394,19.699859885935766,-0.038816471379298
2025-01-14 04:00:00,0.38310665045119013,0.15707126459372486,0.10824916666666667,0.20028326602973945,0.12629069444444446,0.016532689977006222,0.0,0.04000000000000001,0.10824916666666667,0.0,49.38657945360888,19.611524494889263,-0.08191439409787928
2025-01-14 05:00:00,0.4064706983313071,0.15707126459372486,0.12793083333333335,0.20028326602973945,0.1492526388888889,0.01693479341267874,0.0,0.04000000000000001,0.12793083333333335,0.0,49.073597093009354,19.664279372925666,-0.05242884230355814
2025-01-14 06:00:00,1.0729893489436562,0.1679524205549291,0.11809,0.27442826737502074,0.13777166666666668,0.037480213420487136,0.5833092014814816,0.04000000000000001,0.11809,0.0,51.27984721462471,19.697620856836448,-0.0518882003468096
2025-01-14 07:00:00,0.5429168583861876,0.2068061612112664,0.07872666666666667,0.2951513812153188,0.09184777777777778,0.11591769939309103,0.0,0.04000000000000001,0.07872666666666667,0.0,51.46369567301244,19.644888184111736,-0.06265845572243851
2025-01-14 08:00:00,0.3532169296174329,0.16078773904516136,0.07872666666666667,0.20523856529832143,0.09184777777777778,0.01613058654133371,0.0,0.04000000000000001,0.07872666666666667,0.0,51.03668920800784,19.695331207594943,-0.0534745024745592
2025-01-14 09:00:00,0.5277899399425116,0.2148328838146261,0.004920416666666667,0.3513733189979965,0.005740486111111111,0.13067613483340393,0.0,0.04000000000000001,0.004920416666666667,0.0,50.71097093431211,19.519380630803255,-0.09427044718676007
2025-01-14 10:00:00,0.6114447948247191,0.2140895889243388,0.06396541666666668,0.36809073647483764,0.07462631944444445,0.1287277389054371,0.0,0.04000000000000001,0.06396541666666668,0.0,50.347155346814624,19.740171318229155,-0.009165586041096614
2025-01-14 11:00:00,0.5955942185783859,0.2140895889243388,0.04428375,0.37968978912635276,0.051664375,0.12424005445203305,0.0,0.04000000000000001,0.04428375,0.0,49.95565991728655,19.34190251045468,-0.17431225158844293
2025-01-14 12:00:00,1.2186096340510049,0.21557617870491338,0.024602083333333337,0.44601915720072277,0.028702430555555554,0.12057884481324484,0.5833092014814816,0.04000000000000001,0.024602083333333337,0.0,51.06487594993042,19.831879472863687,0.0
2025-01-14 13:00:00,0.5679964175493157,0.21557617870491338,0.0,0.40876587914953855,0.0,0.11923053839977717,0.0,0.04000000000000001,0.0,0.0,51.63409897938335,19.411701957058654,-0.0904732624663908
2025-01-14 14:00:00,0.6131096969938736,0.21557617870491338,0.019681666666666667,0.42939625523963804,0.022961944444444445,0.1207514973097911,0.0,0.04000000000000001,0.019681666666666667,0.0,51.287686227315135,19.256589708398753,-0.24341029160130243
2025-01-14 15:00:00,0.6768541970716203,0.22100796383223095,0.04428375,0.4539044008066883,0.051664375,0.13128542126493192,0.0,0.04000000000000001,0.04428375,0.0,50.65577397957565,19.82400697043503,0.0
2025-01-14 16:00:00,1.4402641420739848,0.23447966084283503,0.0,0.48284591943243943,0.0,0.15911626071561932,0.758301961925926,0.04000000000000001,0.0,0.0,51.451779059451205,19.48396164639842,-0.02851905615480182
2025-01-14 17:00:00,0.7582569032818298,0.24969744351581605,0.0,0.5102196872619705,0.0,0.20803721601985928,0.0,0.04000000000000001,0.0,0.0,51.16011648045465,19.363229175934723,-0.0015217541595436165
2025-01-14 18:00:00,0.6958647974429407,0.2346643747877554,0.0,0.46211651329428793,0.0,0.19374828414865278,0.0,0.04000000000000001,0.0,0.0,50.82338256148301,19.287427575449886,0.0
2025-01-14 19:00:00,0.5798129195112433,0.20354136545213988,0.0,0.41751508597161735,0.0,0.1422978335396259,0.0,0.020000000000000004,0.0,0.0,50.488624809942145,19.0511024281818,0.0
2025-01-14 20:00:00,1.4860245034728001,0.2400068860525485,0.0,0.6532081346255051,0.0,0.2295071673658135,0.5833092014814816,0.020000000000000004,0.0,0.0,50.55885084951883,19.131400999353875,0.0
2025-01-14 21:00:00,0.8443424501094547,0.23084673983958334,0.0,0.6259563528582451,0.0,0.1783860972512096,0.0,0.04000000000000001,0.0,0.0,51.67898175993411,19.145385827677345,0.0
2025-01-14 22:00:00,0.673597512862703,0.20711271514041807,0.0,0.504692139052403,0.0,0.14890537381030014,0.0,0.020000000000000004,0.0,0.0,51.34294423722777,19.07827471198421,0.0
2025-01-14 23:00:00,0.41162529914056306,0.17725199245869458,0.0,0.3363977411012413,0.0,0.07522755803932173,0.0,0.0,0.0,0.0,50.694884283180706,18.923633801301925,0.0
2025-01-15 00:00:00,0.7456767262976268,0.14837777748820738,0.0,0.20366312569269665,0.0,0.017035319271596867,0.5249782813333334,0.0,0.0,0.0,51.416911981452884,18.65229024343165,0.0
2025-01-15 01:00:00,0.2192110142831866,0.14763448259792009,0.0,0.2024772725883441,0.0,0.01673374169484248,0.0,0.0,0.0,0.0,51.449240311609586,18.441162635703414,0.0
2025-01-15 02:00:00,0.3846940516516924,0.1468911877076328,0.14269208333333333,0.20148621273462772,0.16647409722222223,0.01673374169484248,0.0,0.0,0.14269208333333333,0.0,51.11346779152612,19.559203914834082,-0.13588732630132316
2025-01-15 03:00:00,0.30887562063569535,0.14614789281734547,0.07872666666666667,0.20049515288091133,0.09184777777777778,0.016532689977006222,0.0,0.0,0.07872666666666667,0.0,50.79330003212759,19.68422041224267,-0.05721724166453341
2025-01-15 04:00:00,0.30214407467086785,0.14540459792705818,0.07380625,0.19950409302719493,0.08610729166666667,0.016532689977006222,0.0,0.0,0.07380625,0.0,50.533779586636484,19.64277384436992,-0.08278811995725797
2025-01-15 05:00:00,0.26236277532876257,0.14540459792705818,0.039363333333333334,0.19950409302719493,0.04592388888888889,0.01693479341267874,0.0,0.0,0.039363333333333334,0.0,50.21503959359957,19.443816459756295,-0.10434314112923335
2025-01-15 06:00:00,0.2533665521085638,0.1468911877076328,0.0295225,0.20148621273462772,0.03444291666666667,0.01743742270726938,0.0,0.0,0.0295225,0.0,49.89925068544468,19.707699107704478,-0.02528720329818673
2025-01-15 07:00:00,0.8181843633186769,0.16083349444679496,0.06888583333333334,0.22778799693096843,0.08036680555555556,0.04338219964696775,0.4666473611851852,0.0,0.06888583333333334,0.0,49.489762261069636,19.66318811546618,-0.0830649492262261
