Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.4143902153591067,0.1309668611106807,0.0,0.006906503589318445,0.002182781018511345,0.0,0.04281767190987188,0.3215725434492348,0.0,0.05,0.0,0.0,0.0,0.11638352777734735,0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.005264967105263157,0.0,On,0.001811068204672949,0.0,On,0.035741636599935775,0,On,0.029460706265965045,0,On,0.12186652407806046,0.09139989305854532,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12602.64392,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,8791.840262222222,Off,0.0,0,84.40904163158994,51.666666666666686,46.10666666666668,0.0,48.925643728642655,0.2246070786783662,571.3621103381785,0.0,131.88912754935927,48.955885382238314,48.97100620903615,48.925643728642655,12.43753247303448,17.459092443948556,-0.37424088938481503,7.563382437169602,-0.3233187439908021,2.8,9.236100170605994,36.03363890047757,-2330.547573156708,741.0642450519471,-405.4383110541522,-0.0,-0.0,482.9242154157248,0.0,4.0,0.021222671339636002,0.0,0,0.2746434889124756,263.9984568888889,-41.45226546109499,0.27329226978336063,8.705007771808598,0.0033195703006490104,142.43183066161137,1.2286926017657376,0.3842692862866319,-2385.44153428039,54.89396112368204,0.18122781818879996,737.6643944291764,3.399850622770662
2025-01-01 00:01:00,0.4143902153591067,0.1309668611106807,0.0,0.006906503589318445,0.002182781018511345,0.0,0.04281767190987188,0.3215725434492348,0.0,0.05,0.0,0.0,0.0,0.11638352777734735,0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.005264967105263157,0.0,On,0.001811068204672949,0.0,On,0.035741636599935775,0,On,0.029460706265965045,0,On,0.12186652407806046,0.09139989305854532,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12602.64392,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,8791.840262222222,Off,0.0,0,84.34370628483259,51.666666666666686,46.10666666666668,0.0,48.89565171255447,0.22479185011632727,571.3621103381785,0.0,131.78704107005092,48.8623844585315,48.89565171255447,48.84575083152002,12.43753247303448,17.391862230273627,0.0,7.537367399139835,-0.18173808813435496,2.8,9.236100170605994,37.80308148038614,-2316.641743989836,707.8579005336297,-402.6001145136088,-0.0,-0.0,482.9242154157248,0.0,4.0,0.021171202276695042,0.0,0,0.27397742558845095,263.9984568888889,-42.52101942172979,0.2753135682439621,8.697886274271552,0.003320249529311298,142.54385701008223,1.232566412482847,0.3841815020685308,-2371.871568149821,55.22982415998495,0.18122781818879996,704.2259216616529,3.631978871976805
2025-01-01 00:02:00,0.4143902153591067,0.1309668611106807,0.0,0.006906503589318445,0.002182781018511345,0.0,0.04281767190987188,0.3215725434492348,0.0,0.05,0.0,0.0,0.0,0.11638352777734735,0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.005264967105263157,0.0,On,0.001811068204672949,0.0,On,0.035741636599935775,0,On,0.029460706265965045,0,On,0.12186652407806046,0.09139989305854532,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12602.64392,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,8791.840262222222,Off,0.0,0,84.27444941751499,51.666666666666686,46.10666666666668,0.0,48.8656341531318,0.22497708355994325,571.3621103381785,0.0,131.67882721486717,48.7688971077551,48.8656341531318,48.72052858506675,12.43753247303448,17.326105939658785,0.0,7.512838492419289,-0.04691567056378623,2.8,9.236100170605994,39.36865662393063,-2303.625737066319,676.2610923974981,-399.8318755070437,-0.0,-0.0,482.9242154157248,0.0,4.0,0.02112080928476948,0.0,0,0.2733252877450246,263.9984568888889,-43.723683284750365,0.27651669568289605,8.667767172663257,0.003320927155790117,142.65291064649313,1.2328449302539122,0.384098714222693,-2359.082137095755,55.45640002943639,0.18122781818879996,672.3836073912896,3.877485006208551
2025-01-01 00:03:00,0.4143902153591067,0.1309668611106807,0.0,0.006906503589318445,0.002182781018511345,0.0,0.04281767190987188,0.3215725434492348,0.0,0.05,0.0,0.0,0.0,0.11638352777734735,0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.005264967105263157,0.0,On,0.001811068204672949,0.0,On,0.035741636599935775,0,On,0.029460706265965045,0,On,0.12186652407806046,0.09139989305854532,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12602.64392,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,8791.840262222222,Off,0.0,0,84.20141543151026,51.666666666666686,46.10666666666668,0.0,48.835591938910625,0.22516277504565282,571.3621103381785,0.0,131.56471161173477,48.675424144575715,48.835591938910625,48.595340247408274,12.43753247303448,17.26177057106984,0.0,7.4897152502627025,0.08145902535586572,2.8,9.236100170605994,40.73329718662765,-2291.1712705296277,646.1471574390032,-397.13086761421835,-0.0,-0.0,482.9242154157248,0.0,4.0,0.021071455013489424,0.0,0,0.27268659202947765,263.9984568888889,-45.06005061487884,0.2777007224545068,8.638948988054075,0.0033216051474863643,142.75896676870704,1.2331175404745585,0.3840206543117096,-2347.030369650417,55.859099120789494,0.18122781818879996,642.0641139012976,4.0830435377056356
2025-01-01 00:04:00,0.4143902153591067,0.1309668611106807,0.0,0.006906503589318445,0.002182781018511345,0.0,0.04281767190987188,0.3215725434492348,0.0,0.05,0.0,0.0,0.0,0.11638352777734735,0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.005264967105263157,0.0,On,0.001811068204672949,0.0,On,0.035741636599935775,0,On,0.029460706265965045,0,On,0.12186652407806046,0.09139989305854532,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12602.64392,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,8791.840262222222,Off,0.0,0,84.124747285517,51.666666666666686,46.10666666666668,0.0,48.80552592656772,0.2253489207779527,571.3621103381785,0.0,131.44491763362032,48.58196635366157,48.80552592656772,48.4701865672085,12.43753247303448,17.198803631276085,0.0,7.467931133611392,0.20368029350789085,2.8,9.236100170605994,43.23227501950751,-2279.6406592771796,617.4703446519865,-394.4944195338412,-0.0,-0.0,482.9242154157248,0.0,4.0,0.021023102283879023,0.0,0,0.27206085730710833,263.9984568888889,-45.197520862375995,0.27886624709725744,8.610267308649867,0.003322283493241649,142.86213384378007,1.2333844582118523,0.3839471005295673,-2335.680766078833,56.040106801653366,0.18122781818879996,613.1979349590451,4.272409692941298
2025-01-01 00:05:00,0.4143902153591067,0.1309668611106807,0.0,0.006906503589318445,0.002182781018511345,0.0,0.04281767190987188,0.3215725434492348,0.0,0.05,0.0,0.0,0.0,0.11638352777734735,0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.005264967105263157,0.0,On,0.001811068204672949,0.0,On,0.035741636599935775,0,On,0.029460706265965045,0,On,0.12186652407806046,0.09139989305854532,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12602.64392,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,8791.840262222222,Off,0.0,0,84.04449606685746,51.666666666666686,46.10666666666668,0.0,48.7754369412398,0.22553551712879297,571.3621103381782,0.0,131.3195251044648,48.48852448998225,48.7754369412398,48.34506826435347,12.43753247303448,17.137186837366365,0.0,7.4473997659827385,0.3200549264667769,2.8,9.236100170605994,47.0499472191683,-2268.7039216990893,590.1657578406838,-391.9213191965308,-0.0,-0.0,482.9242154157248,0.0,4.0,0.02097574001524815,0.0,0,0.2714479401822364,263.9984568888889,-43.95294900002565,0.2800132825344659,8.582282787488738,0.0033229621823070124,142.96244035162997,1.233645753692338,0.3838777637369245,-2324.987594104575,56.28367240548549,0.18122781818879996,585.712612395122,4.453145445561728
2025-01-01 00:06:00,0.4143902153591067,0.1309668611106807,0.0,0.006906503589318445,0.002182781018511345,0.0,0.04281767190987188,0.3215725434492348,0.0,0.05,0.0,0.0,0.0,0.11638352777734735,0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.005264967105263157,0.0,On,0.001811068204672949,0.0,On,0.035741636599935775,0,On,0.029460706265965045,0,On,0.12186652407806046,0.09139989305854532,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12602.64392,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,8791.840262222222,Off,0.0,0,83.96070064826206,51.666666666666686,46.10666666666668,0.0,48.74532579676459,0.22572256051311562,571.3621103381785,0.0,131.18859476290947,48.39509929789434,48.74532579676459,48.21998604845922,12.43753247303448,17.076906448120823,0.0,7.428051327667883,0.43088338904674955,2.8,9.236100170605994,51.20697805027382,-2258.3302177719174,564.1638892368677,-389.41056013845343,-0.0,-0.0,482.9242154157248,0.0,4.0,0.020929360518946595,0.0,0,0.2708477411557136,263.9984568888889,-42.306677226997536,0.28114177040349847,8.5544271866315,0.003323641204041841,143.05990440780963,1.2339014781172306,0.38381241036864205,-2314.913843635675,56.58362586375769,0.18122781818879996,559.5371825284567,4.626706708411011
2025-01-01 00:07:00,0.4143902153591067,0.1309668611106807,0.0,0.006906503589318445,0.002182781018511345,0.0,0.04281767190987188,0.3215725434492348,0.0,0.05,0.0,0.0,0.0,0.11638352777734735,0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.005264967105263157,0.0,On,0.001811068204672949,0.0,On,0.035741636599935775,0,On,0.029460706265965045,0,On,0.12186652407806046,0.09139989305854532,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12602.64392,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,8791.840262222222,Off,0.0,0,83.87346435801031,51.666666666666686,46.10666666666668,0.0,48.715193298372164,0.2259100473724405,571.3621103381785,0.0,131.05228805939112,48.30169151367892,48.715193298372164,48.094940621332306,12.43753247303448,17.017924691901655,0.0,7.409818817213408,0.5364514324633994,2.8,9.236100170605994,55.29259595019849,-2248.713151982218,539.3971034343675,-386.9601532269971,-0.0,-0.0,482.9242154157248,0.0,4.0,0.020883937502164728,0.0,0,0.2702599199711767,263.9984568888889,-40.67146623852922,0.2822520904237039,8.527806338617587,0.0033243205478746644,143.15460147555964,1.2341517851405917,0.3837508160930186,-2305.424055170141,56.710903187923314,0.18122781818879996,534.6041567308678,4.792946703499793
2025-01-01 00:08:00,0.4143902153591067,0.1309668611106807,0.0,0.006906503589318445,0.002182781018511345,0.0,0.04281767190987188,0.3215725434492348,0.0,0.05,0.0,0.0,0.0,0.11638352777734735,0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.005264967105263157,0.0,On,0.001811068204672949,0.0,On,0.035741636599935775,0,On,0.029460706265965045,0,On,0.12186652407806046,0.09139989305854532,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12602.64392,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,8791.840262222222,Off,0.0,0,83.78291333487141,51.666666666666686,46.10666666666668,0.0,48.685040228485306,0.22609797426364972,571.3621103381785,0.0,130.91080208573658,48.208301852151386,48.685040228485306,47.96993266398443,12.43753247303448,16.96019527423185,0.0,7.392626288373297,0.6370290853026251,2.8,9.236100170605994,59.221808767181756,-2239.588750971252,515.8014999157738,-384.56778062504975,-0.0,-0.0,482.9242154157248,0.0,4.0,0.020839437943731977,0.0,0,0.26968404930025835,263.9984568888889,-39.13462602349326,0.2833447909860089,8.501274564730913,0.0033250002035186037,143.24662795134546,1.2343968650839452,0.38369272609440225,-2296.4781910189126,56.889440047660734,0.18122781818879996,510.8497597396865,4.95174017608729
2025-01-01 00:09:00,0.4143902153591067,0.1309668611106807,0.0,0.006906503589318445,0.002182781018511345,0.0,0.04281767190987188,0.3215725434492348,0.0,0.05,0.0,0.0,0.0,0.11638352777734735,0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.005264967105263157,0.0,On,0.001811068204672949,0.0,On,0.035741636599935775,0,On,0.029460706265965045,0,On,0.12186652407806046,0.09139989305854532,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12602.64392,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,8791.840262222222,Off,0.0,0,83.68917371706718,51.666666666666686,46.10666666666668,0.0,48.65486734169507,0.22628633789133515,571.3621103381785,0.0,130.76433393291745,48.11493100192274,48.65486734169507,47.84496283203657,12.43753247303448,16.90367187456857,0.0,7.376412561366344,0.7328716556505831,2.8,9.236100170605994,63.00214985519108,-2230.9795634460093,493.31683351747023,-382.23115014791995,-0.0,-0.0,482.9242154157248,0.0,4.0,0.020795828627512326,0.0,0,0.26911969929153523,263.9984568888889,-37.69091541261375,0.2844204387222925,8.47592553690189,0.003325680161049877,143.33608108288655,1.234636908826264,0.38363793520568995,-2288.043968074544,57.06440462853453,0.18122781818879996,488.21369297503526,5.103140542434895
