Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.3144652025761375,0.15928495011486798,0.0,0.005241086709602292,0.002654749168581133,0.0,0.03130581602273566,0.001,0.2821593865534019,0.0,0.0,0.0002506236243534685,0.15903432649051452,0.0,1,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.06460580738301945,0,On,0.015149013157894735,0.0,On,0.01615680286484093,0,On,0.005507810516363015,0,On,0.16590312049946407,0.12442734037459802,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,775.7592311111111,Off,0.0,0.0,27.441383189655056,51.666666666666686,43.496666666666684,2027.0590875243383,0,4.491842907723471,0.0,49.93210153381187,0.0,0.0,0.0,35.58851091954008,44.95151173011316,50.01305220729768,21.79287659420445,12.43753247303448,24.870323261633185,0.0,2.8,-3.070885514057238,-334.05287206997303,-0.0,-36.362112185700624,344.84916423440416,0.0,1.0,0.011614188323662147,0.0,0.0012642202899018809,0.635585461618083,65.99961422222222,22.49493450721233,0.17425652061033112,11.992313730783916,0.003336468582241782,25.007829677498002,1.1981250201225189
2025-01-01 00:01:00,0.3144652025761375,0.15928495011486798,0.0,0.005241086709602292,0.002654749168581133,0.0,0.03130581602273566,0.001,0.2821593865534019,0.0,0.0,0.0002506236243534685,0.15903432649051452,0.0,1,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.06460580738301945,0,On,0.015149013157894735,0.0,On,0.01615680286484093,0,On,0.005507810516363015,0,On,0.16590312049946407,0.12442734037459802,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,775.7592311111111,Off,0.0,0.0,27.44124459937325,51.666666666666686,43.496666666666684,2029.1258557538974,0,4.49549586754138,0.0,49.92512522490849,0.0,0.0,0.0,35.58832613249766,44.94851500050283,50.00900118163012,21.801542954790524,12.43753247303448,24.867990153480083,0.0,2.8,-5.105964423371347,-334.0003302060127,-0.0,-36.32081985726119,344.84916423440416,0.0,1.0,0.011613589274691099,0.0,0.001262918164428457,0.635491633345261,65.99961422222222,20.366021405498387,0.17481418377573077,12.017979936717278,0.0033369349929916726,24.994666063478647,1.2016339679555068
2025-01-01 00:02:00,0.3144652025761375,0.15928495011486798,0.0,0.005241086709602292,0.002654749168581133,0.0,0.03130581602273566,0.001,0.2821593865534019,0.0,0.0,0.0002506236243534685,0.15903432649051452,0.0,1,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.06460580738301945,0,On,0.015149013157894735,0.0,On,0.01615680286484093,0,On,0.005507810516363015,0,On,0.16590312049946407,0.12442734037459802,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,775.7592311111111,Off,0.0,0.0,27.441986430727518,51.666666666666686,43.496666666666684,2029.1248629082309,0,4.495655187301212,0.0,49.9181534526497,0.0,0.0,0.0,35.58931524097002,44.945518286452504,50.00495028928141,21.810199067441914,12.43753247303448,24.865038450605937,0.0,2.8,-7.112607454579006,-333.9338622471785,-0.0,-36.26858175629436,344.84916423440416,0.0,1.0,0.011612831378255736,0.0,0.0012612704846104218,0.6353729114333112,65.99961422222222,18.240672314489718,0.17486920306809062,12.017297653218561,0.003337399796961378,24.983148317959582,1.2016455330196811
2025-01-01 00:03:00,0.3144652025761375,0.15928495011486798,0.0,0.005241086709602292,0.002654749168581133,0.0,0.03130581602273566,0.001,0.2821593865534019,0.0,0.0,0.0002506236243534685,0.15903432649051452,0.0,1,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.06460580738301945,0,On,0.015149013157894735,0.0,On,0.01615680286484093,0,On,0.005507810516363015,0,On,0.16590312049946407,0.12442734037459802,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,775.7592311111111,Off,0.0,0.0,27.443558139881308,51.666666666666686,43.496666666666684,2029.1005220077702,0,4.495774981695623,0.0,49.9111860370425,0.0,0.0,0.0,35.59141085317508,44.94252148911431,50.00089944493295,21.81884477323205,12.43753247303448,24.861503532995304,0.0,2.8,-9.093747398598907,-333.8542681119773,-0.0,-36.206025639293486,344.84916423440416,0.0,1.0,0.011611923707139503,0.0,0.0012592967879062728,0.6352307078776421,65.99961422222222,16.117382118267763,0.174930313854348,12.016318262436862,0.003337864382274254,24.973132493162304,1.2016594501398241
2025-01-01 00:04:00,0.3144652025761375,0.15928495011486798,0.0,0.005241086709602292,0.002654749168581133,0.0,0.03130581602273566,0.001,0.2821593865534019,0.0,0.0,0.0002506236243534685,0.15903432649051452,0.0,1,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.06460580738301945,0,On,0.015149013157894735,0.0,On,0.01615680286484093,0,On,0.005507810516363015,0,On,0.16590312049946407,0.12442734037459802,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,775.7592311111111,Off,0.0,0.0,27.44591269495608,51.666666666666686,43.496666666666684,2029.0541515863893,0,4.495857475867375,0.0,49.904222808064105,0.0,0.0,0.0,35.594550259941435,44.939524515315156,49.99684856810624,21.827479923165328,12.43753247303448,24.857418321107765,0.0,2.8,-10.27393056917117,-333.76229268911277,-0.0,-36.133735913461116,344.84916423440416,0.0,1.0,0.011610874701323529,0.0,0.001257015215234937,0.635066334519968,65.99961422222222,14.772933798998618,0.17499718060332978,12.015058555185721,0.0033383287759549025,24.964536536142845,1.2016755867143505
2025-01-01 00:05:00,0.3144652025761375,0.15928495011486798,0.0,0.005241086709602292,0.002654749168581133,0.0,0.03130581602273566,0.001,0.2821593865534019,0.0,0.0,0.0002506236243534685,0.15903432649051452,0.0,1,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.06460580738301945,0,On,0.015149013157894735,0.0,On,0.01615680286484093,0,On,0.005507810516363015,0,On,0.16590312049946407,0.12442734037459802,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,775.7592311111111,Off,0.0,0.0,27.448901288611466,51.666666666666686,43.496666666666684,2028.9899226167624,0,4.495909715320915,0.0,49.89726360497143,0.0,0.0,0.0,35.59853505148195,44.93652727716234,49.992797582826924,21.836104377486716,12.43753247303448,24.852887202759216,0.0,2.8,-10.515376068791113,-333.66028986140145,-0.0,-36.053561614653,344.84916423440416,0.0,1.0,0.011609711152405569,0.0,0.00125448382405784,0.6348839788985214,65.99961422222222,14.34931117285922,0.17506872109204547,12.013571667290169,0.0033387930035535217,24.957096157208845,1.2016935219625073
2025-01-01 00:06:00,0.3144652025761375,0.15928495011486798,0.0,0.005241086709602292,0.002654749168581133,0.0,0.03130581602273566,0.001,0.2821593865534019,0.0,0.0,0.0002506236243534685,0.15903432649051452,0.0,1,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.06460580738301945,0,On,0.015149013157894735,0.0,On,0.01615680286484093,0,On,0.005507810516363015,0,On,0.16590312049946407,0.12442734037459802,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,775.7592311111111,Off,0.0,0.0,27.45236414714236,51.666666666666686,43.496666666666684,2028.9123134290148,0,4.495939265889324,0.0,49.890308296142116,0.0,0.0,0.0,35.60315219618982,44.933529703470256,49.98874642736679,21.844718025522848,12.43753247303448,24.848022284370938,0.0,2.8,-10.557813530908845,-333.55078651439504,-0.0,-35.967487973183644,344.84916423440416,0.0,1.0,0.011608461836773248,0.0,0.00125176503363839,0.6346881417735829,65.99961422222222,14.111296722265664,0.17514377072962364,12.011914651795479,0.0033392570858681845,24.95052691188561,1.2017128039490177
2025-01-01 00:07:00,0.3144652025761375,0.15928495011486798,0.0,0.005241086709602292,0.002654749168581133,0.0,0.03130581602273566,0.001,0.2821593865534019,0.0,0.0,0.0002506236243534685,0.15903432649051452,0.0,1,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.06460580738301945,0,On,0.015149013157894735,0.0,On,0.01615680286484093,0,On,0.005507810516363015,0,On,0.16590312049946407,0.12442734037459802,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,775.7592311111111,Off,0.0,0.0,27.456249174358728,51.666666666666686,43.496666666666684,2028.8227844656976,0,4.495948593930225,0.0,49.883356781196724,0.0,0.0,0.0,35.608332232478304,44.93053174099161,49.984695055294026,21.85332078780432,12.43753247303448,24.84286008650197,0.0,2.8,-10.522599668386533,-333.43460746801924,-0.0,-35.87616253771754,344.84916423440416,0.0,1.0,0.011607136122891173,0.0,0.0012488790689856525,0.6344802836657949,65.99961422222222,13.93900610294611,0.17522195327192983,12.010106110455945,0.0033397210385819496,24.944736769692533,1.2017332855146623
2025-01-01 00:08:00,0.3144652025761375,0.15928495011486798,0.0,0.005241086709602292,0.002654749168581133,0.0,0.03130581602273566,0.001,0.2821593865534019,0.0,0.0,0.0002506236243534685,0.15903432649051452,0.0,1,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.06460580738301945,0,On,0.015149013157894735,0.0,On,0.01615680286484093,0,On,0.005507810516363015,0,On,0.16590312049946407,0.12442734037459802,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,775.7592311111111,Off,0.0,0.0,27.460523228062932,51.666666666666686,43.496666666666684,2028.7222649493656,0,4.4959392682453245,0.0,49.8764089699841,0.0,0.0,0.0,35.614030970750576,44.927533342328175,49.980643425167045,21.861912595051145,12.43753247303448,24.83742382781143,0.0,2.8,-10.406772419595882,-333.31227795556896,-0.0,-35.77999742108909,344.84916423440416,0.0,1.0,0.011605739963922028,0.0,0.001245838732752337,0.6342613302270718,65.99961422222222,13.836338722658036,0.17530303103873157,12.008157876875913,0.003340184875723087,24.939667518560242,1.2017548731342764
2025-01-01 00:09:00,0.3144652025761375,0.15928495011486798,0.0,0.005241086709602292,0.002654749168581133,0.0,0.03130581602273566,0.001,0.2821593865534019,0.0,0.0,0.0002506236243534685,0.15903432649051452,0.0,1,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.06460580738301945,0,On,0.015149013157894735,0.0,On,0.01615680286484093,0,On,0.005507810516363015,0,On,0.16590312049946407,0.12442734037459802,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,775.7592311111111,Off,0.0,0.0,27.465154606830822,51.666666666666686,43.496666666666684,2028.674156763055,0,4.496018458023843,0.0,49.86946477887958,0.0,0.0,0.0,35.6202061424411,44.92453446380262,49.97659149872041,21.870493384471022,12.43753247303448,24.83173571938611,0.0,2.8,-10.386226826633106,-333.18430038138706,-0.0,-35.67938683419573,344.84916423440416,0.0,1.0,0.01160427905482255,0.0,0.0012426562741852962,0.6340321670540163,65.99961422222222,13.628296154545566,0.17538677652619206,12.006877771182676,0.003340648610273175,24.935263420593124,1.2017774773399614
