Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.16319941049902606,0.07070938117721089,0.027616216216216218,0.16319941049902606,0.07070938117721089,0.027616216216216218,0.009032984784484305,0.07622658196454175,0.027939843750000002,0.05,0.0,0.027616216216216218,0.0,0.05612604784387754,0.0,0.01458333333333334,1.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0037872532894736837,0.0,0.005245731495010621,0.0,0.0013918515060383468,0.0,0.04152321750010069,0.03114241312507551,776.5899970833333,19.500000000000057,0.4625000000000001,0.0,0.8093515171171171,0.027939843750000002,0.5,748.6501533333334,1497.3003066666668,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2114.2149955555556,0.0,0.0,86.26343069239738,51.66666666666668,46.10666666666668,0.0,51.316618086734316,0.0,0.0,0.0,134.7866104568709,51.34990466083954,51.36654794789216,51.316618086734316,12.43753247303448,19.198907030298553,-0.05630080870670747,2.8,473.39080507081474,-449.4582306214721,0.0,0.0,148.35255574624125,0.0,1.0,0.02102788652517473,0.0,0.0,1.0377849752242916,65.99961422222222,-2.093517137287876,0.2338523460381664,9.346045349222399,0.003157594912227042,-1.5171654744273504,1.2250099336515323
2025-01-01 01:00:00,0.1611512505533555,0.07008479030924082,0.026695675675675677,0.16115125055335547,0.07008479030924082,0.026695675675675677,0.008748940787773779,0.07539379414058169,0.027008515625000003,0.05,0.0,0.026695675675675677,0.0,0.055501456975907484,0.0,0.01458333333333334,1.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.0035032092927631572,0.0,0.005245731495010621,0.0,0.0013918515060383468,0.0,0.04152321750010069,0.03114241312507551,750.7036638472223,19.500000000000057,0.4470833333333334,0.0,0.7823731332132131,0.027008515625000003,0.48333333333333334,723.6951482222223,1497.3003066666668,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2114.2149955555556,0.0,0.0,83.37435341553336,51.66666666666668,46.10666666666668,0.0,50.257736683443156,0.0,0.0,0.0,130.2724272117709,50.29215665637043,50.309366642834064,50.257736683443156,12.43753247303448,19.21787080514264,-0.04984362013709506,2.5,478.083345135186,-416.95761082501065,0.0,0.0,147.23572392557065,0.0,1.0,0.01915139206165573,0.0,0.0,0.9451747284455606,65.99961422222222,-2.898431812596248,0.23357703767324803,9.3549669962725,0.003157467206972502,4.111697781515161,1.2249899320336484
2025-01-01 02:00:00,0.15845580647939542,0.06946019944127078,0.024854594594594596,0.15845580647939542,0.06946019944127078,0.024854594594594596,0.008748940787773779,0.07456100631662162,0.025145859375000003,0.05,0.0,0.024854594594594596,0.0,0.05487686610793744,0.0,0.01458333333333334,1.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0035032092927631572,0.0,0.005245731495010621,0.0,0.0013918515060383468,0.0,0.04152321750010069,0.03114241312507551,698.9309973750001,19.500000000000057,0.41625000000000006,0.0,0.7284163654054053,0.025145859375000003,0.45,673.785138,1497.3003066666668,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2114.2149955555556,0.0,0.0,80.64945986500194,51.66666666666668,46.10666666666668,0.0,49.23373167296909,0.0,0.0,0.0,126.01478103906554,49.26910437941833,49.28679073264296,49.23373167296909,12.43753247303448,19.210345237533257,-0.05107950659779785,1.6500000000000001,443.528488014212,-399.92472691832387,0.0,0.0,146.40293610161058,0.0,1.0,0.01739573953362406,0.0,0.0,0.85852836894935,65.99961422222222,-1.8807185440748353,0.23438396170312598,9.362213688619907,0.0031669640920525687,11.62100027173012,1.2250144188906755
2025-01-01 03:00:00,0.15836498411596164,0.06883560857330072,0.025775135135135137,0.15836498411596162,0.06883560857330072,0.025775135135135137,0.008559578123300094,0.07372821849266155,0.0260771875,0.05,0.0,0.025775135135135137,0.0,0.05425227523996738,0.0,0.01458333333333334,1.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.0033138466282894735,0.0,0.005245731495010621,0.0,0.0013918515060383468,0.0,0.04152321750010069,0.03114241312507551,724.8173306111112,19.500000000000057,0.43166666666666675,0.0,0.7553947493093093,0.0260771875,0.4666666666666667,698.7401431111113,1497.3003066666668,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2114.2149955555556,0.0,0.0,77.9400816662429,51.66666666666668,46.10666666666668,0.0,48.24235596441773,0.0,0.0,0.0,121.78137760350455,48.280220573880634,48.299152878612084,48.24235596441773,12.43753247303448,19.231159095027447,-0.0437769430429185,1.6500000000000001,446.24038352380103,-422.1525720139581,0.0,0.0,145.3807856131768,0.0,1.0,0.018370503334096525,0.0,0.0,0.9066356870724417,65.99961422222222,-1.805160686528832,0.23490544983568803,9.384384473336103,0.0031781980294491837,1.8728190022405578,1.224918872216613
2025-01-01 04:00:00,0.15939485254200156,0.06821101770533065,0.027616216216216218,0.15939485254200156,0.06821101770533067,0.027616216216216218,0.008559578123300094,0.07289543066870148,0.027939843750000002,0.05,0.0,0.027616216216216218,0.0,0.053627684371997324,0.0,0.01458333333333334,1.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0033138466282894735,0.0,0.005245731495010621,0.0,0.0013918515060383468,0.0,0.04152321750010069,0.03114241312507551,776.5899970833333,19.500000000000057,0.4625000000000001,0.0,0.8093515171171171,0.027939843750000002,0.5,748.6501533333334,1497.3003066666668,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2114.2149955555556,0.0,0.0,75.42832742575324,51.66666666666668,46.10666666666668,0.0,47.29249949276034,0.0,0.0,0.0,117.85676160273944,47.32407561153567,47.339863670923336,47.29249949276034,12.43753247303448,19.211323759735482,-0.051918909638896636,0.55,461.7139822468752,-458.993788252199,0.0,0.0,144.54799778921677,0.0,1.0,0.018760271712035956,0.0,0.0,0.9258718459683355,65.99961422222222,-0.4302243734759127,0.23493126741201126,9.369169928142298,0.003176087843857349,9.577391478566007,1.224428742275474
2025-01-01 05:00:00,0.15977357787094895,0.06821101770533065,0.06633062048129332,0.15977357787094895,0.06821101770533067,0.06633062048129333,0.008938303452247463,0.07289543066870148,0.027939843750000002,0.05,0.03871440426507711,0.027616216216216218,0.0,0.053627684371997324,0.0,0.01458333333333334,1.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0036925719572368423,0.0,0.005245731495010621,0.0,0.0013918515060383468,0.0,0.04152321750010069,0.03114241312507551,776.5899970833333,19.500000000000057,0.4625000000000001,0.0,0.8093515171171171,0.027939843750000002,0.5,748.6501533333334,1497.3003066666668,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2114.2149955555556,879.2133333333333,0.0,75.31334822401934,51.66666666666668,46.10666666666668,0.0,47.19279896573947,0.0,0.0,879.2133333333333,117.6771066000302,47.215560313988206,47.22694098811257,47.19279896573947,12.43753247303448,19.202612866049513,-0.05117251087774187,-0.25000000000000006,448.5566357548773,-473.6338411998013,0.0,0.0,144.92672311816412,0.0,1.0,0.018502677146506892,0.0,0.0,0.9131588341549303,65.99961422222222,0.6737567531809984,0.23650926105833872,9.385163532073955,0.0031974418378349066,12.437578697124081,1.2238349093028542
2025-01-01 06:00:00,0.16098123205505332,0.06946019944127078,0.026695675675675677,0.1609812320550533,0.06946019944127078,0.026695675675675677,0.009411710113431674,0.07456100631662162,0.027008515625000003,0.05,0.0,0.026695675675675677,0.0,0.05487686610793744,0.0,0.01458333333333334,1.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.004165978618421052,0.0,0.005245731495010621,0.0,0.0013918515060383468,0.0,0.04152321750010069,0.03114241312507551,750.7036638472223,19.500000000000057,0.4470833333333334,0.0,0.7823731332132131,0.027008515625000003,0.48333333333333334,723.6951482222223,1497.3003066666668,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2114.2149955555556,0.0,0.0,89.01647758041787,51.66666666666668,46.10666666666668,0.0,52.34136305728954,0.0,0.0,0.0,139.08824621940295,52.37527802794884,52.392235513278486,52.34136305728954,12.43753247303448,19.19821325265649,-0.046077277227350597,0.3,435.74858251542287,-461.9339635836359,0.0,0.0,147.06570542726848,0.0,1.0,0.018601661404542582,0.0,0.0,0.9180439839606506,65.99961422222222,-0.08682317543192379,0.2367283375984473,9.385565393050518,0.0031995522486723766,0.18993467932905053,1.2238516874100456
2025-01-01 07:00:00,0.2213587717651879,0.08217998529979206,0.049924318234721946,0.22135877176518792,0.08217998529979206,0.04992431823472194,0.04644365060556953,0.09790660553461841,0.027008515625000003,0.05,0.023228642559046265,0.026695675675675677,0.0,0.06759665196645874,0.0,0.01458333333333334,1.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0038819346217105265,0.0,0.042561715983859,0.0,0.007777736246006736,0.0,0.05681735633020895,0.0426130172476567,750.7036638472223,19.500000000000057,0.4470833333333334,0.0,0.7823731332132131,0.027008515625000003,0.48333333333333334,723.6951482222223,1497.3003066666668,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2114.2149955555556,527.528,0.0,81.7653548430707,51.66666666666668,46.10666666666668,0.0,50.98701458259726,0.1724726375829117,463.10874745820644,527.528,127.75836694229795,49.62476178098148,50.98712492130026,48.9435250414706,12.43753247303448,19.19639171359301,-0.05238286237207029,-0.55,461.38545854552956,-496.73935235171496,0.0,0.0,206.3726554192955,2.092849243186712,1.0,0.019072141342173124,0.0,0.0,0.9412634839248002,65.99961422222222,1.048491630726694,0.23707959473677245,9.38958220329758,0.0032039136954824065,9.973478430039384,1.2238562103318473
2025-01-01 08:00:00,0.18281863248794458,0.07460337128784898,0.038120718690853254,0.18281863248794458,0.074603371287849,0.03812071869085326,0.01876009932359068,0.08332470503935391,0.030733828125000005,0.05,0.007742880853015421,0.03037783783783784,0.0,0.06002003795451565,0.0,0.01458333333333334,1.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.002935121299342105,0.0,0.015824978024248575,0.0,0.003297987766666334,0.0,0.04588241649032478,0.03441181236774358,854.2489967916667,19.500000000000057,0.5087500000000001,0.0,0.8902866688288288,0.030733828125000005,0.55,823.5151686666667,1497.3003066666668,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2114.2149955555556,175.84266666666664,0.0,87.28655100700962,51.66666666666668,46.10666666666668,0.0,52.0154612554487,0.02375676837210873,66.21065030800582,175.84266666666664,136.38523594845253,51.69271062453597,52.0154612554487,51.53133530907962,12.43753247303448,19.178215652874616,-0.06310497979699245,-1.4,457.23714984297027,-537.8709875424736,0.0,0.0,115.37293876417742,136.32109555714308,0.25,0.019768833473812673,0.0,0.0,0.9756471879507328,16.499903555555555,25.486201829599683,0.23771415386350261,9.388936375477382,0.0032073365896779795,-11.928466123463114,1.2245046773217814
2025-01-01 09:00:00,0.1607493220894335,0.07133397204518092,0.025775135135135137,0.1607493220894335,0.07133397204518092,0.025775135135135137,0.007612764800931674,0.07705936978850182,0.0260771875,0.05,0.0,0.025775135135135137,0.0,0.05675063871184759,0.0,0.01458333333333334,1.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0023670333059210525,0.0,0.005245731495010621,0.0,0.0013918515060383468,0.0,0.04152321750010069,0.03114241312507551,724.8173306111112,19.500000000000057,0.43166666666666675,0.0,0.7553947493093093,0.0260771875,0.4666666666666667,698.7401431111113,1497.3003066666668,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2114.2149955555556,0.0,0.0,84.16319942757342,51.66666666666668,46.10666666666668,0.0,50.882852138380215,0.0,0.0,0.0,131.50499910558347,50.57806548339425,50.882852138380215,50.425672155901275,12.43753247303448,19.220037958559935,-0.04433281075310707,-0.85,362.91861826181673,-516.6185293163808,0.0,0.0,81.76550936442646,388.7925582299926,0.0,0.019488045905003797,0.0,0.0,0.9617895365985275,0.0,72.95430760265984,0.23619618234373044,9.396631415878792,0.0031935288860345354,-3.2502691894090865,1.2249541343918702
