Metric,Value
Total Electric Energy (kWh),1071.8248129248855
Total Gas Energy (therms),0.0
Average Electric Power (kW),1.4886455735067854
Peak Electric Power (kW),5.8416115754925535
Other Electric Energy (kWh),184.29950916180195
HVAC Heating Electric Energy (kWh),698.6271503705128
Lighting Electric Energy (kWh),19.363500476274368
Water Heating Electric Energy (kWh),169.53465291629632
Average Temperature - Indoor (C),26.389929163411765
Unmet Heating Load (C-hours),36.98943527734516
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
