occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.588,0.0216,0.342,0.0539,0.0539,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.022,0.337,0.0543,0.0543,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.022,0.337,0.0543,0.0543,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.022,0.337,0.0543,0.0543,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.563,0.0163,0.415,0.0497,0.0497,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.588,0.0182,0.342,0.0504,0.0504,0.0,0.0,0.0,0.0,0.0871,0,0,0,0
1.0,0.589,0.0184,0.337,0.0504,0.0504,0.0,0.0,0.0,0.0,0.0667,0,0,0,0
1.0,0.589,0.0184,0.337,0.0504,0.0504,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.0217,0.337,0.0683,0.0683,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.022,0.337,0.0696,0.0696,0.0,0.0,0.0,0.0,0.0667,0,0,0,0
0.813,0.563,0.0163,0.415,0.0507,0.0507,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.595,0.0269,0.342,0.106,0.106,0.0,0.0,0.0,0.0,0.198,0,0,0,0
0.8,0.597,0.0276,0.337,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.613,0.564,0.0167,0.415,0.0534,0.0534,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.595,0.0269,0.342,0.106,0.106,0.0,0.0,0.0,0.0,0.122,0,0,0,0
0.6,0.652,0.0492,0.258,0.202,0.202,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.656,0.0508,0.253,0.208,0.208,0.0,0.0,0.0,0.0,0.165,0,0,0,0
0.6,0.7,0.067,0.174,0.283,0.283,0.0,0.0,0.0,0.0,0.249,0,0,0,0
0.413,0.659,0.0519,0.247,0.214,0.214,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.663,0.0594,0.253,0.219,0.219,0.0,0.0,0.0,0.933,0.0,0,0,0,0
0.4,0.664,0.06,0.253,0.22,0.22,0.0,0.0,0.0,1.0,0.267,0,0,0,0
0.4,0.664,0.06,0.253,0.22,0.22,0.0,0.0,0.0,0.133,0.4,0,0,0,0
0.4,0.664,0.06,0.253,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0687,0.253,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0693,0.253,0.225,0.225,0.0,0.0,0.0,0.0,0.0667,0,0,0,0
0.4,0.664,0.0693,0.253,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0693,0.253,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.076,0.253,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0765,0.253,0.22,0.22,0.0,0.0,0.0,0.0,0.244,0,0,0,0
0.4,0.664,0.0765,0.253,0.22,0.22,0.0,0.0,0.0,0.0,0.0667,0,0,0,0
0.4,0.664,0.0765,0.253,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0833,0.253,0.213,0.213,0.0,0.0,0.0,0.0,0.458,0,0,0,0
0.4,0.664,0.0837,0.253,0.212,0.212,0.0,0.0,0.0,0.0,0.236,0,0,0,0
0.4,0.664,0.0837,0.253,0.212,0.212,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0837,0.253,0.212,0.212,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0876,0.253,0.207,0.207,0.0,0.0,0.0,0.0,0.0667,0,0,0,0
0.4,0.664,0.0879,0.253,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0879,0.253,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0879,0.253,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0975,0.253,0.206,0.206,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0982,0.253,0.205,0.205,0.454,0.933,0.0,0.0,0.333,0,0,0,0
0.4,0.664,0.0982,0.253,0.205,0.205,0.357,0.0,1.0,0.0,0.133,0,0,0,0
0.4,0.664,0.0982,0.253,0.205,0.205,0.11,0.0,1.0,0.0,0.0667,0,0,0,0
0.4,0.664,0.103,0.253,0.209,0.209,0.636,0.0,0.133,0.0,0.0667,0,0,0,0
0.4,0.664,0.103,0.253,0.209,0.209,0.564,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.103,0.253,0.209,0.209,0.653,0.0,0.0,0.0,0.0667,0,0,0,0
0.4,0.664,0.103,0.253,0.209,0.209,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.679,0.114,0.253,0.227,0.227,0.265,0.0,0.0,0.0,0.4,0,0,0,0
0.4,0.68,0.115,0.253,0.228,0.228,0.179,0.0,0.0,0.0,0.0667,0,0,0,0
0.4,0.68,0.115,0.253,0.228,0.228,0.416,0.0,0.0,0.0,0.0667,0,0,0,0
0.587,0.735,0.161,0.174,0.311,0.311,0.0,0.0,0.0,0.933,0.0,0,0,0,0
0.6,0.771,0.2,0.168,0.385,0.385,0.0,0.0,0.0,1.0,0.0429,0,0,0,0
0.6,0.774,0.203,0.168,0.389,0.389,0.0,0.0,0.0,0.133,0.0667,0,0,0,0
0.6,0.774,0.203,0.168,0.389,0.389,0.0,0.0,0.0,0.0,0.333,0,0,0,0
0.6,0.774,0.203,0.168,0.389,0.389,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.787,0.883,0.317,0.0898,0.645,0.645,0.0,0.0,0.0,0.0,0.0667,0,0,0,0
0.8,0.891,0.325,0.0842,0.663,0.663,0.0,0.0,0.0,0.0,0.0667,0,0,0,0
0.8,0.891,0.325,0.0842,0.663,0.663,0.0,0.0,0.0,0.933,0.0667,0,0,0,0
0.8,0.891,0.325,0.0842,0.663,0.663,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.987,0.986,0.527,0.00561,0.965,0.965,0.0,0.0,0.0,1.0,0.102,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.986,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.986,0.0,0.0,0.0,0.2,0.0,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.986,0.0,0.0,0.0,0.0,0.229,0,0,0,0
1.0,0.975,0.743,0.0,0.978,0.978,0.0,0.0,0.0,0.0,0.0667,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.977,0.0,0.0,0.0,0.0,0.0667,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.977,0.0,0.0,0.0,0.0,0.222,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.977,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.937,0.924,0.0,0.81,0.81,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.798,0.0,0.0,0.0,0.0,0.161,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.865,0.764,0.0786,0.659,0.659,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.802,0.715,0.0842,0.502,0.502,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.798,0.712,0.0842,0.491,0.491,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.798,0.712,0.0842,0.491,0.491,0.0,0.0,0.0,0.0,0.0667,0,0,0,0
1.0,0.742,0.55,0.163,0.388,0.388,0.0,0.0,0.0,0.0,0.2,0,0,0,0
1.0,0.695,0.342,0.168,0.337,0.337,0.0,0.0,0.0,0.0,0.118,0,0,0,0
1.0,0.692,0.328,0.168,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.651,0.231,0.247,0.245,0.245,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.648,0.224,0.253,0.239,0.239,0.0,0.0,0.0,0.0,0.264,0,0,0,0
1.0,0.567,0.0297,0.41,0.062,0.062,0.0,0.0,0.0,0.0,0.0,0,0,0,0
