Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Well Pump Electric Power (kW),Well Pump Reactive Power (kVAR),Well Pump Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.3875498997165724,0.21693171096533967,0.0,0.006459164995276206,0.0036155285160889943,0.0,0.01588697381199068,0.0,0.3616629259045817,0.0,0.010000000000000002,0.0,0.0,0.214015044298673,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004019042860948078,0.0,On,0.011464035169170729,0,On,0.008886148150027619,0,On,0.25028864191570155,0.1877164814367761,On,0.06742338535632338,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,17497.51761777778,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1327.3190622222223,Off,0.0,0.0,41.240485840336056,51.666666666666686,46.10666666666668,0.0,51.50434184901446,0.0,0.0,0.0,41.240485840336056,51.52661803485952,51.537756127782046,51.50434184901446,12.43753247303448,16.08093493479472,-0.08573173187196659,7.133887077895465,-1.488763904296308,2.8,9.236100170605994,-395.8408872976958,-2918.9939282000946,4056.6757985785634,-964.7897719198492,-0.0,-0.0,622.604380537261,0.0,5.0,0.05574249322721362,0.0,0,0.521694585833185,329.99807111111113,-53.655495915107736,0.2853694400694401,7.887262107960921,0.003175006705663454,116.1797454164674,1.234654780173023,0.5293355090385183,-2989.6907770381436,70.6968488380488,0.7249112727551998,4051.675397394871,5.000401183692123
2025-01-01 00:01:00,0.3875498997165724,0.21693171096533967,0.0,0.006459164995276206,0.0036155285160889943,0.0,0.01588697381199068,0.0,0.3616629259045817,0.0,0.010000000000000002,0.0,0.0,0.214015044298673,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004019042860948078,0.0,On,0.011464035169170729,0,On,0.008886148150027619,0,On,0.25028864191570155,0.1877164814367761,On,0.06742338535632338,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,17497.51761777778,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1327.3190622222223,Off,0.0,0.0,41.30212390948571,51.666666666666686,46.10666666666668,0.0,51.50061666444224,0.0,0.0,0.0,41.30212390948571,51.52314538085212,51.53440973905707,51.50061666444224,12.43753247303448,16.02447704749453,-0.14218961917215722,7.126520982906454,-1.2026525082070443,2.8,9.236100170605994,-389.27573701064165,-2913.526828127475,3786.2573248469475,-958.5828697292409,-0.0,-0.0,622.604380537261,0.0,5.0,0.05562032274613208,0.0,0,0.5205511910038744,329.99807111111113,-53.29724781866203,0.28727289719496035,7.882937279721136,0.0031754054529588094,116.42751832128639,1.2385028248047114,0.5293010123727181,-2984.4148402138544,70.88801208637966,0.7249112727551998,3781.380615421002,4.876709425945512
2025-01-01 00:02:00,0.3875498997165724,0.21693171096533967,0.0,0.006459164995276206,0.0036155285160889943,0.0,0.01588697381199068,0.0,0.3616629259045817,0.0,0.010000000000000002,0.0,0.0,0.214015044298673,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004019042860948078,0.0,On,0.011464035169170729,0,On,0.008886148150027619,0,On,0.25028864191570155,0.1877164814367761,On,0.06742338535632338,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,17497.51761777778,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1327.3190622222223,Off,0.0,0.0,41.36230009556708,51.666666666666686,46.10666666666668,0.0,51.496885946613936,0.0,0.0,0.0,41.36230009556708,51.519667536612765,51.531058331612186,51.496885946613936,12.43753247303448,15.969270398476288,-0.19739626819039735,7.119470012583785,-0.9368921488147525,2.8,9.236100170605994,-383.14104481116357,-2908.3976289613647,3535.187341753878,-952.529052006471,-0.0,-0.0,622.604380537261,0.0,5.0,0.055500751495112965,0.0,0,0.5194321223963094,329.99807111111113,-53.21637334195361,0.2883241123403412,7.856789806315472,0.003175803809094731,116.66889186555574,1.2387390165399976,0.5292679893827044,-2979.3652187635917,70.96758980222714,0.7249112727551998,3530.3118380807764,4.875503673101605
2025-01-01 00:03:00,0.3875498997165724,0.21693171096533967,0.0,0.006459164995276206,0.0036155285160889943,0.0,0.01588697381199068,0.0,0.3616629259045817,0.0,0.010000000000000002,0.0,0.0,0.214015044298673,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004019042860948078,0.0,On,0.011464035169170729,0,On,0.008886148150027619,0,On,0.25028864191570155,0.1877164814367761,On,0.06742338535632338,0,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,17497.51761777778,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1327.3190622222223,Off,0.0,0.0,41.42106959127006,51.666666666666686,46.10666666666668,0.0,51.493149827756774,0.0,0.0,0.0,41.42106959127006,51.51618462523927,51.527702023980524,51.493149827756774,12.43753247303448,15.91526767489237,-0.251398991774316,7.112734457190049,-0.6900064667701193,2.8,9.236100170605994,-377.13183378820935,-2903.5270098735164,3301.919620802643,-946.6221244016131,-0.0,-0.0,622.604380537261,0.0,5.0,0.05538368390406366,0.0,0,0.5183364855689789,329.99807111111113,-53.11408992385739,0.28935740212464217,7.8318222799108295,0.0031762029149764817,116.90390419594772,1.2389701377359008,0.5292364417038966,-2974.542040766569,71.01503089305228,0.7249112727551998,3297.074321110623,4.8452996920202285
2025-01-01 00:04:00,18.538080017494355,0.21693171096533967,0.0,0.30896800029157256,0.0036155285160889943,0.0,0.01588697381199068,0.0,0.3616629259045817,18.15053011777778,0.010000000000000002,0.0,0.0,0.214015044298673,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004019042860948078,0.0,On,0.011464035169170729,0,On,0.008886148150027619,0,On,0.25028864191570155,0.1877164814367761,On,0.06742338535632338,0,On,0,0,Off,On,14099.109610886715,16.666666666666686,0.9999999999999999,4051.4205068910646,17.49751761777778,0.6530125000000001,1,17497.51761777778,17497.51761777778,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1327.3190622222223,Off,0.0,0.0,41.478480990065655,51.666666666666686,46.10666666666668,0.0,51.489408435106434,0.0,0.0,0.0,41.478480990065655,51.51269676518196,51.52434093021973,51.489408435106434,12.43753247303448,15.862427230821043,-0.30423943584564306,7.106309979592011,-0.4606332891091175,2.8,9.236100170605994,13728.325715237326,1152.5392389407398,3085.2099239765816,-940.8565818551559,-0.0,-0.0,622.604380537261,0.0,5.0,0.05526903621900931,0.0,0,0.5172634966675431,329.99807111111113,-52.53169433149337,0.2903732901636773,7.806925369289052,0.0031766027501979816,117.13276882623455,1.2391963612418986,0.5292063492843174,-2969.9421247356095,71.0608567852845,0.7249112727551998,3080.3811942587618,4.828729717819812
2025-01-01 00:05:00,18.538080017494355,0.21693171096533967,0.0,0.30896800029157256,0.0036155285160889943,0.0,0.01588697381199068,0.0,0.3616629259045817,18.15053011777778,0.010000000000000002,0.0,0.0,0.214015044298673,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004019042860948078,0.0,On,0.011464035169170729,0,On,0.008886148150027619,0,On,0.25028864191570155,0.1877164814367761,On,0.06742338535632338,0,On,0,0,Off,On,14099.109610886715,16.666666666666686,0.9999999999999999,4051.4205068910646,17.49751761777778,0.6530125000000001,1,17497.51761777778,17497.51761777778,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1327.3190622222223,Off,0.0,0.0,41.23682937092719,51.666666666666686,46.10666666666668,0.0,51.48566189150369,0.0,0.0,0.0,41.23682937092719,51.50920407079935,51.520975160447186,51.48566189150369,12.43753247303448,16.066616919095992,-0.10004974757069363,7.246374117026567,-0.24748570299270564,2.8,9.236100170605994,13694.323107427816,1048.9898256806869,2883.85177147793,-963.2141506235286,-0.0,-0.0,622.604380537261,0.0,5.0,0.05571152074400637,0.0,0,0.5214047140340681,329.99807111111113,-64.1767333726319,0.2866440909151053,7.9048040818315215,0.0031770032950477786,115.90682217929921,1.238321177781772,0.5298620258019227,-3070.3398463938083,67.90916518343079,0.7249112727551998,2879.016686919748,4.835084558182382
2025-01-01 00:06:00,18.538080017494355,0.21693171096533967,0.0,0.30896800029157256,0.0036155285160889943,0.0,0.01588697381199068,0.0,0.3616629259045817,18.15053011777778,0.010000000000000002,0.0,0.0,0.214015044298673,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004019042860948078,0.0,On,0.011464035169170729,0,On,0.008886148150027619,0,On,0.25028864191570155,0.1877164814367761,On,0.06742338535632338,0,On,0,0,Off,On,14099.109610886715,16.666666666666686,0.9999999999999999,4051.4205068910646,17.49751761777778,0.6530125000000001,1,17497.51761777778,17497.51761777778,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1327.3190622222223,Off,0.0,0.0,41.00249780481185,51.666666666666686,46.10666666666668,0.0,51.48193723621686,0.0,0.0,0.0,41.00249780481185,51.505731724684864,51.51762896891888,51.48193723621686,12.43753247303448,16.264535663853614,0.0,7.377368768368814,-0.049364435662729605,2.8,9.236100170605994,13662.232245733898,952.1842059598866,2696.711233350014,-985.0853406809701,-0.0,-0.0,622.604380537261,0.0,5.0,0.05613901952522328,0.0,0,0.5254056796654774,329.99807111111113,-74.39640500910828,0.28308150005945987,8.000048892852941,0.003177399927797399,114.71960193854198,1.2374740447633965,0.5304745122939487,-3164.448821130504,65.21252019932592,0.7249112727551998,2691.8478237101363,4.86340963987792
2025-01-01 00:07:00,18.538080017494355,0.21693171096533967,0.0,0.30896800029157256,0.0036155285160889943,0.0,0.01588697381199068,0.0,0.3616629259045817,18.15053011777778,0.010000000000000002,0.0,0.0,0.214015044298673,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004019042860948078,0.0,On,0.011464035169170729,0,On,0.008886148150027619,0,On,0.25028864191570155,0.1877164814367761,On,0.06742338535632338,0,On,0,0,Off,On,14099.109610886715,16.666666666666686,0.9999999999999999,4051.4205068910646,17.49751761777778,0.6530125000000001,1,17497.51761777778,17497.51761777778,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1327.3190622222223,Off,0.0,0.0,40.77502253942874,51.666666666666686,46.10666666666668,0.0,51.47823380717544,0.0,0.0,0.0,40.77502253942874,51.50227911045364,51.51430176209275,51.47823380717544,12.43753247303448,16.45658142715578,0.0,7.5000384746733095,0.13484025432497182,2.8,9.236100170605994,13630.831978259748,861.3171095221128,2522.7363728884566,-1006.4951554114255,-0.0,-0.0,622.604380537261,0.0,5.0,0.0565525299448099,0.0,0,0.5292757280718989,329.99807111111113,-84.38685775280231,0.27967286860251506,8.091807766523694,0.0031777927666236582,113.56855227914212,1.236653150213547,0.5310474336709254,-3252.762686869142,62.65928950019012,0.7249112727551998,2517.8262111517324,4.910161736724097
2025-01-01 00:08:00,18.538080017494355,0.21693171096533967,0.0,0.30896800029157256,0.0036155285160889943,0.0,0.01588697381199068,0.0,0.3616629259045817,18.15053011777778,0.010000000000000002,0.0,0.0,0.214015044298673,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004019042860948078,0.0,On,0.011464035169170729,0,On,0.008886148150027619,0,On,0.25028864191570155,0.1877164814367761,On,0.06742338535632338,0,On,0,0,Off,On,14099.109610886715,16.666666666666686,0.9999999999999999,4051.4205068910646,17.49751761777778,0.6530125000000001,1,17497.51761777778,17497.51761777778,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1327.3190622222223,Off,0.0,0.0,40.55404028310482,51.666666666666686,46.10666666666668,0.0,51.47455098424542,0.0,0.0,0.0,40.55404028310482,51.49884565077106,51.510992984033884,51.47455098424542,12.43753247303448,16.64306586743975,0.0,7.615017508755816,0.30615367327750587,2.8,9.236100170605994,13600.232975558849,775.9946816588099,2360.9553554767294,-1027.4610887924723,-0.0,-0.0,622.604380537261,0.0,5.0,0.05695284799012116,0.0,0,0.5330223089074374,329.99807111111113,-94.01992707265518,0.276407740580686,8.180827677789996,0.003178181922016791,112.45163882373578,1.2358570628700905,0.5315838756139738,-3335.7025867768502,60.276761544595495,0.7249112727551998,2355.9832232180165,4.972132258712702
2025-01-01 00:09:00,18.538080017494355,0.21693171096533967,0.0,0.30896800029157256,0.0036155285160889943,0.0,0.01588697381199068,0.0,0.3616629259045817,18.15053011777778,0.010000000000000002,0.0,0.0,0.214015044298673,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004019042860948078,0.0,On,0.011464035169170729,0,On,0.008886148150027619,0,On,0.25028864191570155,0.1877164814367761,On,0.06742338535632338,0,On,0,0,Off,On,14099.109610886715,16.666666666666686,0.9999999999999999,4051.4205068910646,17.49751761777778,0.6530125000000001,1,17497.51761777778,17497.51761777778,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1327.3190622222223,Off,0.0,0.0,40.33923509400858,51.666666666666686,46.10666666666668,0.0,51.47088818014579,0.0,0.0,0.0,40.33923509400858,51.49543079889346,51.507702108267296,51.47088818014579,12.43753247303448,16.82425997843767,0.0,7.722866535023499,0.4655233339464329,2.8,9.236100170605994,13570.458003705748,695.8366432323573,2210.4704246533124,-1047.9977880183753,-0.0,-0.0,622.604380537261,0.0,5.0,0.057340669589071074,0.0,0,0.5366519353688273,329.99807111111113,-103.25819969985284,0.2732769084480247,8.267284325903873,0.0031785674983928485,111.36708465317531,1.235084534748384,0.53208656048947,-3413.642235286784,58.058371628076536,0.7249112727551998,2205.4237269079936,5.046697745319051
