Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,2.0261678012134516,0.18799442159055502,1.3890875000000003,0.03376946335355753,0.0031332403598425835,0.023151458333333336,0.029587702247553447,0.3759780156325645,1.6206020833333337,0.0,1.3890875000000003,0.0,0.18799442159055502,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.007629961622807017,0.0,On,0.0005989302328525332,0.0,On,0.021358810391893898,0,On,0.006849545299871382,0,On,0.21101683463875104,0.15826262597906324,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,On,27234.43202896532,20.000000000000057,0.8,6954.28341881246,40.71014170555556,1.6206020833333337,1,32568.113364444445,32568.113364444445,Off,0.0,0,42.83146111750789,51.666666666666686,46.10666666666668,0.0,50.0538359573199,0.0,0.0,0.0,66.92415799610608,48.38841749952947,50.0538359573199,47.55570827063425,12.43753247303448,20.027614063177747,0.0,10.037660020009938,3.51728599500397,2.023032761562822,2.8,9.236100170605994,26108.73903622023,3387.56491250524,-60.589916096310716,239.9617785597117,-1033.4175891039727,-0.0,-0.0,404.3245263545635,0.0,2.0,0.0460291614573995,0.0,0,0.27314302589691686,131.99922844444444,-496.59992999567805,0.1880489149523154,9.161963482005934,0.00267951368889373,59.47821841794182,1.2183983147485664,0.38198027473462787,-3602.9378233874177,36.21931708019809,0.10873669091327998,-101.64502233180166,41.05510623549094,0.20407122031872588,206.63416052005655,33.327618039655135
2025-01-01 00:01:00,0.40556571788011797,0.18799442159055502,0.0,0.0067594286313353,0.0031332403598425835,0.0,0.029587702247553447,0.3759780156325645,0.0,0.0,0.0,0.0,0.18799442159055502,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.007629961622807017,0.0,On,0.0005989302328525332,0.0,On,0.021358810391893898,0,On,0.006849545299871382,0,On,0.21101683463875104,0.15826262597906324,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32568.113364444445,Off,0.0,0,42.50473207991071,51.666666666666686,46.10666666666668,0.0,50.046208744989,0.0,0.0,0.0,66.41364387486048,48.38174406237022,50.046208744989,47.54951172106083,12.43753247303448,20.23768672195065,0.0,10.258254143657949,3.601363878520473,2.076973842829689,2.8,9.236100170605994,-1186.8459839321417,-3686.6693867932936,-72.71928089423592,225.292845709164,-1053.458605771173,-0.0,-0.0,404.3245263545635,0.0,2.0,0.04635653349390484,0.0,0,0.27508569410580574,131.99922844444444,-537.711904515532,0.18617149423954243,9.281542820639146,0.002679644851079989,59.12169062258906,1.2210823663588521,0.3826886568883984,-3719.635806023445,32.966419230151025,0.10873669091327998,-113.55951446906727,40.840233574831345,0.20366821373640503,191.9088113817693,33.3840343273947
2025-01-01 00:02:00,0.40556571788011797,0.18799442159055502,0.0,0.0067594286313353,0.0031332403598425835,0.0,0.029587702247553447,0.3759780156325645,0.0,0.0,0.0,0.0,0.18799442159055502,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.007629961622807017,0.0,On,0.0005989302328525332,0.0,On,0.021358810391893898,0,On,0.006849545299871382,0,On,0.21101683463875104,0.15826262597906324,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32568.113364444445,Off,0.0,0,42.65905315085599,51.666666666666686,46.10666666666668,0.0,50.03863621388006,0.0,0.0,0.0,66.65477054821248,48.37512153184932,50.03863621388006,47.54336419083394,12.43753247303448,20.12864239000273,0.0,10.108437533851847,3.681765275275399,2.1290599770767087,2.8,9.236100170605994,-1178.2242021251527,-3604.7442789136826,-84.30994985825883,211.23029878171394,-1043.0365435805684,-0.0,-0.0,404.3245263545635,0.0,2.0,0.04618674253044827,0.0,0,0.2740781324631414,131.99922844444444,-539.5121848991478,0.18744054785062098,9.231815230753767,0.002679774940467852,59.27754803058066,1.221536282735971,0.3822077018382739,-3640.337299131222,35.59302021753967,0.10873669091327998,-124.95301974532359,40.643069887064755,0.20327830766931104,177.74295151628246,33.48734726543151
2025-01-01 00:03:00,0.40556571788011797,0.18799442159055502,0.0,0.0067594286313353,0.0031332403598425835,0.0,0.029587702247553447,0.3759780156325645,0.0,0.0,0.0,0.0,0.18799442159055502,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.007629961622807017,0.0,On,0.0005989302328525332,0.0,On,0.021358810391893898,0,On,0.006849545299871382,0,On,0.21101683463875104,0.15826262597906324,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32568.113364444445,Off,0.0,0,42.80942000206891,51.666666666666686,46.10666666666668,0.0,50.03103827294354,0.0,0.0,0.0,66.88971875323267,48.3684749570408,50.03103827294354,47.537193299089445,12.43753247303448,20.022197520069533,0.0,9.969244801671241,3.75866116920454,2.1795999059931006,2.8,9.236100170605994,-1174.51056847878,-3529.2144353702533,-95.38368595536514,197.6605616529469,-1032.9028831269536,-0.0,-0.0,404.3245263545635,0.0,2.0,0.04602070547757452,0.0,0,0.27309284701372216,131.99922844444444,-545.93221170639,0.18868896407187954,9.183421988032455,0.0026799053243311754,59.42963153321473,1.2219797015734737,0.3817603095407958,-3566.8252807188333,37.61084534857989,0.10873669091327998,-135.84976791842595,40.46608196306081,0.20289925993959437,164.0476335293842,33.61292812356271
2025-01-01 00:04:00,0.40556571788011797,0.18799442159055502,0.0,0.0067594286313353,0.0031332403598425835,0.0,0.029587702247553447,0.3759780156325645,0.0,0.0,0.0,0.0,0.18799442159055502,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.007629961622807017,0.0,On,0.0005989302328525332,0.0,On,0.021358810391893898,0,On,0.006849545299871382,0,On,0.21101683463875104,0.15826262597906324,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32568.113364444445,Off,0.0,0,42.9561770433688,51.666666666666686,46.10666666666668,0.0,50.02341558092346,0.0,0.0,0.0,67.11902663026375,48.36180495403942,50.02341558092346,47.53099964059741,12.43753247303448,19.91812422002326,0.0,9.839605964914076,3.83221453628988,2.228804655581802,2.8,9.236100170605994,-1164.2983215362947,-3458.9286815752826,-105.97450057220837,184.5078804732065,-1023.0332393089016,-0.0,-0.0,404.3245263545635,0.0,2.0,0.04585808543627044,0.0,0,0.27212783855502176,131.99922844444444,-545.5896085819566,0.18991882462431697,9.13551525136683,0.0026800359952759163,59.57828557775592,1.2224135501971634,0.38134315322932694,-3498.5006251305795,39.57194355529713,0.10873669091327998,-146.27285395669048,40.29835338448212,0.20252954446133978,150.76158574825928,33.746294724947234
2025-01-01 00:05:00,0.40556571788011797,0.18799442159055502,0.0,0.0067594286313353,0.0031332403598425835,0.0,0.029587702247553447,0.3759780156325645,0.0,0.0,0.0,0.0,0.18799442159055502,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.007629961622807017,0.0,On,0.0005989302328525332,0.0,On,0.021358810391893898,0,On,0.006849545299871382,0,On,0.21101683463875104,0.15826262597906324,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32568.113364444445,Off,0.0,0,43.099410690666176,51.666666666666686,46.10666666666668,0.0,50.01576873921042,0.0,0.0,0.0,67.3428292041659,48.35511208527845,50.01576873921042,47.524783758312466,12.43753247303448,19.816365718260233,0.0,9.718661712410855,3.9025793025881566,2.2768363839522907,2.8,9.236100170605994,-1145.8993802095401,-3393.4666802792162,-116.10356371254497,171.72014583086622,-1013.4197469306108,-0.0,-0.0,404.3245263545635,0.0,2.0,0.04569881089004137,0.0,0,0.27118268269886675,131.99922844444444,-536.8041596334928,0.19113026544699493,9.088799273332139,0.002680166946581219,59.72358113918001,1.222838044840736,0.3809535627785139,-3434.8817283983935,41.41504811917791,0.10873669091327998,-156.2440903834114,40.140526670866414,0.20216799071765196,137.8375609529216,33.88258487794462
2025-01-01 00:06:00,0.40556571788011797,0.18799442159055502,0.0,0.0067594286313353,0.0031332403598425835,0.0,0.029587702247553447,0.3759780156325645,0.0,0.0,0.0,0.0,0.18799442159055502,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.007629961622807017,0.0,On,0.0005989302328525332,0.0,On,0.021358810391893898,0,On,0.006849545299871382,0,On,0.21101683463875104,0.15826262597906324,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32568.113364444445,Off,0.0,0,43.239148229934884,51.666666666666686,46.10666666666668,0.0,50.008098334796045,0.0,0.0,0.0,67.56116910927325,48.34839689972698,50.008098334796045,47.51854618219245,12.43753247303448,19.71690446130145,0.0,9.605680880789667,3.9699020117156576,2.32382643031629,2.8,9.236100170605994,-1125.4658139491376,-3332.418556489762,-125.79214614234775,159.2562010396965,-1004.0583538345982,-0.0,-0.0,404.3245263545635,0.0,2.0,0.045542871048251166,0.0,0,0.27025731541221987,131.99922844444444,-525.7319864691028,0.19232297792828668,9.043266969392892,0.0026802981716727062,59.86552655848833,1.223253239010993,0.3805892641360467,-3375.5594904975324,43.14093400777038,0.10873669091327998,-165.78424357246723,39.99209743011949,0.20181365131313958,125.23723706456776,34.01896397512873
2025-01-01 00:07:00,0.40556571788011797,0.18799442159055502,0.0,0.0067594286313353,0.0031332403598425835,0.0,0.029587702247553447,0.3759780156325645,0.0,0.0,0.0,0.0,0.18799442159055502,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.007629961622807017,0.0,On,0.0005989302328525332,0.0,On,0.021358810391893898,0,On,0.006849545299871382,0,On,0.21101683463875104,0.15826262597906324,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32568.113364444445,Off,0.0,0,43.37550470470033,51.666666666666686,46.10666666666668,0.0,50.000404950117805,0.0,0.0,0.0,67.77422610109427,48.34165994210277,50.000404950117805,47.51228743809526,12.43753247303448,19.619664665850053,0.0,9.500030553438915,4.034322062385959,2.3698816942681646,2.8,9.236100170605994,-1105.3536195729216,-3275.43069127417,-135.06071292569612,147.0829589894813,-994.9396285721728,-0.0,-0.0,404.3245263545635,0.0,2.0,0.045390163204054104,0.0,0,0.26935112721931126,131.99922844444444,-514.7385173553122,0.19349736397580433,8.99887931832566,0.002680429664001695,60.00422510323433,1.2236594302039927,0.38024828639768904,-3320.180546675307,44.74985540113788,0.10873669091327998,-174.91306740927214,39.85235448357601,0.20146575611296266,112.92934688007547,34.15361210940583
2025-01-01 00:08:00,0.40556571788011797,0.18799442159055502,0.0,0.0067594286313353,0.0031332403598425835,0.0,0.029587702247553447,0.3759780156325645,0.0,0.0,0.0,0.0,0.18799442159055502,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.007629961622807017,0.0,On,0.0005989302328525332,0.0,On,0.021358810391893898,0,On,0.006849545299871382,0,On,0.21101683463875104,0.15826262597906324,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32568.113364444445,Off,0.0,0,43.508619602614324,51.666666666666686,46.10666666666668,0.0,49.99268914844835,0.0,0.0,0.0,67.98221812908488,48.334901739199,49.99268914844835,47.50600803457432,12.43753247303448,19.524554312427053,0.0,9.401153160354802,4.095972040898792,2.4150894684012516,2.8,9.236100170605994,-1086.0670295826376,-3222.1893554520284,-143.92864994431437,135.17366900617975,-986.0527737077045,-0.0,-0.0,404.3245263545635,0.0,2.0,0.045240558108272065,0.0,0,0.26846335113872105,131.99922844444444,-504.33878222949653,0.19465405147685505,8.95487409295217,0.0026805614172269775,60.13980758080713,1.224056985055867,0.3799288905257807,-3268.4344598538332,46.245104401804745,0.10873669091327998,-183.64935040704248,39.72070046272814,0.20112367747063223,100.88826357688279,34.28540542929696
2025-01-01 00:09:00,0.40556571788011797,0.18799442159055502,0.0,0.0067594286313353,0.0031332403598425835,0.0,0.029587702247553447,0.3759780156325645,0.0,0.0,0.0,0.0,0.18799442159055502,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.007629961622807017,0.0,On,0.0005989302328525332,0.0,On,0.021358810391893898,0,On,0.006849545299871382,0,On,0.21101683463875104,0.15826262597906324,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32568.113364444445,Off,0.0,0,43.638627993784866,51.666666666666686,46.10666666666668,0.0,49.98495146982619,0.0,0.0,0.0,68.18535624028885,48.32812279607569,49.98495146982619,47.49970845920045,12.43753247303448,19.43148429072277,-0.06851570927728545,9.308550742782183,4.154978073944792,2.459520962459959,2.8,9.236100170605994,-1067.5629926851561,-3172.413420223345,-152.41439045830262,123.50651587950414,-977.3874269218053,-0.0,-0.0,404.3245263545635,0.0,2.0,0.045093929979001905,0.0,0,0.26759324076428975,131.99922844444444,-494.50009211791433,0.19579366697210393,8.911924627542628,0.002680693425267001,60.27240136571278,1.2244462593927632,0.3796295205341611,-3220.0448699691033,47.63144974575846,0.10873669091327998,-192.0109657019829,39.596575243680284,0.20078690492225645,89.09296568851961,34.41355019098452
