Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Pool Pump Electric Power (kW),Pool Pump Reactive Power (kVAR),Pool Pump Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.5610018100335505,0.325307201361008,0.0,0.009350030167225843,0.005421786689350133,0.0,0.06600184661602858,0.4449999634175219,0.0,0.05,0.0,0.0,0.0,0.31072386802767465,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.024126206140350874,0.0,On,0.041875640475677704,0,On,0.011643748397163492,0,On,0.35350738281740607,0.26513053711305445,On,0.01905772431679208,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,24046.484666666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,14993.224973333334,Off,0.0,0,72.7875296236323,51.666666666666686,46.10666666666668,0.0,49.39416627242954,0.0,0.0,0.0,113.73051503692547,47.32482467114894,49.39416627242954,46.29015387050865,12.43753247303448,20.270067383871396,0.0,5.3081282123534015,2.8,-3671.9228513349226,-1207.7624182632967,-4137.838289124651,-0.0,-0.0,599.1977973639845,0.0,2.0,0.18174450208179876,0.0,0,1.700948724244244,131.99922844444444,-133.2823595742561,0.193122382752815,9.401886346354427,0.0027939091822838055,-143.41288345668173,1.2173075018827222,0.23577944153801425,-770.6786357730437,-437.0837824902531
2025-01-01 00:01:00,0.5610018100335505,0.325307201361008,0.0,0.009350030167225843,0.005421786689350133,0.0,0.06600184661602858,0.4449999634175219,0.0,0.05,0.0,0.0,0.0,0.31072386802767465,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.024126206140350874,0.0,On,0.041875640475677704,0,On,0.011643748397163492,0,On,0.35350738281740607,0.26513053711305445,On,0.01905772431679208,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,24046.484666666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,14993.224973333334,Off,0.0,0,73.28147641388446,51.666666666666686,46.10666666666668,0.0,49.38104011133468,0.0,0.0,0.0,114.50230689669446,47.313483871833526,49.38104011133468,46.27970575208295,12.43753247303448,20.074586478069655,0.0,5.193877170604248,2.8,-3607.015012977537,-1164.2851697488495,-4073.8037856937294,-0.0,-0.0,599.1977973639845,0.0,2.0,0.1809567532758291,0.0,0,1.6935761748070348,131.99922844444444,-132.409024647792,0.19600807821657626,9.336005290604808,0.0027934099522078453,-142.02782114186485,1.221677682770424,0.23468746125205195,-732.1657379050417,-432.1194318438077
2025-01-01 00:02:00,0.5610018100335505,0.325307201361008,0.0,0.009350030167225843,0.005421786689350133,0.0,0.06600184661602858,0.4449999634175219,0.0,0.05,0.0,0.0,0.0,0.31072386802767465,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.024126206140350874,0.0,On,0.041875640475677704,0,On,0.011643748397163492,0,On,0.35350738281740607,0.26513053711305445,On,0.01905772431679208,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,24046.484666666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,14993.224973333334,Off,0.0,0,73.75937560956508,51.666666666666686,46.10666666666668,0.0,49.36783258319356,0.0,0.0,0.0,115.24902438994545,47.30206611220018,49.36783258319356,46.26918287670349,12.43753247303448,19.885008910015053,0.0,5.083548993778532,2.8,-3546.122514282304,-1122.9353065582304,-4012.070329634876,-0.0,-0.0,599.1977973639845,0.0,2.0,0.18019207060862716,0.0,0,1.6864195016074053,131.99922844444444,-133.24998201141244,0.1982889595206146,9.248566485953386,0.002792917312225267,-140.6811079523865,1.2224684046041672,0.23362813062202392,-695.2694064323788,-427.66590012585175
2025-01-01 00:03:00,0.5610018100335505,0.325307201361008,0.0,0.009350030167225843,0.005421786689350133,0.0,0.06600184661602858,0.4449999634175219,0.0,0.05,0.0,0.0,0.0,0.31072386802767465,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.024126206140350874,0.0,On,0.041875640475677704,0,On,0.011643748397163492,0,On,0.35350738281740607,0.26513053711305445,On,0.01905772431679208,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,24046.484666666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,14993.224973333334,Off,0.0,0,74.22214248574515,51.666666666666686,46.10666666666668,0.0,49.35454636189666,0.0,0.0,0.0,115.9720976339768,47.29057389257487,49.35454636189666,46.25858765791397,12.43753247303448,19.700996090869726,0.0,4.977105254089832,2.8,-3487.7651804755797,-1082.5906824177098,-3952.4955576735542,-0.0,-0.0,599.1977973639845,0.0,2.0,0.17944916310741335,0.0,0,1.679466622417407,131.99922844444444,-134.46742016600982,0.20053089012993225,9.163900074469261,0.00279242965910357,-139.36987971174088,1.2232369021614282,0.23260152429603023,-659.947874196913,-422.64280822079684
2025-01-01 00:04:00,0.5610018100335505,0.325307201361008,0.0,0.009350030167225843,0.005421786689350133,0.0,0.06600184661602858,0.4449999634175219,0.0,0.05,0.0,0.0,0.0,0.31072386802767465,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.024126206140350874,0.0,On,0.041875640475677704,0,On,0.011643748397163492,0,On,0.35350738281740607,0.26513053711305445,On,0.01905772431679208,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,24046.484666666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,14993.224973333334,Off,0.0,0,74.67052008708562,51.666666666666686,46.10666666666668,0.0,49.341183968866886,0.0,0.0,0.0,116.67268763607127,47.27900957067737,49.341183968866886,46.24792237158261,12.43753247303448,19.522273473862253,0.0,4.874529376338282,2.8,-3426.8007080865746,-1043.5185946712645,-3894.961024946869,-0.0,-0.0,599.1977973639845,0.0,2.0,0.1787269905955458,0.0,0,1.6727078022128075,131.99922844444444,-131.0374805036891,0.20273511604032432,9.08046897330641,0.0027919468546995095,-138.09247813766487,1.2239842379697237,0.23160791652633542,-626.1676702752666,-417.3509243959978
2025-01-01 00:05:00,0.5610018100335505,0.325307201361008,0.0,0.009350030167225843,0.005421786689350133,0.0,0.06600184661602858,0.4449999634175219,0.0,0.05,0.0,0.0,0.0,0.31072386802767465,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.024126206140350874,0.0,On,0.041875640475677704,0,On,0.011643748397163492,0,On,0.35350738281740607,0.26513053711305445,On,0.01905772431679208,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,24046.484666666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,14993.224973333334,Off,0.0,0,75.10493232607513,51.666666666666686,46.10666666666668,0.0,49.327747801738845,0.0,0.0,0.0,117.35145675949238,47.26737538845598,49.327747801738845,46.23718918181456,12.43753247303448,19.348685327061002,-0.15131467293905487,4.775777320085296,2.8,-3365.3376034992903,-1005.7252832781353,-3839.38896466321,-0.0,-0.0,599.1977973639845,0.0,2.0,0.17802498687687304,0.0,0,1.6661377419578143,131.99922844444444,-125.1464362000643,0.20490154856396087,9.000313336044716,0.0027914687675503016,-136.8479152534729,1.224710984845338,0.23064730448122742,-593.8872905276547,-411.8379927504806
2025-01-01 00:06:00,1.7575643100335505,0.325307201361008,1.0256250000000002,0.029292738500559176,0.005421786689350133,0.017093750000000005,0.06600184661602858,0.4449999634175219,1.1965625,0.05,0.0,1.0256250000000002,0.0,0.31072386802767465,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.024126206140350874,0.0,On,0.041875640475677704,0,On,0.011643748397163492,0,On,0.35350738281740607,0.26513053711305445,On,0.01905772431679208,0,On,0,0,Off,On,18389.257866531792,20.000000000000057,0.7999999999999999,6853.789300134877,30.05810583333334,1.1965625,1,24046.484666666667,24046.484666666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,14993.224973333334,Off,0.0,0,75.52586112863003,51.666666666666686,46.10666666666668,0.0,49.31424018749465,0.0,0.0,0.0,118.00915801348441,47.25567352181052,49.31424018749465,46.226390188968466,12.43753247303448,19.18005423243837,-0.3199457675616877,4.680790649591769,2.8,15083.890178306972,5884.556384200724,-3785.6965291685083,-0.0,-0.0,599.1977973639845,0.0,2.0,0.17734249315008235,0.0,0,1.6597502759239486,131.99922844444444,-118.86895642029583,0.20703048531978116,8.921952318176437,0.002790995270318239,-135.63508366844306,1.2254178116290133,0.22971953017404423,-563.0617532903831,-406.17116264376915
2025-01-01 00:07:00,1.7575643100335505,0.325307201361008,1.0256250000000002,0.029292738500559176,0.005421786689350133,0.017093750000000005,0.06600184661602858,0.4449999634175219,1.1965625,0.05,0.0,1.0256250000000002,0.0,0.31072386802767465,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.024126206140350874,0.0,On,0.041875640475677704,0,On,0.011643748397163492,0,On,0.35350738281740607,0.26513053711305445,On,0.01905772431679208,0,On,0,0,Off,On,18389.257866531792,20.000000000000057,0.7999999999999999,6853.789300134877,30.05810583333334,1.1965625,1,24046.484666666667,24046.484666666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,14993.224973333334,Off,0.0,0,75.03684497044142,51.666666666666686,46.10666666666668,0.0,49.30066337280758,0.0,0.0,0.0,117.24507026631473,47.24390607155341,49.30066337280758,46.215527420926335,12.43753247303448,19.35046616819644,-0.14953383180361612,4.849950471769969,2.8,15021.20175973254,5826.482308360236,-3839.9575277408217,-0.0,-0.0,599.1977973639845,0.0,2.0,0.17803219159583664,0.0,0,1.6662051709990744,131.99922844444444,-127.29637642241579,0.20480996512470273,9.000167834929265,0.002790526240208916,-136.32445904293152,1.2247042249752287,0.23136919768089143,-618.1111258080638,-409.19586596657695
2025-01-01 00:08:00,1.7575643100335505,0.325307201361008,1.0256250000000002,0.029292738500559176,0.005421786689350133,0.017093750000000005,0.06600184661602858,0.4449999634175219,1.1965625,0.05,0.0,1.0256250000000002,0.0,0.31072386802767465,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.024126206140350874,0.0,On,0.041875640475677704,0,On,0.011643748397163492,0,On,0.35350738281740607,0.26513053711305445,On,0.01905772431679208,0,On,0,0,Off,On,18389.257866531792,20.000000000000057,0.7999999999999999,6853.789300134877,30.05810583333334,1.1965625,1,24046.484666666667,24046.484666666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,14993.224973333334,Off,0.0,0,74.56245223524574,51.666666666666686,46.10666666666668,0.0,49.28716885505258,0.0,0.0,0.0,116.50383161757148,47.23221481338773,49.28716885505258,46.20473779255531,12.43753247303448,19.515504801499063,0.0,5.014700214747693,2.8,14961.447662912284,5770.726695913868,-3892.788399978064,-0.0,-0.0,599.1977973639845,0.0,2.0,0.17869962818358603,0.0,0,1.6724517171088176,131.99922844444444,-134.21960100542802,0.2026836014692076,9.075241676250055,0.0027900545515450047,-136.97951399185322,1.2240139436103241,0.23296462905475993,-672.3920763027995,-410.67052791820913
2025-01-01 00:09:00,1.7575643100335505,0.325307201361008,1.0256250000000002,0.029292738500559176,0.005421786689350133,0.017093750000000005,0.06600184661602858,0.4449999634175219,1.1965625,0.05,0.0,1.0256250000000002,0.0,0.31072386802767465,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.024126206140350874,0.0,On,0.041875640475677704,0,On,0.011643748397163492,0,On,0.35350738281740607,0.26513053711305445,On,0.01905772431679208,0,On,0,0,Off,On,18389.257866531792,20.000000000000057,0.7999999999999999,6853.789300134877,30.05810583333334,1.1965625,1,24046.484666666667,24046.484666666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,14993.224973333334,Off,0.0,0,74.10184827520712,51.666666666666686,46.10666666666668,0.0,49.27375419662069,0.0,0.0,0.0,115.78413793001113,47.220597468883284,49.27375419662069,46.19401910501458,12.43753247303448,19.675478896261975,0.0,5.175293123412236,2.8,14903.2726474604,5715.952172541483,-3944.2612757087527,-0.0,-0.0,599.1977973639845,0.0,2.0,0.17934609196802,0.0,0,1.6785019785297006,131.99922844444444,-140.92174072662175,0.20064484797411786,9.148760807208534,0.002789580329075446,-137.60218165682497,1.2233456001039194,0.23450935919120078,-725.9304993744328,-411.90662821896024
