Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,5.84984534058873,3.7797090066801022,0.0,0.0974974223431455,0.06299515011133504,0.0,0.018593441596044924,0.001,0.5452608948321686,5.234991004160516,0.05,0.0,0.0002506236243534685,0.38340491173108887,3.3814701379913266,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004935734713868523,0.0,On,0.014078833767932926,0,On,0.03405434585738325,0,On,0.4743885609681297,0.35579142072609715,On,0,0,Off,HP On,7073.348903284562,18.33333333333337,2.0692050394941774,3090.2489425733997,4.60959933749385,0.6253916666666668,1,9538.206179191295,9538.206179191295,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,12568.06152888889,Off,0.0,0.0,41.450918507762225,51.666666666666686,43.496666666666684,1621.3833582388563,0,3.4990423584639134,0.0,51.480195297404386,0.0,0.0,0.0,54.26789134368296,48.278107449971074,51.532405726540176,19.537041441731013,12.43753247303448,17.81800092638786,-0.015332406945510968,-1.4278413191724573,1.1593054649947734,2.8,9.236100170605994,5750.405402673441,3010.8214304744297,3265.835523220712,-2012.0981093718387,-0.0,-0.0,795.0205940493333,0.0,4.0,0.10280621599147276,0.0,0,0.9621644667763866,263.9984568888889,-105.86598528861605,0.24282452815803626,8.522656603577751,0.003015571629791126,-0.8463328069183245,1.2274019385025001,0.5436834545663999,2995.5905196519243,15.230910822505322,0.26762491202087585,572.2317107375405,-396.64513009022846
2025-01-01 00:01:00,5.853742236258955,3.782226152617748,0.0,0.09756237060431591,0.06303710254362913,0.0,0.018593441596044924,0.001,0.5452608948321686,5.2388878998307415,0.05,0.0,0.0002506236243534685,0.38340491173108887,3.383987283928972,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004935734713868523,0.0,On,0.014078833767932926,0,On,0.03405434585738325,0,On,0.4743885609681297,0.35579142072609715,On,0,0,Off,HP On,7072.018464452743,18.33333333333337,2.067042868998905,3089.667692129034,4.613496233164074,0.6253916666666668,1,9536.29448991511,9536.29448991511,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,12568.06152888889,Off,0.0,0.0,41.38649897461272,51.666666666666686,43.496666666666684,1624.7874088545832,0,3.504558466238727,0.0,51.470892820059824,0.0,0.0,0.0,54.18199863281696,48.273537823631635,51.52780968379499,19.55884795424119,12.43753247303448,17.860257812817327,0.0,-1.0023295118637896,1.2256202712857152,2.8,9.236100170605994,5734.827372787748,2708.525437896408,3236.1397708954123,-2020.1432384720054,-0.0,-0.0,795.0205940493333,0.0,4.0,0.10292766150453928,0.0,0,0.9633010766223489,263.9984568888889,-112.06844724232346,0.24288624464026676,8.565212235583154,0.003015568707878378,-1.1002123815896976,1.230808592031613,0.5436834545663999,2694.098803254371,14.426634642037085,0.2668299531457008,547.4717588316421,-400.99968006526393
2025-01-01 00:02:00,5.857519823950763,3.7846662332145127,0.0,0.09762533039917938,0.0630777705535752,0.0,0.018593441596044924,0.001,0.5452608948321686,5.242665487522549,0.05,0.0,0.0002506236243534685,0.38340491173108887,3.386427364525737,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004935734713868523,0.0,On,0.014078833767932926,0,On,0.03405434585738325,0,On,0.4743885609681297,0.35579142072609715,On,0,0,Off,HP On,7070.729533545244,18.33333333333337,2.064950620805434,3089.104575926453,4.617273820855882,0.6253916666666668,1,9534.44244280503,9534.44244280503,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,12568.06152888889,Off,0.0,0.0,41.32400329080239,51.666666666666686,43.496666666666684,1626.4151737691197,0,3.5073863948595227,0.0,51.46160880393977,0.0,0.0,0.0,54.098671054403184,48.268975429885614,51.5232200281724,19.580623139858464,12.43753247303448,17.90116909050259,0.0,-0.6211542116988108,1.2900579650803556,2.8,9.236100170605994,5719.735931221458,2437.8031671853164,3209.8494192726066,-2027.9441566646997,-0.0,-0.0,795.0205940493333,0.0,4.0,0.10304520066653482,0.0,0,0.964401126887171,263.9984568888889,-118.0700397084196,0.2422610272098587,8.584317223624414,0.0030155649199751014,-1.3456091818663065,1.2306355876283563,0.5436834545663999,2424.0212319127886,13.781935272527836,0.26605522105963025,523.5398127773012,-402.7949694311478
2025-01-01 00:03:00,5.861184321021567,3.78703326448655,0.0,0.09768640535035945,0.06311722107477584,0.0,0.018593441596044924,0.001,0.5452608948321686,5.246329984593354,0.05,0.0,0.0002506236243534685,0.38340491173108887,3.3887943957977744,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004935734713868523,0.0,On,0.014078833767932926,0,On,0.03405434585738325,0,On,0.4743885609681297,0.35579142072609715,On,0,0,Off,HP On,7069.4799140779505,18.33333333333337,2.0629245027534364,3088.558634351928,4.620938317926688,0.6253916666666668,1,9532.646881763212,9532.646881763212,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,12568.06152888889,Off,0.0,0.0,41.26332816483989,51.666666666666686,43.496666666666684,1627.989297262003,0,3.510132979867964,0.0,51.45234285584469,0.0,0.0,0.0,54.01777088645319,48.264420052736114,51.51863657536429,19.602366709087494,12.43753247303448,17.9408070509621,0.0,-0.27961563273755474,1.352924707396542,2.8,9.236100170605994,5704.963509994607,2195.239117930309,3184.5812015555207,-2035.513509730944,-0.0,-0.0,795.0205940493333,0.0,4.0,0.1031590448208074,0.0,0,0.9654665955354906,263.9984568888889,-124.02348840173302,0.24165691603642586,8.602716927090764,0.003015560286547899,-1.5829725555185217,1.230468014889297,0.5436834545663999,2182.0278239312447,13.211293999064106,0.26529719613227987,500.3125999915866,-404.2900327879939
2025-01-01 00:04:00,5.864740910874194,3.7893305945813265,0.0,0.09774568184790323,0.06315550990968877,0.0,0.018593441596044924,0.001,0.5452608948321686,5.249886574445981,0.05,0.0,0.0002506236243534685,0.38340491173108887,3.391091725892551,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004935734713868523,0.0,On,0.014078833767932926,0,On,0.03405434585738325,0,On,0.4743885609681297,0.35579142072609715,On,0,0,Off,HP On,7068.267769694907,18.33333333333337,2.0609613283652126,3088.0290651267755,4.624494907779313,0.6253916666666668,1,9530.905168155015,9530.905168155015,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,12568.06152888889,Off,0.0,0.0,41.204386953326576,51.666666666666686,43.496666666666684,1629.559632453379,0,3.512873660681462,0.0,51.44309460296322,0.0,0.0,0.0,53.93918260443543,48.25987148778307,51.5140591509426,19.624078392571946,12.43753247303448,17.979232309132303,0.0,0.026478700664037014,1.414416993165759,2.8,9.236100170605994,5692.059692175515,1977.8593895961308,3160.822112328225,-2042.861826361146,-0.0,-0.0,795.0205940493333,0.0,4.0,0.10326937141996903,0.0,0,0.9664991433481871,263.9984568888889,-128.36684520757973,0.24107282590900841,8.621069481089183,0.0030155548350490036,-1.8126831091400089,1.2303056132192962,0.5436834545663999,1965.1480467506624,12.711342845468637,0.2645536426663309,477.70957488881044,-404.916527687361
2025-01-01 00:05:00,5.868196813874744,3.7915628873946026,0.0,0.09780328023124572,0.06319271478991004,0.0,0.018593441596044924,0.001,0.5452608948321686,5.25334247744653,0.05,0.0,0.0002506236243534685,0.38340491173108887,3.393324018705827,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004935734713868523,0.0,On,0.014078833767932926,0,On,0.03405434585738325,0,On,0.4743885609681297,0.35579142072609715,On,0,0,Off,HP On,7067.090576950071,18.33333333333337,2.0590568192469005,3087.5147657920934,4.627950810779864,0.6253916666666668,1,9529.213676075498,9529.213676075498,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,12568.06152888889,Off,0.0,0.0,41.14706235168342,51.666666666666686,43.496666666666684,1631.0350437636043,0,3.5154705347382813,0.0,51.43386368961409,0.0,0.0,0.0,53.86274980224456,48.25532954035424,51.509487588766234,19.645757937837097,12.43753247303448,18.01652701952856,0.0,0.3008767371874939,1.4747218503604986,2.8,9.236100170605994,5681.18841488494,1783.0003690328729,3138.2945963585203,-2050.00386168813,-0.0,-0.0,795.0205940493333,0.0,4.0,0.10337641942192008,0.0,0,0.9675010067347868,263.9984568888889,-130.91889442633482,0.24050736147621063,8.638171988781593,0.003015548591640458,-2.035250163340349,1.2301480314281596,0.5436834545663999,1770.7263325076922,12.274036525180659,0.26382241206594936,455.65524761114807,-404.8754170447212
2025-01-01 00:06:00,5.871559012781874,3.793734653342894,0.0,0.0978593168796979,0.06322891088904824,0.0,0.018593441596044924,0.001,0.5452608948321686,5.25670467635366,0.05,0.0,0.0002506236243534685,0.38340491173108887,3.3954957846541185,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004935734713868523,0.0,On,0.014078833767932926,0,On,0.03405434585738325,0,On,0.4743885609681297,0.35579142072609715,On,0,0,Off,HP On,7065.945900870108,18.33333333333337,2.0572068626794997,3087.0146725414897,4.631313009686994,0.6253916666666668,1,9527.568906744931,9527.568906744931,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,12568.06152888889,Off,0.0,0.0,41.091241434646804,51.666666666666686,43.496666666666684,1632.5135439849182,0,3.5180719161139726,0.0,51.42464978321533,0.0,0.0,0.0,53.78832191286241,48.250794028947475,51.50492173391623,19.66740511525966,12.43753247303448,18.05277027629497,0.0,0.5469285051446897,1.5339950159315823,2.8,9.236100170605994,5671.266782040166,1608.2815411869544,3116.824502773082,-2056.953899020939,-0.0,-0.0,795.0205940493333,0.0,4.0,0.10348041863609403,0.0,0,0.9684743364842169,263.9984568888889,-132.74581385833653,0.23995919168261742,8.655318200997115,0.0030155415807481783,-2.251163339707146,1.2299949317291665,0.5436834545663999,1596.3890554453535,11.892485741600893,0.2631017108870988,434.08695976384763,-404.2771295322554
2025-01-01 00:07:00,5.874832276663368,3.795848972939669,0.0,0.0979138712777228,0.06326414954899448,0.0,0.018593441596044924,0.001,0.5452608948321686,5.259977940235155,0.05,0.0,0.0002506236243534685,0.38340491173108887,3.3976101042508935,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004935734713868523,0.0,On,0.014078833767932926,0,On,0.03405434585738325,0,On,0.4743885609681297,0.35579142072609715,On,0,0,Off,HP On,7064.832066518846,18.33333333333337,2.0554085933836435,3086.5280536183673,4.6345862735684875,0.6253916666666668,1,9525.968453470547,9525.968453470547,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,12568.06152888889,Off,0.0,0.0,41.03684588051084,51.666666666666686,43.496666666666684,1633.9500917046232,0,3.5206096486071226,0.0,51.41545257341719,0.0,0.0,0.0,53.71579450734778,48.24626478473912,51.50036144227702,19.689019717201358,12.43753247303448,18.088016890821944,0.0,0.7676284879520842,1.5923673646767709,2.8,9.236100170605994,5661.798161790111,1451.575027199605,3096.261133615612,-2063.7216620086747,-0.0,-0.0,795.0205940493333,0.0,4.0,0.10358152888418613,0.0,0,0.9694206283694199,263.9984568888889,-134.3328367693929,0.2394273675406049,8.671913664669711,0.0030155338251275383,-2.4607649171887527,1.2298460793151604,0.5436834545663999,1440.014507236297,11.560519963308046,0.2623900280915195,412.95223306050457,-403.21915306325985
2025-01-01 00:08:00,5.878020290045662,3.797908226153892,0.0,0.09796700483409437,0.0632984704358982,0.0,0.018593441596044924,0.001,0.5452608948321686,5.263165953617449,0.05,0.0,0.0002506236243534685,0.38340491173108887,3.3996693574651164,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004935734713868523,0.0,On,0.014078833767932926,0,On,0.03405434585738325,0,On,0.4743885609681297,0.35579142072609715,On,0,0,Off,HP On,7063.747772791451,18.33333333333337,2.05365976380337,3086.0543405879007,4.637774286950782,0.6253916666666668,1,9524.410446712685,9524.410446712685,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,12568.06152888889,Off,0.0,0.0,40.98381446103573,51.666666666666686,43.496666666666684,1635.3464716944002,0,3.5230864321035416,0.0,51.406271765341785,0.0,0.0,0.0,53.64508594804764,48.24174164769902,51.4958065772247,19.710601551249265,12.43753247303448,18.12230968210278,0.0,0.9656534427279675,1.6499482697366812,2.8,9.236100170605994,5652.58442653896,1310.9787284097283,3076.475602244664,-2070.314643990705,-0.0,-0.0,795.0205940493333,0.0,4.0,0.10367987535586529,0.0,0,0.9703410540418361,263.9984568888889,-135.86929631112037,0.23891113220160817,8.68798200124888,0.003015525346369583,-2.6643241815526704,1.2297012903258613,0.5436834545663999,1299.7061010312013,11.272627378527043,0.26168609837057405,392.2073062951037,-401.7860446383403
2025-01-01 00:09:00,5.8811262204264905,3.7999144589869767,0.0,0.09801877034044151,0.06333190764978294,0.0,0.018593441596044924,0.001,0.5452608948321686,5.266271883998277,0.05,0.0,0.0002506236243534685,0.38340491173108887,3.401675590298201,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004935734713868523,0.0,On,0.014078833767932926,0,On,0.03405434585738325,0,On,0.4743885609681297,0.35579142072609715,On,0,0,Off,HP On,7062.691898373092,18.33333333333337,2.0519584279951313,3085.593043563049,4.640880217331611,0.6253916666666668,1,9522.893275269475,9522.893275269475,0.0,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,12568.06152888889,Off,0.0,0.0,40.93209424772714,51.666666666666686,43.496666666666684,1636.704228405681,0,3.5255046021630196,0.0,51.39710707624106,0.0,0.0,0.0,53.57612566363619,48.23722446467127,51.49125700799114,19.73215043687434,12.43753247303448,18.155685649085648,0.0,1.1433961920429634,1.706828593617134,2.8,9.236100170605994,5643.634912477609,1184.7923142649472,3057.3582316083116,-2076.7392789650535,-0.0,-0.0,795.0205940493333,0.0,4.0,0.10377556636066305,0.0,0,0.971236627171521,263.9984568888889,-137.33830097976332,0.23840982572441838,8.703543654452808,0.003015516165151365,-2.862074752108837,1.2295604057212508,0.5436834545663999,1173.76842868519,11.023885579757316,0.2609888691957136,371.81585164149664,-400.050663596234
