Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.14460982624678587,0.07818506102142263,0.0,0.0024101637707797646,0.0013030843503570439,0.0,0.008251133356513613,0.0,0.08635869289027225,0.0,0.05,0.0,0.0,0.06360172768808929,0.0,0.01458333333333334,1,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0028521290204678363,0.0,On,0.005399004336045776,0,On,0.001556389306153171,0,On,0.043054193349045165,0.032290645011783865,On,0,0,Off,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,982.0812933333333,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,2160.8133022222223,Off,0.0,0.0,34.980098924750195,51.666666666666686,46.10666666666668,0.0,51.11491078154894,0.0,0.0,0.0,34.980098924750195,50.88826018460938,51.11491078154894,50.7749348861396,12.43753247303448,20.829710009274212,-0.11473443517027349,2.8,-144.04288839253144,-320.00181451179634,-0.0,-0.0,157.59564693457492,0.0,1.0,0.013619025951013986,0.0,0.0,0.3473966503035529,65.99961422222222,18.363279184689983,0.20107317012206768,9.898062120928792,0.0030121546222287507,23.70337369920502,1.2148301811775064
2025-01-01 00:01:00,0.14460982624678587,0.07818506102142263,0.0,0.0024101637707797646,0.0013030843503570439,0.0,0.008251133356513613,0.0,0.08635869289027225,0.0,0.05,0.0,0.0,0.06360172768808929,0.0,0.01458333333333334,1,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0028521290204678363,0.0,On,0.005399004336045776,0,On,0.001556389306153171,0,On,0.043054193349045165,0.032290645011783865,On,0,0,Off,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,982.0812933333333,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,2160.8133022222223,Off,0.0,0.0,34.989297215845575,51.666666666666686,46.10666666666668,0.0,51.109660990232584,0.0,0.0,0.0,34.989297215845575,50.883351020785085,51.109660990232584,50.77019603606135,12.43753247303448,20.816884893476683,-0.1275595509678027,2.8,-146.25787423491974,-319.67093826011654,-0.0,-0.0,157.59564693457492,0.0,1.0,0.013614628643197287,0.0,0.0,0.34728448295683,65.99961422222222,15.8174170906219,0.201834812907365,9.917168100302941,0.003012379971989758,23.70279961524443,1.2184318469996878
2025-01-01 00:02:00,0.14460982624678587,0.07818506102142263,0.0,0.0024101637707797646,0.0013030843503570439,0.0,0.008251133356513613,0.0,0.08635869289027225,0.0,0.05,0.0,0.0,0.06360172768808929,0.0,0.01458333333333334,1,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0028521290204678363,0.0,On,0.005399004336045776,0,On,0.001556389306153171,0,On,0.043054193349045165,0.032290645011783865,On,0,0,Off,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,982.0812933333333,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,2160.8133022222223,Off,0.0,0.0,34.99849208863906,51.666666666666686,46.10666666666668,0.0,51.10440990787118,0.0,0.0,0.0,34.99849208863906,50.87844056605772,51.10440990787118,50.765455895150986,12.43753247303448,20.804061424827914,-0.1403830196165714,2.8,-148.4943273588619,-319.340240176795,-0.0,-0.0,157.59564693457492,0.0,1.0,0.01361023141891398,0.0,0.0,0.34717231774089247,65.99961422222222,13.25026588335819,0.20200919487591587,9.911463754977108,0.003012604650178608,23.702260714300284,1.2184848348277932
2025-01-01 00:03:00,0.14460982624678587,0.07818506102142263,0.0,0.0024101637707797646,0.0013030843503570439,0.0,0.008251133356513613,0.0,0.08635869289027225,0.0,0.05,0.0,0.0,0.06360172768808929,0.0,0.01458333333333334,1,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0028521290204678363,0.0,On,0.005399004336045776,0,On,0.001556389306153171,0,On,0.043054193349045165,0.032290645011783865,On,0,0,Off,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,982.0812933333333,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,2160.8133022222223,Off,0.0,0.0,35.00768170716965,51.666666666666686,46.10666666666668,0.0,51.099157534972825,0.0,0.0,0.0,35.00768170716965,50.87352882090698,51.099157534972825,50.76071446387405,12.43753247303448,20.791241181727692,-0.15320326271679363,2.8,-150.74584663062956,-319.009760913237,-0.0,-0.0,157.59564693457492,0.0,1.0,0.013605834819680416,0.0,0.0,0.34706016846884025,65.99961422222222,10.668267348032547,0.20218370101143585,9.905760235277395,0.00301282931348895,23.701727432280236,1.2185378139186815
2025-01-01 00:04:00,0.14460982624678587,0.07818506102142263,0.0,0.0024101637707797646,0.0013030843503570439,0.0,0.008251133356513613,0.0,0.08635869289027225,0.0,0.05,0.0,0.0,0.06360172768808929,0.0,0.01458333333333334,1,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0028521290204678363,0.0,On,0.005399004336045776,0,On,0.001556389306153171,0,On,0.043054193349045165,0.032290645011783865,On,0,0,Off,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,982.0812933333333,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,2160.8133022222223,Off,0.0,0.0,35.01686422965396,51.666666666666686,46.10666666666668,0.0,51.093903872318506,0.0,0.0,0.0,35.01686422965396,50.868615786070265,51.093903872318506,50.755971742946144,12.43753247303448,20.77842574792642,-0.16601869651806567,2.8,-151.77982821360126,-318.67954119189625,-0.0,-0.0,157.59564693457492,0.0,1.0,0.013601439389085495,0.0,0.0,0.34694804900664006,65.99961422222222,9.304066043720075,0.20235831163652337,9.900058385189526,0.003013053961976946,23.70119862850168,1.2185907777033913
2025-01-01 00:05:00,0.14460982624678587,0.07818506102142263,0.0,0.0024101637707797646,0.0013030843503570439,0.0,0.008251133356513613,0.0,0.08635869289027225,0.0,0.05,0.0,0.0,0.06360172768808929,0.0,0.01458333333333334,1,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0028521290204678363,0.0,On,0.005399004336045776,0,On,0.001556389306153171,0,On,0.043054193349045165,0.032290645011783865,On,0,0,Off,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,982.0812933333333,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,2160.8133022222223,Off,0.0,0.0,35.02596785416678,51.666666666666686,46.10666666666668,0.0,51.08864892096292,0.0,0.0,0.0,35.02596785416678,50.86370146254345,51.08864892096292,50.75122773333372,12.43753247303448,20.765676837995514,-0.1787676064489716,2.8,-151.7652341222858,-318.35117012755705,-0.0,-0.0,157.59564693457492,0.0,1.0,0.013597066297968622,0.0,0.0,0.3468364993840064,65.99961422222222,8.990289070696347,0.20253225705607408,9.895100993860375,0.00301327859568915,23.70063002824328,1.2186434702941153
2025-01-01 00:06:00,0.14460982624678587,0.07818506102142263,0.0,0.0024101637707797646,0.0013030843503570439,0.0,0.008251133356513613,0.0,0.08635869289027225,0.0,0.05,0.0,0.0,0.06360172768808929,0.0,0.01458333333333334,1,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0028521290204678363,0.0,On,0.005399004336045776,0,On,0.001556389306153171,0,On,0.043054193349045165,0.032290645011783865,On,0,0,Off,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,982.0812933333333,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,2160.8133022222223,Off,0.0,0.0,35.03493381032897,51.666666666666686,46.10666666666668,0.0,51.083392692632806,0.0,0.0,0.0,35.03493381032897,50.858785861399205,51.083392692632806,50.74648244578241,12.43753247303448,20.75304497573929,-0.19139946870519609,2.8,-151.5455482719268,-318.0259461810353,-0.0,-0.0,157.59564693457492,0.0,1.0,0.013592732887108753,0.0,0.0,0.34672596193275823,65.99961422222222,8.884750974533574,0.2027049043095966,9.889494738016314,0.0030135032142996677,23.699985324048004,1.2186956821184407
2025-01-01 00:07:00,0.14460982624678587,0.07818506102142263,0.0,0.0024101637707797646,0.0013030843503570439,0.0,0.008251133356513613,0.0,0.08635869289027225,0.0,0.05,0.0,0.0,0.06360172768808929,0.0,0.01458333333333334,1,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0028521290204678363,0.0,On,0.005399004336045776,0,On,0.001556389306153171,0,On,0.043054193349045165,0.032290645011783865,On,0,0,Off,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,982.0812933333333,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,2160.8133022222223,Off,0.0,0.0,35.043754062545595,51.666666666666686,46.10666666666668,0.0,51.078135207789884,0.0,0.0,0.0,35.043754062545595,50.85386900195813,51.078135207789884,50.74173589904226,12.43753247303448,20.740537087205723,-0.2039073572387622,2.8,-151.23638547517598,-317.70404392573124,-0.0,-0.0,157.59564693457492,0.0,1.0,0.013588441545878715,0.0,0.0,0.3466164976014627,65.99961422222222,8.872011515980367,0.2028761628127156,9.883953648371595,0.003013727817177179,23.699259457816094,1.2187473843305263
2025-01-01 00:08:00,0.14460982624678587,0.07818506102142263,0.0,0.0024101637707797646,0.0013030843503570439,0.0,0.008251133356513613,0.0,0.08635869289027225,0.0,0.05,0.0,0.0,0.06360172768808929,0.0,0.01458333333333334,1,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0028521290204678363,0.0,On,0.005399004336045776,0,On,0.001556389306153171,0,On,0.043054193349045165,0.032290645011783865,On,0,0,Off,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,982.0812933333333,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,2160.8133022222223,Off,0.0,0.0,35.05242758693609,51.666666666666686,46.10666666666668,0.0,51.07287648808997,0.0,0.0,0.0,35.05242758693609,50.848950904668555,51.07287648808997,50.73698811295785,12.43753247303448,20.728154072813414,-0.21629037163107157,2.8,-150.92431294450427,-317.38548270177233,-0.0,-0.0,157.59564693457492,0.0,1.0,0.013584192596869096,0.0,0.0,0.3465081146188205,65.99961422222222,8.865522822693153,0.20304601704521252,9.878478214793233,0.0030139524036478086,23.698451692640496,1.218798573066067
2025-01-01 00:09:00,0.14460982624678587,0.07818506102142263,0.0,0.0024101637707797646,0.0013030843503570439,0.0,0.008251133356513613,0.0,0.08635869289027225,0.0,0.05,0.0,0.0,0.06360172768808929,0.0,0.01458333333333334,1,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.0028521290204678363,0.0,On,0.005399004336045776,0,On,0.001556389306153171,0,On,0.043054193349045165,0.032290645011783865,On,0,0,Off,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,982.0812933333333,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,2160.8133022222223,Off,0.0,0.0,35.06095850686889,51.666666666666686,46.10666666666668,0.0,51.06761655534078,0.0,0.0,0.0,35.06095850686889,50.8440315901225,51.06761655534078,50.73223910751336,12.43753247303448,20.715892409228452,-0.2285520352160333,2.8,-150.63542043299074,-317.0701681130487,-0.0,-0.0,157.59564693457492,0.0,1.0,0.013579984844516339,0.0,0.0,0.3464007824881738,65.99961422222222,8.839100745483035,0.20321450685525289,9.87377485811053,0.0030141769730314743,23.697564469831025,1.2188492628089087
