Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Gas Fireplace Gas Power (therms/hour),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.3102086096548288,0.11578611910955633,0.09788302398538133,0.31020860965482877,0.11578611910955633,0.09788302398538132,0.01356727344741337,0.13881216954074874,0.10782916666666666,0.05,0.0,0.005458023985381311,0.09242500000000001,0.0,0.10120278577622299,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.0025193987573099413,0.0,0.005523937345051714,0.0,0.005523937345051714,0.0,0.0038751218391180576,0.0,0.07414593981547044,0.05560945486160281,0.005458023985381311,0.0,0.0,1913.451730790405,22.222222222222285,0.32,361.34523143181724,2.708709744444444,0.10782916666666666,0.4,2166.9677955555553,5417.419488888889,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4036.4684133333335,0.0,0.0,72.32858728283736,51.66666666666668,46.10666666666668,0.0,49.60072997562213,0.0,0.0,0.0,113.01341762943338,48.83119859116171,49.60072997562213,48.44643289893149,12.43753247303448,21.897931533905894,-0.07660099630761923,1.3585344211214856,-0.6941320116204622,2.8,9.236100170605994,1127.0190433188752,188.1834954429225,139.32053784833678,-727.1436237706583,0.0,0.0,359.1679133388634,0.0,2.0,0.029211366649744,0.0,0.0,1.4644017506994083,131.99922844444444,-35.76663088165425,0.2225757372868224,10.97884471744312,0.003551818099695285,8.917097392591938,1.2135158753761124,0.0,0.0,28.113409297011284,0.0398944698807876,182.6721997492922,-43.35166190095538
2025-01-01 01:00:00,0.312992758995321,0.11464628583669081,0.09912909965902508,0.312992758995321,0.11464628583669081,0.09912909965902508,0.013378318540615124,0.13729239184359474,0.11232204861111111,0.05,0.0,0.002853057992358413,0.09627604166666667,0.0,0.10006295250335748,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05927133018900624,0.044453497641754665,0.0,0.0,0.0023304438505116955,0.0,0.005523937345051714,0.0,0.005523937345051714,0.0,0.0038751218391180576,0.0,0.07414593981547044,0.05560945486160281,0.002853057992358413,0.0,0.0,1993.1788862400053,22.222222222222285,0.3333333333333333,376.4012827414763,2.821572650462963,0.11232204861111111,0.4166666666666667,2257.25812037037,5417.419488888889,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4036.4684133333335,0.0,0.0,69.84272776426639,51.66666666666668,46.10666666666668,0.0,48.633523691037254,0.0,0.0,0.0,109.12926213166624,47.94509893867583,48.633523691037254,47.600886562495106,12.43753247303448,21.935847817535606,-0.05792912124507623,2.5867543097202046,1.0073517810453463,2.5,9.236100170605994,1188.7007532639022,-776.447824748447,27.19593133463267,-688.890478307175,0.0,0.0,319.2871668358172,0.0,2.0,0.027194877878531507,0.0,0.0,1.3633126875879034,131.99922844444444,-36.239044256744315,0.22254914144507895,11.003944148920462,0.0035595938480542503,9.469319153258454,1.213412904584056,0.0,0.0,25.948340640226355,0.029427035781498412,61.80277477235004,-34.606843437717366
2025-01-01 02:00:00,0.311472981298167,0.11350645256382531,0.09863291566035406,0.311472981298167,0.11350645256382531,0.09863291566035406,0.013378318540615124,0.13577261414644073,0.11232204861111111,0.05,0.0,0.0023568739936873843,0.09627604166666667,0.0,0.09892311923049198,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.0023304438505116955,0.0,0.005523937345051714,0.0,0.005523937345051714,0.0,0.0038751218391180576,0.0,0.07414593981547044,0.05560945486160281,0.0023568739936873843,0.0,0.0,1993.1788862400053,22.222222222222285,0.3333333333333333,376.4012827414763,2.821572650462963,0.11232204861111111,0.4166666666666667,2257.25812037037,5417.419488888889,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4036.4684133333335,0.0,0.0,67.58034036114097,51.66666666666668,46.10666666666668,0.0,47.70007307700205,0.0,0.0,0.0,105.59428181428278,47.08802750178429,47.70007307700205,46.782004714175415,12.43753247303448,21.91964822770352,-0.05970411808724112,1.741920907565734,0.9300693243040773,1.6500000000000001,9.236100170605994,1198.6688545790187,-988.3127735245238,-15.339343581484068,-673.0127542724938,0.0,0.0,310.49652934835956,0.0,2.0,0.025362367557945853,0.0,0.0,1.271446690566368,131.99922844444444,-33.3580294888514,0.22385387035698734,11.015602188757226,0.0035770858221662242,18.704752436032944,1.2134666419071058,0.0,0.0,29.517592325776626,0.01795673988983071,18.40903447889472,-33.74837806037879
2025-01-01 03:00:00,0.32330587949648076,0.11236661929095981,0.1406613800737447,0.32330587949648076,0.11236661929095981,0.1406613800737447,0.013252348602749627,0.1342528364492867,0.12580069444444444,0.05,0.030971523412061684,0.001860689995016356,0.10782916666666668,0.0,0.09778328595762648,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05623177479469822,0.042173831096023656,0.0,0.0,0.002204473912646199,0.0,0.005523937345051714,0.0,0.005523937345051714,0.0,0.0038751218391180576,0.0,0.07414593981547044,0.05560945486160281,0.001860689995016356,0.0,0.0,2232.3603525888057,22.222222222222285,0.3733333333333333,421.56943667045346,3.1601613685185184,0.12580069444444444,0.4666666666666667,2528.129094814815,5417.419488888889,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4036.4684133333335,703.3706666666666,0.0,74.5056245948061,51.66666666666668,46.10666666666668,0.0,49.834513349349386,0.0,0.0,703.3706666666666,116.41503842938454,49.638254107516545,49.8493822133204,49.5252556226291,12.43753247303448,21.921627709524895,-0.07416864044978808,1.6845250859330465,0.5706501475702674,1.6500000000000001,9.236100170605994,1354.8281459325256,-593.6108575201093,1.7362430408726135,-700.1970447136347,0.0,0.0,301.5799219230364,0.0,2.0,0.026409286510317473,0.0,0.0,1.3239300257377755,131.99922844444444,-32.44301334792127,0.22492029386037016,11.03490340129199,0.00359443445913435,2.32999445165892,1.2134462463761848,0.0,0.0,28.456561123867594,0.023470710547587377,38.02788962579002,-36.2916465849174
2025-01-01 04:00:00,0.30381457402154904,0.1112267860180943,0.09440973599468412,0.303814574021549,0.1112267860180943,0.09440973599468412,0.013252348602749627,0.1327330587521327,0.10782916666666666,0.05,0.0,0.0019847359946841133,0.09242500000000001,0.0,0.09664345268476096,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.002204473912646199,0.0,0.005523937345051714,0.0,0.005523937345051714,0.0,0.0038751218391180576,0.0,0.07414593981547044,0.05560945486160281,0.0019847359946841133,0.0,0.0,1913.451730790405,22.222222222222285,0.32,361.34523143181724,2.708709744444444,0.10782916666666666,0.4,2166.9677955555553,5417.419488888889,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4036.4684133333335,0.0,0.0,77.65144089219169,51.66666666666668,46.10666666666668,0.0,50.8322509927995,0.0,0.0,0.0,121.33037639404951,50.86608277459539,50.88299866549334,50.8322509927995,12.43753247303448,21.924718362149974,-0.07027221020193733,0.6721757172858197,0.7270574115096632,0.55,9.236100170605994,1045.2050474588202,-1527.0877560608142,-21.95468789712594,-757.0901924204178,0.0,0.0,301.8778591734583,0.0,2.0,0.0269826099192134,0.0,0.0,1.3526714336209122,131.99922844444444,-30.34400392654441,0.22455171401616855,11.028430387974792,0.0035909319995453544,13.144232159006547,1.2128665359666293,0.0,0.0,34.53268805410558,0.020559413581489962,14.403012631570416,-36.357700528696355
2025-01-01 05:00:00,0.35074235307866464,0.11889534963335091,0.13333143473941467,0.35074235307866464,0.11889534963335091,0.13333143473941467,0.03565045919348005,0.14827696332962906,0.11681493055555554,0.05,0.030971523412061684,0.002232827994019627,0.10012708333333335,0.0,0.10431201630001757,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.0024564137883771927,0.0,0.016597022702551426,0.0,0.016597022702551426,0.0,0.00919427492960558,0.0,0.08437069130247926,0.06327801847685942,0.002232827994019627,0.0,0.0,2072.9060416896054,22.222222222222285,0.3466666666666666,391.4573340511353,2.9344355564814815,0.11681493055555554,0.43333333333333335,2347.5484451851853,5417.419488888889,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4036.4684133333335,703.3706666666666,0.0,72.77356491995579,51.66666666666668,46.10666666666668,0.0,49.813615684965086,0.1730297512944644,450.8697935248334,703.3706666666666,113.70869518743092,49.033234797051946,49.81423846704331,48.64242157101717,12.43753247303448,21.95059820645578,-0.05214913341418246,-0.3381257570333142,-0.42639961382583563,-0.25000000000000006,9.236100170605994,1188.0704226195887,-854.7553720476193,-26.871810054529885,-783.8685844987741,0.0,0.0,342.7395716327463,0.0,2.0,0.02682411122644859,0.0,0.0,1.3447256991418857,131.99922844444444,-29.125397866067896,0.22595942997114254,11.067653505753178,0.003621272899797299,16.907183403003536,1.2121291938782468,0.0,0.0,36.26096861649035,0.015644068519850077,14.426158181619169,-41.29796823614905
2025-01-01 06:00:00,0.3869096784032698,0.12369822098152118,0.14202588607009003,0.38690967840326973,0.1236982209815212,0.14202588607009003,0.052912554898976887,0.1581964290598484,0.12580069444444444,0.05,0.030971523412061684,0.0032251959913616834,0.10782916666666668,0.0,0.10911488764818784,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.0027713386330409356,0.0,0.025070608132967975,0.0,0.025070608132967975,0.0,0.012709912195597906,0.0,0.08773496437239829,0.06580122327929869,0.0032251959913616834,0.0,0.0,2232.3603525888057,22.222222222222285,0.3733333333333333,421.56943667045346,3.1601613685185184,0.12580069444444444,0.4666666666666667,2528.129094814815,5417.419488888889,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4036.4684133333335,703.3706666666666,0.0,76.78467909278724,51.66666666666668,46.10666666666668,0.0,51.45324642167606,0.2540413614215574,686.4492606415588,703.3706666666666,119.97606108248006,50.505912689297546,51.45324642167606,50.03224582310828,12.43753247303448,21.918141055305053,-0.07517639362330139,0.392238368533781,-0.5200884531560329,0.3,9.236100170605994,1376.9078810036174,-1086.5994702826254,-13.910959632565335,-762.5295875026525,0.0,0.0,384.2273535341754,0.0,2.0,0.026840585823623055,0.0,0.0,1.3455515909679554,131.99922844444444,-30.678167098950617,0.22665228055129855,11.057534565014114,0.0036250368106490742,2.2592535314568725,1.2122601227202237,0.0,0.0,33.949650630642864,0.02147908220792779,23.96010281767796,-37.87106245024329
2025-01-01 07:00:00,0.3844975057418984,0.1279321343840434,0.09651851798903599,0.3844975057418984,0.1279321343840434,0.096518517989036,0.059670539452487084,0.16699779962274464,0.10782916666666666,0.05,0.0,0.004093517989035984,0.09242500000000001,0.0,0.11334880105071007,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.00258238372624269,0.0,0.028544077863122196,0.0,0.028544077863122196,0.0,0.0158660648884645,0.0,0.09034062684811989,0.06775547013608989,0.004093517989035984,0.0,0.0,1913.451730790405,22.222222222222285,0.32,361.34523143181724,2.708709744444444,0.10782916666666666,0.4,2166.9677955555553,5417.419488888889,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4036.4684133333335,0.0,0.0,75.64406836285306,51.66666666666668,46.10666666666668,0.0,51.08276261140529,0.031894503370247136,84.98895607943108,0.0,118.1938568169579,50.1153532027051,51.08276261140529,49.63164849835501,12.43753247303448,21.946900054088125,-0.06406394802590824,-0.46175358201492944,-0.7841538678226972,-0.55,9.236100170605994,1050.0771273214718,-1320.3518047796947,-32.216482417576245,-815.1622130442188,0.0,0.0,363.9175998783126,2.2751655598445057,1.2665,0.02747787878682461,0.0,0.0,1.377499871314125,83.58851141244445,-29.439644144946143,0.2259072393291542,11.064081312753707,0.0036194700800770293,-19.120174882707584,1.2121459746030585,0.0,0.0,37.676465807405606,0.020905918422959305,5.935625546041157,-38.1521079636174
2025-01-01 08:00:00,0.4182174984096896,0.12959145099858757,0.119624767989036,0.4182174984096896,0.12959145099858757,0.11962476798903601,0.06139368538681246,0.17203735468954376,0.13478645833333333,0.05,0.0,0.004093517989035984,0.11553125000000002,0.0,0.11500811766525423,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.0019525340369152045,0.0,0.029720575674948627,0.0,0.029720575674948627,0.0,0.018693197802538048,0.0,0.09103327130369145,0.06827495347776856,0.004093517989035984,0.0,0.0,2391.8146634880063,22.222222222222285,0.39999999999999997,451.68153928977154,3.3858871805555557,0.13478645833333333,0.5,2708.7097444444444,5417.419488888889,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4036.4684133333335,0.0,0.0,70.96339340851289,51.66666666666668,46.10666666666668,0.0,49.937641539242605,0.03262713768506217,84.98895607943108,0.0,110.88030220080138,48.352113014199226,49.937641539242605,47.55934875167754,12.43753247303448,21.946818321173087,-0.06714171993248422,-1.3022445953912025,-1.17291399585697,-1.4,9.236100170605994,1389.1536436633498,-1363.9664625434893,-26.59896572886884,-875.0599292312273,0.0,0.0,353.0429185773248,137.83569968025645,1.0,0.028347628223592273,0.0,0.0,1.4211014806857138,65.99961422222222,-2.281076473152817,0.22467069529610856,11.045004849076877,0.0035977992630951234,-7.402534816703194,1.212731452892842,0.0,0.0,40.59843309382871,0.02229476624934272,10.448221667494975,-37.04718739636382
2025-01-01 09:00:00,0.3980097112552677,0.12959145099858757,0.1312170370680966,0.39800971125526763,0.12959145099858757,0.1312170370680966,0.061127822983866105,0.17455983966029043,0.11232204861111111,0.05,0.030971523412061684,0.003969471989368227,0.09627604166666667,0.0,0.11500811766525423,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.0015746242233187133,0.0,0.029776599380273695,0.0,0.029776599380273695,0.0,0.02121568277328471,0.0,0.09103327130369145,0.06827495347776856,0.003969471989368227,0.0,0.0,1993.1788862400053,22.222222222222285,0.3333333333333333,376.4012827414763,2.821572650462963,0.11232204861111111,0.4166666666666667,2257.25812037037,5417.419488888889,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4036.4684133333335,703.3706666666666,0.0,71.57172645819558,51.66666666666668,46.10666666666668,0.0,50.032900802242985,0.12715657990665485,339.27951962743714,703.3706666666666,111.83082259093061,48.535888185296876,50.032900802242985,47.78738187682382,12.43753247303448,21.930070668181642,-0.05738458835953283,-0.8905651602503172,-0.5076082939246742,-0.85,9.236100170605994,1160.526091897861,-846.4347685556763,-28.4671950605783,-840.4629419699523,0.0,0.0,353.4818261975493,404.8113582191277,1.0,0.027938840080189657,0.0,0.0,1.4006084280996516,65.99961422222222,52.96409867825962,0.22546716283457008,11.050168626129992,0.003605273957771586,21.89452042558986,1.213403255277295,0.0,0.0,37.18354266929933,0.022795307989929684,-11.044695930657376,-17.422499129920926
