Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Gas Fireplace Gas Power (therms/hour),Gas Fireplace Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.20237944298816213,0.11578611910955633,0.005458023985381311,0.003372990716469369,0.0019297686518259388,9.096706642302184e-05,0.01356727344741337,0.13881216954074874,0.0,0.05,0.0,0.005458023985381311,0.0,0.0,0.10120278577622299,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0025193987573099413,0.0,On,0.005523937345051714,0,On,0.005523937345051714,0.0,On,0.0038751218391180576,0,On,0.07414593981547044,0.05560945486160281,On,0.005458023985381311,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,5417.419488888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,4036.4684133333335,Off,0.0,0,72.38979692114827,51.666666666666686,46.10666666666668,0.0,50.08780758653043,0.0,0.0,0.0,113.10905768929418,49.27678858816077,50.08780758653043,48.871279088975946,12.43753247303448,22.32196356842803,0.0,-2.8045995052208323,-2.799999999999632,2.8,9.236100170605994,-418.0121356007514,48.47633763908917,258.2711211821692,-750.2154775137808,-0.0,-0.0,359.1679133388634,0.0,2.0,0.029487969579461492,0.0,0,1.4782681958878063,131.99922844444444,-26.964571425834006,0.21591614809220944,11.132446832381735,0.0035468270676043906,8.332916490014814,1.2083053635986363,0,0,48.47633763908917,0.04165076889918261,303.96858519535647,-45.69746401318722
2025-01-01 00:01:00,0.20237944298816213,0.11578611910955633,0.005458023985381311,0.003372990716469369,0.0019297686518259388,9.096706642302184e-05,0.01356727344741337,0.13881216954074874,0.0,0.05,0.0,0.005458023985381311,0.0,0.0,0.10120278577622299,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0025193987573099413,0.0,On,0.005523937345051714,0,On,0.005523937345051714,0.0,On,0.0038751218391180576,0,On,0.07414593981547044,0.05560945486160281,On,0.005458023985381311,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,5417.419488888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,4036.4684133333335,Off,0.0,0,72.80380132643306,51.666666666666686,46.10666666666668,0.0,50.07134961226822,0.0,0.0,0.0,113.75593957255165,49.26175014840584,50.07134961226822,48.856950416474646,12.43753247303448,22.152584629542435,0.0,-2.6437294274307748,-2.667542367358512,2.8,9.236100170605994,-410.25328997382024,47.312186257570474,248.93503198459365,-740.924891126224,-0.0,-0.0,359.1679133388634,0.0,2.0,0.029377684184066683,0.0,0,1.472739453325734,131.99922844444444,-28.49631218645956,0.21880124271770637,11.084772435660176,0.003546983602663618,8.735973369414314,1.212529947094526,0,0,47.312186257570474,0.04154298160210949,296.0107424578683,-47.075710473274626
2025-01-01 00:02:00,0.20237944298816213,0.11578611910955633,0.005458023985381311,0.003372990716469369,0.0019297686518259388,9.096706642302184e-05,0.01356727344741337,0.13881216954074874,0.0,0.05,0.0,0.005458023985381311,0.0,0.0,0.10120278577622299,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0025193987573099413,0.0,On,0.005523937345051714,0,On,0.005523937345051714,0.0,On,0.0038751218391180576,0,On,0.07414593981547044,0.05560945486160281,On,0.005458023985381311,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,5417.419488888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,4036.4684133333335,Off,0.0,0,73.20330899986581,51.666666666666686,46.10666666666668,0.0,50.054801322652324,0.0,0.0,0.0,114.38017031229032,49.246625702327194,50.054801322652324,48.84253789216463,12.43753247303448,21.988522420519235,0.0,-2.486758926276806,-2.543685378233853,2.8,9.236100170605994,-402.93775642136126,46.36357076275326,240.53302170050773,-731.9693777604108,-0.0,-0.0,359.1679133388634,0.0,2.0,0.029270741661116522,0.0,0,1.4673782930722545,131.99922844444444,-30.13629199981385,0.22101079231550252,11.01403410588672,0.0035471471374408058,9.12582511891171,1.213203851244113,0,0,46.36357076275326,0.04144193944031674,288.6015131611916,-48.068491460683845
2025-01-01 00:03:00,0.20237944298816213,0.11578611910955633,0.005458023985381311,0.003372990716469369,0.0019297686518259388,9.096706642302184e-05,0.01356727344741337,0.13881216954074874,0.0,0.05,0.0,0.005458023985381311,0.0,0.0,0.10120278577622299,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0025193987573099413,0.0,On,0.005523937345051714,0,On,0.005523937345051714,0.0,On,0.0038751218391180576,0,On,0.07414593981547044,0.05560945486160281,On,0.005458023985381311,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,5417.419488888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,4036.4684133333335,Off,0.0,0,73.5890336177534,51.666666666666686,46.10666666666668,0.0,50.03816591412221,0.0,0.0,0.0,114.98286502773969,49.23141826151263,50.03816591412221,48.82804443520784,12.43753247303448,21.82951397461253,0.0,-2.3334293840935376,-2.4273053074872077,2.8,9.236100170605994,-396.07036266709764,45.4193269719064,232.8474224641536,-723.3306072024463,-0.0,-0.0,359.1679133388634,0.0,2.0,0.02916698203440297,0.0,0,1.46217669532323,131.99922844444444,-31.90766880351476,0.22317701995340938,10.945029580513264,0.0035473178752314914,9.50306092994413,1.2138577028840556,0,0,45.4193269719064,0.04134677191193683,281.66775130357126,-48.82032883941766
2025-01-01 00:04:00,0.20237944298816213,0.11578611910955633,0.005458023985381311,0.003372990716469369,0.0019297686518259388,9.096706642302184e-05,0.01356727344741337,0.13881216954074874,0.0,0.05,0.0,0.005458023985381311,0.0,0.0,0.10120278577622299,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0025193987573099413,0.0,On,0.005523937345051714,0,On,0.005523937345051714,0.0,On,0.0038751218391180576,0,On,0.07414593981547044,0.05560945486160281,On,0.005458023985381311,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,5417.419488888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,4036.4684133333335,Off,0.0,0,73.96165253962022,51.666666666666686,46.10666666666668,0.0,50.021446425773306,0.0,0.0,0.0,115.56508209315659,49.21613068928902,50.021446425773306,48.81347282104688,12.43753247303448,21.67530971160945,-0.046912510612834524,-2.1835460343858757,-2.317482914604362,2.8,9.236100170605994,-387.8519698259336,44.50581706158375,225.78146021404197,-714.9913492858037,-0.0,-0.0,359.1679133388634,0.0,2.0,0.029066252968552236,0.0,0,1.4571270233189444,131.99922844444444,-32.02853387899327,0.22530139408196204,10.878331227943562,0.0035474955750690986,9.868282266248134,1.2144924642323764,0,0,44.50581706158375,0.04125676547859028,275.1498178782559,-49.36835766421391
2025-01-01 00:05:00,0.20237944298816213,0.11578611910955633,0.005458023985381311,0.003372990716469369,0.0019297686518259388,9.096706642302184e-05,0.01356727344741337,0.13881216954074874,0.0,0.05,0.0,0.005458023985381311,0.0,0.0,0.10120278577622299,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0025193987573099413,0.0,On,0.005523937345051714,0,On,0.005523937345051714,0.0,On,0.0038751218391180576,0,On,0.07414593981547044,0.05560945486160281,On,0.005458023985381311,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,5417.419488888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,4036.4684133333335,Off,0.0,0,74.32134097620033,51.666666666666686,46.10666666666668,0.0,50.00464574736353,0.0,0.0,0.0,116.12709527531302,49.20076570826684,50.00464574736353,48.7988256887185,12.43753247303448,21.525847058928452,-0.1963751632938333,-2.036942402759573,-2.2134291460454447,2.8,9.236100170605994,-378.6598014996417,43.62549301167987,219.25404985348382,-706.9447659381323,-0.0,-0.0,359.1679133388634,0.0,2.0,0.028968523453800483,0.0,0,1.452227722501784,131.99922844444444,-30.882948900372803,0.22738294453743182,10.813914342094261,0.0035476800078160045,10.221629306854783,1.2151083324614183,0,0,43.62549301167987,0.04117130526483315,268.99683441116485,-49.74278455768102
2025-01-01 00:06:00,0.4719523596548288,0.11578611910955633,0.23652052398538134,0.007865872660913813,0.0019297686518259388,0.003942008733089689,0.01356727344741337,0.13881216954074874,0.26957291666666666,0.05,0.0,0.005458023985381311,0.23106250000000003,0.0,0.10120278577622299,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0025193987573099413,0.0,On,0.005523937345051714,0,On,0.005523937345051714,0.0,On,0.0038751218391180576,0,On,0.07414593981547044,0.05560945486160281,On,0.005458023985381311,On,0,0,Off,On,4783.629326976013,22.222222222222285,0.7999999999999999,903.3630785795431,6.771774361111111,0.26957291666666666,1,5417.419488888889,5417.419488888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,4036.4684133333335,Off,0.0,0,74.66835631475074,51.666666666666686,46.10666666666668,0.0,49.98776672994558,0.0,0.0,0.0,116.66930674179802,49.18532600465786,49.98776672994558,48.78410564201401,12.43753247303448,21.381032780701894,-0.34118944152039177,-1.8934744152618739,-2.114465780354179,2.8,9.236100170605994,3457.472113498307,1902.8690349840583,213.19475556524628,-699.1825352097921,-0.0,-0.0,359.1679133388634,0.0,2.0,0.02887374190730401,0.0,0,1.4474762069603277,131.99922844444444,-29.416726211575018,0.2294211871850208,10.751069126009025,0.003547870947598581,10.56331931144219,1.2157056340698265,0,0,42.78009100931253,0.04108986092807614,263.1653087413133,-49.97055317606703
2025-01-01 00:07:00,0.4719523596548288,0.11578611910955633,0.23652052398538134,0.007865872660913813,0.0019297686518259388,0.003942008733089689,0.01356727344741337,0.13881216954074874,0.26957291666666666,0.05,0.0,0.005458023985381311,0.23106250000000003,0.0,0.10120278577622299,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0025193987573099413,0.0,On,0.005523937345051714,0,On,0.005523937345051714,0.0,On,0.0038751218391180576,0,On,0.07414593981547044,0.05560945486160281,On,0.005458023985381311,On,0,0,Off,On,4783.629326976013,22.222222222222285,0.7999999999999999,903.3630785795431,6.771774361111111,0.26957291666666666,1,5417.419488888889,5417.419488888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,4036.4684133333335,Off,0.0,0,74.00497883063527,51.666666666666686,46.10666666666668,0.0,49.97081216776428,0.0,0.0,0.0,115.6327794228676,49.169814211203565,49.97081216776428,48.76931523292321,12.43753247303448,21.612715150053617,-0.10950707216866817,-1.5718783732766777,-2.020010548175609,2.8,9.236100170605994,3441.8639993227353,1900.838350208728,207.54319483853143,-711.6171147626293,-0.0,-0.0,359.1679133388634,0.0,2.0,0.029025335800349078,0.0,0,1.455075795334002,131.99922844444444,-32.59026083430925,0.22620192526329805,10.851825066878154,0.0035480681731932967,9.97049695635545,1.2147499497878456,0,0,40.74940623398209,0.041011975817130966,257.61807646415355,-50.07488162562211
2025-01-01 00:08:00,0.4719523596548288,0.11578611910955633,0.23652052398538134,0.007865872660913813,0.0019297686518259388,0.003942008733089689,0.01356727344741337,0.13881216954074874,0.26957291666666666,0.05,0.0,0.005458023985381311,0.23106250000000003,0.0,0.10120278577622299,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0025193987573099413,0.0,On,0.005523937345051714,0,On,0.005523937345051714,0.0,On,0.0038751218391180576,0,On,0.07414593981547044,0.05560945486160281,On,0.005458023985381311,On,0,0,Off,On,4783.629326976013,22.222222222222285,0.7999999999999999,903.3630785795431,6.771774361111111,0.26957291666666666,1,5417.419488888889,5417.419488888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,4036.4684133333335,Off,0.0,0,73.3633066263718,51.666666666666686,46.10666666666668,0.0,49.95400465948217,0.0,0.0,0.0,114.63016660370592,49.15444022946796,49.95400465948217,48.75465801446086,12.43753247303448,21.83644615082341,0.0,-1.2574227040638213,-1.9295638594636477,2.8,9.236100170605994,3427.1329214065613,1898.9727614684382,202.24754422809013,-723.7063854982252,-0.0,-0.0,359.1679133388634,0.0,2.0,0.029171507848357703,0.0,0,1.462403579945169,131.99922844444444,-35.232068014887645,0.22314111622834465,10.94945116265191,0.0035482544767779464,9.399055942857093,1.2138284925406746,0,0,38.88381749369242,0.04093725715710583,252.32337601850432,-50.075831790414156
2025-01-01 00:09:00,0.4719523596548288,0.11578611910955633,0.23652052398538134,0.007865872660913813,0.0019297686518259388,0.003942008733089689,0.01356727344741337,0.13881216954074874,0.26957291666666666,0.05,0.0,0.005458023985381311,0.23106250000000003,0.0,0.10120278577622299,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0025193987573099413,0.0,On,0.005523937345051714,0,On,0.005523937345051714,0.0,On,0.0038751218391180576,0,On,0.07414593981547044,0.05560945486160281,On,0.005458023985381311,On,0,0,Off,On,4783.629326976013,22.222222222222285,0.7999999999999999,903.3630785795431,6.771774361111111,0.26957291666666666,1,5417.419488888889,5417.419488888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,4036.4684133333335,Off,0.0,0,72.74222508129284,51.666666666666686,46.10666666666668,0.0,49.93733941746489,0.0,0.0,0.0,113.65972668952006,49.139199550341246,49.93733941746489,48.74012961677942,12.43753247303448,22.0526366795816,0.0,-0.9497630226745225,-1.842697327232,2.8,9.236100170605994,3412.8379744398844,1897.1651617271518,197.26335556105482,-735.464029415652,-0.0,-0.0,359.1679133388634,0.0,2.0,0.029312547892881933,0.0,0,1.4694740909074426,131.99922844444444,-37.76937106413756,0.22022746906615925,11.042839251879464,0.0035484302360327836,8.84788676280927,1.2129394214628402,0,0,37.07621775240611,0.04086536747844357,247.2540602564253,-49.990704695370496
