Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Well Pump Electric Power (kW),Well Pump Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,1.3686531028764757,0.21485639967983297,0.0,1.3686531028764757,0.21485639967983297,0.0,0.08495648837151483,0.9166775903703706,0.3670190241345903,0.0,0.0,0.0,0.21485639967983297,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.02105986842105263,0.0,0.0638966199504622,0.0,0.02437308011021995,0.0,0.22209155693777438,0.16656866770333073,0.05617074445125967,0.0,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,9120.372977777775,916.6775903703705,0.16666666666666666,45.18870316166504,51.66666666666668,46.10666666666668,0.0,51.24349465759029,0.17043316944052297,456.5064838264474,916.6775903703705,45.18870316166504,50.162867205127114,51.24624994573385,49.61979819075198,12.43753247303448,11.38302996744754,-0.00010377839968516156,2.8,9.236100170605994,114.23814299169035,-452.5435354943425,0.0,0.0,644.2568159580901,0.0,4.0,0.04045527632177988,0.0,0.0,0.5235334447827552,263.9984568888889,-77.47513747205738,0.37937759057173676,5.485644046134586,0.0030999785307928617,113.83942309363172,1.258702315788915
2025-01-01 01:00:00,1.1386346712663975,0.20820203824554387,0.0,1.1386346712663973,0.20820203824554384,0.0,0.06241194031411132,0.0,0.31619164947080464,0.7600310814814814,0.0,0.0,0.20820203824554387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06277405156945293,0.04708053867708968,0.0,0.0,0.01948037828947368,0.0,0.04293156202463764,0.0,0.009226951756011839,0.0,0.2148286660912723,0.16112149956845417,0.029361980054067555,0.0,760.0310814814815,11.666666666666686,0.08333333333333333,0.0,0.7600310814814814,0.0,0.08333333333333333,760.0310814814815,9120.372977777775,0.0,0.0,47.00847723467978,51.66666666666668,46.10666666666668,0.0,51.51685008783974,0.0,0.0,0.0,47.00847723467978,51.53358331302488,51.54194992561745,51.51685008783974,12.43753247303448,11.130702748633075,-0.13944076735869612,2.5,9.236100170605994,867.167135006742,-397.45760643612704,0.0,0.0,598.2020599933483,0.0,4.0,0.03548275528401593,0.0,0.0,0.45918383937037655,263.9984568888889,-93.6084000319606,0.38984531911441,5.3966705660409735,0.0031322322851360545,123.42065411240073,1.2598573691073682
2025-01-01 02:00:00,0.8279062162941704,0.2069948449461313,0.0,0.8279062162941704,0.2069948449461313,0.0,0.06241194031411132,0.0,0.3094756270911703,0.4560186488888888,0.0,0.0,0.2069948449461313,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.01948037828947368,0.0,0.04293156202463764,0.0,0.009226951756011839,0.0,0.2148286660912723,0.16112149956845417,0.024255548740316674,0.0,456.01864888888883,11.666666666666686,0.05,0.0,0.4560186488888888,0.0,0.05,456.01864888888883,9120.372977777775,0.0,0.0,46.651692716876056,51.66666666666668,46.10666666666668,0.0,51.26367968705933,0.0,0.0,0.0,46.651692716876056,51.29757564559046,51.31452362485604,51.26367968705933,12.43753247303448,11.200707144731826,-0.08053993319553442,1.6500000000000001,9.236100170605994,560.4930838926067,-394.22406709176096,0.0,0.0,596.5924689274648,0.0,4.0,0.031531609929214874,0.0,0.0,0.4080518999421757,263.9984568888889,-97.8939668319859,0.3925538406489094,5.479667575901733,0.003168917008320675,135.84697426745444,1.2595187275173632
2025-01-01 03:00:00,9.484491529382371,0.20578765164671875,0.0,9.484491529382371,0.20578765164671875,0.0,0.061358946893058694,0.0,0.30275960471153607,9.120372977777777,0.0,0.0,0.20578765164671875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05955486943768611,0.04466615207826457,0.0,0.0,0.018427384868421052,0.0,0.04293156202463764,0.0,0.009226951756011839,0.0,0.2148286660912723,0.16112149956845417,0.019149117426565797,0.0,9120.372977777775,18.33333333333337,1.0,0.0,9.120372977777777,0.0,1.0,9120.372977777775,9120.372977777775,0.0,0.0,41.4388942397493,51.66666666666668,46.10666666666668,0.0,51.0211037973306,0.0,0.0,0.0,41.4388942397493,51.07128696023496,51.09637854168715,51.0211037973306,12.43753247303448,15.454049524425944,-2.288101863380198,1.6500000000000001,9.236100170605994,8754.714475759109,-748.5233664041207,0.0,0.0,593.9298844405288,0.0,4.0,0.04100402479390675,0.0,0.0,0.5306348220084792,263.9984568888889,-211.0650200550778,0.3030889822872607,7.629131081160468,0.003203784112724871,92.72741974593849,1.2409834801282702
2025-01-01 04:00:00,6.140021787626408,0.2045804583473062,0.0,6.140021787626408,0.2045804583473062,0.0,0.061358946893058694,0.0,0.30242662147409033,5.776236219259259,0.0,0.0,0.2045804583473062,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.018427384868421052,0.0,0.04293156202463764,0.0,0.009226951756011839,0.0,0.2148286660912723,0.16112149956845417,0.020425725255003517,0.0,5776.236219259258,18.33333333333337,0.6333333333333333,0.0,5.776236219259259,0.0,0.6333333333333333,5776.236219259258,9120.372977777775,0.0,0.0,38.19149896033587,51.66666666666668,46.10666666666668,0.0,50.83020599140624,0.0,0.0,0.0,38.19149896033587,50.87330273849383,50.89485111203762,50.83020599140624,12.43753247303448,18.047357600600854,-0.05355704005599022,0.55,9.236100170605994,5087.423564686711,-1071.5629258155518,0.0,0.0,558.1984928217564,0.0,3.4829999999999997,0.04661802792063675,0.0,0.0,0.6032858743107911,229.876656336,-175.4482215787529,0.25643203768225964,8.88738409859024,0.00322329147071559,71.16819762294212,1.2292879451814795
2025-01-01 05:00:00,5.537289892248215,0.20472380487717137,0.0,5.537289892248216,0.20472380487717134,0.0,0.06383503340779013,0.0,0.30524350476635215,5.1682113540740735,0.0,0.0,0.20472380487717137,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.020533371710526313,0.0,0.04330166169726382,0.0,0.009299490684911304,0.0,0.21501979479775918,0.16126484609831934,0.022978940911878954,0.0,5168.211354074074,18.33333333333337,0.5666666666666667,0.0,5.1682113540740735,0.0,0.5666666666666667,5168.211354074074,9120.372977777775,0.0,0.0,37.89171052608164,51.66666666666668,46.10666666666668,0.0,50.65798553163863,0.04890781850399443,129.93894699060036,0.0,37.89171052608164,50.60433063995491,50.669214771657835,50.566273954093845,12.43753247303448,18.03431111752963,-0.05834245114528898,-0.25000000000000006,9.236100170605994,4460.660568367899,-1120.19716831099,0.0,0.0,529.0470542930868,0.0,3.0,0.04651934707678411,0.0,0.0,0.6020088413298441,197.99884266666666,-116.40067168827134,0.2582287577494692,8.902041600336153,0.0032449284133102703,51.96171589668682,1.2287102320045107
2025-01-01 06:00:00,6.37081634918689,0.22491316117927787,0.0,6.37081634918689,0.22491316117927787,0.0,0.1450157298330853,1.0083453494074075,0.3532563484649156,4.8641989214814805,0.0,0.0,0.22491316117927787,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.02316585526315789,0.0,0.12184987456992742,0.0,0.02018033001983092,0.0,0.2387197544021344,0.17903981580160075,0.03319180353938071,0.0,4864.198921481481,18.33333333333337,0.5333333333333333,0.0,4.8641989214814805,0.0,0.5333333333333333,4864.198921481481,9120.372977777775,1008.3453494074075,0.18333333333333332,37.60688937283314,51.66666666666668,46.10666666666668,0.0,51.04175042541185,0.23938247068028198,632.4930413595415,1008.3453494074075,37.60688937283314,50.345868531952696,51.04248567762457,49.99719233301041,12.43753247303448,18.06471152673852,-0.04693281445336132,0.3,9.236100170605994,4293.3618304022875,-1084.8576690455322,0.0,0.0,612.2469340642485,0.0,2.4829999999999997,0.04646974976192713,0.0,0.0,0.6013670003770716,163.87704211377778,-98.22635609790996,0.25816763619353433,8.922473333125156,0.0032504701068658713,-5.032827010450563,1.2285777600371752
2025-01-01 07:00:00,6.115660491403144,0.23893861669718197,0.0,6.115660491403144,0.23893861669718197,0.0,0.21643295748477714,1.1000131084444444,0.39103415288133014,4.408180272592592,0.0,0.0,0.23893861669718197,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.021586365131578945,0.0,0.1948465923531982,0.0,0.030321272279976004,0.0,0.25420117962757305,0.19065088472067973,0.042128058338444754,0.0,4408.180272592593,18.33333333333337,0.48333333333333334,0.0,4.408180272592592,0.0,0.48333333333333334,4408.180272592593,9120.372977777775,1100.0131084444445,0.2,36.92288617834864,51.66666666666668,46.10666666666668,0.0,51.29643329099551,0.5498861074090166,1480.4042147971863,1100.0131084444445,36.92288617834864,49.746299906465914,51.29643329099551,48.97123321420113,12.43753247303448,18.053648102363802,-0.05435029710350196,-0.55,9.236100170605994,3827.743941084989,-1171.9430083236007,0.0,0.0,678.4222044563992,1.8397492430040907,1.983,0.047748745653742604,0.0,0.0,0.617918540398185,130.87723500266665,-86.91552764040215,0.25803524630043806,8.91270701034393,0.0032464495363800825,-5.845214538101064,1.2286275674477227
2025-01-01 08:00:00,7.035738063515117,0.22824804801778517,0.0,7.035738063515118,0.22824804801778517,0.0,0.14912186879218273,2.108358457851852,0.3700774642784906,4.408180272592592,0.0,0.0,0.22824804801778517,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599323370121975,0.04949492527591479,0.0,0.0,0.016321398026315787,0.0,0.13280047076586693,0.0,0.02361867524966552,0.0,0.2383374969891606,0.17875312274187038,0.042128058338444754,0.0,4408.180272592593,18.33333333333337,0.48333333333333334,0.0,4.408180272592592,0.0,0.48333333333333334,4408.180272592593,9120.372977777775,2108.358457851852,0.38333333333333336,37.484549070265416,51.66666666666668,46.10666666666668,0.0,51.32264827283468,0.7086971758105766,1918.6504392705758,2108.358457851852,37.484549070265416,50.197222667394776,51.32264827283468,49.63450986467485,12.43753247303448,18.029199785286767,-0.05765228421773614,-1.4,9.236100170605994,3606.2157180729564,-1270.2718009865853,0.0,0.0,526.3872641652096,103.29680897600562,1.0,0.04944295909024168,0.0,0.0,0.6398434282558925,65.99961422222222,-58.08001769826035,0.25827869788416824,8.901299679532354,0.0032430432799805597,-13.668640114932455,1.229310101682432
2025-01-01 09:00:00,4.627607148608049,0.22896478066711104,0.0,4.627607148608049,0.22896478066711104,0.0,0.15031700232462702,0.0,0.3731223062834225,4.10416784,0.0,0.0,0.22896478066711104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599323370121975,0.04949492527591479,0.0,0.0,0.013162417763157892,0.0,0.13715458456146915,0.0,0.026984481550600656,0.0,0.2392931405215951,0.17946985539119625,0.040851450510007034,0.0,4104.167839999999,18.33333333333337,0.45,0.0,4.10416784,0.0,0.45,4104.167839999999,9120.372977777775,0.0,0.0,37.4892113571713,51.66666666666668,46.10666666666668,0.0,51.368272012497684,0.0,0.0,0.0,37.4892113571713,50.20357015120136,51.368272012497684,49.621219220553215,12.43753247303448,18.025741862278213,-0.05162085826193188,-0.85,9.236100170605994,3417.359157888883,-1211.8712481907785,0.0,0.0,531.8369524837531,311.4238640923573,1.0,0.04860304437722295,0.0,0.0,0.6289740563714226,65.99961422222222,-6.774386404091024,0.25871607300240085,8.907362130352912,0.0032462516326331376,37.71384136781726,1.2299393911619745
