Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.1302467573466033,0.29983305083277056,0.0,2.130246757346603,0.29983305083277056,0.0,0.053977762003719135,0.0,0.39535211600955095,1.640916879333333,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.02105986842105263,0.0,0.03291789358266651,0.0,0.01113027045474566,0.0,0.32343073766864505,0.2425730532514837,0.0,0.0,1640.9168793333333,15.000000000000057,0.21666666666666667,0.0,1.5818806293333334,0.059036250000000005,0.21666666666666667,1581.8806293333332,7300.98752,0.0,20.000000000000057,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3275.655808888889,0.0,0.0,25.768893393446977,51.66666666666668,46.10666666666668,0.0,51.312504585104676,0.0,0.0,0.0,25.768893393446977,51.342066410596615,51.35684732334258,51.312504585104676,12.43753247303448,14.750116009370398,-0.04683999831830755,2.8,9.236100170605994,1620.3288351128683,-528.8541265139681,0.0,0.0,558.6889548209094,0.0,2.0,0.033948619644087845,0.0,0.0,0.4393305250598489,131.99922844444444,-50.42287252740622,0.2922022340433134,7.0234926087497405,0.0029745547717687274,42.44081825806901,1.2440767676192415
2025-01-01 01:00:00,1.3698012375178703,0.298693217559905,0.0,1.3698012375178703,0.298693217559905,0.0,0.05239827187214019,0.0,0.393832338312397,0.8835706273333332,0.04000000000000001,0.0,0.0,0.28702655089323836,0.0,0.011666666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05927133018900624,0.044453497641754665,0.0,0.0,0.01948037828947368,0.0,0.03291789358266651,0.0,0.01113027045474566,0.0,0.32343073766864505,0.2425730532514837,0.0,0.0,883.5706273333333,15.000000000000057,0.11666666666666667,0.0,0.8517818773333333,0.031788750000000005,0.11666666666666667,851.7818773333332,7300.98752,0.0,20.000000000000057,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3275.655808888889,0.0,0.0,25.773047083947016,51.66666666666668,46.10666666666668,0.0,51.172931155584465,0.0,0.0,0.0,25.773047083947016,51.21185352012525,51.23131470239566,51.172931155584465,12.43753247303448,14.613659967506795,-0.06485550709885747,2.5,9.236100170605994,893.0071052404232,-486.33321148526,0.0,0.0,555.5896869921764,0.0,2.0,0.030848690325063877,0.0,0.0,0.3992142084127185,131.99922844444444,-59.81999759982655,0.29600089928344464,6.971815493114533,0.0029869021937540003,48.72049839403401,1.2447175124445333
2025-01-01 02:00:00,2.2518520871540493,0.29755338428703954,0.0,2.2518520871540493,0.29755338428703954,0.0,0.05239827187214019,0.0,0.39231256061524294,1.7671412546666665,0.04000000000000001,0.0,0.0,0.2858867176203729,0.0,0.011666666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.01948037828947368,0.0,0.03291789358266651,0.0,0.01113027045474566,0.0,0.32343073766864505,0.2425730532514837,0.0,0.0,1767.1412546666666,15.000000000000057,0.23333333333333334,0.0,1.7035637546666667,0.06357750000000001,0.23333333333333334,1703.5637546666665,7300.98752,0.0,20.000000000000057,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3275.655808888889,0.0,0.0,25.602671222472274,51.66666666666668,46.10666666666668,0.0,51.033842631744946,0.0,0.0,0.0,25.602671222472274,51.082031360588225,51.106125725009875,51.033842631744946,12.43753247303448,14.725423535987618,-0.041334093407823326,1.6500000000000001,9.236100170605994,1765.9558413984714,-487.1486788546071,0.0,0.0,554.0699092950224,0.0,2.0,0.028445747354876302,0.0,0.0,0.36811762163396183,131.99922844444444,-68.10664370861069,0.29537685818291265,7.045370534143717,0.003002222457621052,58.03616501213825,1.2442228874776287
2025-01-01 03:00:00,2.249279316035843,0.29641355101417405,0.0,2.249279316035843,0.29641355101417405,0.0,0.051345278451087564,0.0,0.39079278291808894,1.7671412546666665,0.04000000000000001,0.0,0.0,0.2847468843475074,0.0,0.011666666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05623177479469822,0.042173831096023656,0.0,0.0,0.018427384868421052,0.0,0.03291789358266651,0.0,0.01113027045474566,0.0,0.32343073766864505,0.2425730532514837,0.0,0.0,1767.1412546666666,15.000000000000057,0.23333333333333334,0.0,1.7035637546666667,0.06357750000000001,0.23333333333333334,1703.5637546666665,7300.98752,0.0,18.888888888888914,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3275.655808888889,0.0,0.0,25.54959689957048,51.66666666666668,46.10666666666668,0.0,50.89534722895511,0.0,0.0,0.0,25.54959689957048,50.95270136958454,50.981378439899245,50.89534722895511,12.43753247303448,14.67111921605512,-0.06314915443184453,1.6500000000000001,9.236100170605994,1740.96311893751,-509.32542440507734,0.0,0.0,551.4971381768158,0.0,2.0,0.029926272418175803,0.0,0.0,0.38727715920110733,131.99922844444444,-68.34984950089515,0.2979746773324616,7.037802894419671,0.0030180256860706757,42.8327368750909,1.244445999401273
2025-01-01 04:00:00,2.247759538338689,0.29527371774130856,0.0,2.247759538338689,0.2952737177413085,0.0,0.051345278451087564,0.0,0.38927300522093494,1.7671412546666665,0.04000000000000001,0.0,0.0,0.28360705107464185,0.0,0.011666666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.018427384868421052,0.0,0.03291789358266651,0.0,0.01113027045474566,0.0,0.32343073766864505,0.2425730532514837,0.0,0.0,1767.1412546666666,15.000000000000057,0.23333333333333334,0.0,1.7035637546666667,0.06357750000000001,0.23333333333333334,1703.5637546666665,7300.98752,0.0,18.888888888888914,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3275.655808888889,0.0,0.0,25.4830701563395,51.66666666666668,46.10666666666668,0.0,50.78851993695047,0.0,0.0,0.0,25.4830701563395,50.82381947958352,50.841469250900055,50.78851993695047,12.43753247303448,14.637515823151722,-0.06428870049355974,0.55,9.236100170605994,1677.71156175026,-572.0953846908188,0.0,0.0,549.977360479662,0.0,2.0,0.030912152518384403,0.0,0.0,0.4000354753450785,131.99922844444444,-67.31166870524977,0.299492318617811,7.030431805567703,0.003028371988997226,54.40187845677204,1.2439993433153969
2025-01-01 05:00:00,2.249865525180794,0.29527371774130856,0.0,2.249865525180794,0.2952737177413085,0.0,0.05345126529319282,0.0,0.38927300522093494,1.7671412546666665,0.04000000000000001,0.0,0.0,0.28360705107464185,0.0,0.011666666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.020533371710526313,0.0,0.03291789358266651,0.0,0.01113027045474566,0.0,0.32343073766864505,0.2425730532514837,0.0,0.0,1767.1412546666666,15.000000000000057,0.23333333333333334,0.0,1.7035637546666667,0.06357750000000001,0.23333333333333334,1703.5637546666665,7300.98752,0.0,18.888888888888914,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3275.655808888889,0.0,0.0,25.383905352237544,51.66666666666668,46.10666666666668,0.0,50.68632335810441,0.0,0.0,0.0,25.383905352237544,50.69536925306588,50.699892200546614,50.68632335810441,12.43753247303448,14.650843707927246,-0.059010615075885,-0.25000000000000006,9.236100170605994,1647.430085654378,-604.1112346984944,0.0,0.0,552.0833473217671,0.0,2.0,0.03078901668281155,0.0,0.0,0.3984419692802354,131.99922844444444,-67.68328163556126,0.30102327647507193,7.057163548632783,0.003048118498481295,58.27629758163805,1.2433025739206431
2025-01-01 06:00:00,2.3817619394610667,0.29755338428703954,0.0,2.381761939461067,0.29755338428703954,0.0,0.056083748845824406,0.0,0.39231256061524294,1.8933656300000001,0.04000000000000001,0.0,0.0,0.2858867176203729,0.0,0.011666666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.02316585526315789,0.0,0.03291789358266651,0.0,0.01113027045474566,0.0,0.32343073766864505,0.2425730532514837,0.0,0.0,1893.36563,15.000000000000057,0.25,0.0,1.8252468799999997,0.06811875,0.25,1825.24688,7300.98752,0.0,18.888888888888914,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3275.655808888889,0.0,0.0,25.293957435526345,51.66666666666668,46.10666666666668,0.0,50.54897251876708,0.0,0.0,0.0,25.293957435526345,50.56736047817324,50.57655445787633,50.54897251876708,12.43753247303448,14.650213210085186,-0.060462082855335095,0.3,9.236100170605994,1800.2329998005441,-579.9628487659552,0.0,0.0,557.7553862687066,0.0,2.0,0.03075060222136734,0.0,0.0,0.39794484610724307,131.99922844444444,-70.92516770220749,0.3021707042552516,7.0708112620607375,0.0030596425583020075,37.24199361967482,1.2432967039215843
2025-01-01 07:00:00,1.7114269945647498,0.34644851302344715,0.0,1.7114269945647498,0.3464485130234471,0.0,0.17616024676215292,0.0,0.4854717451359304,1.0097950026666667,0.04000000000000001,0.0,0.0,0.3347818463567805,0.0,0.011666666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.021586365131578945,0.0,0.154573881630574,0.0,0.03909594999355629,0.0,0.3855846872562138,0.2891885154421603,0.0,0.0,1009.7950026666666,15.000000000000057,0.13333333333333333,0.0,0.9734650026666666,0.03633,0.13333333333333333,973.4650026666666,7300.98752,0.0,18.888888888888914,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3275.655808888889,0.0,0.0,24.631656184574357,51.66666666666668,46.10666666666668,0.0,50.29068902861976,0.20262233451606376,533.3159604312194,0.0,24.631656184574357,49.63180686270894,50.310374319740575,49.28268048863273,12.43753247303448,14.658318829973608,-0.06261512768086046,-0.55,9.236100170605994,1068.053473080878,-638.0818076835911,0.0,0.0,766.6402922345928,1.8961169862701008,2.0,0.0317904651536861,0.0,0.0,0.4114017563685543,131.99922844444444,-70.30001413679057,0.30322170329749193,7.089557078842804,0.00307186619901036,53.359460692222015,1.243252631136341
2025-01-01 08:00:00,6.133513101812352,0.40650511100952885,0.0,6.133513101812352,0.40650511100952885,0.0,0.3209621474602224,1.3750163855555557,0.6108033087965744,3.7867312600000003,0.04000000000000001,0.0,0.0,0.3948384443428622,0.0,0.011666666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.016321398026315787,0.0,0.3046407494339067,0.0,0.08435204967275799,0.0,0.4641403735405021,0.3481052801553765,0.0,0.0,3786.73126,16.666666666666686,0.5,0.0,3.6504937599999994,0.1362375,0.5,3650.49376,7300.98752,0.0,18.888888888888914,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3275.655808888889,1375.0163855555556,0.25,23.552248935371225,51.66666666666668,46.10666666666668,0.0,51.04256343043938,0.40582852250464724,1085.9584351518,1375.0163855555556,23.552248935371225,49.51699707785266,51.042985192548045,48.753792139450624,12.43753247303448,16.141395487212446,-0.21116234954011462,-1.4,9.236100170605994,3935.7461617450713,-810.6270703978961,0.0,0.0,1031.2748585534061,135.76951113807664,2.0,0.03492293189872866,0.0,0.0,0.4519391412242512,131.99922844444444,-71.63288641043869,0.27762560440438855,7.833193973756047,0.0030903709683305176,80.07965758503086,1.237449859167784
2025-01-01 09:00:00,4.1685152086682455,0.3468330031589637,0.0,4.1685152086682455,0.3468330031589637,0.0,0.16773629939373189,0.18333551807407408,0.4956096325337734,3.281833758666666,0.04000000000000001,0.0,0.0,0.33516633649229705,0.0,0.011666666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.013162417763157892,0.0,0.154573881630574,0.0,0.04872118387737723,0.0,0.3845775630730819,0.28843317230481136,0.0,0.0,3281.8337586666667,16.666666666666686,0.43333333333333335,0.0,3.163761258666667,0.11807250000000001,0.43333333333333335,3163.7612586666664,7300.98752,0.0,18.888888888888914,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3275.655808888889,183.3355180740741,0.03333333333333333,22.913060921279488,51.66666666666668,46.10666666666668,0.0,51.1991911748406,0.1055578628370865,284.30740028977846,183.3355180740741,22.913060921279488,48.80786470311106,51.1991911748406,47.6122014672463,12.43753247303448,16.35617208360424,-0.06007869184497391,-0.85,9.236100170605994,3198.426911722402,-785.0347628330829,0.0,0.0,691.4361809666118,390.58614429898444,0.8335000000000001,0.03453181714657803,0.0,0.0,0.44687770864695014,55.01067845422222,10.191734922206386,0.2755135159620112,7.9634070340192045,0.0031095061483392633,52.76870093272768,1.2371345212618488
