Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,8.062792398013269,0.29983305083277056,0.0,0.13437987330022114,0.004997217513879509,0.0,0.053977762003719135,0.0,0.39535211600955095,7.57346252,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03291789358266651,0,On,0.01113027045474566,0,On,0.32343073766864505,0.2425730532514837,On,0,0,Off,On,7573.46252,15.000000000000057,1.0,0.0,7.30098752,0.272475,1,7300.98752,7300.98752,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,3275.6558088888887,Off,0.0,0.0,26.08815778689817,51.666666666666686,46.10666666666668,0.0,51.38112052903076,0.0,0.0,0.0,26.08815778689817,51.40606067592179,51.418530749367314,51.38112052903076,12.43753247303448,14.360937202431247,-0.13906279756881013,2.8,9.236100170605994,7612.941625425864,-505.25132951417623,-0.0,-0.0,558.6889548209094,0.0,2.0,0.033534881103528806,0.0,0,0.4339763170782895,131.99922844444444,-13.958519880869417,0.2981180257917284,6.803717931722463,0.0029686356761060542,43.885422935807696,1.2421955218687664
2025-01-01 00:01:00,8.062792398013269,0.29983305083277056,0.0,0.13437987330022114,0.004997217513879509,0.0,0.053977762003719135,0.0,0.39535211600955095,7.57346252,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03291789358266651,0,On,0.01113027045474566,0,On,0.32343073766864505,0.2425730532514837,On,0,0,Off,On,7573.46252,15.000000000000057,1.0,0.0,7.30098752,0.272475,1,7300.98752,7300.98752,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,3275.6558088888887,Off,0.0,0.0,25.965627012736082,51.666666666666686,46.10666666666668,0.0,51.37876473109777,0.0,0.0,0.0,25.965627012736082,51.40386392329296,51.41641351939056,51.37876473109777,12.43753247303448,14.532723683308353,0.0,2.8,9.236100170605994,7592.435267377074,-515.5556429500721,-0.0,-0.0,558.6889548209094,0.0,2.0,0.03371778600883759,0.0,0,0.4363432972067238,131.99922844444444,-24.16056449376392,0.2957055138436973,6.910460916063279,0.0029688426819089453,43.50672619546248,1.245080050618245
2025-01-01 00:02:00,8.062792398013269,0.29983305083277056,0.0,0.13437987330022114,0.004997217513879509,0.0,0.053977762003719135,0.0,0.39535211600955095,7.57346252,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03291789358266651,0,On,0.01113027045474566,0,On,0.32343073766864505,0.2425730532514837,On,0,0,Off,On,7573.46252,15.000000000000057,1.0,0.0,7.30098752,0.272475,1,7300.98752,7300.98752,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,3275.6558088888887,Off,0.0,0.0,25.846830823717205,51.666666666666686,46.10666666666668,0.0,51.37642003016996,0.0,0.0,0.0,25.846830823717205,51.40167748836468,51.414306217462055,51.37642003016996,12.43753247303448,14.699217540019275,0.0,2.8,9.236100170605994,7572.319436637741,-525.6178541184202,-0.0,-0.0,558.6889548209094,0.0,2.0,0.033894876248640675,0.0,0,0.4386350295025084,131.99922844444444,-34.214184064748366,0.29256231483211464,6.9924258043034175,0.0029690474259737366,43.13937370082773,1.244359734556274
2025-01-01 00:03:00,8.062792398013269,0.29983305083277056,0.0,0.13437987330022114,0.004997217513879509,0.0,0.053977762003719135,0.0,0.39535211600955095,7.57346252,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03291789358266651,0,On,0.01113027045474566,0,On,0.32343073766864505,0.2425730532514837,On,0,0,Off,On,7573.46252,15.000000000000057,1.0,0.0,7.30098752,0.272475,1,7300.98752,7300.98752,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,3275.6558088888887,Off,0.0,0.0,25.73158083233437,51.666666666666686,46.10666666666668,0.0,51.37408608850026,0.0,0.0,0.0,25.73158083233437,51.39950105666634,51.412208540749376,51.37408608850026,12.43753247303448,14.860685960306183,0.0,2.8,9.236100170605994,7552.671215575638,-535.4470320444683,-0.0,-0.0,558.6889548209094,0.0,2.0,0.03406644807592033,0.0,0,0.4408553477880378,131.99922844444444,-44.03322720080301,0.28955023414996783,7.071917809009212,0.00296925055878418,42.78273216173649,1.2436619525032455
2025-01-01 00:04:00,8.062792398013269,0.29983305083277056,0.0,0.13437987330022114,0.004997217513879509,0.0,0.053977762003719135,0.0,0.39535211600955095,7.57346252,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03291789358266651,0,On,0.01113027045474566,0,On,0.32343073766864505,0.2425730532514837,On,0,0,Off,On,7573.46252,15.000000000000057,1.0,0.0,7.30098752,0.272475,1,7300.98752,7300.98752,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,3275.6558088888887,Off,0.0,0.0,25.61970881515414,51.666666666666686,46.10666666666668,0.0,51.371762585377034,0.0,0.0,0.0,25.61970881515414,51.39733432959042,51.410120201697126,51.371762585377034,12.43753247303448,15.017367515861732,0.0,2.8,9.236100170605994,7535.19902632746,-545.0511891029801,-0.0,-0.0,558.6889548209094,0.0,2.0,0.034232766772873846,0.0,0,0.44300768509146576,131.99922844444444,-51.901259390469555,0.2866611392304566,7.149093354728464,0.0029694521252860277,42.43629225267975,1.2429856009798648
2025-01-01 00:05:00,8.062792398013269,0.29983305083277056,0.0,0.13437987330022114,0.004997217513879509,0.0,0.053977762003719135,0.0,0.39535211600955095,7.57346252,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03291789358266651,0,On,0.01113027045474566,0,On,0.32343073766864505,0.2425730532514837,On,0,0,Off,On,7573.46252,15.000000000000057,1.0,0.0,7.30098752,0.272475,1,7300.98752,7300.98752,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,3275.6558088888887,Off,0.0,0.0,25.511032921332685,51.666666666666686,46.10666666666668,0.0,51.36944921530086,0.0,0.0,0.0,25.511032921332685,51.39517702269473,51.40804092639167,51.36944921530086,12.43753247303448,15.169520142795113,0.0,2.8,9.236100170605994,7519.665757610674,-554.4401536525943,-0.0,-0.0,558.6889548209094,0.0,2.0,0.034394117542747585,0.0,0,0.4450957322400862,131.99922844444444,-58.04556355764193,0.2838869232124195,7.223573748533624,0.002969652168362564,42.09950504413405,1.2423294999157588
2025-01-01 00:06:00,0.4893298780132701,0.29983305083277056,0.0,0.008155497966887835,0.004997217513879509,0.0,0.053977762003719135,0.0,0.39535211600955095,0.0,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03291789358266651,0,On,0.01113027045474566,0,On,0.32343073766864505,0.2425730532514837,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,7300.98752,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,3275.6558088888887,Off,0.0,0.0,25.405389359881276,51.666666666666686,46.10666666666668,0.0,51.36714568921651,0.0,0.0,0.0,25.405389359881276,51.39302886684977,51.405970455666406,51.36714568921651,12.43753247303448,15.317376148261243,0.0,2.8,9.236100170605994,-68.39169972476344,-563.622770725889,-0.0,-0.0,558.6889548209094,0.0,2.0,0.034550757677553064,0.0,0,0.44712281886072064,131.99922844444444,-63.45788381978384,0.28122030816684357,7.296044527744226,0.0029698507286455645,41.77187540265051,1.241692586380039
2025-01-01 00:07:00,0.4893298780132701,0.29983305083277056,0.0,0.008155497966887835,0.004997217513879509,0.0,0.053977762003719135,0.0,0.39535211600955095,0.0,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03291789358266651,0,On,0.01113027045474566,0,On,0.32343073766864505,0.2425730532514837,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,7300.98752,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,3275.6558088888887,Off,0.0,0.0,25.436457254045195,51.666666666666686,46.10666666666668,0.0,51.36485173287995,0.0,0.0,0.0,25.436457254045195,51.390889606718076,51.403908543637144,51.36485173287995,12.43753247303448,15.271115942666857,0.0,2.8,9.236100170605994,-64.12971976960614,-560.7435538849487,-0.0,-0.0,558.6889548209094,0.0,2.0,0.03450176565686238,0.0,0,0.4464888110453976,131.99922844444444,-62.07512070556686,0.2820760875991128,7.274050415607635,0.0029700478447360285,41.84593700729866,1.2418915952738137
2025-01-01 00:08:00,0.4893298780132701,0.29983305083277056,0.0,0.008155497966887835,0.004997217513879509,0.0,0.053977762003719135,0.0,0.39535211600955095,0.0,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03291789358266651,0,On,0.01113027045474566,0,On,0.32343073766864505,0.2425730532514837,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,7300.98752,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,3275.6558088888887,Off,0.0,0.0,25.46641049001747,51.666666666666686,46.10666666666668,0.0,51.362554985687,0.0,0.0,0.0,25.46641049001747,51.388747730515185,51.40184410292928,51.362554985687,12.43753247303448,15.226435887459626,0.0,2.8,9.236100170605994,-59.327762958494475,-557.9680613682119,-0.0,-0.0,558.6889548209094,0.0,2.0,0.03445443279987342,0.0,0,0.4458762745378296,131.99922844444444,-60.04865641119197,0.2829060643243467,7.252369574311842,0.0029702452786704637,41.916782762720544,1.2420838617782464
2025-01-01 00:09:00,0.4893298780132701,0.29983305083277056,0.0,0.008155497966887835,0.004997217513879509,0.0,0.053977762003719135,0.0,0.39535211600955095,0.0,0.04000000000000001,0.0,0.0,0.2881663841661039,0.0,0.011666666666666674,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03291789358266651,0,On,0.01113027045474566,0,On,0.32343073766864505,0.2425730532514837,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,7300.98752,Off,0.0,20.000000000000057,0,0.0,0.04000000000000001,0.0,0.0,0,0,0,3275.6558088888887,Off,0.0,0.0,25.495338745849562,51.666666666666686,46.10666666666668,0.0,51.360255548437976,0.0,0.0,0.0,25.495338745849562,51.38660333210086,51.399777223932304,51.360255548437976,12.43753247303448,15.183208737087028,0.0,2.8,9.236100170605994,-55.66739332840376,-555.2878537400578,-0.0,-0.0,558.6889548209094,0.0,2.0,0.034408625805156155,0.0,0,0.44528348427856335,131.99922844444444,-59.06849440925536,0.28371228568674856,7.231481039874273,0.0029704430162500756,41.98467183090017,1.242269927839725
