Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.9983283712208999,0.30330658768555147,0.45930810810810807,0.9983283712208998,0.3033065876855514,0.45930810810810807,0.02714633042141535,0.5064914157994845,0.464690625,0.0,0.45930810810810807,0.0,0.30330658768555147,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589948405115722,0.04424613038367913,0.0,0.0,0.006816077302631578,0.0,0.0006520141756081549,0.0,0.019678238943175618,0.0,0.011486893768565322,0.0,0.3454139430691631,0.25906045730187227,0.04720490675133567,0.0,0.04339083169884825,0.0,0.0,0.0,9444.678882322742,20.000000000000057,0.4625000000000001,3471.430969343925,13.460993758558557,0.464690625,0.5,12451.419226666667,24902.838453333334,0.0,0.0,83.61675643752504,51.66666666666668,46.10666666666668,0.0,51.40097250388731,0.0,0.0,0.0,130.65118193363287,50.80394180845948,51.40097250388731,50.50542646074556,12.43753247303448,19.662992312589516,-0.07189960841816986,2.574039991925811,8.310615204911901,2.8,9.236100170605994,5415.668819445449,151.50449904402802,1799.5878478075877,-4281.8220277363125,0.0,0.0,484.8626459780968,0.0,1.0,0.19480665866954364,0.0,0.0,1.4207386423674964,65.99961422222222,-232.05068111907661,0.19100721643130322,8.985831156866935,0.002652451101551444,-125.41463487194669,1.223441281463742,0.4530695454719999,128.99667900273514,22.5078200412929,0.19318349672495785,-1390.3369945162542,-281.50612702008317
2025-01-01 01:00:00,1.030706094087535,0.30220043442595945,0.47461837837837834,1.0307060940875348,0.30220043442595945,0.47461837837837834,0.026635124623717983,0.5238906569638169,0.48018031250000004,0.0,0.47461837837837834,0.0,0.30220043442595945,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05751996949878289,0.04313997712408715,0.0,0.0,0.006304871504934209,0.0,0.0006520141756081549,0.0,0.019678238943175618,0.0,0.011486893768565322,0.0,0.3454139430691631,0.25906045730187227,0.057039262324530604,0.0,0.05243058830277498,0.0,0.0,0.0,9759.5015117335,20.000000000000057,0.4779166666666667,3587.1453349887224,13.909693550510507,0.48018031250000004,0.5166666666666667,12866.466534222222,24902.838453333334,0.0,0.0,81.28922177173162,51.66666666666668,46.10666666666668,0.0,50.560321318286434,0.0,0.0,0.0,127.01440901833065,50.03261395953449,50.560321318286434,49.76876028015852,12.43753247303448,19.75668930782842,-0.04258622898689192,3.3273286254964063,9.49047851663745,2.5,9.236100170605994,5928.658985654225,-468.5366443238288,1781.4040964723067,-4098.458130105573,0.0,0.0,482.8765691676101,0.0,1.0,0.1822472231327308,0.0,0.0,1.3291417969858286,65.99961422222222,-215.26096514131066,0.18858004791471616,9.008298686543272,0.0026338533104847315,-94.50897000217378,1.223122827577688,0.4530695454719999,-489.1424706669761,20.605826343147353,0.1712989157241138,-1548.4713545372945,-257.26988397912123
2025-01-01 02:00:00,1.010357110897624,0.30109428116636744,0.47461837837837834,1.010357110897624,0.30109428116636744,0.47461837837837834,0.026635124623717983,0.5035416737739059,0.48018031250000004,0.0,0.47461837837837834,0.0,0.30109428116636744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05604509848599359,0.042033823864495175,0.0,0.0,0.006304871504934209,0.0,0.0006520141756081549,0.0,0.019678238943175618,0.0,0.011486893768565322,0.0,0.3454139430691631,0.25906045730187227,0.04720490675133567,0.0,0.04339083169884825,0.0,0.0,0.0,9759.5015117335,20.000000000000057,0.4779166666666667,3587.1453349887224,13.909693550510507,0.48018031250000004,0.5166666666666667,12866.466534222222,24902.838453333334,0.0,0.0,79.51644536590352,51.66666666666668,46.10666666666668,0.0,49.74264970379646,0.0,0.0,0.0,124.24444588422425,49.28094078912329,49.74264970379646,49.050086331786716,12.43753247303448,19.663413470120688,-0.06643393830027637,2.9030703655161685,9.680019383608016,1.6500000000000001,9.236100170605994,6036.122713226158,-722.7997978019354,1803.615943323681,-4022.4952436388016,0.0,0.0,481.4016981548208,0.0,1.0,0.1705619509616983,0.0,0.0,1.2439202864206818,65.99961422222222,-182.28525302336155,0.18886603628619622,8.95222242453068,0.0026225574043443256,-41.93770954302321,1.2235208270680478,0.4530695454719999,-743.2291173631077,20.429319561172335,0.14421951760149979,-1517.8742017984036,-265.65518986663795
2025-01-01 03:00:00,0.6898951977052193,0.348043381774605,0.12300863646944388,0.6898951977052193,0.3480433817746049,0.12300863646944388,0.026294320758586405,0.586152439446633,0.07744843750000001,0.04645728511809253,0.07655135135135135,0.0,0.348043381774605,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05457022747320427,0.040927670604903196,0.0,0.0,0.005964067639802631,0.0,0.0006520141756081549,0.0,0.019678238943175618,0.0,0.012624746453187358,0.0,0.4094876148929358,0.3071157111697017,0.057039262324530604,0.0,0.05243058830277498,0.0,0.0,0.0,1574.1131470537903,16.666666666666686,0.07708333333333335,578.5718282239875,2.2434989597597594,0.07744843750000001,0.08333333333333333,2075.236537777778,24902.838453333334,1055.056,0.0,85.81845106786658,51.66666666666668,46.10666666666668,0.0,50.15964652737205,0.2636283280287888,694.1695828194732,1055.056,134.09132979354152,49.406278531241384,50.15964652737205,49.02959453317606,12.43753247303448,17.467383238256097,-0.024377712326512195,2.660473271385404,6.14125750907464,1.6500000000000001,9.236100170605994,-1369.1290728390995,-578.9825419103194,-430.52096118108693,-3422.121449812246,0.0,0.0,540.3123907576305,0.0,1.0,0.16507948908486206,0.0,0.0,1.2039363069359723,65.99961422222222,-61.43316083827426,0.21682407736356923,7.906788750068303,0.002616182272113174,-91.4021928644095,1.232791006733827,0.4530695454719999,-599.4759401496145,20.493398239295328,0.1376075146495172,-797.3920536744165,-211.70073573065804
2025-01-01 04:00:00,0.8770318560216733,0.29888197464718347,0.26027459459459457,0.8770318560216733,0.29888197464718347,0.26027459459459457,0.026294320758586405,0.5874128477630869,0.26332468750000004,0.0,0.26027459459459457,0.0,0.29888197464718347,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053095356460414966,0.03982151734531121,0.0,0.0,0.005964067639802631,0.0,0.0006520141756081549,0.0,0.019678238943175618,0.0,0.011486893768565322,0.0,0.3454139430691631,0.25906045730187227,0.09244294238803234,0.0,0.08497371207691116,0.0,0.0,0.0,5351.984699982887,16.666666666666686,0.2620833333333334,1967.1442159615576,7.627896463183181,0.26332468750000004,0.2833333333333333,7055.804228444445,24902.838453333334,0.0,0.0,89.99928165682043,51.66666666666668,46.10666666666668,0.0,51.1783557977387,0.0,0.0,0.0,140.62387758878194,49.84652071779182,51.1783557977387,49.180603177818384,12.43753247303448,16.352187202055305,-0.05911813247422195,2.4065038680112676,5.507647309768485,0.55,9.236100170605994,2357.938199384017,-1086.8662626786822,942.5076695053408,-3385.0671897980037,0.0,0.0,478.1111522641106,0.0,1.0,0.16316445327117832,0.0,0.0,1.189969816259524,65.99961422222222,-87.09046306497703,0.2303854554651078,7.34935661843868,0.002598606988339614,-7.278225328616433,1.2369521012933973,0.4530695454719999,-1107.1651883902512,20.29892571156875,0.13183460813254402,-819.073135633507,-205.56341082270967
2025-01-01 05:00:00,0.9841892874604231,0.29888197464718347,0.2908951351351351,0.9841892874604231,0.29888197464718347,0.2908951351351351,0.02697592848884956,0.6629092964715736,0.2943040625,0.0,0.2908951351351351,0.0,0.29888197464718347,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053095356460414966,0.03982151734531121,0.0,0.0,0.006645675370065789,0.0,0.0006520141756081549,0.0,0.019678238943175618,0.0,0.011486893768565322,0.0,0.3454139430691631,0.25906045730187227,0.13178036468081208,0.0,0.12113273849261805,0.0,0.0,0.0,5981.629958804403,16.666666666666686,0.2929166666666667,2198.5729472511525,8.525296047087085,0.2943040625,0.31666666666666665,7885.898843555556,24902.838453333334,0.0,0.0,87.62878880991447,51.66666666666668,46.10666666666668,0.0,50.253254905762546,0.0,0.0,0.0,136.91998251549134,49.01591633109567,50.253254905762546,48.39724704376223,12.43753247303448,16.40175394797599,-0.049690052279988885,1.1710717191999216,5.73490886459632,-0.25000000000000006,9.236100170605994,2761.341391399964,-826.4559119740791,967.0467133173751,-3565.278825182907,0.0,0.0,478.7927599943738,0.0,1.0,0.16261663648513341,0.0,0.0,1.18597454996736,65.99961422222222,-133.80250221590634,0.23063173076237983,7.384456136422924,0.002610948584659509,17.338854806782454,1.2361106631783574,0.4530695454719999,-848.2295028678224,21.77359089374331,0.12644285147004672,-985.1493059004166,-246.37692803336088
2025-01-01 06:00:00,0.9781506100150283,0.3137707270307829,0.3220421499829574,0.9781506100150283,0.3137707270307829,0.3220421499829574,0.046972603487166066,0.6523636315278623,0.278814375,0.04645728511809253,0.27558486486486483,0.0,0.3137707270307829,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05604509848599359,0.042033823864495175,0.0,0.0,0.007497685032894736,0.0,0.001266005212172224,0.0,0.03820891324209911,0.0,0.01883778333429816,0.0,0.3623158708883837,0.2717369031662877,0.1121116535344222,0.0,0.10305322528476461,0.0,0.0,0.0,5666.807329393645,16.666666666666686,0.2775,2082.858581606355,8.076596255135135,0.278814375,0.3,7470.851536,24902.838453333334,1055.056,0.0,86.56909801724382,51.66666666666668,46.10666666666668,0.0,49.612112719135204,0.23988428795959793,628.5405177238085,1055.056,135.2642156519435,48.55576167959911,49.612112719135204,48.02758615983107,12.43753247303448,16.35068619080726,-0.05206091220793159,1.7257214390683266,5.774929326932258,0.3,9.236100170605994,2608.3763119771834,-827.8697688365465,869.3920723645871,-3423.0226397109936,0.0,0.0,524.8088594558769,0.0,1.0,0.1622690686403115,0.0,0.0,1.1834397132664207,65.99961422222222,-160.21723716134483,0.23038266202968555,7.346134930648871,0.0025997009326475824,-81.89557343477904,1.236336899698234,0.4530695454719999,-848.8251288786652,20.95536004211871,0.13609414084830537,-980.4832730772907,-232.98323616447723
2025-01-01 07:00:00,0.986227068944158,0.3178268802211546,0.398067027027027,0.986227068944158,0.3178268802211546,0.398067027027027,0.04924495161546851,0.5342502423286895,0.402731875,0.0,0.398067027027027,0.0,0.3178268802211546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589948405115722,0.04424613038367913,0.0,0.0,0.006986479235197368,0.0,0.0013552769299279045,0.0,0.04090319545034324,0.0,0.019885330250299402,0.0,0.36477433311663404,0.27358074983747543,0.04720490675133567,0.0,0.04339083169884825,0.0,0.0,0.0,8185.388364679709,16.666666666666686,0.40083333333333343,3008.5735067647347,11.66619459075075,0.402731875,0.43333333333333335,10791.229996444445,24902.838453333334,0.0,0.0,89.45157444757774,51.66666666666668,46.10666666666668,0.0,50.89907149585756,0.020962272025521207,56.749022461156216,0.0,139.76808507434023,49.63606350613175,50.89907149585756,49.004559511268845,12.43753247303448,16.340737279967847,-0.06559320004139733,1.1576127934843725,5.831430722769396,-0.55,9.236100170605994,4770.969883098508,-998.1378034639051,1566.9127405578001,-3723.819470204564,0.0,0.0,476.15970077092084,6.927340577792694,0.13325,0.1671207369966073,0.0,0.0,1.2188232713070817,8.794448595111112,-166.75871214755952,0.22963128707504984,7.328924697982344,0.0025894656185682075,-27.305487350456133,1.2363872238048736,0.4530695454719999,-1019.7129537850825,21.575150321177365,0.1420663903594165,-1202.5658092950357,-239.09495691189906
2025-01-01 08:00:00,0.8588624373405972,0.30441274094514337,0.3215156756756757,0.8588624373405971,0.30441274094514337,0.3215156756756756,0.025612713028323245,0.5079662868122738,0.32528343750000005,0.0,0.3215156756756757,0.0,0.30441274094514337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0604697115243615,0.04535228364327111,0.0,0.0,0.005282459909539473,0.0,0.0006520141756081549,0.0,0.019678238943175618,0.0,0.011486893768565322,0.0,0.3454139430691631,0.25906045730187227,0.04720490675133567,0.0,0.04339083169884825,0.0,0.0,0.0,6611.275217625919,16.666666666666686,0.3237500000000001,2430.0016785407474,9.42269563099099,0.32528343750000005,0.35,8715.993458666668,24902.838453333334,0.0,0.0,86.94142193830315,51.66666666666668,46.10666666666668,0.0,49.97480445096111,0.0,0.0,0.0,135.84597177859868,48.76642308649908,49.97480445096111,48.16223240426806,12.43753247303448,16.407428745597496,-0.04927280984454295,0.42287757315953267,5.650896902616949,-1.4,9.236100170605994,2842.089761726066,-1069.1698459124239,770.7285120740648,-4102.505834754634,0.0,0.0,418.8042853755718,388.9644318469963,0.0,0.1742158278426815,0.0,0.0,1.270568267114566,0.0,-85.48390652079112,0.22933685214635607,7.372693310939229,0.002595953299816318,124.39657069602245,1.2366781638840432,0.4530695454719999,-1091.7465982746942,22.576752362270305,0.1514344199938829,-1415.1927488064466,-244.08041766023598
2025-01-01 09:00:00,0.8389659135680808,0.30441274094514337,0.3215156756756757,0.8389659135680808,0.30441274094514337,0.3215156756756756,0.024590301432928507,0.4890921746351522,0.32528343750000005,0.0,0.3215156756756757,0.0,0.30441274094514337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0604697115243615,0.04535228364327111,0.0,0.0,0.004260048314144736,0.0,0.0006520141756081549,0.0,0.019678238943175618,0.0,0.011486893768565322,0.0,0.3454139430691631,0.25906045730187227,0.03737055117814073,0.0,0.03435107509492154,0.0,0.0,0.0,6611.275217625919,16.666666666666686,0.3237500000000001,2430.0016785407474,9.42269563099099,0.32528343750000005,0.35,8715.993458666668,24902.838453333334,0.0,0.0,85.01633893136287,51.66666666666668,46.10666666666668,0.0,49.0819640418397,0.0,0.0,0.0,132.83802958025447,47.962705994980176,49.0819640418397,47.40307697155041,12.43753247303448,16.318076310652966,-0.07366793518768538,0.4862720520887211,5.573284299907903,-0.85,9.236100170605994,3264.2401613886263,-778.4026322005082,978.2139721604085,-3869.5050816220814,0.0,0.0,417.7818737801771,1165.5228291678793,0.0,0.17054952797560202,0.0,0.0,1.2438296847106527,0.0,104.68815160461209,0.2336614323438349,7.372422740573664,0.002628682553990484,280.959862972824,1.23765641490507,0.4530695454719999,-799.5179942559705,21.115362055462423,0.14738729054595376,-1256.3085737086294,-195.4791326717096
