occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.641,0.133,0.151,0.151,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.636,0.0991,0.121,0.121,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.631,0.0599,0.0875,0.0875,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.615,0.0499,0.0788,0.0788,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0385,0.0688,0.0688,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0323,0.063,0.063,0.0,0.0,0.0,0.0,0.187,0,0,0,0
1.0,0.58,0.0215,0.0534,0.0534,0.0,0.0,0.0,0.0,0.08,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.188,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0171,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.578,0.0209,0.062,0.062,0.0,0.0,0.0,0.0,0.284,0,0,0,0
1.0,0.596,0.0253,0.0757,0.0757,0.0,0.0,0.0,0.0,0.349,0,0,0,0
1.0,0.601,0.0289,0.0997,0.0997,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.606,0.0329,0.127,0.127,0.0,0.0,0.0,0.0,0.102,0,0,0,0
1.0,0.606,0.0329,0.127,0.127,0.0,0.0,0.0,0.0,0.0,0,0,0,0
