Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-24 23:00:00,1.3218168231259082,0.061899435262166305,0.00639184715069771,0.08421255441912087,0.6905995468148148,0.047025406336416845,0.49997931555555564,0.00639184715069771,0.0,51.61107294839635,20.808833792992896,-0.05092556054360422
2025-01-25 00:00:00,0.8444627862691697,0.06119330511639338,0.004326788840472296,0.08327104755809031,0.717161067846154,0.04403067086492561,0.0,0.004326788840472296,0.0,51.585469295591366,20.81263842850456,-0.04786182820517458
2025-01-25 01:00:00,0.8687993423802678,0.060487174970620436,0.002261730530246882,0.08232954069705972,0.743722588877493,0.04274721280571508,0.0,0.002261730530246882,0.0,51.267880738953686,20.805013032039433,-0.04825795956191161
2025-01-25 02:00:00,0.8678578355192371,0.059781044824847515,0.001868386090203946,0.08138803383602916,0.743722588877493,0.04274721280571508,0.0,0.001868386090203946,0.0,50.95367015823407,20.8009476163778,-0.04679420362550317
2025-01-25 03:00:00,0.8660606899520662,0.05907491467907458,0.0014750416501610097,0.08044652697499857,0.743722588877493,0.04189157409957474,0.0,0.0014750416501610097,0.0,50.70463480013976,20.77773074007624,-0.059551690089040994
2025-01-25 04:00:00,0.9448037461850528,0.058368784533301646,0.0015733777601717438,0.07950502011396801,0.82340715197151,0.04189157409957474,0.0,0.0015733777601717438,0.0,50.40040039904703,20.772784499052932,-0.06720411974799566
2025-01-25 05:00:00,0.9996380656600116,0.058368784533301646,0.0017700499801932119,0.07950502011396801,0.8765301940341882,0.04360285151185545,0.0,0.0017700499801932119,0.0,50.09513084463284,20.795497246365823,-0.054577875392403226
2025-01-25 06:00:00,1.0236810943522465,0.06238992457254091,0.002556738860279084,0.08641972374003652,0.8499686730028491,0.08729269760936101,0.0,0.002556738860279084,0.0,49.735148909622204,20.795359374715837,-0.04267548010741689
2025-01-25 07:00:00,1.0573827738729522,0.06119330511639338,0.0032450916303542227,0.08327104755809031,0.9296532360968662,0.04445849021799579,0.0,0.0032450916303542227,0.0,49.39968384052475,20.82855829180195,-0.041586837753692055
2025-01-25 08:00:00,1.054046087203281,0.061899435262166305,0.0032450916303542227,0.08421255441912087,0.9296532360968662,0.04018029668729404,0.0,0.0032450916303542227,0.0,49.10331077988192,20.840896917833298,-0.04088515877385769
2025-01-25 09:00:00,1.0514791710848599,0.061899435262166305,0.0031467555203434877,0.08421255441912087,0.9296532360968662,0.037613380568872985,0.0,0.0031467555203434877,0.0,48.81001637328942,20.84991285544751,-0.04084970926277389
2025-01-25 10:00:00,0.9969868028080813,0.06119330511639338,0.0032450916303542227,0.08327104755809031,0.8765301940341882,0.03718556121580281,0.0,0.0032450916303542227,0.0,48.51979565404046,20.84180310502003,-0.047118823295629636
2025-01-25 11:00:00,0.8641791976513862,0.06119330511639338,0.0032450916303542227,0.08327104755809031,0.743722588877493,0.03718556121580281,0.0,0.0032450916303542227,0.0,48.232597542460404,20.847175089200235,-0.04744514575285645
2025-01-25 12:00:00,0.7868054676325003,0.06260556540793923,0.0031467555203434877,0.08515406128015145,0.6640380257834759,0.037613380568872985,0.0,0.0031467555203434877,0.0,47.94835067914244,20.816955973229383,-0.050486133858945514
2025-01-25 13:00:00,0.7615274046603718,0.06260556540793923,0.0031467555203434877,0.08515406128015145,0.6374765047521368,0.03889683862808351,0.0,0.0031467555203434877,0.0,47.66695615550339,20.795997822949385,-0.05327935154332651
2025-01-25 14:00:00,1.396185659309601,0.06835096350398312,0.0031467555203434877,0.10166879503271392,0.5046688995954417,0.12320887727403783,0.6666390874074075,0.0031467555203434877,0.0,47.85909972867373,20.82176328294725,-0.05208318343761835
2025-01-25 15:00:00,0.40726325954822085,0.07834417164931233,0.0032450916303542227,0.13116414371372165,0.0,0.27609911583449914,0.0,0.0032450916303542227,0.0,51.526988882859804,20.913294866556726,0.0
2025-01-25 16:00:00,1.057803366073915,0.08346717078481733,0.00442512495048303,0.14335699061329207,0.0,0.3311371739791413,0.5833092014814816,0.00442512495048303,0.0,50.99171752772737,20.90725581880746,0.0
2025-01-25 17:00:00,0.5889324148538393,0.08969202901658808,0.005605158270611838,0.15915857259144997,0.0,0.42977384226238924,0.0,0.005605158270611838,0.0,51.736307788993585,20.876985738551223,0.0
2025-01-25 18:00:00,0.7077891584848557,0.09309759068839409,0.006490183260708445,0.17590290670950878,0.0,0.5318862517753469,0.0,0.006490183260708445,0.0,51.357504199731494,20.865756567242798,0.0
2025-01-25 19:00:00,0.7578167785244062,0.09136288458533554,0.007473544360815784,0.1935066389565723,0.0,0.5643101395678339,0.0,0.007473544360815784,0.0,50.98518047325251,20.90038971165423,0.0
2025-01-25 20:00:00,0.7119527201369507,0.08879536270946677,0.007965224910869454,0.21039617047264805,0.0,0.5015565496643026,0.0,0.007965224910869454,0.0,50.38919235264677,20.894701612538444,0.0
2025-01-25 21:00:00,0.7117483969408763,0.07343260476766349,0.008456905460923123,0.13522880895881145,0.3718612944387465,0.2046582935433183,0.0,0.008456905460923123,0.0,50.03985900118721,20.656855543985735,-0.05788204976719318
2025-01-25 22:00:00,1.3435951398182555,0.06401782569948508,0.00737520825080505,0.0870370750022126,0.6640380257834759,0.050875780514048424,0.5416442585185186,0.00737520825080505,0.0,50.935084152079085,20.798501721244733,-0.05206624268283774
2025-01-25 23:00:00,0.8483990286016917,0.061899435262166305,0.00639184715069771,0.08421255441912087,0.717161067846154,0.047025406336416845,0.0,0.00639184715069771,0.0,51.50920040970705,20.807998422815306,-0.05139162347624862
2025-01-26 00:00:00,0.9241473493631869,0.06119330511639338,0.004326788840472296,0.08327104755809031,0.796845630940171,0.04403067086492561,0.0,0.004326788840472296,0.0,51.19221757568815,20.827330571759664,-0.047722274120559995
2025-01-26 01:00:00,0.8687993423802678,0.060487174970620436,0.002261730530246882,0.08232954069705972,0.743722588877493,0.04274721280571508,0.0,0.002261730530246882,0.0,50.878647624382104,20.847171511562642,-0.045891506181221155
2025-01-26 02:00:00,0.8412963144878982,0.059781044824847515,0.001868386090203946,0.08138803383602916,0.717161067846154,0.04274721280571508,0.0,0.001868386090203946,0.0,50.61158353501886,20.8253159826998,-0.04654441851576271
2025-01-26 03:00:00,0.8129376478893882,0.05907491467907458,0.0014750416501610097,0.08044652697499857,0.6905995468148148,0.04189157409957474,0.0,0.0014750416501610097,0.0,50.327114665177234,20.80078979163401,-0.049138596256777765
2025-01-26 04:00:00,0.8385576620596967,0.058368784533301646,0.0015733777601717438,0.07950502011396801,0.717161067846154,0.04189157409957474,0.0,0.0015733777601717438,0.0,50.02232635890156,20.798553339776877,-0.05112534198745487
2025-01-26 05:00:00,0.8137074184406382,0.058368784533301646,0.0017700499801932119,0.07950502011396801,0.6905995468148148,0.04360285151185545,0.0,0.0017700499801932119,0.0,49.72091126875691,20.795316603630585,-0.04649405889865429
2025-01-26 06:00:00,1.620985696049287,0.06639118396085719,0.002556738860279084,0.09413734099167259,0.5843534626894588,0.15086097607185914,0.7916339162962964,0.002556738860279084,0.0,49.80278059425709,20.792598206422138,-0.05174405641158284
2025-01-26 07:00:00,0.8599423345236985,0.06501868497115729,0.0032450916303542227,0.09064850001847632,0.6640380257834759,0.10525580872174642,0.0,0.0032450916303542227,0.0,51.432991889156845,20.773082491053454,-0.0656307559079881
2025-01-26 08:00:00,0.8149923979212299,0.061899435262166305,0.0032450916303542227,0.08421255441912087,0.6905995468148148,0.04018029668729404,0.0,0.0032450916303542227,0.0,51.07629316669848,20.796475110241968,-0.04730897315036409
2025-01-26 09:00:00,0.7858639607714697,0.061899435262166305,0.0031467555203434877,0.08421255441912087,0.6640380257834759,0.037613380568872985,0.0,0.0031467555203434877,0.0,50.75819082747298,20.775966632817976,-0.05520370698912854
2025-01-26 10:00:00,0.784494634557369,0.06119330511639338,0.0032450916303542227,0.08327104755809031,0.6640380257834759,0.03718556121580281,0.0,0.0032450916303542227,0.0,50.44343707546227,20.80005178327764,-0.049719397570796055
2025-01-26 11:00:00,0.704810071463352,0.06119330511639338,0.0032450916303542227,0.08327104755809031,0.5843534626894588,0.03718556121580281,0.0,0.0032450916303542227,0.0,50.13189670969635,20.779397299042966,-0.05429476941152848
2025-01-26 12:00:00,0.6805593835071442,0.06260556540793923,0.0031467555203434877,0.08515406128015145,0.5577919416581197,0.037613380568872985,0.0,0.0031467555203434877,0.0,49.82350935906579,20.788335598824403,-0.055437914443840226
2025-01-26 13:00:00,0.6552813205350156,0.06260556540793923,0.0031467555203434877,0.08515406128015145,0.5312304206267807,0.03889683862808351,0.0,0.0031467555203434877,0.0,49.518349051942224,20.777620642126983,-0.06602240885502368
