Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-13 08:00:00,0.7277786612863589,0.20569396162892356,0.22601209185590285,0.3445273846063044,0.24845625000000002,0.12779702668005444,0.006998,0.21296250000000003,0.01304959185590285,0.0,51.66666666666668,17.43229498050153,-0.06279627748552047
2025-01-13 09:00:00,0.7683827652446176,0.2221654057043735,0.1593659806710912,0.4180695767208124,0.1656375,0.17767768852380522,0.006998,0.141975,0.017390980671091183,0.0,51.66666666666668,17.506059945174716,-0.04672420232273116
2025-01-13 10:00:00,1.1324978844275493,0.26679764989956317,0.5273298531587151,0.4169601248609702,0.5935343750000001,0.11500538456657895,0.006998,0.50874375,0.018586103158715044,0.0,51.66666666666668,20.06564266470436,-0.6311370508502592
2025-01-13 11:00:00,4.163250725586223,0.7890615733572854,0.34165129478575895,3.6545194776082623,0.35888125,0.14285199797796053,0.006998,0.3076125,0.034038794785758913,0.0,51.66666666666668,20.85283803009307,-0.045110352386197525
2025-01-13 12:00:00,0.9822265321176464,0.2308647188650668,0.2968937914026029,0.5020305423072388,0.289865625,0.1833323648104076,0.006998,0.24845625,0.0484375414026029,0.0,51.66666666666668,20.811609380388692,-0.047815143568809525
2025-01-13 13:00:00,0.8309271220109266,0.20277002934769559,0.3224610624689482,0.39789037964774,0.317471875,0.10856686736318662,0.006998,0.27211875,0.050342312468948165,0.0,51.66666666666668,20.757580836887957,-0.0770488348389914
2025-01-13 14:00:00,0.85151452658739,0.20332943688233351,0.29442954757146567,0.4150821384906288,0.317471875,0.1119625130967612,0.006998,0.27211875,0.022310797571465653,0.0,51.66666666666668,20.82335720790954,-0.050313794327115954
2025-01-13 15:00:00,0.8419222764481725,0.20762080980378753,0.281310158668776,0.4344091988146902,0.27606250000000004,0.12445257763348232,0.006998,0.23662500000000003,0.044685158668775954,0.0,51.66666666666668,20.8399741160231,-0.05325802946900276
2025-01-13 16:00:00,0.8774916585664454,0.21706083603220486,0.26324968313600206,0.4544713014207792,0.262259375,0.15376298214566622,0.006998,0.22479375000000001,0.03845593313600206,0.0,51.66666666666668,20.833481276363173,-0.0574202296541318
2025-01-13 17:00:00,0.9559395249765662,0.22668474961627152,0.2539969116133378,0.4753766192451899,0.27606250000000004,0.19750240573137626,0.006998,0.23662500000000003,0.01737191161333779,0.0,51.66666666666668,20.840555253540895,-0.050438713668466126
2025-01-13 18:00:00,0.9802229615812716,0.22413117386890555,0.26150584185590287,0.4760085681048629,0.289865625,0.2073507684764088,0.006998,0.24845625,0.01304959185590285,0.0,51.66666666666668,20.84022469418003,-0.0520537908686529
2025-01-13 19:00:00,0.6556743574883728,0.1754057256077954,0.31944374999999997,0.24469868141234644,0.37268437500000007,0.03129330107602631,0.006998,0.31944374999999997,0.0,0.0,51.66666666666668,20.793305111104385,-0.05805829784925128
2025-01-13 20:00:00,0.5859692502114108,0.17466243071750812,0.2602875,0.24370762155863004,0.30366875000000004,0.0315948786527807,0.006998,0.2602875,0.0,0.0,51.66666666666668,20.84311908895509,-0.048544114824824486
2025-01-13 21:00:00,0.5704211214158085,0.1739191358272208,0.24845625,0.24271656170491365,0.289865625,0.030840934710894732,0.006998,0.24845625,0.0,0.0,51.66666666666668,20.76332089700351,-0.06461519402267596
2025-01-13 22:00:00,0.9927821394267319,0.17473233257793547,0.28395,0.6200641255597789,0.331275,0.03444501386695304,0.006998,0.28395,0.0,0.0,51.66666666666668,20.77377255679978,-0.06435031301709379
