Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,1.0977112470136772,0.16945936648549706,0.709875,0.018295187450227953,0.002824322774758284,0.01183125,0.027071215001464907,0.006998,0.23545453201221225,0.8281875000000001,0.0,0.709875,0.0,0,0.16945936648549706,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0060315515350877185,0.0,On,0.02103966346637719,0,On,0.009508710031549438,0,On,0.1863034278320071,0.13972757087400528,On,On,13780.73281183752,21.111111111111143,0.8,3690.9630881624776,20.8043855,0.8281875000000001,1,16643.5084,16643.5084,Off,0.0,0.0,3.0940604744955635e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0940604744955635e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.7260731445627,0.0,10.29018134489154,2.8,9.236100170605994,12270.162591427717,1067.406395513317,-1744.670917383744,-0.0,-0.0,381.4837355098811,0.0,2.0,0.0746810999039816,0.0,0,0.6989412067588263,131.99922844444444,-147.38303853594013,0.18261752429050163,9.5226737793793,0.0027169964446389708,20.548365168560895,1.2154750315432172,0.27195784282504964,-2654.6762971144426,31.11960446528208
2025-01-01 00:01:00,1.0977112470136772,0.16945936648549706,0.709875,0.018295187450227953,0.002824322774758284,0.01183125,0.027071215001464907,0.006998,0.23545453201221225,0.8281875000000001,0.0,0.709875,0.0,0,0.16945936648549706,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0060315515350877185,0.0,On,0.02103966346637719,0,On,0.009508710031549438,0,On,0.1863034278320071,0.13972757087400528,On,On,13780.73281183752,21.111111111111143,0.8,3690.9630881624776,20.8043855,0.8281875000000001,1,16643.5084,16643.5084,Off,0.0,0.0,3.0800911332562464e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0800911332562464e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.86572401894314,0.0,10.421431310181582,2.8,9.236100170605994,12237.784491310016,1016.501701785141,-1766.2976142643818,-0.0,-0.0,381.4837355098811,0.0,2.0,0.07502238370249156,0.0,0,0.7021352854518889,131.99922844444444,-158.1344417730054,0.18158783089867453,9.609819320146357,0.0027170680827466012,20.13908473511039,1.2184465290199753,0.2722567633188931,-2704.1630167383228,29.701630360986382
2025-01-01 00:02:00,1.0977112470136772,0.16945936648549706,0.709875,0.018295187450227953,0.002824322774758284,0.01183125,0.027071215001464907,0.006998,0.23545453201221225,0.8281875000000001,0.0,0.709875,0.0,0,0.16945936648549706,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0060315515350877185,0.0,On,0.02103966346637719,0,On,0.009508710031549438,0,On,0.1863034278320071,0.13972757087400528,On,On,13780.73281183752,21.111111111111143,0.8,3690.9630881624776,20.8043855,0.8281875000000001,1,16643.5084,16643.5084,Off,0.0,0.0,3.06651808538542e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.06651808538542e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,21.0016327461703,0.0,10.544122853090178,2.8,9.236100170605994,12206.208989443441,968.829225839484,-1787.4467915068608,-0.0,-0.0,381.4837355098811,0.0,2.0,0.0753537939628459,0.0,0,0.705236957596543,131.99922844444444,-168.56076639710005,0.18008100511459066,9.67157189155753,0.002717138122744779,19.741382606273906,1.2178835110286639,0.27253589560250063,-2750.512335968868,28.378473645874273
2025-01-01 00:03:00,1.0977112470136772,0.16945936648549706,0.709875,0.018295187450227953,0.002824322774758284,0.01183125,0.027071215001464907,0.006998,0.23545453201221225,0.8281875000000001,0.0,0.709875,0.0,0,0.16945936648549706,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0060315515350877185,0.0,On,0.02103966346637719,0,On,0.009508710031549438,0,On,0.1863034278320071,0.13972757087400528,On,On,13780.73281183752,21.111111111111143,0.8,3690.9630881624776,20.8043855,0.8281875000000001,1,16643.5084,16643.5084,Off,0.0,0.0,3.053291794212024e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.053291794212024e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,21.133958572025644,0.0,10.658887194505438,2.8,9.236100170605994,12175.371601142382,924.1710448454978,-1808.1348531390488,-0.0,-0.0,381.4837355098811,0.0,2.0,0.07567578244718465,0.0,0,0.708250451239453,131.99922844444444,-178.71009306597148,0.17862745070476319,9.731250341618129,0.0027172068113483104,19.354691619358125,1.2173358349187557,0.27279673438941515,-2793.945138178434,27.15309486145391
2025-01-01 00:04:00,1.0977112470136772,0.16945936648549706,0.709875,0.018295187450227953,0.002824322774758284,0.01183125,0.027071215001464907,0.006998,0.23545453201221225,0.8281875000000001,0.0,0.709875,0.0,0,0.16945936648549706,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0060315515350877185,0.0,On,0.02103966346637719,0,On,0.009508710031549438,0,On,0.1863034278320071,0.13972757087400528,On,On,13780.73281183752,21.111111111111143,0.8,3690.9630881624776,20.8043855,0.8281875000000001,1,16643.5084,16643.5084,Off,0.0,0.0,3.0404122597360583e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0404122597360583e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,21.26284747548257,0.0,10.766295730318397,2.8,9.236100170605994,12146.848023504177,882.3204464653836,-1828.3768290312028,-0.0,-0.0,381.4837355098811,0.0,2.0,0.07598876303345896,0.0,0,0.7111796398687569,131.99922844444444,-186.99169481202216,0.17722437070847227,9.78970127310577,0.002717274184788162,18.97853736038282,1.2168028566533093,0.27304062901103643,-2834.6624596185484,26.019817921454266
2025-01-01 00:05:00,0.26952374701367715,0.16945936648549706,0.0,0.004492062450227953,0.002824322774758284,0.0,0.027071215001464907,0.006998,0.23545453201221225,0.0,0.0,0.0,0.0,0,0.16945936648549706,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0060315515350877185,0.0,On,0.02103966346637719,0,On,0.009508710031549438,0,On,0.1863034278320071,0.13972757087400528,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,16643.5084,Off,0.0,0.0,3.0278299452864605e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0278299452864605e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,21.388464217745263,0.0,10.866869252756832,2.8,9.236100170605994,-1659.9715107437326,-2847.8751272874792,-1848.191360106817,-0.0,-0.0,381.4837355098811,0.0,2.0,0.0762931899704219,0.0,0,0.7140287748033568,131.99922844444444,-193.26388614679678,0.17586887160145093,9.846264075579526,0.0027173402777768006,18.612398616034202,1.2162838578792905,0.27326880589626235,-2872.848532691774,24.97340540429453
2025-01-01 00:06:00,0.26952374701367715,0.16945936648549706,0.0,0.004492062450227953,0.002824322774758284,0.0,0.027071215001464907,0.006998,0.23545453201221225,0.0,0.0,0.0,0.0,0,0.16945936648549706,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0060315515350877185,0.0,On,0.02103966346637719,0,On,0.009508710031549438,0,On,0.1863034278320071,0.13972757087400528,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,16643.5084,Off,0.0,0.0,3.0406599430913655e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0406599430913655e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,21.260385845913817,0.0,10.695024859801777,2.8,9.236100170605994,-1632.7151462787826,-2780.583747476331,-1827.9893884351445,-0.0,-0.0,381.4837355098811,0.0,2.0,0.07598279139646488,0.0,0,0.711123751254739,131.99922844444444,-186.2094933535195,0.17725963908200928,9.788630487717171,0.002717405123341138,18.953776705494963,1.2168129344418621,0.27287881721207236,-2807.637133658377,27.053386182045642
2025-01-01 00:07:00,0.26952374701367715,0.16945936648549706,0.0,0.004492062450227953,0.002824322774758284,0.0,0.027071215001464907,0.006998,0.23545453201221225,0.0,0.0,0.0,0.0,0,0.16945936648549706,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0060315515350877185,0.0,On,0.02103966346637719,0,On,0.009508710031549438,0,On,0.1863034278320071,0.13972757087400528,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,16643.5084,Off,0.0,0.0,3.053093647527779e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.053093647527779e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,21.13591864150041,0.0,10.535287633109409,2.8,9.236100170605994,-1607.1995603676257,-2718.4103452572804,-1808.4420079036058,-0.0,-0.0,381.4837355098811,0.0,2.0,0.07568054683168902,0.0,0,0.7082950411646045,131.99922844444444,-180.24128797390077,0.17862325138778548,9.732835989704586,0.002717471129553817,19.28562086904026,1.217327532736985,0.27251580438033474,-2747.171758943793,28.761413686512906
2025-01-01 00:08:00,0.26952374701367715,0.16945936648549706,0.0,0.004492062450227953,0.002824322774758284,0.0,0.027071215001464907,0.006998,0.23545453201221225,0.0,0.0,0.0,0.0,0,0.16945936648549706,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0060315515350877185,0.0,On,0.02103966346637719,0,On,0.009508710031549438,0,On,0.1863034278320071,0.13972757087400528,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,16643.5084,Off,0.0,0.0,3.065180595266762e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.065180595266762e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,21.014837270728524,0.0,10.386531409687976,2.8,9.236100170605994,-1582.4216867236894,-2660.599023348161,-1789.5069415362611,-0.0,-0.0,381.4837355098811,0.0,2.0,0.07538595480565724,0.0,0,0.7055379512658093,131.99922844444444,-174.39848069730937,0.17996129220990148,9.678008660292686,0.0027175382630170966,19.608514464373076,1.2178285483299423,0.272177311182845,-2690.994632709949,30.395609361788143
2025-01-01 00:09:00,0.26952374701367715,0.16945936648549706,0.0,0.004492062450227953,0.002824322774758284,0.0,0.027071215001464907,0.006998,0.23545453201221225,0.0,0.0,0.0,0.0,0,0.16945936648549706,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0060315515350877185,0.0,On,0.02103966346637719,0,On,0.009508710031549438,0,On,0.1863034278320071,0.13972757087400528,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,16643.5084,Off,0.0,0.0,3.076970322979378e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.076970322979378e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.89696724410566,0.0,10.24782148980387,2.8,9.236100170605994,-1558.4839014745874,-2606.8018312550034,-1771.1505722077952,-0.0,-0.0,381.4837355098811,0.0,2.0,0.07509863296748787,0.0,0,0.7028489031323932,131.99922844444444,-168.8170647766732,0.18127487174273732,9.624820459008268,0.0027176064923954447,19.922903369728974,1.2183166701147974,0.27186129851941465,-2638.7260087477584,31.924177492754783
