Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.297226019635047,0.10301240777611631,0.976470588235294,0.00495376699391745,0.0017168734629352718,0.016274509803921568,0.01837363635016303,0.278852383284884,0.0,0.0,0.976470588235294,0.0,0.10301240777611631,0,1,0,0,Off,0,0,Off,0,0,Off,0.03026737992042858,0.02270053494032143,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013108669244899871,0,On,0.004568706103255629,0,On,0.1070824971143932,0.08031187283579488,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,On,19459.921777777778,20.000000000000057,0.6800000000000002,0.0,28.617532026143785,0.0,1,19459.921777777778,19459.921777777778,Off,0.0,0,78.19290651078437,51.666666666666686,46.10666666666668,0.0,50.328171780053545,0.0,0.0,0.0,122.17641642310058,49.140760124087905,50.328171780053545,48.54705429610508,12.43753247303448,20.04135187138972,0.0,-2.8040761605115745,1.8319984692994895,2.8,9.236100170605994,15905.57493936871,162.10488521043155,235.25818791056412,-3672.9306491525945,-0.0,-0.0,416.7949015791218,0.0,4.0,0.1634646169240745,0.0,0,2.115402532852828,263.9984568888889,-298.2110908355967,0.20889629065375023,9.507310116989707,0.002980537574827862,-117.6368033687103,1.2181199496964321,0,0,162.10488521043155,0.156268240907807,197.1353096448895,38.12287826567463
2025-01-01 00:01:00,0.297226019635047,0.10301240777611631,0.0,0.00495376699391745,0.0017168734629352718,0.0,0.01837363635016303,0.278852383284884,0.0,0.0,0.0,0.0,0.10301240777611631,0,1,0,0,Off,0,0,Off,0,0,Off,0.03026737992042858,0.02270053494032143,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013108669244899871,0,On,0.004568706103255629,0,On,0.1070824971143932,0.08031187283579488,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,19459.921777777778,Off,0.0,0,77.57198168331253,51.666666666666686,46.10666666666668,0.0,50.31457522086883,0.0,0.0,0.0,121.20622138017582,49.12857712975888,50.31457522086883,48.535578084203905,12.43753247303448,20.260520169225988,0.0,-2.610855784558832,1.8830415924853134,2.8,9.236100170605994,-3633.6947605911932,158.81925484785296,224.50200070435477,-3737.7900423831347,-0.0,-0.0,416.7949015791218,0.0,4.0,0.164263122107092,0.0,0,2.1257360222552224,263.9984568888889,-312.69961978717987,0.20664563658803572,9.630076176748695,0.0029799717195775773,-118.92792899923907,1.2207660978034587,0,0,158.81925484785296,0.15594119109792062,186.34945883511543,38.15254186923933
2025-01-01 00:02:00,0.297226019635047,0.10301240777611631,0.0,0.00495376699391745,0.0017168734629352718,0.0,0.01837363635016303,0.278852383284884,0.0,0.0,0.0,0.0,0.10301240777611631,0,1,0,0,Off,0,0,Off,0,0,Off,0.03026737992042858,0.02270053494032143,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013108669244899871,0,On,0.004568706103255629,0,On,0.1070824971143932,0.08031187283579488,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,19459.921777777778,Off,0.0,0,78.28152983193773,51.666666666666686,46.10666666666668,0.0,50.30108272715694,0.0,0.0,0.0,122.31489036240269,49.116490879802065,50.30108272715694,48.52419495612464,12.43753247303448,19.98395875715733,0.0,-2.4221386564526175,1.9324151600141355,2.8,9.236100170605994,-3541.730762699053,155.81269944052156,214.1713061849763,-3656.0182412983345,-0.0,-0.0,416.7949015791218,0.0,4.0,0.163255371800727,0.0,0,2.1126946828468416,263.9984568888889,-302.50742297984027,0.2101727866218629,9.504369273246184,0.002979400893786183,-116.63110779171453,1.221918267687905,0,0,155.81269944052156,0.15562418471966635,175.95705956267054,38.21424662230574
2025-01-01 00:03:00,0.297226019635047,0.10301240777611631,0.0,0.00495376699391745,0.0017168734629352718,0.0,0.01837363635016303,0.278852383284884,0.0,0.0,0.0,0.0,0.10301240777611631,0,1,0,0,Off,0,0,Off,0,0,Off,0.03026737992042858,0.02270053494032143,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013108669244899871,0,On,0.004568706103255629,0,On,0.1070824971143932,0.08031187283579488,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,19459.921777777778,Off,0.0,0,78.96423804816334,51.666666666666686,46.10666666666668,0.0,50.28747278654854,0.0,0.0,0.0,123.38162195025522,49.10429407734816,50.28747278654854,48.51270472274796,12.43753247303448,19.717288980582786,0.0,-2.2377046495059942,1.9803853308070314,2.8,9.236100170605994,-3455.8868557835026,152.82322702058494,204.1969436052928,-3577.8306495168663,-0.0,-0.0,416.7949015791218,0.0,4.0,0.16228237696703493,0.0,0,2.1001031154827503,263.9984568888889,-294.85110784575784,0.21363754906075305,9.382068241465305,0.0029788416200381873,-114.41277350869925,1.2230312957103007,0,0,152.82322702058494,0.15531556924799805,165.89846487052216,38.298478734770626
2025-01-01 00:04:00,0.297226019635047,0.10301240777611631,0.0,0.00495376699391745,0.0017168734629352718,0.0,0.01837363635016303,0.278852383284884,0.0,0.0,0.0,0.0,0.10301240777611631,0,1,0,0,Off,0,0,Off,0,0,Off,0.03026737992042858,0.02270053494032143,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013108669244899871,0,On,0.004568706103255629,0,On,0.1070824971143932,0.08031187283579488,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,19459.921777777778,Off,0.0,0,79.62216464579197,51.666666666666686,46.10666666666668,0.0,50.27374987094872,0.0,0.0,0.0,124.40963225904994,49.09199090424378,50.27374987094872,48.50111142089131,12.43753247303448,19.459747960478488,-0.04025203952156886,-2.0573774689196225,2.027103986898516,2.8,9.236100170605994,-3371.934223634112,149.8913844105304,194.50800934851998,-3502.936069547181,-0.0,-0.0,416.7949015791218,0.0,4.0,0.16134151569555752,0.0,0,2.0879273899086286,263.9984568888889,-285.793055666053,0.21704435630573038,9.263513075269639,0.002978293483018008,-112.26722957219559,1.224108153716349,0,0,149.8913844105304,0.15501441479953126,156.13878806310282,38.36922128541717
2025-01-01 00:05:00,0.297226019635047,0.10301240777611631,0.0,0.00495376699391745,0.0017168734629352718,0.0,0.01837363635016303,0.278852383284884,0.0,0.0,0.0,0.0,0.10301240777611631,0,1,0,0,Off,0,0,Off,0,0,Off,0.03026737992042858,0.02270053494032143,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013108669244899871,0,On,0.004568706103255629,0,On,0.1070824971143932,0.08031187283579488,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,19459.921777777778,Off,0.0,0,80.25673738129183,51.666666666666686,46.10666666666668,0.0,50.259918109435155,0.0,0.0,0.0,125.40115215826849,49.07958522163611,50.259918109435155,48.48941877773659,12.43753247303448,19.210807485920693,-0.28919251407936386,-1.8810059062627178,2.072673146234131,2.8,9.236100170605994,-3289.5900462090026,147.0249338324188,185.0794073684386,-3431.119949523378,-0.0,-0.0,416.7949015791218,0.0,4.0,0.16043100282214642,0.0,0,2.0761444042396042,263.9984568888889,-275.26499826474594,0.22039514459723725,9.148467302709818,0.0029777560981835553,-110.19048064544526,1.225150859018699,0,0,147.0249338324188,0.15472010543124395,146.6540385764997,38.42536879193893
2025-01-01 00:06:00,0.297226019635047,0.10301240777611631,0.976470588235294,0.00495376699391745,0.0017168734629352718,0.016274509803921568,0.01837363635016303,0.278852383284884,0.0,0.0,0.976470588235294,0.0,0.10301240777611631,0,1,0,0,Off,0,0,Off,0,0,Off,0.03026737992042858,0.02270053494032143,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013108669244899871,0,On,0.004568706103255629,0,On,0.1070824971143932,0.08031187283579488,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,On,19459.921777777778,20.000000000000057,0.6800000000000002,0.0,28.617532026143785,0.0,1,19459.921777777778,19459.921777777778,Off,0.0,0,80.8691553391743,51.666666666666686,46.10666666666668,0.0,50.24598139324962,0.0,0.0,0.0,126.35805521745984,49.06708066821799,50.24598139324962,48.47763030570218,12.43753247303448,18.97002434201314,-0.5299756579869168,-1.7084572645271217,2.117171293887044,2.8,9.236100170605994,16249.853278861414,144.22923360995156,175.89078005385312,-3362.1985745496404,-0.0,-0.0,416.7949015791218,0.0,4.0,0.15954934811145752,0.0,0,2.0647348732769544,263.9984568888889,-264.66482594584625,0.2236911587744528,9.037396360481848,0.00297722910293485,-108.17914851233971,1.2261610928474198,0,0,144.22923360995156,0.15443217195332842,137.42546082392175,38.46531922993135
2025-01-01 00:07:00,0.297226019635047,0.10301240777611631,0.976470588235294,0.00495376699391745,0.0017168734629352718,0.016274509803921568,0.01837363635016303,0.278852383284884,0.0,0.0,0.976470588235294,0.0,0.10301240777611631,0,1,0,0,Off,0,0,Off,0,0,Off,0.03026737992042858,0.02270053494032143,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013108669244899871,0,On,0.004568706103255629,0,On,0.1070824971143932,0.08031187283579488,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,On,19459.921777777778,20.000000000000057,0.6800000000000002,0.0,28.617532026143785,0.0,1,19459.921777777778,19459.921777777778,Off,0.0,0,80.15012002959271,51.666666666666686,46.10666666666668,0.0,50.2319434138768,0.0,0.0,0.0,125.2345625462386,49.05448069585663,50.2319434138768,48.46574933684656,12.43753247303448,19.22533760874124,-0.2746623912588184,-1.5396124092533532,2.1606678061334605,2.8,9.236100170605994,16162.854350274438,141.50663162579642,166.937281846075,-3435.2960775450306,-0.0,-0.0,416.7949015791218,0.0,4.0,0.16048417599980408,0.0,0,2.0768325205843734,263.9984568888889,-278.56625153743187,0.22011883466626947,9.154391616424999,0.002976712153317236,-109.76306099432955,1.2250907443296672,0,0,141.50663162579642,0.15415019994205392,128.43645747262602,38.50082437344899
2025-01-01 00:08:00,0.297226019635047,0.10301240777611631,0.976470588235294,0.00495376699391745,0.0017168734629352718,0.016274509803921568,0.01837363635016303,0.278852383284884,0.0,0.0,0.976470588235294,0.0,0.10301240777611631,0,1,0,0,Off,0,0,Off,0,0,Off,0.03026737992042858,0.02270053494032143,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013108669244899871,0,On,0.004568706103255629,0,On,0.1070824971143932,0.08031187283579488,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,On,19459.921777777778,20.000000000000057,0.6800000000000002,0.0,28.617532026143785,0.0,1,19459.921777777778,19459.921777777778,Off,0.0,0,79.45658401847275,51.666666666666686,46.10666666666668,0.0,50.2180258461742,0.0,0.0,0.0,124.15091252886367,49.04199275415752,50.2180258461742,48.453976208149186,12.43753247303448,19.47126038250346,-0.028739617496597702,-1.3743623646166188,2.2032840965497287,2.8,9.236100170605994,16080.453650786872,138.85790656185802,158.2327420025658,-3506.2709980207696,-0.0,-0.0,416.7949015791218,0.0,4.0,0.16138359769973812,0.0,0,2.088471974907549,263.9984568888889,-289.99203054925727,0.21673633301378617,9.266518556992281,0.0029761871764798597,-111.2699199740953,1.2240615494782363,0,0,138.85790656185802,0.15387343295557104,119.65997497737928,38.57276702518653
2025-01-01 00:09:00,0.297226019635047,0.10301240777611631,0.976470588235294,0.00495376699391745,0.0017168734629352718,0.016274509803921568,0.01837363635016303,0.278852383284884,0.0,0.0,0.976470588235294,0.0,0.10301240777611631,0,1,0,0,Off,0,0,Off,0,0,Off,0.03026737992042858,0.02270053494032143,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013108669244899871,0,On,0.004568706103255629,0,On,0.1070824971143932,0.08031187283579488,On,0.07134935238251174,0,On,0.06558444776429484,0,On,0,0,Off,On,19459.921777777778,20.000000000000057,0.6800000000000002,0.0,28.617532026143785,0.0,1,19459.921777777778,19459.921777777778,Off,0.0,0,78.7865737709342,51.666666666666686,46.10666666666668,0.0,50.2042244407132,0.0,0.0,0.0,123.10402151708467,49.02961287015401,50.2042244407132,48.44230708487443,12.43753247303448,19.70852415710619,0.0,-1.2126058321052433,2.245196991297998,2.8,9.236100170605994,16000.44048112497,136.28299195483424,149.7508583991698,-3575.271816072729,-0.0,-0.0,416.7949015791218,0.0,4.0,0.16225037570877973,0.0,0,2.0996889858439247,263.9984568888889,-301.0043821592001,0.21352622148698772,9.37421874125803,0.0029756545451470533,-112.70547225556848,1.2230702503820636,0,0,136.28299195483424,0.1536007476820596,111.05798492762877,38.69287347154103
