occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.589,0.022,0.337,0.0696,0.0,0.0,0.0,0.0,0.0,0.0,0.509,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.211,0.0999,0.0,0.0,0.0,0.0,0.0,0.0,0.0576,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.211,0.0999,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.211,0.0999,0.0,0.0,0.0,0.0,0.0,1.0,0.17,1.0,0,0,0,0,0
1.0,0.657,0.0427,0.168,0.171,0.304,0.4,0.0,0.0,0.0,0.667,0.0283,1.0,0,0,0,0,0
1.0,0.695,0.06,0.105,0.277,0.279,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.695,0.06,0.105,0.277,0.291,1.0,0.261,0.4,0.0,0.0,0.283,1.0,0,0,0,0,0
1.0,0.695,0.06,0.105,0.277,0.538,1.0,0.459,1.0,0.0,0.0,0.307,1.0,0,0,0,0,0
1.0,0.713,0.0685,0.105,0.306,0.433,1.0,0.232,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.739,0.0813,0.105,0.348,0.466,1.0,0.33,0.467,0.533,0.0,0.732,1.0,0,0,0,0,0
0.9,0.715,0.0726,0.147,0.308,0.0,0.0,0.189,0.0,1.0,0.0,0.148,1.0,0,0,0,0,0
0.75,0.68,0.0595,0.211,0.248,0.0,0.0,0.066,0.0,1.0,0.0,0.0825,1.0,0,0,0,0,0
0.75,0.684,0.0641,0.211,0.254,0.0,0.0,0.215,0.0,0.733,0.0,0.329,1.0,0,0,0,0,0
0.75,0.69,0.0711,0.211,0.262,0.0,0.0,0.158,0.0,0.0,0.0,0.246,1.0,0,0,0,0,0
0.75,0.715,0.0821,0.168,0.305,0.0,0.0,0.106,0.0,0.0,0.0,0.247,1.0,0,0,0,0,0
0.75,0.754,0.0987,0.105,0.369,0.0,0.0,0.066,0.0,0.0,0.0,0.464,1.0,0,0,0,0,0
