Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-01 00:00:00,0.9443178459031398,0.5823947799332757,0.0,0.11992628575290358,0.75268534722789,0.021706212922346375,0.05,0.0,0.0,50.3712222572182,18.130069717965277,-0.03946481930381888
2025-01-01 01:00:00,0.17299503448127324,0.09205727917670252,0.0,0.10774621640016788,0.0,0.015248818081105387,0.05,0.0,0.0,49.30697895084264,17.781004079122166,-0.08167551435207472
2025-01-01 02:00:00,0.9791116207634907,0.6135911159739822,0.0,0.10523421002570411,0.809387254536557,0.014490156201229653,0.05,0.0,0.0,48.27285715836619,18.023118151591703,-0.08629124779685184
2025-01-01 03:00:00,0.16851005765965343,0.0899958203925284,0.0,0.10419050726982727,0.0,0.014319550389826146,0.05,0.0,0.0,47.27732547133364,17.802714730796996,-0.08234875849219539
2025-01-01 04:00:00,0.955771545617414,0.5983644376527419,0.03871440426507711,0.10383411774748298,0.7875661505337497,0.014371277336181308,0.05,0.03871440426507711,0.0,47.59588180157542,18.06406481832896,-0.052494245493902095
2025-01-01 05:00:00,0.8324130750801506,0.516959758815906,0.0,0.10577938630383771,0.6599728181712801,0.016660870605032824,0.05,0.0,0.0,52.226786334103274,17.78656436746378,-0.10528873983677531
2025-01-01 06:00:00,0.415552564999718,0.24918222565461814,0.0,0.10523421002570411,0.24523107843287192,0.015087276541141932,0.05,0.0,0.0,51.099920968068076,18.07442525161711,-0.02132041451298689
2025-01-01 07:00:00,1.1555995148425415,0.7102737528570408,0.0,0.1187483387847069,0.9491564979448157,0.03769467811301899,0.05,0.0,0.0,49.898581002353936,18.013305495690524,-0.08346994793023281
2025-01-01 08:00:00,0.75876788278743,0.4719195580868038,0.0,0.10836531829333466,0.5864242257270763,0.013978338767019127,0.05,0.0,0.0,48.77076355434091,17.818217013737378,-0.08573737060605945
2025-01-01 09:00:00,0.7304329568209179,0.45394760539895823,0.0,0.10836531829333466,0.5586011171947747,0.0134665213328086,0.05,0.0,0.0,47.69752834521345,18.151698694804274,-0.005008224564734694
2025-01-01 10:00:00,1.0454480984944574,0.6573737739949597,0.030971523412061684,0.10732161553745782,0.8747452645298928,0.013381218427106847,0.05,0.030971523412061684,0.0,49.03454873533278,17.945060272955747,-0.09880828548572602
2025-01-01 11:00:00,0.17070283396456468,0.09234415159325132,0.0,0.10732161553745782,0.0,0.013381218427106847,0.05,0.0,0.0,50.76154950009327,17.894403475584166,-0.048826768759614225
2025-01-01 12:00:00,0.9938295536861886,0.6141154715234672,0.0,0.11786245682923985,0.8013850294962641,0.02458206736068487,0.05,0.0,0.0,49.67559436010854,18.013663453702485,-0.09320615933560751
2025-01-01 13:00:00,0.3412868360178789,0.23359557072128317,0.0696859276771388,0.2476892207286161,0.0,0.04359761528926281,0.05,0.0696859276771388,0.0,50.165871702041954,18.016973527274914,0.0
2025-01-01 14:00:00,3.2710116428600213,0.6507934896505013,0.030971523412061684,3.1766686779109645,0.0,0.044342964949057026,0.05,0.030971523412061684,0.0,51.630436179259284,18.2186722550278,0.0
2025-01-01 15:00:00,0.8759547421953386,0.15524949724940135,0.030971523412061684,0.7779092227819459,0.0,0.048045519413392836,0.05,0.030971523412061684,0.0,51.903842915498366,18.68611887585547,0.0
2025-01-01 16:00:00,0.7794138670158617,0.35300621264359655,0.09291457023618506,0.6345061648102184,0.0,0.09490770220564332,0.05,0.09291457023618506,0.0,51.559015226267384,18.819951879813516,0.0
2025-01-01 17:00:00,5.230709548938768,0.869920745509454,0.03871440426507711,5.051040747964169,0.0,0.12966880097459887,0.05,0.03871440426507711,0.0,52.110516101881146,18.983295759879915,0.0
2025-01-01 18:00:00,4.074087997550503,0.6401866645024568,0.030971523412061684,3.8408028648935053,0.0,0.18328513265699703,0.05,0.030971523412061684,0.0,51.649342756113455,19.222709136059034,0.0
2025-01-01 19:00:00,0.48142745473866544,0.12298834677115597,0.023228642559046265,0.2622846554383073,0.0,0.16914279930035825,0.05,0.023228642559046265,0.0,51.30030423293926,18.9612880406995,0.0
2025-01-01 20:00:00,0.4649204633285481,0.11861026098914666,0.0,0.2791146245779646,0.0,0.13580583875058352,0.05,0.0,0.0,50.35520970298877,18.62671189889735,0.0
2025-01-01 21:00:00,0.49938658746010856,0.11886061861048663,0.0,0.3176281494828953,0.0,0.1317584379772133,0.05,0.0,0.0,49.058490192198526,18.44885098147788,0.0
2025-01-01 22:00:00,0.3190965218086177,0.10537269017429396,0.030971523412061684,0.19558019482179093,0.0,0.07351632698682681,0.05,0.030971523412061684,0.0,48.96012769595953,18.236208099349305,0.0
2025-01-01 23:00:00,0.203646122191809,0.0960816938685471,0.0,0.12584249030045128,0.0,0.027803631891357723,0.05,0.0,0.0,51.36122485868616,17.80933605376617,-0.061957662756725006
2025-01-02 00:00:00,1.1585054066376526,0.7295199769998365,0.0,0.10732161553745782,0.9864377261818601,0.014746064918334916,0.05,0.0,0.0,50.25479009398608,18.029677354874984,-0.08389619013791473
2025-01-02 01:00:00,0.17076806898281063,0.09156137452634366,0.0,0.10627791278158097,0.0,0.014490156201229653,0.05,0.0,0.0,49.19377529261945,17.845350874257598,-0.0722255612934885
