Metric,Value
Total Electric Energy (kWh),243.88439229481628
Total Gas Energy (therms),6.423094231030557
Average Electric Power (kW),0.3387283226316893
Peak Electric Power (kW),2.399846378355601
Other Electric Energy (kWh),118.96623047029846
Lighting Electric Energy (kWh),111.01816182451783
HVAC Cooling Electric Energy (kWh),13.900000000000007
Water Heating Gas Energy (therms),6.423094231030557
Average Temperature - Indoor (C),9.861327807936316
Unmet Heating Load (C-hours),0.0
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
